ISBN,書籍簡介
9781593279264,"A Beginner's Guide to 3D Modeling is a project-based, straightforward introduction to computer-aided design (CAD). You'll learn how to use Autodesk Fusion 360, the world's most powerful free CAD software, to model gadgets, 3D print your designs, and create realistic images just like an engineering professional--with no experience required  Hands-on modeling projects and step-by-step instructions throughout the book introduce fundamental 3D modeling concepts. As you work through the projects, you'll master the basics of parametric modeling and learn how to create your own models, from simple shapes to multipart assemblies. Once you've mastered the basics, you'll learn more advanced modeling concepts like sweeps, lofts, surfaces, and rendering, before pulling it all together to create a robotic arm. You'll learn how to: - Design a moving robotic arm, a door hinge, a teapot, and a 20-sided die- Create professional technical drawings for manufacturing and patent applications - Model springs and other complex curves to create realistic designs - Use basic Fusion 360 tools like Extrude, Revolve, and Hole- Master advanced tools like Coil and Thread Whether you're a maker, hobbyist, or artist, A Beginner's Guide to 3D Modeling is certain to show you how to turn your ideas into professional models. Go ahead--dust off that 3D printer and feed it your amazing designs."
9781944534622,0
9781484258415,"Get the most out of your printer, including how to design models, choose materials, work with different printers, and integrate 3D printing with traditional prototyping to make techniques like sand casting more efficient.This book is for new 3D printer owners, makers of all kinds, entrepreneurs, technology educators, and anyone curious about what you can do with a 3D printer.In this revised and expanded new edition of Mastering 3D Printing, which has been a trusted resource through five years of evolution in the 3D printing industry, you'll gain a comprehensive understanding of 3D printing. This book presumes no foreknowledge and describes what you need to know about how printers work, how to decide which type of printer (filament, resin, or powder) makes the most sense for you, and then how to go forward in the case of filament and resin printers. This new edition now includes material about consumer resin printing, the evolution of lower-cost metal printing, and the plethora of both materials and applications.What You'll LearnChoose among the different 3D printing technologiesCreate or find 3D models to printMake both easy and challenging prints come out as you imaginedAssess whether your business, factory, home or classroom will benefit from 3D printingWork with applications that are good candidates for first projects in home and industrial applicationsWho This Book Is ForPeople who are encountering 3D printing for the first time, or for those who want to level up their skills. It is designed for the nontechnical adult and minimizes jargon. However more sophisticated users will still find tips and insights of value. "
9781701801943,0
9781071167403,"RHINOCEROS 3D EXERCISESDo you want to learn how to design 2D and 3D models in your favorite Computer Aided Design (CAD) software such as Rhinoceros 3D, FUSION 360 or SolidWorks? Look no further. We have designed 200 3D CAD exercises that will help you to test your CAD skills.What's included in the RHINOCEROS 3D EXERCISES book?Whether you are a beginner, intermediate, or an expert, these 200 3D CAD exercises will challenge you. The book contains 200 3D models and practice drawings or exercises.-Each exercise contains images of the final design and exact measurements needed to create the design.-Each exercise can be designed on any CAD software which you desire. It can be done with AutoCAD, SolidWorks, Inventor, DraftSight, Creo, Solid Edge, Catia, NX and other feature-based 3D CAD modeling software.-It is intended to provide Drafters, Designers and Engineers with enough 3D CAD exercises for practice on Rhinoceros 3D.-It includes almost all types of exercises that are necessary to provide, clear, concise and systematic information required on industrial machine part drawings.-Third Angle Projection is intentionally used to familiarize Drafters, Designers and Engineers in Third Angle Projection to meet the expectation of worldwide Engineering drawing print.-This book is for Beginner, Intermediate and Advance CAD users.-Clear and well drafted drawing help easy understanding of the design.-These exercises are from Basics to Advance level.-Each exercises can be assigned and designed separately.-No Exercise is a prerequisite for another. All dimensions are in mm.PrerequisiteTo design & develop models, you should have knowledge of Rhinoceros 3D. Student should have knowledge of Orthographic views and projections. Student should have basic knowledge of engineering drawings."
9781523238811,"Blender 3D For Beginners: The Complete Guide aims to help get you started with using the free open-source 3D software Blender. You will learn the basics of nearly everything Blender has to offer. The book is aimed at the complete beginner of Blender and even beginners in the world of 3D graphics and animation. With 16 chapters and 115 pages in total, this book aims to explain the key components of Blender clearly and concisely and get you up to speed with Blender very quickly  The book is explained in a simple and easy-to-understand manner with minimal jargon. Furthermore, the book provides simple follow-along exercises that helps you get the practical experience you need which in turn helps you learn better. By the end of this book, you will begin to feel comfortable working with 3D projects within Blender alone and also get one step closer to your dream goal of one day making your own animated film  (or any other project that requires Blender) More specifically, in this book, you will learn about: - The Blender user interface - Navigating your way around Blender - 3D Modeling basics - Cycles shaders - Texturing and UV mapping - Lighting (as well as some basic lighting setups you can use right away) - Sculpting - Animation - Particles - Physics - Rendering - Using Blender as a Video Editor - Compositing Subscribe to the email list at ThilakanathanStudios.com to receive regular Blender for Beginner tutorials for free."
9781630574406,"Tutorial Guide to AutoCAD 2022 provides a step-by-step introduction to AutoCAD with commands presented in the context of each tutorial. In fifteen clear and comprehensive chapters, author Shawna Lockhart guides you through all the important commands and techniques in AutoCAD 2022, from 2D drawing to solid modeling and finally finishing with rendering. In each lesson, the author provides step-by-step instructions with frequent illustrations showing exactly what appears on the AutoCAD screen. Later, individual steps are no longer provided, and you are asked to apply what you've learned by completing sequences on your own. A carefully developed pedagogy reinforces this cumulative-learning approach and supports you in becoming a skilled AutoCAD user.Tutorial Guide to AutoCAD 2022 begins with three Getting Started chapters that include information to get readers of all levels prepared for the tutorials. The author includes tips that offer suggestions and warnings as you progress through the tutorials. Key Terms and Key Commands are listed at the end of each chapter to recap important topics and commands learned in each tutorial. Also, a glossary of terms and Commands Summary list the key commands used in the tutorials. Each chapter concludes with end of chapter problems providing challenges to a range of abilities in mechanical, electrical, and civil engineering as well as architectural problems."
9780831136550,"Vectors are perhaps the most important mathematical objects used in modeling and animation. They have the properties of magnitude and direction, and provide visual understanding of model construction and analysis. Matrices are natural and hardworking partners of vectors. This work presents lessons on vectors and matrices in geometric and 3D modeling--the mathematics at the foundation of computer graphics applications. The lessons appear as chapters, generally organized from introductory to more complex topics. Within each chapter, there is a similar order of elementary-to-advanced discussion.  Here are topics that are usually published in briefer form in more advanced texts as part of their supporting mathematics. In this work, vectors and matrices are the main subjects. This text offers an easier-to-understand introduction to the main ideas behind vectors and matrices, stripped of formalism, and leading directly to geometric modeling. It demonstrates the relationships between vectors, matrices, basis vectors and barycentric coordinates, all of which are not usually seen in ordinary texts. This text also discusses how these concepts are applied to produce curves and surfaces, and how they facilitate the analysis of spatial relationships.  For those readers beginning studies in geometric and 3D modeling, animation, CGI, or CAD/CAM, this work serves as an introduction to vectors and matrices, and provides a good start to understanding how they are applied. For instructors, this book can be a primary text or supplement to more advanced or specialized texts on geometric and 3D modeling. FeaturesMore than 150 illustrations support visual understanding of the content.100+ exercises and extended solutions enhance the classroom environment.A comprehensive range of topics offers an in-depth look at the math underlying 3D modeling and animation courses.Linear algebra and calculus are not prerequisites."
9780128231173,"Up and Running with AutoCAD 2021: 2D and 3D Drawing, Design and Modeling presents a combination of step-by-step instruction, examples and insightful explanations. The book emphasizes core concepts and practical application of AutoCAD in engineering, architecture and design. Equally useful in instructor-led classroom training, self-study, or as a professional reference, the book is written with the user in mind by a long-time AutoCAD professional and instructor."
9781789809152,"Learn 2D drawing and 3D modeling from scratch using AutoCAD 2021 and its more affordable LT version to become a CAD professionalKey Features  Explore the AutoCAD GUI, file format, and drawing tools to get started with CAD projects Learn to use drawing management tools for working efficiently on large projects Discover techniques for creating, modifying, and managing 3D models and converting 2D plans into 3D models  Book Description AutoCAD and AutoCAD LT are one of the most versatile software applications for architectural and engineering designs and the most popular computer-aided design (CAD) platform for 2D drafting and 3D modeling. This hands-on guide will take you through everything you need to know to make the most out of this powerful tool, starting from a simple tour of the user interface through to using advanced tools. Starting with basic drawing shapes and functions, you'll get to grips with the fundamentals of CAD designs. You'll then learn about effective drawing management using layers, dynamic blocks, and groups and discover how to add annotations and plot like professionals. The book delves into 3D modeling and helps you convert your 2D drawings into 3D models and shapes. As you progress, you'll cover advanced tools and features such as isometric drawings, drawing utilities for managing and recovering complex files, quantity surveying, and multidisciplinary drawing files using xRefs, and you'll learn how to implement them with the help of practical exercises at the end of each chapter. Finally, you'll get to grips with rendering and visualizing your designs in AutoCAD. By the end of the book, you'll have developed a solid understanding of CAD principles and be able to work with AutoCAD software confidently to build impressive 2D and 3D drawings. What you will learn  Understand CAD fundamentals using AutoCAD's basic functions, navigation, and components Create complex 3d solid objects starting from the primitive shapes using the solid editing tools Working with reusable objects like Blocks and collaborating using xRef Explore some advanced features like external references and dynamic block Get to grips with surface and mesh modeling tools such as Fillet, Trim, and Extend Use the paper space layout in AutoCAD for creating professional plots for 2D and 3D models Convert your 2D drawings into 3D models  Who this book is for The book is for design engineers, mechanical engineers, architects, and anyone working in construction, manufacturing, or similar fields. Whether you're an absolute beginner, student, or professional looking to upgrade your engineering design skills, you'll find this AutoCAD book useful. No prior knowledge of CAD or AutoCAD is necessary."
