書名,書籍網址,作者,出版社,ISBN,圖片網址
AWS實戰: 快速開發、建立、部署應用程式,https://www.eslite.com/product/1001120322811416,Aurobindo Sarkar/ Amit Shah,博碩文化股份有限公司,9789864344376,https://s.eslite.dev/Upload/Product/201912/l/637117363528772500.jpg
Effective DevOps: 使用AWS快速入門,https://www.eslite.com/product/1001120322744181,Nathaniel Felsen,博碩文化股份有限公司,9789864343744,https://s.eslite.dev/Upload/Product/201902/l/636858166530915000.jpg
Aws Certified Solutions Architect Professional All-In-One Exam Guide (Exam Sap-C01),https://www.eslite.com/product/1001294883196553,Joyjeet Banerjee,Ingram International Inc,9781260457124,0
Aws Certified: the Complete AWS cloud practitioner certification guide (CLF-C01) and AWS Certified Solutions Architect-Associate (SAA,https://www.eslite.com/product/1001294884344269,Jason Hoffman,Ingram International Inc,9781914138973,0
Aws Certified Solutions Architect Associate: Learn and Prepare for The Associate-Level AWS Certified Solutions Architect Exam (SAA-C02) One of The Ind,https://www.eslite.com/product/1001294884075493,Ryan Richman,Ingram International Inc,9781801134682,0
AWS Lambda程式設計: 用Java建立和部署無伺服器應用程式,https://www.eslite.com/product/1001133102682030834008,John Chapin/ Mike Roberts,美商歐萊禮股份有限公司台灣分公司,9789865027810,https://s.eslite.dev/upload/product/l/2682030834008/20210611034704935701.jpg
"Running Microsoft Workloads on Aws: Active Directory, Databases, Development, and More",https://www.eslite.com/product/1001294884345752,Ryan Pothecary,Ingram International Inc,9781484266274,0
Aws: The Most Complete Guide to Learn Step by Step Amazon Web Service,https://www.eslite.com/product/1001294884278266,Robert Campbell,Ingram International Inc,9781803061641,0
Aws: La guía de estudio completa para profesionales certificados en la nube para aprender los principios de AWS desde el ni,https://www.eslite.com/product/1001294884335511,Robert Campbell,Ingram International Inc,9781803061665,0
Aws: La guía de estudio completa para profesionales certificados en la nube para aprender los principios de AWS desde el ni,https://www.eslite.com/product/1001294884335581,Robert Campbell,Ingram International Inc,9781803061672,0
Aws: The Most Complete Guide to Learn Step by Step Amazon Web Service,https://www.eslite.com/product/1001294884335386,Robert Campbell,Ingram International Inc,9781803061658,0
Aws: Complete Guide Step-By-Step From Biginner to Advanced and Upgrade Your Business using Amazon Web Services (2020 Editio,https://www.eslite.com/product/1001294884318228,Freddy Hawkins,Ingram International Inc,9781802682410,0
Aws Certified Solutions Architect Associate: Lernen Sie und bereiten Sie sich auf die Associate-Level-Prüfung zum AWS Certified Solutions Architect (S,https://www.eslite.com/product/1001294883908729,Ryan Richman,Ingram International Inc,9781008965157,0
使用AWS在雲端建置Linux伺服器的20堂課,https://www.eslite.com/product/1001113692682006715003,山下光洋,碁峰資訊股份有限公司,9789865027827,https://s.eslite.dev/upload/product/l/2682006715003/20210421033036241172.jpg
Aws Certified Solutions Architect Study Guide with Online Labs: Associate Saa-C02 Exam,https://www.eslite.com/product/1001294884350636,Ben Piper ; David Clinton,Ingram International Inc,9781119819479,0
Aws Certified Data Analytics Study Guide with Online Labs: Specialty Das-C01 Exam,https://www.eslite.com/product/1001294884351089,Asif Abbasi,Ingram International Inc,9781119819455,0
Amazon Web Services: Apprendimento di Amazon Web Services (AWS). La guida introduttiva passo passo per il principiante e l'esperto,https://www.eslite.com/product/1001294883934264,Mark J. Lean,Ingram International Inc,9781801565738,0
Aws: The Guide to Becoming an Expert in Amazon Web Service,https://www.eslite.com/product/1001294883928074,Robert J. Brown,Ingram International Inc,9781801144988,0
Aws: The Ultimate Guide From Beginners To Advanced For The Amazon Web Services (2020 Edition),https://www.eslite.com/product/1001294883930703,Theo H. King,Ingram International Inc,9781513683843,0
AWS Certified Machine Learning Specialty MLS-C01 Certification Guide: The definitive guide to passing the MLS-C01 exam on the very first attempt,https://www.eslite.com/product/1001294884368137,Somanath Nanda ; Weslley Moura,Ingram International Inc,9781800569003,0
Aws Certified Security Specialty All-In-One Exam Guide (Exam Scs-C01),https://www.eslite.com/product/1001294884098671,Tracy Pierce ; Aravind Kodandaramaiah ; Alex Rosa,Ingram International Inc,9781260461725,0
"AWS for Solutions Architects: Design your cloud infrastructure by implementing DevOps, containers, and Amazon Web Services",https://www.eslite.com/product/1001294883864027,Alberto Artasanchez,Ingram International Inc,9781789539233,0
Aws Certified: Learn the secrets to passing the aws exams and getting all the certifications real and unique practice test included,https://www.eslite.com/product/1001294883846047,David Mayer,Ingram International Inc,9781802111309,0
Aws: The Ultimate Beginner's Guide to Learn and Master Amazon Web Services Tools with Detailed Programming Tips for Improvi,https://www.eslite.com/product/1001294883833722,Alex Clark,Ingram International Inc,9781801926652,0
Aws: The Ultimate Beginner's Guide to Learn and Master Amazon Web Services Tools with Detailed Programming Tips for Improvi,https://www.eslite.com/product/1001294883833695,Alex Clark,Ingram International Inc,9781801926638,0
Aws: The Ultimate Beginner's Guide to Learn and Master Amazon Web Services Tools with Detailed Programming Tips for Improvi,https://www.eslite.com/product/1001294883833710,Alex Clark,Ingram International Inc,9781801926645,0
"AWS for System Administrators: Build, automate, and manage your infrastructure on the most popular cloud platform - AWS",https://www.eslite.com/product/1001294883815391,Prashant Lakhera,Ingram International Inc,9781800201538,0
Aws Certified: 2 BOOKS IN 1: The ultimate clean sheet for aws cloud practitioner certification guide (CLF-C01) and aws certified solu,https://www.eslite.com/product/1001294883821831,Barry Adams,Ingram International Inc,9781801869058,0
Aws Certified Solutions Architect Associate Study Guide: The ultimate cheat sheet practice exam questions with answers and detailed explanations for t,https://www.eslite.com/product/1001294883847488,Barry Adams,Ingram International Inc,9781801869119,0
Aws Certified Cloud Practitioner Study Guide: The ultimate cheat sheet practice exam questions with answers and detailed explanations for the latest C,https://www.eslite.com/product/1001294883883101,Barry Adams,Ingram International Inc,9781801869089,0
Aws: Certified Cloud Practitioner Study Guide To Learn The Principles Of Aws And Discover Programming Tools And Functionali,https://www.eslite.com/product/1001294883835598,Robert Campbell,Ingram International Inc,9781801690362,0
Aws: Certified Cloud Practitioner Study Guide To Learn The Principles Of Aws And Discover Programming Tools And Functionali,https://www.eslite.com/product/1001294883823282,Robert Campbell,Ingram International Inc,9781801690348,0
Aws: Certified Cloud Practitioner Study Guide To Learn The Principles Of Aws And Discover Programming Tools And Functionali,https://www.eslite.com/product/1001294883823294,Robert Campbell,Ingram International Inc,9781801690355,0
Aws Certified Cloud Practitioner All-In-One Exam Guide (Exam Clf-C01),https://www.eslite.com/product/1001294883795307,Daniel Carter,Ingram International Inc,9781260473872,0
Aws Certified Security Study Guide: Specialty (Scs-C01) Exam,https://www.eslite.com/product/1001294883779034,Marcello Zillo Neto ; Gustavo A. a. Santana ; Fernando Sapata,Ingram International Inc,9781119658818,0
AWS Amazon Web Services: The Ultimate Guide For Beginners Intermediate and Experts,https://www.eslite.com/product/1001294883868393,A. W. S. Smith,Ingram International Inc,9781801560962,0
AWS Certified Solutions Architect Professional (SAP-C01) - Complete Exam Preparation: Pass your Exam on your 1st Try (Real Questions & Detailed Explan,https://www.eslite.com/product/1001294883854133,Georgio Daccache,Ingram International Inc,9798598649954,0
Aws: The Ultimate Amazon Web Services Guide From Beginners to Advanced,https://www.eslite.com/product/1001294883815147,Jeffrey Cloud,Ingram International Inc,9781801474207,0
"Aws Certified Solutions Architect Associate All-In-One Exam Guide, Second Edition (Exam Saa-C02)",https://www.eslite.com/product/1001294883866524,Joyjeet Banerjee,Ingram International Inc,9781260470185,0
"Aws: The Ultimate Step-by-Step Guide for Developer to Mastering Amazon Web Services, from Beginners to Advanced",https://www.eslite.com/product/1001294883766568,Neal Cloud,Ingram International Inc,9781801580274,0
Aws Certified Solutions Architect Study Guide: Associate Saa-C02 Exam,https://www.eslite.com/product/1001294883190481,David Clinton ; Ben Piper,Ingram International Inc,9781119713081,0
AWS Certified Cloud Practitioner Training Notes,https://www.eslite.com/product/1001294883931902,Neal Davis,Ingram International Inc,9798587389229,0
Aws Certified Data Analytics Study Guide: Specialty (Das-C01) Exam,https://www.eslite.com/product/1001294883189584,Asif Abbasi,Ingram International Inc,9781119649472,0
AWS Certified Solutions Architect Associate: The ultimate guide for the SAA-C02 exam,https://www.eslite.com/product/1001294883766665,Jonathan Anderson,Ingram International Inc,9791220077620,0
"AWS Penetration Testing: Beginner's guide to hacking AWS with tools such as Kali Linux, Metasploit, and Nmap",https://www.eslite.com/product/1001294883685579,Jonathan Helmus,Ingram International Inc,9781839216923,0
Aws Certified Developer Associate All-In-One Exam Guide (Exam Dva-C01),https://www.eslite.com/product/1001294883563104,Kamesh Ganesan,Ingram International Inc,9781260460179,0
