ISBN,書籍簡介
9789865022426,第一次學Android，不僅要上手，還要快速上手！ •基本概念上手：從基礎打底，強調工具、語言、MVC的View和Controller。 •基本動作上手：從第二版的8個基本動作，擴大成為第三版的12組，並獨立專章討論，力求熟練。 •複合技術上手：複數型元件處理、組織複數型資料；資料庫與線程則處理、組織複數型程式單元。 •區塊建構上手：以Android四大建構區塊（Building Blocks）講起，運用SDK工具的標準操作流程，建立正確的Android起步。 •傳感行為上手：涵蓋一般傳感、位置傳感和WiFi傳感，加入寓教於樂的「跑酷遊戲」案例，增加趣味。 •官方版型上手：挑選AndroidStudio共九個版型，如果加上第二章介紹的Android Library，可算湊足十個，加以說明。 •雲端服務上手：以雲端廣告、地圖和試算表為例，清楚展示谷歌雲端服務，快速上手。 •媒體串流上手：以多媒體應用和安卓電視為主題，示範安卓進階的ExoPlayer原生播放器，作廣而深的整合示範。
9789864768196,易學易用的編程指南全面解析Fragment用約束版面改變人生用Android定位服務來認路避免令人尷尬的Activity創造頂尖的服務悠遊於設計支援程式庫「如果你想要開發行動app，看這本書就對了！這本書簡直是最棒的Android開發書籍。」－－ Next plc軟體研發主管／Andy Parker「這肯定是最好的Android開發教學書籍，如果你只能選擇一本書，請絕對要挑它。」－－ Kousen IT公司總裁暨JavaOne Rock Star／Kenneth Kousen「《深入淺出Android開發》是位親切的導師，它用精準且趣味橫生的風格，指導你運用最新的模式打造下一個殺手級app，成為Android開發大師。」－－ Android學習者／Ingo Krotzky你將從本書學到什麼？如果你想要打造殺手級的Android app，這本全面修訂與翻新的書籍可以協助你立刻建構第一個有效運作的應用程式，你將學會如何建構app、設計靈活的互動介面、在幕後運行服務、讓app在各種智慧型手機和平板電腦上運行…等等。閱讀這本書，彷彿有位Android開發老手與你並肩作戰，你只要具備一些Java知識就可以使用它了！這本書為何如此與眾不同？我們認為你的時間寶貴，不應該浪費在與新概念周旋不下的窘境中。運用認知科學與學習理論的最新研究成果，精心建構出一段引發多重感知的學習體驗，《深入淺出Android開發》採取專為大腦運作而設計的豐富視覺化風格，而不是令你昏昏欲睡的冗贅敘述。
9789864341238,Learning Android Google MapsGoogle 地圖（Google Maps）是由 Google 公司所提供的強大地圖服務，而本書將指引你藉此建立出具豐富地圖功能、令人目不暇給的應用程式，讓你可以善加運用在交通運輸、倉儲物流及市場營銷等領域。章節內容從如何設定開發環境、取得 API 金鑰開始，接著詳細說明增加地圖標記點、圖層、以及資訊視窗等功能的方法。你將會逐步掌握各種地圖類型的自訂方式，並學習運用定位資料與街景服務（Google Street View）。本書將幫助你克服地圖程式的常見問題，輕鬆且快速地建立屬於自己的地圖應用程式。最後，你將親身體驗，如何製作一款真實可運作的 Android 地圖應用程式。◎你能夠從本書學習到‧製作地圖應用程式所需的開發環境設定。‧產生 SHA1 認證指紋、取得 API 金鑰，製作最基本的地圖應用程式。‧認識各種地圖類型並加以實作。‧於地圖中加入標記點、圖層、訊息視窗及各式形狀的方法。‧探索地圖互動性及手勢的運用。‧於地圖應用程式中變更相機檢視。‧取得即時的 GPS 定位資料。‧應用街景服務並使用 StreetViewPanorama。使‧用原廠的 Google 地圖應用程式，利用意圖（intent）來完成特定任務。‧整合所學知識，建立一款先進的 Google 地圖應用程式。◎適用讀者期望結合地圖功能於應用程式之中的 Android 開發者，即便是新進的 Android 開發者也能夠輕鬆融入本書教程。
9789863478546,"易學易用的編程指南設計暢銷app看Material Design如何改變你的生活探索Android定位服務征服令人困窘的activity掌握絕妙的開發觀念悠遊於Android支援程式庫『Android開發的完整入門指南，易讀易學，富含絕佳的範例與練習。』──Edward Yue Shung Wong (@arkangelofkaos)『毫無疑問，這是學習Android開發的最佳書籍，如果你只能有一本，選這本絕對沒錯。』──Kenneth KousenKousen IT公司主席，暨JavaOne Rock Star『成為有能力應用最新模式，並且打造出熱門app的Android開發者。在閱讀本書的過程中，彷彿有一位友善的開發老手親自指導你，不僅內容精確，且趣味橫生。』──Ingo Krotzky, Android學習者你將從本書學到什麼？若你有心打造殺手級的Android app，這本書將幫助你即刻建構出第一支有效運作的應用程式。你將學習如何實際組織你的app，設計介面，建立資料庫，讓你的app執行在各種智慧型手機、平板電腦與其他裝置上。閱讀本書的體驗就如同一位Android開發老手親自指導你，與你並肩作戰！你只需具備一點點Java知識。這本書為何如此與眾不同？我們認為你的時間寶貴，不應該浪費在與新概念周旋不下的窘境中。運用認知科學與學習理論的最新研究成果，精心建構出一段引發多重感知的學習體驗，《深入淺出Android開發》採取專為大腦運作而設計的豐富視覺化風格，而不是令你昏昏欲睡的冗贅敘述。 "
9789863476740,"實用且豐富的範例，內容涵蓋： ● Android 4.3 與 4.4● Android 開發工具與 Android Studio● 支援不同螢幕尺寸與解析度● 無障礙、國際化與繪圖● 活動、版塊、意圖與偏好設定● GUI、版面、選單、資源檔案、列表、接配器、事件、碰觸與手勢的處理● 全螢幕模式、列印框架、PrintHelper● 素材(影像、音訊)與視版動畫● 執行緒、Collections、SQLite 資料庫● 以內隱意圖實作社群分享● Google Play、App 的發行、訂價、營利、行銷以及 App 內置廣告與 App 內置付款等專業程式設計師適用的手機及平板 app 開發指南，使用 Android 4.3 與 4.4，及以 Eclipse 為基礎的 Android 開發工具與新版 Android Studio。目前從 Google Play 上下載應用程式的次數已超過十億次!本書提供的內容可讓讀者快速地開發出傑出的 Android 應用程式，並發佈到 Google Play 上。本書是使用「以應用程式為導向」的教學法，每一項新的技術會融入到七個經過完整測試的 Android app 當中來介紹，其中搭配著語法標示，將重要的程式碼標出，以漸進的方式帶您寫出程式並觀察範例的輸出。讀者即將參與開發的應用程式包括：‧Welcome‧小費計算機‧Twitter® 搜尋‧旗幟測驗‧加農砲遊戲‧塗鴉‧聯絡人Paul Deitel, Abbey Deitel 與 Harvey Deitel 任職於 Diesel & Associates 公司，這家公司是國際知名的程式語言編寫與企業訓練機構。全球已有數百萬人透過閱讀 Deitel 所出版的書籍、收看即時視訊訓練課程或查閱線上資源的方式來學習駕馭 Android app 開發、iOS app 開發、Java、C#、.NET、Visual Basic®、C++、Visual C++®、C、網際網路與網頁程式設計、JavaScript®、XML、Perl®、Python、PHP。"
9789864340439,“The best defense is a good offense” 
9789863472186,"用 Java 與 Eclipse 開發行動軟體“《Android 學習手冊》作者 Marko Gargenta 是位具有多年豐富經驗的專家級講師。現在您可以經由這本萃取自他 Android Bootcamp 訓練課程精華的書籍中獲益。本書可快速引領讀者通過 Android 編程的新手摸索期，深入探討 Services、Intents 與 Broadcast Receivers 等主題，讓讀者逐步掌握 Android 編程的精髓。”-Ed BurnetteHello, Android (Pragmatic Bookshelf) 作者想要開發 Android 應用程式嗎？本書是掌握基礎方法的最佳途徑。作者是 Android 平台的專家，具有在大型組織與新創公司教授數以百計的開發者，如何在這個行動平台上進行開發的經驗。這本簡單的入門書完整呈現了經驗豐富的物件導向式程式設計師們，如何運用 Android 基本的建構元件，進行建造使用者介面、儲存資料以及連接網路等工作的方法。跟著本書學習，循序漸進地在每個章節中加入新的功能，最終您將可建造出一套類似 Twitter 的應用程式。過程中，您也會建立起屬於自己的程式碼模式工具箱，讓您能輕鬆建立任何類型的 Android 應用程式。●熟悉 Android 平台並瞭解其能融入行動生態體系的因素●深入探討 Android 架構，包括其應用程式的框架與 APK 應用程式套件●學習 Android 的建構元件：Activities、Intents、Services、Content Providers 與 Broadcast Receivers●建立基本的 Android 使用者介面，並在 View 與 Layout 中安排 UI 元件●建立使用背景行程的 Service，用以更新應用程式的資料"
9789863121497,"第一次學 Android 程式設計時沒弄清楚的事就交給這本書吧！

Android 應用程式原本的設計就是要易於開發，只要參照範例，就可以輕鬆地作出各種應用程式。但是，一旦要開發自己原創的應用程式，往往會遇到搞不懂『為什麼』程式必須要這樣寫的狀況，因而在開發過程中半路卡住或多繞了遠路，甚至做不出自己想要的功能。本書中將以 Android 應用程式開發的基礎為主，將開發過程中您想問的各種『為什麼』利用 Java 和 Android 的範例程式加以說明。

‧Android 程式中無處不在的物件導向讓你頭痛？什麼是 override？什麼是 super 跟 this？什麼是 Inner class？什麼又是匿名 Inner Class？為什麼這段程式這樣寫？

‧一個 Android 專案為什麼有那麼多資料夾？為什麼有那麼多的檔案？什麼又是 XML？R 類別到底是怎麼跑出來的？明明畫面設計中有的元件在 R.java 中為什麼看不到？

‧有 ""@"" 符號出現的地方覺得很難懂？搞不清楚按鈕上的文字倒底定義在哪裡？什麼又是 MVC 架構？Activity 還有生命週期，它今年幾歲？

‧意圖 (Intent) 倒底是什麼？還分顯性、隱性？
‧針對第一次撰寫程式、第一次開發 Android 應用程式的新手，本書將詳細說明 Android 應用程式開發的整體流程。

‧對於 Java 入門書的內容，與 Android 應用程式開發之間的落差，本書將提供多個範例程式，解決您可能會遇到的疑惑。

‧對於習慣使用指令開發 Java 程式的人來說，可能會對整合式開發環境 Eclipse 感到困惑，本書也將說明有效利用 Eclipse 開發 Android 應用程式的技巧。"
9789862763995,本書讓您學會如何建構適用於手機與平板的最新使用者經驗，並徹底提升 Android 程式設計的速度。第二版內容更著重於 Android 工具與程式設計基礎，包括使用 Android 4 API 的最佳實務。如果您有使用過 Java 或 Objective-C 經驗，那麼便具備了建構優質應用程式的基礎知識。本書分成四個部分：‧第 1 部分幫助具備 Java 或 iOS 經驗的程式設計師能夠快速地熟悉 Android SDK ，並了解 Android 程式設計的基礎‧第 2 部分深入 Android 框架，著重在使用者介面和圖形類別階層、並行，以及資料庫等議題。這些扎實的基礎也有助於理解 Android 應用程式最重要的部分到底是如何運作的‧第 3 部分探討程式碼基本架構和設計樣式，以加速開發使用了 Web 資料以及 Android 4 使用者介面慣例和 API 的應用程式‧第 4 部分涵蓋 Android 的多媒體、搜尋、位置、感應器、帳戶 API、原生開發套件，可以讓開發人員加入一些進階的功能本書第二版著重在內容的深度與編排，更能夠幫助開發人員實作出成功的 Android 專案。
9789861993942,"「為Android開發跟iPhone有什麼不同呢？」
「用Android開發的功能，是否也能在iPhone中實現呢？」
APP手機開發者，跟著本書只要把這裡編寫成這樣就對了！

本書為你解開這些疑惑：iPhone與Android應用程式的開發工作、開發應用程式該具備哪些條件、要如何進行開發、到底要做出怎樣的東西…等問題，就讓我們趕快地來檢視一番吧！
‧建構開發環境：了解
‧開始進行專案開發作業
‧畫面的版面配置作業
‧畫面觸控處理、多點觸控作業
‧圖像的合成處理作業
‧圖像的放大‧縮小處理
‧簡單的執行緒處理
‧HTTP通訊處理
跨平台手機介面程式設計面面俱到，分別從iPhone及Android兩個系統將手機開發一次學會。"
