ISBN,書籍簡介
9781547416516," The introduction of online Bitcoin trading platforms has enabled Bitcoin to become mainstream in today's economy, making headline news with soaring valuations, and proving that the underlying Blockchain protocol can bring trust to a trustless world across a broad spectrum of industries and business processes. How Bitcoin and Blockchain Are Changing the World explains Bitcoin and other virtual currencies, the advantages and disadvantages of virtual currencies, using virtual currency for making transactions, why its value has dramatically fluctuated, and why other virtual currencies will take Bitcoin's place in the economic future. In addition, this book delves into the technical side of the Blockchain technology, including a discussion of the cryptographic technology protocol used for digital payments transmitted over the Internet.   Through illustrations and case studies, Marti Tirinnanzi discusses how and why different countries have adopted Bitcoin and other virtual currencies. This insightful book also examines money laundering and other legal and legislative issues attached to these virtual payments and discusses actions taken by government agencies to either supervise Bitcoin transactions, or use sovereign digital currencies to enhance efficiencies within federal and state treasuries. The book will help readers understand how Bitcoin and Blockchain are changing the approach to doing business in everything from financial services, healthcare, to the Internet of things (IoT). "
9783110690965,"Daniel Burgwinkel, St. Gallen.  "
9789811221521,"This textbook focuses on distributed ledger technology (DLT) and its potential impact on society at large. It aims to offer a detailed and self-contained introduction to the founding principles behind DLT accessible to a well-educated but not necessarily mathematically oriented audience. DLT allows solving many complicated problems arising in economics, banking, and finance, industry, trade, and other fields. However, to reap the ultimate benefits, one has to overcome some of its inherent limitations and use it judiciously. Not surprisingly, amid increasing applications of DLT, misconceptions are formed over its use. The book thoroughly dispels these misconceptions via an impartial assessment of the arguments rooted in scientific reasoning.Blockchain and Distributed Ledgers: Mathematics, Technology, and Economics offers a detailed and self-contained introduction to DLT, blockchains, and cryptocurrencies and seeks to equip the reader with an ability to participate in the crypto economy meaningfully."
9789811221514,"This textbook focuses on distributed ledger technology (DLT) and its potential impact on society at large. It aims to offer a detailed and self-contained introduction to the founding principles behind DLT accessible to a well-educated but not necessarily mathematically oriented audience. DLT allows solving many complicated problems arising in economics, banking, and finance, industry, trade, and other fields. However, to reap the ultimate benefits, one has to overcome some of its inherent limitations and use it judiciously. Not surprisingly, amid increasing applications of DLT, misconceptions are formed over its use. The book thoroughly dispels these misconceptions via an impartial assessment of the arguments rooted in scientific reasoning.Blockchain and Distributed Ledgers: Mathematics, Technology, and Economics offers a detailed and self-contained introduction to DLT, blockchains, and cryptocurrencies and seeks to equip the reader with an ability to participate in the crypto economy meaningfully."
9783030750244,"Ahmed Imteaj is currently a PhD Candidate and Graduate Assistant at the Knight Foundation School of Computing and Information Sciences, Florida International University, under the supervision of Professor M. Hadi Amini. He is also a research lab member of Sustainability, Optimization, and Learning for InterDependent networks laboratory (solid lab) at Florida International University. His research interests span federated learning, machine learning, internet of things (IoT), smart systems, and Blockchain. He holds a B.Sc. degree in Computer Science and Engineering from Chittagong University of Engineering and Technology (CUET), Bangladesh in 2015. From 2015 to 2018, he worked as a Lecturer at International Islamic University Chittagong (IIUC), Chittagong, Bangladesh. Ahmed's work on federated learning for IoT environments is the recipient of the best paper award from ""2019 IEEE Conference on Computational Science & Computational Intelligence"" and won the second place at 2021 Florida International University Graduate Student Appreciation Week. He has published more than 30 referred journals and conference papers.M. Hadi Amini is an Assistant Professor at School of Computing and Information Sciences at Florida International University. He is the director of Sustainability, Optimization, and Learning for InterDependent networks laboratory (www.solidlab.network). He received his Ph.D. in Electrical and Computer Engineering from Carnegie Mellon University in 2019, where he received his M.Sc. degree in 2015. He also holds a doctoral degree in Computer Science and Technology. Prior to that, he received M.Sc. degree from Tarbiat Modares University in 2013, and the B.Sc. degree from Sharif University of Technology in 2011. His research interests include distributed optimization and learning algorithms, distributed computing and intelligence, sensor networks, interdependent networks, and cyber-physical-social resilience. Application domains include smart cities, energy systems, transportation electrification, and healthcare. Prof. Amini is a member of ACM and IEEE, and life member of IEEE-Eta Kappa Nu (IEEE-HKN), the honor society of IEEE. He served as President of Carnegie Mellon University Energy Science and Innovation Club; as technical program committee of several IEEE and ACM conferences; and as the lead editor for a book series on ''Sustainable Interdependent Networks'' since 2017. He also serves as Associate Editor of SN Operations Research Forum and International Transactions on Electrical Energy Systems. He has published more than 100 refereed journal and conference papers, and book chapters. He edited/authored six books. He is the recipient of Excellence in Teaching Award from the School of Computing and information Sciences at Florida International University in 2020, the best paper award from 2019 IEEE Conference on Computational Science & Computational Intelligence"", best reviewer award from four IEEE Transactions, the best journal paper award in ""Journal of Modern Power Systems and Clean Energy"", and the dean's honorary award from the President of Sharif University of Technology. (Homepage: www.hadiamini.com Lab website: www.solidlab.network)Panos M. Pardalos serves as Distinguished Professor of Industrial and Systems Engineering at the University of Florida. Additionally, he is the Paul and Heidi Brown Preeminent Professor in Industrial & Systems Engineering. He is also an a_liated faculty member of the Computer and Information Science Department, the Hellenic Studies Center, and the Biomedical Engineering Program. He is also the Director of the Center for Applied Optimization. Dr. Pardalos is a world leading expert in global and combinatorial optimization. His recent research interests include network design problems, optimization in telecommunications, e-commerce, data mining, biomedical applications, and massive computing. He has co-authored and co-edited more than 30 books, as well as publishing more than 600 journal articles and conference proceedings. Prof. Pardalos is a Fellow of AAAS (American Association for the Advancement of Science), Fellow of American Institute for Medical and Biological Engineering (AIMBE), and EUROPT. He is a Distinguished International Professor by the Chinese Minister of Education; Honorary Professor of Anhui University of Sciences and Technology, China; Elizabeth Wood Dunlevie Honors Term Professor; Honorary Doctor, V.M. Glushkov Institute of Cybernetics of The National Academy of Sciences of Ukraine; Foreign Associate Member of Reial Academia de Doctors, Spain; and Advisory board member of the Centre for Optimisation and Its Applications, Cardi_ University, UK. He is also the recipient of UF 2009 International Educator Award; Medal (in recognition of broad contributions in science and engineering) of the University of Catani, Italy; EURO Gold Medal (EGM); Honorary Doctor of Science Degree, Wilfrid Laurier University, Canada; Senior Fulbright Specialist Award; University of Florida Research Foundation Professorship; and IBM Achievement Award."
9783110661149,"Blockchain and artificial intelligence are perhaps the two most significant disruptive technologies this century and both will significantly rewire the world of global financial markets and the world in which we live. While blockchain offers a number of significant advantages over traditional forms of finance including lower cost and massive increases in operational efficiencies of traded markets, property records and a whole host of transaction processes, artificial intelligence is moving fast from basic structured machine learning doing menial yet important big data tasks like credit card fraud detection to predictive analysis and real-time real-world risk management and investment decision making. There is still a lot of confusion in the market about cryptocurrencies, bitcoin and the underlying blockchain technology. Blockchain and Artificial Intelligence highlights the underlying technologies of blockchain and the differences between cryptocurrencies and blockchain financial applications. It explores the current AI offerings and gives a vision of the fast-moving developments in this area including the many solutions that are expected to revolutionize the way financial and commodity markets will operate in the future."
9781803572512,0
9781728404608,0
9789811236501,"Big data has been upgraded to our national strategy and has become a catalyst for national and local economic development. With the further promotion of big data and artificial intelligence (AI), the new business model needs to optimize and upgrade. The integration of the blockchain industry will fully implement the digital China strategy and promote the application of big data in China.This unique compendium gives a comprehensive understanding of the blockchain content through the path of technological innovation. It enables readers to fully understand the role of blockchain in promoting the digital economy.The volume will be a useful reference guide for relevant personnel in state ministries and commissions, state-owned enterprises, big data, AI, as well as teachers, researchers and students in higher education institutions."
9783030656904,"Dr. Tanupriya Choudhury received his bachelor's degree in CSE from West Bengal University of Technology, Kolkata, India, and master's Degree in CSE from Dr. M.G.R University, Chennai, India.He has received his PhD degree in the year 2016. He has Ten years experience in teaching as well as in Research. Currently he is working as an Associate Professor in dept. of CSE at UPES Dehradun. Recently he has received Global Outreach Education Award for Excellence in best Young researcher Award in GOECA 2018 His areas of interests include Human computing, Soft computing, Cloud computing, Data Mining etc.He has filed 14 patents till date and received 16 copyrights from MHRD for his own softwares.He has been associated with many conferences in India and abroad.He has authored more than 85 research papers till date.He has delivered invited talk and guest lecture in Jamia Millia Islamia University, Maharaja Agersen college of Delhi University, Duy Tan University Vietnam etc. He has been associated with many conferences throughout India as TPC member and session chair etc. He is a lifetime member of IETA, member of IEEE, and member of IET(UK) and other renowned technical societies. He is associated with Corporate and he is Technical Adviser of DeetyaSoft Pvt. Ltd. Noida, IVRGURU, and Mydigital360 etc.He is holding the post of Secretary in IETA (Indian Engineering Teacher's Association-India), He is also holding the Advisor Position in INDO-UK Confederation of Science, Technology and Research Ltd., London, UK and International Association of Professional and Fellow Engineers-Delaware-USA.  Abhirup Khanna is currently working as an Assistant Professor at the University of Petroleum and Energy Studies, India. He has authored numerous research publications in areas of Mobile Cloud Computing, Internet of Things, Blockchain Technology and Cloud Computing at Scopus and SCI-indexed international journals and conferences. He is the author for one of the first books written on Mobile Cloud Computing. Abhirup has been a part of various editorial committees for the likes of Elsevier, Springer, Wiley, and IEEE. Dr Teoh Teik Toe is a Senior Lecturer in the College of Business at Nanyang Business School. From the Nanyang Business School, Dr. Teoh has worked with A*STAR, SUTD and NTU for more than a decade and has published in more than 40 journals, conference papers and book chapters around the world including Europe, Japan, Korea and Australia. He is a director of listed company NTPM Berhad, and has been in the audit committee for more than 10 years, handling Accounting and Business-Related Functions as a Certified Public Accountant (CPA) and Certified Financial Analyst (CFA). He has a Doctor of Philosophy in Computer Engineering, Nanyang Technological University, Singapore, and a Doctor of Business Administration, University of Newcastle, Australia. Madhu Khurana is a Cyber Security Instructor and Cyber Security Researcher, with a strong technical understanding of networking, computing and cyber security. having achieved multiple degrees including a Pursuing Doctorate (PhD) in Cyber Security. She has an extensive flair of Research and writing, has published more than 15 Research Papers on Cyber Security and presented them at International Conferences. She has more than 15 years of experience in development and delivery of technical training and is certified by Microsoft in Python programming. Nhu Gia Nguyen received the PhD degree in Computer Science from Ha Noi University of Science- Viet Nam National University, Vietnam. Now, he is Dean of Graduate School- Duy Tan University, Viet Nam. He has over 15 years of experience in training management, implementing 14 projects to open undergraduate and graduate training professions. He has a total academic teaching experience of 19 years with more than 60 publications in reputed international conferences, journals and online book chapter contributions (Indexed By: SCI, SCIE, SSCI, Scopus, DBLP). His area of research includes: Network Communication, Security and Vulnerability, Network Performance Analysis and Simulation, Computational Intelligence. Recently, he has been the technique program committee, the technique reviews, the track chair for international conferences: FICTA 2014, ICICT 2015, INDIA 2015, IC3T 2015, INDIA 2016, FICTA 2016, IC3T 2016, IUKM 2016, INDIA 2017, FICTA 2017, FICTA 2018, INISCOM 2018, INISCOM 2019 under Springer-ASIC/LNAI Series. Presently he is Associate Editors of the International Journal of Synthetic Emotions (IJSE) and he authored 6 Computer Science books by Springer, IGI Global, CRC, Wiley Publication."
