ISBN,書籍簡介
9783030623500,"This textbook provides a comprehensive overview of the currently used concepts, approaches and technologies in the discovery and development of new treatments for the full spectrum of disorders of the central nervous system. It guides the reader through all essential steps, from finding an innovative idea, to the registration of a new drug.Divided into four sections, the book starts by presenting a broad perspective on current approaches in central nervous system (CNS) drug discovery. The second section addresses the generation of ideas for the identification of targets and novel treatment strategies; covers core functions in early discovery, and provides an example of a novel treatment paradigm: brain stimulation. The third section highlights strategies and technologies in translational CNS drug discovery. In an effort to bridge the gap between discovery and clinical development, it also covers brain imaging, EEG and cognitive testing approaches. The fourth section extensively discusses the clinical phase of drug development, covering the basics of early clinical testing for psychopharmacological drugs. The book's final chapter addresses the registration for newly developed drugs. Written by experts from academia and industry, the book covers important basics and best practices, as well as recent developments in drug discovery. Offering in-depth insights into the world of drug development, it represents essential reading for early researchers who want to prepare for a career in drug discovery in academia or industry."
9783662451588,"QUAN Wei: H-index 7 Main publications list: 1. Quan Wei, Fang Jiancheng etc. Hybrid simulation system study of SINS/CNS integrated navigation, IEEE A&E Systems Magazine, 2008, 23(2):17 24.2. Quan Wei, Fang Jiancheng. A star recognition method based on the adaptive ant colony algorithm for star sensors, Sensors, 2010, 10(3):1955 1966.3. Quan Wei, Fang Jiancheng, Zhang Weina. A method of optimization for the distorted model of star map based on improved genetic algorithm, Aerospace Science and Technology, 2011, 15(2):103 107.4. Quan Wei, Xu Liang, Fang Jiancheng. A New Star Pattern Recognition Algorithm based on Improved Hausdorff Distance, IEEE Transactions on AES, In press.5. Zhang Weina, Quan Wei, Guo Lei. Blurred Star Image Processing for Star Sensor in Dynamic Condition, Sensors, In press. 6. Wang Ziliang, Quan Wei. An All-sky autonomous star map identification algorithm, IEEE A&E Systems Magazine, 2004, 19:10 14.7. Quan Wei, Zhang Weina. Restoration of motion-blurred star image based on wiener filter, 2011 International Conference on Intelligent Computation Technology and Automation, 2011,3 Vol.II, 691-694 8. Quan Wei, Fang Jiancheng, Guo Lei. An adaptive segmented information fusion method for the attitude determination of nano-spacecrafts, Proceedings of SPIE -Seventh International Symposium on Instrumentation and Control Technology, 2008, 7129:2G9. Quan Wei, Fang Jiancheng. An adaptive federated filter algorithm based on improved GA and its application, Proceedings of SPIE - Signal Analysis, Measurement Theory, Photo-Electronic Technology, and Artificial Intelligence, 2006, 6357:5C10. Quan Wei, Fang Jiancheng. Hardware in-the-loop simulation of celestial navigation system, Collection of Technical Papers - AIAA Modeling and Simulation Technologies Conference, 2005, 426-429 Research Interest: 1.INS/CNS, INS/CNS/GNSS integrated navigation system technology for airplane or missile.2.Gyro/Star sensor, Gyro/Celestial sensor/Magnetometer multi-sensors integrated attitude determination system technology.3.Star sensor system technology based on CMOS APS.4.Star map processing technology including denoising, distort correcting, centroiding, recognizing, etc.5.Advanced filtering method based on intelligent algorithm.6.Deep space exploration payload technology.7.Atom magnetometer and atom spin gyro technology."
9789576784989,本工作手冊是根據民國96年修訂之「圖書館統計」（CNS13151：2007）並參考國際標準組織之圖書館統計標準（ISO 2789：2007）編製而成，主要目的在提供圖書館從事統計工作標準化時，對「圖書館統計」的標準（CNS 13151）的內涵，能有更清晰的了解。
9798550527627,"You can expand your clinical practice into a thriving, flexible health coaching service Do you dream of having a thriving health coaching practice, but are worried that your professional healthcare license, such as in physical or occupational therapy, nursing, nutrition or dietetics, medicine, chiropractic, or acupuncture will limit your ability to practice? Are you worried that you don't know enough about nutrition and lifestyle medicine to create an effective, professional, and integrative practice? Are you worried that you won't be taken seriously or look unprofessional as a health coach? Are you worried that people won't pay for health coaching?If you're serious about helping women to achieve root cause healing - physically, emotionally, and spiritually - and you want to build a thriving, financially successful coaching practice that makes a positive impact on global women's health, Clinician to Coach is for you. In it, bestselling author, prominent speaker, and founder of The Integrative Women's Health Institute, Dr. Jessica Drummond, DCN, CNS, PT, NBC-HWC will teach you: The communication skills you need to be a professional health coach with a clear scope of practiceThe functional nutrition skills you need for root cause healing of common women's health concerns, including pelvic and period pain, hormone imbalances, fatigue, postpartum or surgical recovery, fertility, female athlete health, perimenopause, and moreThe steps to build a successful health coaching practice in months, not years, even if you have no marketing skills, fear public speaking, or hate social mediaThe strategies you need to transition from the clinical mindset to a coaching mindsetThe biggest mistakes clinicians-turned-health coaches make, and how to avoid themGrab your copy today and get started on a path to a fulfilling and lucrative career as a professional health coach."
9780785838029,"The Anti-Inflammatory Action Plan is your guide to understanding inflammation and how you can incorporate anti-inflammatory foods into your everyday diet.Cut your finger accidentally and the area will swell, redden, and heat up. This type of acute inflammatory response is the body's reaction to trauma, and it's an essential part of the healing process. But inflammation can be harmful when it hangs around too long and refuses to leave. When the inflammation switch refuses to turn off, the body operates as if it is always under attack (the older we get, the more likely this is to happen). White blood cells flood the system for weeks, months, and even years.Researchers are now linking low-grade, persistent inflammation to premature aging, heart disease, M.S., diabetes, Alzheimer's, psoriasis, arthritis, and cancer. While anti-inflammatory drugs do exist, they can injure the stomach or suppress the immune system. Fortunately, the situation can be remedied by a change in diet, specifically by altering the kinds of fats you eat. Omega-3 fatty acids tend to decrease inflammation while omega-6 fats and trans-fats increase inflammation. While many foods in the standard American diet (unrefined white flour, sugar, red meat, dairy, fast food, and food additives) exacerbate inflammation, a healthy diet made up of fish, nuts, seeds, oils, lean grass-fed meats, and fruits and vegetables can help lessen or prevent inflammation. Likewise, certain spices such as turmeric, cloves, and ginger have proven anti-inflammatory properties.  Reduce and prevent inflammation with these delicious dishes: Pecan Date Bread with CurrantsSouthern Spiced PeachesBlack Bean Burritos with Avocado and MangoCaramelized Onion Pizza with Basil and Pine NutsThai-Style Fish and Seafood ChowderCitrus Pecan Chicken SaladDark Chocolate Strawberry Shortcake"
9789864302055,基本圖學是「設計」相關領域的基本功，而「設計」是一種複雜的綜合性工作，尤其設計工作有越來越走向整體性的趨勢，每一個領域的設計者常常必須跨越界限工作，所以不能不擴大其表現的技術範圍，此處所指之「綜合性」，意味著設計者要有「綜合性的涵養」，並能做「綜合性的應用」。　　本書對於綜合性設計（如工業設計、產品設計、美術公藝設計…等等）之圖學課程，做較合理與適切的安排，且內容淺顯順暢、習題由淺至深循序漸進的安排，使學習者能快速累積實力，達到事半功倍之效；以期從事設計工作者在學習之初，不會因為課程偏於制式化難讀難懂之情況下，而放棄其設計生涯，並能具備成為一位設計師所應有之基本理念與涵養。　　本書各章習題不提供解答，自學讀者選購時請留意，出版社和銷售單位均無法提供解答。　　第四版將在書末收錄了最新的全國技術士技能檢定丙級機械製圖題庫，並提供解答，以增加學習者之圖學常識，並將書中範例題目汰舊更新。
9781502506948,"Kids Alive! Support for Children of Parents with Cancer serves children ages six to seventeen struggling to cope with a parent's cancer diagnosis and treatment. The support group provides a safe environment where children can express their feelings and facilitates better relationships between cancer patients and their families, free from guilt and anxiety. Madelyn Case, PhD; Jeanne Currey, RN, MN, CNS; and Lorraine Hard, PhD, are codirectors of the Kids Alive! support group. All three have extensive experience working with children in clinical settings. "
9789864124923,0
9789575842833,0
9789575127626,0
9789575123178,0
9789579311113,0
9789575363567,0
,0
,CNS一等米｜珍貴晶鑽二水米禮盒// 進入人心的聯繫情感，道地的最對味 //優質的生態環境，孕育出驕傲的台灣米--三光米 秉持善良的心，真誠對待食物，每一粒米，是百位農民的心血。擁有自己的碾米廠，傳承稻米真誠的靈魂模擬日曬保質，15℃儲鮮，現碾現包配送這份珍貴的心意傳送給每位人們的手上。
