ISBN,書籍簡介
9781951139698,0
9781976181535,0
9781946571014,"The CATIA V5-6R2015: Sheet Metal Design  student guide enables students to create features that are specific to the sheet metal modeling process. Students are provided with a process-based approach to creating sheet metal models. Each step in the process is discussed in depth using lectures and several hands-on practices. This student guide focuses on the Generative Sheet Metal Design workbench.Topics Covered  Generative Sheet Metal Design workbenchSheet Metal terminologySheet Metal processSheet Metal parametersPrimary wall creation - Profile, Extruded, Rolled, and HopperDefining wallsSecondary walls - Wall on edge (automatic and sketch based), Tangent, SweptCylindrical bendsBends from flatUnfolded viewCorner reliefPoint and curve mappingCreating standard stamps - surface stamp, bead, curve stamp, flanged cutout, louver, bridge, flanged hole, circular stamp, stiffening rib, dowelPunch and diePunch with Opening FacesSheet Metal features - Corners, chamfers, cuts and holesFeature duplicationPatterning - rectangular patterns, circular patternsUser patternsConverting a solid part to sheet metalOutput to DXF and drawing Prerequisites CATIA V5-6 R2015: Introduction to Modeling"
9781542377881,0
9781942689218,0
9781506169514,"Are you tired of repeating those same time-consuming CATIA processes over and over? Worn out by thousands of mouse clicks? Don't you wish there were a better way to do things? What if you could rid yourself those hundreds of headaches by teaching yourself how to program macros while impressing your bosses and coworkers in the process? VB Scripting for CATIA V5 is the most complete guide to teach you how to write macros for CATIA V5  Through a series of example codes and tutorials you'll learn how to unleash the full power and potential of CATIA V5. No programming experience is required  This text will cover the core items to help teach beginners important concepts needed to create custom CATIA macros. More importantly, you'll learn how to solve problems and what to do when you get stuck. Once you begin to see the patterns you'll be flying along on your own in no time. Visit http: //www.scripting4v5.com to see what readers are saying, like: ""I have recently bought your book and it amazingly helped my CATIA understanding. It does not only help you with macro programming but it helps you to understand how the software works which I find a real advantage."""
9781500923174,"CATIA V5 Tips and Tricks by Emmett Ross contains over 70 tips to improve your CATIA design efficiency and productivity  If you've ever thought to yourself ""there has to be a better way to do this,"" while using CATIA V5, then know you're probably right. There probably is a better way to complete your tasks you just don't know what it is and you don't have time to read a boring, expensive, thousand page manual on every single CATIA feature. If so, then CATIA V5 Tips and Tricks is for you. No fluff, just CATIA best practices and time savers you can put to use right away. From taming the specification tree to sketching, managing large assemblies and drawings, CATIA V5 Tips and Tricks will save you time and help you avoid common stumbling blocks."
9780071800020,"Publisher's Note: Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product.Write powerful, custom macros for CATIA V5CATIA V5 Macro Programming with Visual Basic Script shows you, step by step, how to create your own macros that automate repetitive tasks, accelerate design procedures, and automatically generate complex geometries. Filled with full-color screenshots and illustrations, this practical guide walks you through the entire process of writing, storing, and executing reusable macros for CATIA(R) V5. Sample Visual Basic Script code accompanies the book's hands-on exercises and real-world case studies demonstrate key concepts and best practices. Coverage includes: CATIA V5 macro programming basics Communication with the environmentElements of CATParts and CATProducts2D wireframe geometry3D wireframe geometry and surfacesSolid featuresObject classesVBScript commands"
9789578755833,本書介紹CATIA V5的線架構與曲面設計（Wirefram & Surface Design）、自由造型（FreeStyle）、曲面模型（Wireframe and Surface Design）、數位曲面編輯（Digital Shape Editor）與寫真攝影（Photo Studio）等五單元。線架構與曲面造型能力設計單元與自由造型單元，提供強大的曲面與曲線造型能力，數位曲面編輯單元提供逆向工程所需的功能，寫真攝影單元更針對視角、燈光加以介紹，可輸出亮麗的產品圖形，為物件再創造另外一種視覺風貌。本書並且詳細介紹CATIA V5所使用的曲線、曲面模型之數學理論基礎，使理論與實際應用能互相搭配，達到相輔相成之效，對於進階使用者極具參考價值。
9789869447256,CATIA軟體的功能龐大，有基本CAD軟體中3D繪圖與組裝功能，還有概念設計，與產品組裝模擬，更具備產品上市後的版本更新、設計變更。在CATIA V5軟體中，能夠很完整提供許多問題的解決方案，設計人員可以得心應手在同一個平台上，完成整個產品的開發流程。透過本書介紹的CATIA產品功能定義（Product Function Definition）與產品功能最佳化（Product Function Optimization）模組，可幫助使用者進行產品的概念設計。同時可利用CATIA的建模功能（參考本系列叢書第一冊與第二冊），繪製產品外型。在繪製過程，利用本書介紹的知識軟體（Knowledge Ware），將設計產品的相關知識加以累積應用，再利用數位化產品模型（Digital Mock-Up），在CATIA V5中進行產品的機構動作、組裝分析，並透過應力分析（FEA），分析產品的力學性能。本書完整地涵蓋整個產品設計前段與後段流程，對於進階使用者，助益更大。■　本書介紹CATIA 軟體的知識模組（Knowledge）、數位化產品模型（Digital Mock-Up）與應力分析（FEA）三個重要模組。■　內容涵蓋了產品設計前段與後段流程，對於進階使用者將有很大的幫助。 ■　基本操作方式講解詳細，讓使用者輕鬆掌握使用訣竅。■　Step-by-Step方式撰寫，對於每一項功能皆有詳細使用步驟，不但適合初學者入門，更適合作為參考手冊使用。■　各章均有範例檔案，方便使用者參考。
9789868643543,"本書對於CATIA V5機械設計模組（Mechanical Design）的常用單元皆有詳盡介紹，從熟悉基本使用環境開始，再依序介紹2D草圖繪製、3D實體建構、3D零件組裝，以及工程圖製作的各項功能，分別對應草圖（Sketch）、零件設計（Part Design），組裝設計（Assembly Design）與工程圖（Drafting）等單元。本書並且完整介紹CATIA V5的環境設定選項，對於進階使用者極具參考價值。 
◎基本操作方式講解詳細，讓使用者輕鬆掌握使用訣竅。 ◎Step－by－Step方式撰寫，對於每一項功能皆有詳細的使用步驟，不但適合初學者入門，更適合作為參考手冊使用。 ◎各章末均附範例，將該章所有功能進行整合運用，以利使用者學習。 ◎易習圖書讀者回娘家，好禮送給您，購買書籍寄回【讀者回函】，立即免費送給您價值399元起，影音教學DVD第一品牌【多媒體學園-互動式多媒體影音教學DVD】可任意挑選要學習的品項，詳細活動內容請參閱【讀者回函】內頁。 ◎附書光碟內容︰範例練習檔 "
9789866551956,"本書介紹CATIA V5的線架構與曲面設計（Wirefram & Surface Design）、自由造型（FreeStyle）、曲面模型（Wireframe and Surface Design）、數位曲面編輯（Digital Shape Editor）與寫真攝影（Photo Studio）等五單元。線架構與曲面造型能力設計單元與自由造型單元，提供強大的曲面與曲線造型能力，數位曲面編輯單元提供逆向工程所需的功能，寫真攝影單元更針對視角、燈光加以介紹，可輸出亮麗的產品圖形，為物件再創造另外一種視覺風貌。本書並且詳細介紹CATIA V5所使用的曲線、曲面模型之數學理論基礎，使理論與實際應用能互相搭配，達到相輔相成之效，對於進階使用者極具參考價值。 
易習圖書讀者回娘家，好禮送給您，購買書籍寄回【讀者回函】，立即免費送給您價值399元起，影音教學DVD第一品牌【多媒體學園-互動式多媒體影音教學DVD】可任意挑選要學習的品項，詳細活動內容請參閱【讀者回函】內頁。 
•基本操作方式講解詳細，讓使用者輕鬆掌握使用訣竅。 •Step-by-Step方式撰寫，對於每一項功能皆有詳細的使用步驟，不但適合初學者入門，更適合作為參考手冊使用。 •各章節均附有範例檔案，以利使用者參考。 "
