ISBN,書籍簡介
9781680506969,"Whether you want to automate tasks, analyze data, parse logs, talk to network services, or address other systems requirements, writing your own command-line tool may be the fastest - and perhaps the most fun - way to do it. The Go programming language is a great choice for developing tools that are fast, reliable, and cross-platform. Create command-line tools that work with files, connect to services, and even manage external processes, all while using tests and benchmarks to ensure your programs are fast and correct. When you want to develop cross platform command-line tools that are fast and reliable, use Go, a modern programming language that combines the reliability of compiled languages with the ease of use and flexibility of dynamic typed languages. Work through practical examples to develop elegant and efficient tools by applying Go's rich standard library, its built in support for concurrency, and its expressive syntax. Use Go's integrated testing capabilities to automatically test your tools, ensuring they work reliably even across code refactoring. Develop CLI tools that interact with your users by using common input/output patterns, including environment variables and flags. Handle files to read or persist data, and manipulate paths consistently in cross-platform scenarios. Control processes and handle signals, and use a benchmark driven approach and Go's concurrency primitives to create tools that perform well. Use powerful external libraries such as Cobra to create modern and flexible tools that handle subcommands, and develop tools that interact with databases, APIs, and network services. Finally, leverage what you learned by tackling additional challenges at the end of each chapter. What You Need:  Go 1.8 or higher, an internet connection to download the example files and additional libraries, and a text editor to write your programs."
9781914462399,"If you are interested in learning more about Linux, then keep reading...Linux is a technical topic, and is especially difficult to grasp for a beginner. Learning a new operating system, command lines, and a new environment to work on and deal with every day can be frustrating. But, it's possible to simplify this process with a step-by-step approach.Here you are going to learn: The basics of LinuxHow to install itBasic command lines you'll use oftenExercises to get started and improve your knowledge FAQCan I start programming after reading this book?Yes. This book includes basics command lines to start programming even as a beginner.Are there many technical concepts to learn about?This book includes all the basics about Linux in a simplified and easy-to-understand manner.Does this book have a focus on practical application?Yes,  the book includes many exercises to practice and improve your skills in Linux programming.SCROLL UP AND CLICK ON THE ""BUY NOW"" BUTTON"
9781801792592,"Has it occurred to you that Linux is in everything we use, from your smartphone to your vehicle, and even computer? Have you been thinking of using Linux but scared of how to get started with it? Okay, what if you can get all the information you need inside this book, and before this weekend, you are exploiting different distributions of Linux on your computer? What if you can have a quick grasp of the Linux operating system and how it works? This book discusses the meaning of the Linux operating system. Also, it presents some other tips and guidelines to make navigating the Linux command-line smoother, easier, and quicker. With its easy-to-use, step-by-step approach, it takes you from the beginning to some basic and advanced shell commands.You will learn how to install Linux, some fundamental Linux shell commands, how to write the script, with several guidelines, examples, and tips. What you will find inside this book  Why you need to use Linux even when your computer's operating system is working perfectlyHow to install Vmware Workstation Player How you can manage users and groups as a Linux administratorWhat is the Linux file system and file system hierarchy standardHow you can work with the disk, data files, media, and Linux data manipulationWhat are the Linux directory management commands and how you can create and manage directories as well as Linux file permissionsWhat are the Linux terminals, editors, and shell, text editors for Linux desktopWhat are the underlying Linux shell commandsShell scriptingThe basics and advanced commands of the bash shell.Plus, tons of tips and examples on everything you need to know about Linux command-line and your experience with Linux will not remain the same again.If you'd like to know everything about shell scripting, and all information about Linux directory structures, terminals, and editors, then do it now with this book!Buy it NOW and let your customers get addicted to this amazing book!"
9781801792585,"Has it occurred to you that Linux is in everything we use, from your smartphone to your vehicle, and even computer? Have you been thinking of using Linux but scared of how to get started with it? Okay, what if you can get all the information you need inside this book, and before this weekend, you are exploiting different distributions of Linux on your computer? What if you can have a quick grasp of the Linux operating system and how it works? This book discusses the meaning of the Linux operating system. Also, it presents some other tips and guidelines to make navigating the Linux command-line smoother, easier, and quicker. With its easy-to-use, step-by-step approach, it takes you from the beginning to some basic and advanced shell commands.You will learn how to install Linux, some fundamental Linux shell commands, how to write the script, with several guidelines, examples, and tips. What you will find inside this book  Why you need to use Linux even when your computer's operating system is working perfectlyHow to install Vmware Workstation Player How you can manage users and groups as a Linux administratorWhat is the Linux file system and file system hierarchy standardHow you can work with the disk, data files, media, and Linux data manipulationWhat are the Linux directory management commands and how you can create and manage directories as well as Linux file permissionsWhat are the Linux terminals, editors, and shell, text editors for Linux desktopWhat are the underlying Linux shell commandsShell scriptingThe basics and advanced commands of the bash shell.Plus, tons of tips and examples on everything you need to know about Linux command-line and your experience with Linux will not remain the same again.If you'd like to know everything about shell scripting, and all information about Linux directory structures, terminals, and editors, then do it now with this book!Buy it NOW and let your customers get addicted to this amazing book!"
9781801792608,"Has it occurred to you that Linux is in everything we use, from your smartphone to your vehicle, and even computer? Have you been thinking of using Linux but scared of how to get started with it? Okay, what if you can get all the information you need inside this book, and before this weekend, you are exploiting different distributions of Linux on your computer? What if you can have a quick grasp of the Linux operating system and how it works? This book discusses the meaning of the Linux operating system. Also, it presents some other tips and guidelines to make navigating the Linux command-line smoother, easier, and quicker. With its easy-to-use, step-by-step approach, it takes you from the beginning to some basic and advanced shell commands.You will learn how to install Linux, some fundamental Linux shell commands, how to write the script, with several guidelines, examples, and tips. What you will find inside this book  Why you need to use Linux even when your computer's operating system is working perfectlyHow to install Vmware Workstation Player How you can manage users and groups as a Linux administratorWhat is the Linux file system and file system hierarchy standardHow you can work with the disk, data files, media, and Linux data manipulationWhat are the Linux directory management commands and how you can create and manage directories as well as Linux file permissionsWhat are the Linux terminals, editors, and shell, text editors for Linux desktopWhat are the underlying Linux shell commandsShell scriptingThe basics and advanced commands of the bash shell.Plus, tons of tips and examples on everything you need to know about Linux command-line and your experience with Linux will not remain the same again.If you'd like to know everything about shell scripting, and all information about Linux directory structures, terminals, and editors, then do it now with this book!Buy it NOW and let your customers get addicted to this amazing book!"
9781801792615,"Has it occurred to you that Linux is in everything we use, from your smartphone to your vehicle, and even computer? Have you been thinking of using Linux but scared of how to get started with it? Okay, what if you can get all the information you need inside this book, and before this weekend, you are exploiting different distributions of Linux on your computer? What if you can have a quick grasp of the Linux operating system and how it works? This book discusses the meaning of the Linux operating system. Also, it presents some other tips and guidelines to make navigating the Linux command-line smoother, easier, and quicker. With its easy-to-use, step-by-step approach, it takes you from the beginning to some basic and advanced shell commands.You will learn how to install Linux, some fundamental Linux shell commands, how to write the script, with several guidelines, examples, and tips. What you will find inside this book  Why you need to use Linux even when your computer's operating system is working perfectlyHow to install Vmware Workstation Player How you can manage users and groups as a Linux administratorWhat is the Linux file system and file system hierarchy standardHow you can work with the disk, data files, media, and Linux data manipulationWhat are the Linux directory management commands and how you can create and manage directories as well as Linux file permissionsWhat are the Linux terminals, editors, and shell, text editors for Linux desktopWhat are the underlying Linux shell commandsShell scriptingThe basics and advanced commands of the bash shell.Plus, tons of tips and examples on everything you need to know about Linux command-line and your experience with Linux will not remain the same again.If you'd like to know everything about shell scripting, and all information about Linux directory structures, terminals, and editors, then do it now with this book!Buy it NOW and let your customers get addicted to this amazing book!"
9781119700913,"Advance your understanding of the Linux command line with this invaluable resource  Linux Command Line and Shell Scripting Bible, 4th Edition is the newest installment in the indispensable series known to Linux developers all over the world. Packed with concrete strategies and practical tips, the latest edition includes brand-new content covering:   Understanding the Shell  Writing Simple Script Utilities  Producing Database, Web & Email Scripts  Creating Fun Little Shell Scripts   Written by accomplished Linux professionals Christine Bresnahan and Richard Blum, Linux Command Line and Shell Scripting Bible, 4th Edition teaches readers the fundamentals and advanced topics necessary for a comprehensive understanding of shell scripting in Linux. The book is filled with real-world examples and usable scripts, helping readers navigate the challenging Linux environment with ease and convenience.  The book is perfect for anyone who uses Linux at home or in the office and will quickly find a place on every Linux enthusiast's bookshelf."
9781914092190,0
9781683925040,0
9781673712551,0
