書名,書籍網址,作者,出版社,ISBN,圖片網址
Multirate Signal Processing for Communication Systems,https://www.eslite.com/product/1002150171524037,"Harris, Fredric J.",PRENTICE HALL,9780131465114,0
Discrete Communication Systems,https://www.eslite.com/product/1001294883947786,Stevan Berber,Ingram International Inc,9780198860792,0
Wireless Communication Systems: Design and Implementation,https://www.eslite.com/product/1001294884264916,,Ingram International Inc,9781632387165,0
Wireless Communication Systems in Matlab: Second Edition (Black & White Print),https://www.eslite.com/product/1001294883841065,Mathuranathan Viswanathan,Ingram International Inc,9798648523210,0
Wireless Communication Systems in Matlab: Second Edition (Color Print),https://www.eslite.com/product/1001294883134736,Mathuranathan Viswanathan,Ingram International Inc,9798648350779,0
Digital Communication Systems (22428),https://www.eslite.com/product/1001294883549546,Pratibhad Mrs Kulkarni,Ingram International Inc,9789388706506,0
Digital Communication Systems Engineering with Software-Defined Radio,https://www.eslite.com/product/1001294884369420,Alexander M. Wyglinski,Ingram International Inc,9781608075256,0
"Digital Communication Systems Using MATLAB and Simulink, Second Edition",https://www.eslite.com/product/1001294883341028,,Ingram International Inc,9781589096219,https://s.eslite.dev/upload/ean/9781589096219.jpg
Fiber-Optic Communication Systems,https://www.eslite.com/product/1001294884378206,Govind P. Agrawal,Ingram International Inc,9781119737360,0
Blockchain Systems and Communication Networks: From Concepts to Implementation,https://www.eslite.com/product/1001294883992092,Mubashir Husain Rehmani,Ingram International Inc,9783030717872,0
Electronic Communication Systems,https://www.eslite.com/product/1001294884306533,,Ingram International Inc,9781682857700,0
Intelligent Computing and Communication Systems,https://www.eslite.com/product/1001294883981861,,Ingram International Inc,9789811612947,0
Multirate Signal Processing for Communication Systems,https://www.eslite.com/product/1001294883776151,Fredric J. Harris,Ingram International Inc,9788770222105,0
Modern Digital Radio Communication Signals and Systems,https://www.eslite.com/product/1001294883479944,Sung-Moon Michael Yang,Ingram International Inc,9783030577056,0
Marshall McLuhan - The Theorist Who Challenged Mass Communication Systems - Canadian History for Kids - True Canadian Heroes,https://www.eslite.com/product/1001294883734576,Professor Beaver,Ingram International Inc,9780228236009,0
"Computer Networking All in One: The Complete Guide to Understanding Wireless Technology, Network Security and Mastering Communication Systems. Include",https://www.eslite.com/product/1001294883693959,Norman Laurence,Ingram International Inc,9781914203213,0
"Computer Networking All in One: The complete guide to understanding wireless technology, network security and mastering communication systems. Include",https://www.eslite.com/product/1001294883641349,Norman Laurence,Ingram International Inc,9781914203084,0
Computer Networking and Communication Systems,https://www.eslite.com/product/1001294884266290,,Ingram International Inc,9781632409485,0
