書名,書籍網址,作者,出版社,ISBN,圖片網址
Computer Vision Using Deep Learning: Neural Network Architectures with Python and Keras,https://www.eslite.com/product/1001294883799895,Vaibhav Verdhan,Ingram International Inc,9781484266151,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XVIII",https://www.eslite.com/product/1001294883648725,,Ingram International Inc,9783030585228,0
Biological and Computer Vision,https://www.eslite.com/product/1001294883757345,Gabriel Kreiman,Ingram International Inc,9781108705004,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XI",https://www.eslite.com/product/1001294884271691,,Ingram International Inc,9783030586201,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XIX",https://www.eslite.com/product/1001294883492617,,Ingram International Inc,9783030585280,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XIII",https://www.eslite.com/product/1001294883479137,,Ingram International Inc,9783030586003,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XX",https://www.eslite.com/product/1001294884271688,,Ingram International Inc,9783030585648,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XXII",https://www.eslite.com/product/1001294883492619,,Ingram International Inc,9783030585419,0
"Computer Vision, Pattern Recognition, Image Processing, and Graphics: 7th National Conference, Ncvpripg 2019, Hubballi, India, December 22-24, 2019, R",https://www.eslite.com/product/1001294882998644,,Ingram International Inc,9789811586965,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XXV",https://www.eslite.com/product/1001294884271844,,Ingram International Inc,9783030585945,0
Computer Vision for Microscopy Image Analysis,https://www.eslite.com/product/1001294883036259,,Ingram International Inc,9780128149720,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part III",https://www.eslite.com/product/1001294883648736,,Ingram International Inc,9783030585792,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XXIV",https://www.eslite.com/product/1001294883492621,,Ingram International Inc,9783030585853,0
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world image applications,https://www.eslite.com/product/1001294883873676,V. Kishore Ayyadevara ; Yeshwanth Reddy,Ingram International Inc,9781839213472,0
"Computer Vision - Eccv 2020: 16th European Conference, Glasgow, Uk, August 23-28, 2020, Proceedings, Part XXI",https://www.eslite.com/product/1001294883479135,,Ingram International Inc,9783030585884,0
The Computer Vision Workshop: Develop the skills you need to use computer vision algorithms in your own artificial intelligence projects,https://www.eslite.com/product/1001294883782002,Hafsa Asad ; Vishwesh Ravi Shrimali ; Nikhil Singh,Ingram International Inc,9781800201774,0
Building Computer Vision Applications Using Artificial Neural Networks: With Step-By-Step Examples in Opencv and Tensorflow with Python,https://www.eslite.com/product/1001294883593103,Shamshad Ansari,Ingram International Inc,9781484258866,0
"Computer Vision for Autonomous Vehicles: Problems, Datasets and State of the Art",https://www.eslite.com/product/1001294883643968,Joel Janai ; Fatma Güney ; Aseem Behl,Ingram International Inc,9781680836882,0
"Raspberry Pi Computer Vision Programming -Second Edition: Design and implement computer vision applications with Raspberry Pi, OpenCV, and Python 3",https://www.eslite.com/product/1001294884064855,Ashwin Pajankar,Ingram International Inc,9781800207219,0
Mastering Computer Vision with TensorFlow 2.x: Build advanced computer vision applications using machine learning and deep learning techniques,https://www.eslite.com/product/1001294884082205,Krishnendu Kar,Ingram International Inc,9781838827069,0
PyTorch Computer Vision Cookbook,https://www.eslite.com/product/1001294884075367,Michael Avendi,Ingram International Inc,9781838644833,0
Computer Vision: Advanced Techniques and Applications,https://www.eslite.com/product/1001294883631117,,Ingram International Inc,9781632408143,0
Hands-On Computer Vision with TensorFlow 2: Leverage deep learning to create powerful image processing apps with TensorFlow 2.0 and Keras,https://www.eslite.com/product/1001294884058880,Benjamin Planche ; Eliot Andres,Ingram International Inc,9781788830645,0
OpenCV 4 Computer Vision Application Programming Cookbook,https://www.eslite.com/product/1001294884043875,David Millán Escrivá ; Robert Laganiere,Ingram International Inc,9781789340723,0
Learn Computer Vision Using Opencv: With Deep Learning Cnns and Rnns,https://www.eslite.com/product/1001294883596311,Sunila Gollapudi,Ingram International Inc,9781484242605,0
Building Computer Vision Projects with OpenCV 4 and C++,https://www.eslite.com/product/1001294884075225,David Millán Escrivá ; Prateek Joshi ; Vinícius G. Mendonça,Ingram International Inc,9781838644673,0
Computer Vision Projects with Opencv and Python 3,https://www.eslite.com/product/1001294884034858,Matthew Rever,Ingram International Inc,9781789954555,0
Practical Computer Vision Applications Using Deep Learning with Cnns: With Detailed Examples in Python Using Tensorflow and Kivy,https://www.eslite.com/product/1001294883214746,Ahmed Fawzy Gad,Ingram International Inc,9781484241660,0
Raspberry Pi Computer Vision Programming,https://www.eslite.com/product/1001294884025763,Ashwin Pajankar,Ingram International Inc,9781784398286,0
Computer Vision in Medical Imaging,https://www.eslite.com/product/1001294883620576,,Ingram International Inc,9789814460934,0
Programming Computer Vision with Python: Tools and Algorithms for Analyzing Images,https://www.eslite.com/product/1001294883251125,Jan Erik Solem,Ingram International Inc,9781449316549,0
Computer Vision,https://www.eslite.com/product/1001294883155111,Simon J. D. Prince,Ingram International Inc,9781107011793,0
Computer Vision: Algorithms and Applications,https://www.eslite.com/product/1001294883058921,Richard Szeliski,Ingram International Inc,9781848829343,0
Applications of Computer Vision in Automation and Robotics,https://www.eslite.com/product/1001294883882977,,Ingram International Inc,9783039435814,0
Image Processing and Computer Vision in IOS,https://www.eslite.com/product/1001294884246769,Oge Marques,Ingram International Inc,9783030540302,0
A Modern Approach to Computer Vision,https://www.eslite.com/product/1001294884206146,,Ingram International Inc,9781641723824,0
Learning OpenCV 4 Computer Vision with Python,https://www.eslite.com/product/1001294884029559,Joseph Howse ; Joe Minichino,Ingram International Inc,9781789531619,0
"Photogrammetric Computer Vision: Statistics, Geometry, Orientation and Reconstruction",https://www.eslite.com/product/1001294884355837,Wolfgang Förstner ; Bernhard P. Wrobel,Ingram International Inc,9783319791708,0
"Image Processing, Computer Vision, and Pattern Recognition",https://www.eslite.com/product/1001294883826672,,Ingram International Inc,9781601324641,0
Deep Learning for Computer Vision: Expert techniques to train advanced neural networks using TensorFlow and Keras,https://www.eslite.com/product/1001294884298548,Rajalingappaa Shanmugamani,Ingram International Inc,9781788295628,0
Domain Adaptation in Computer Vision Applications,https://www.eslite.com/product/1001294883484930,,Ingram International Inc,9783319583464,0
"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing, and Transformers Using Tensorflo",https://www.eslite.com/product/1001294884392256,Magnus Ekman,Ingram International Inc,9780137470358,0
Practical Machine Learning for Computer Vision: End-To-End Machine Learning for Images,https://www.eslite.com/product/1001294884380162,Valliappa Lakshmanan ; Martin Görner ; Ryan Gillard,Ingram International Inc,9781098102364,0
Intelligent Learning for Computer Vision: Proceedings of Congress on Intelligent Systems 2020,https://www.eslite.com/product/1001294883898632,,Ingram International Inc,9789813345812,0
Handbook of Image Processing and Computer Vision: Volume 3: From Pattern to Object,https://www.eslite.com/product/1001294884336875,Arcangelo Distante ; Cosimo Distante,Ingram International Inc,9783030423803,0
Handbook of Image Processing and Computer Vision: Volume 2: From Image to Pattern,https://www.eslite.com/product/1001294884399061,Arcangelo Distante ; Cosimo Distante,Ingram International Inc,9783030423766,0
Handbook of Image Processing and Computer Vision: Volume 1: From Energy to Image,https://www.eslite.com/product/1001294883927973,Arcangelo Distante ; Cosimo Distante,Ingram International Inc,9783030381509,0
Deep Learning on Windows: Building Deep Learning Computer Vision Systems on Microsoft Windows,https://www.eslite.com/product/1001294883643635,Thimira Amaratunga,Ingram International Inc,9781484264300,0
"Modern Pyqt: Create GUI Applications for Project Management, Computer Vision, and Data Analysis",https://www.eslite.com/product/1001294883670086,Joshua Willman,Ingram International Inc,9781484266021,0
