ISBN,書籍簡介
9781681739847,"This book reviews the application of machine learning in system-wide simulation and run-time optimization, and in many individual components such as caches/memories, branch predictors, networks-on-chip, and GPUs. Artificial intelligence has already enabled pivotal advances in diverse fields, yet its impact on computer architecture has only just begun. In particular, recent work has explored broader application to the design, optimization, and simulation of computer architecture. Notably, machine-learning-based strategies often surpass prior state-of-the-art analytical, heuristic, and human-expert approaches.The book further analyzes current practice to highlight useful design strategies and identify areas for future work, based on optimized implementation strategies, opportune extensions to existing work, and ambitious long term possibilities. Taken together, these strategies and techniques present a promising future for increasingly automated computer architecture designs."
9781681739861,"This book reviews the application of machine learning in system-wide simulation and run-time optimization, and in many individual components such as caches/memories, branch predictors, networks-on-chip, and GPUs. Artificial intelligence has already enabled pivotal advances in diverse fields, yet its impact on computer architecture has only just begun. In particular, recent work has explored broader application to the design, optimization, and simulation of computer architecture. Notably, machine-learning-based strategies often surpass prior state-of-the-art analytical, heuristic, and human-expert approaches.The book further analyzes current practice to highlight useful design strategies and identify areas for future work, based on optimized implementation strategies, opportune extensions to existing work, and ambitious long term possibilities. Taken together, these strategies and techniques present a promising future for increasingly automated computer architecture designs."
9781641724647,0
9780970112477,"Learn computer architecture and get practical ""hands on"" experience using an FPGA while studying at home. A working model of a 32-bit ARM processor is gradually built from basic principals of computer architecture. Field Programmable Gate Arrays (FPGA) provide flexible digital electronics platforms that can be organized as a CPU, a neural net, or almost any other digital circuit. They are the digital equivalent of shape-shifters in science fiction.The FPGA is first introduced graphically through operational models of individual logic gates and structures like buses and decoders. Next, the Verilog coding begins with simple circuit examples and culminates with a CPU that runs ARM machine code. Programs can even be entered in symbolic assembly language which is compiled into 100% ARM machine code by macros, tasks, and functions written in the Verilog language. This CPU imitation can be run at full speed, stepped through with breakpoints, or paused within the fetch, decode, and execute cycle.Over 150 illustrations accompany detailed descriptions for setting up the FPGA and walking through each of the nearly 100 Verilog examples. All source code examples can be downloaded from GitHub and use the Intel(R) Quartus(R) Prime software along with a Terasic DE10-Lite FPGA development board. The DE10-Lite is available for purchase for less than $100 at many Internet sites, and the Intel(R) Quartus(R) Prime Lite Edition is available as a free download from Intel. Other FPGA boards and other Verilog software can be used, but slight modifications to the examples may be necessary."
9781716977565,0
9781838984397,"A no-nonsense, practical guide to current and future processor and computer architectures, enabling you to design computer systems and develop better software applications across a variety of domainsKey Features  Understand digital circuitry with the help of transistors, logic gates, and sequential logic Examine the architecture and instruction sets of x86, x64, ARM, and RISC-V processors Explore the architecture of modern devices such as the iPhone X and high-performance gaming PCs  Book Description Are you a software developer, systems designer, or computer architecture student looking for a methodical introduction to digital device architectures but overwhelmed by their complexity? This book will help you to learn how modern computer systems work, from the lowest level of transistor switching to the macro view of collaborating multiprocessor servers. You'll gain unique insights into the internal behavior of processors that execute the code developed in high-level languages and enable you to design more efficient and scalable software systems. The book will teach you the fundamentals of computer systems including transistors, logic gates, sequential logic, and instruction operations. You will learn details of modern processor architectures and instruction sets including x86, x64, ARM, and RISC-V. You will see how to implement a RISC-V processor in a low-cost FPGA board and how to write a quantum computing program and run it on an actual quantum computer. By the end of this book, you will have a thorough understanding of modern processor and computer architectures and the future directions these architectures are likely to take. What you will learn  Get to grips with transistor technology and digital circuit principles Discover the functional elements of computer processors Understand pipelining and superscalar execution Work with floating-point data formats Understand the purpose and operation of the supervisor mode Implement a complete RISC-V processor in a low-cost FPGA Explore the techniques used in virtual machine implementation Write a quantum computing program and run it on a quantum computer  Who this book is for This book is for software developers, computer engineering students, system designers, reverse engineers, and anyone looking to understand the architecture and design principles underlying modern computer systems from tiny embedded devices to warehouse-size cloud server farms. A general understanding of computer processors is helpful but not required."
9780128119051,"Computer Architecture: A Quantitative Approach, Sixth Edition has been considered essential reading by instructors, students and practitioners of computer design for over 20 years. The sixth edition of this classic textbook from Hennessy and Patterson, winners of the 2017 ACM A.M. Turing Award recognizing contributions of lasting and major technical importance to the computing field, is fully revised with the latest developments in processor and system architecture. The text now features examples from the RISC-V (RISC Five) instruction set architecture, a modern RISC instruction set developed and designed to be a free and openly adoptable standard. It also includes a new chapter on domain-specific architectures and an updated chapter on warehouse-scale computing that features the first public information on Google's newest WSC.  True to its original mission of demystifying computer architecture, this edition continues the longstanding tradition of focusing on areas where the most exciting computing innovation is happening, while always keeping an emphasis on good engineering design."
9781801259538,"Do you want to expand your knowledge in the field of computer networking? Do you want to know the future of networking? Do you ever wonder how the internet works? If it does, keep reading.....Computer networking can be defined as the technology that makes communication between different computer systems or devices sprinkled all around the globe possible.Computer networking can also be considered to be a subpart of telecommunications, computer science, information technology, and computer engineering as it uses technology that heavily relies upon the various applications of these scientific and engineering streams. Based upon the area of communication, and the abilities to cater to the specific needs of particular crowds, computer networks can be divided into three large divisions. They are: InternetIntranetExtranetAny set of computers or devices that are interconnected to one another and harbor the ability to exchange data between one another are said to be a part of a computer network.In today's world, we see a gradual shift from traditional technologies to a world that is soon going to be dominated by Information Technology. As computer networking stands at the center of the IT sector, we must have a firm grip over the topic to be compatible with the slow shift to a world with different priorities.The goal of the Book is simple: It helps the masses educate themselves about the basics and other advanced aspects of Computer Networking in the most simples of ways possible.In this book you will also learn: Machine Learning and Computer NetworkingEasy Guide to Learn Basic Computer NetworkWhat Are the Basic Cybersecurity Fundamentals?What Are the Concepts of Networking?Understanding CybersecurityTypes of Cyber-Attacks and How to Prevent ThemWould you like to know more?Download the Book, Computer Networking to have a good knowledge of computer networking.Scroll to the top of the page and select the buy now button."
9781801206051,"Master Network Security, Computer Architecture, Internet, Wireless Technology, and More Computer networking is extremely important because it allows multiple computers to communicate with each other and share files.Ever wondered how the internet works?Learning computer networking will help you answer this question. Terms like routers, TCP/IP, protocols, FTP, servers, and switches will no longer be jargon to you.This book takes you progressively from introduction to computer networking to advanced computer networking concepts to make the transition easy for you to your next read.The five comprehensive chapters contain lots of sub-chapters that will take you from soup to nuts and through the bits and bytes of networking, so you come out knowledgeable.Here are some of the things you will find in this book: An introduction to computer networkingWhat you need to set up a networkThe basics of networking securityDifferent types of networks and how they functionHow routing and switching worksStep-by-step in detail through how you do networkingThe concept of machine learning and how it relates to networkingFAQQ: Will this book make me an expert in networking?A:  Further reading will be required, but this book lays the foundation for all aspects of networking including introducing you to advanced computer networking concepts.Q: Who is this book for?A: This book is for anyone interested in learning computer networking from the ground up in an easy to understand manner.Networking is a great career to delve into and a great foundation just makes it that much easier. Get yourself this guide on computer networking and lay the groundwork."
9781914203183,"Do you have a big interest in computers and how they work?Have you been looking at some of the steps that you can take to learn more about computer networking and all of the different parts that come with it?Would you like to learn all of this in a safe and secure manner that can make life easier?Then this is the Guidebook for you. In this guidebook, we are going to spend some time taking a look at some of the steps that we need to follow in order to get started with some of the steps of computer programming and computer networking. These networks can vary by size and what they are able to do for us, and being able to set it all up and ensure that we are using it all in the right manner is going to be so important. And inside this guidebook, you will be able to learn all of these parts and how to get it to work for your needs. Inside this guidebook, we are going to spend some time taking a look at the basics of computer networking and what we are able to do to make it work for us.Some of the topics that we are going to explain will include: . The basics of computer networking. . The parts of the computer that you need to know to get started. . A look at some of the different types of certifications that you can use when it is time to handle this process and gain a deep understanding of computer networking. . The different types of computer networking that we can work with. . A look at the networking protocols and what they all mean. . A look at some of the basics of the OSI method, and how we are able to use this for our own needs as well. . A discussion on why network security is so important, especially when you are working with a rather large network in the first place. There are a lot of different parts that need to come together to help us create one of the networks that we need. These are all going to be a bit different from one another, and learning how to make them work, and what each one can do for our needs, is not always as simple as it seems.When you are ready to learn a bit more about computer networking and what we are able to do with it to increase some of our won computer knowledge, make sure to check out this guidebook to help you get started."
