書名,書籍網址,作者,出版社,ISBN,圖片網址
Introduction to Data Mining (Global Ed./2 Ed.),https://www.eslite.com/product/1002178862789066,Pang-Ning Tan/ Michael Steinbach/ Anuj Karpatne/ Vipin Kumar,台灣培生教育出版股份有限公司,9780273769224,https://s.eslite.dev/upload/product/l/2681800218000/20190824042730881970.jpg
Data Mining and Diagnosing IC Fails,https://www.eslite.com/product/1002155962460279,Leendert M. Huisman,SPRINGER VERLAG,9780387249933,0
CRM DATA MINING應用系統建置,https://www.eslite.com/product/1001114561338896,"BERSON, ALEX/SMITH, STEPHEN",美商麥格羅希爾國際股份有限公司台灣分公司,9789574933211,https://s.eslite.dev/upload/product/l/2611248349004/ec70044.jpg
Data Science from Scratch: 用Python學資料科學 (中文版/第2版),https://www.eslite.com/product/1001133102810543,Joel Grus,美商歐萊禮股份有限公司台灣分公司,9789865023195,https://s.eslite.dev/upload/product/l/2681833381009/20191126035125138789.jpg
社群網站資料探勘: 看數字說故事、不用拔草也能測風向,https://www.eslite.com/product/1001113692857651,Lam Thuy Vo,碁峰資訊股份有限公司,9789865025588,https://s.eslite.dev/Upload/Product/202007/l/637304853104473750.jpg
資料探勘在社會工作的運用: 實務與研究的整合,https://www.eslite.com/product/1001130482540165,田麗珠/ 審閱; 劉瓊瑛,雙葉書廊有限公司,9789865668600,https://s.eslite.dev/Upload/Product/201609/l/636094386467443750.jpg
資料科學的商業運用,https://www.eslite.com/product/1001133102509642,Foster Provost/ Tom Fawcett,美商歐萊禮股份有限公司台灣分公司,9789864760268,https://s.eslite.dev/Upload/Product/201605/l/635992436460905000.jpg
Python資料分析 (第2版),https://www.eslite.com/product/1001133102716290,Wes McKinney,美商歐萊禮股份有限公司台灣分公司,9789864769254,https://s.eslite.dev/Upload/Product/201809/l/636738068037947500.jpg
"大數據資本主義: 金融資本主義退位, 重新定義市場、企業、金錢、銀行、工作與社會正義",https://www.eslite.com/product/1001122732659884,麥爾荀伯格/ 蘭姆格,遠見天下文化出版股份有限公司,9789864793884,https://s.eslite.dev/Upload/Product/201802/l/636549716709493750.jpg
數據、謊言與真相: Google資料分析師用大數據揭露人們的真面目,https://www.eslite.com/product/1001118562640890,賽斯．史蒂芬斯-大衛德維茲,商周出版,9789864773558,https://s.eslite.dev/Upload/Product/201712/l/636477143723377500.jpg
"失控的大數據: 當企業比你更了解你, 該如何保護自己和口袋裡的錢?",https://www.eslite.com/product/1001118562463435,安娜．伯納賽克/ D. T. 蒙根,商周出版,9789862728949,https://s.eslite.dev/upload/product/l/2681225879008/20190422143717503044.jpg
機器學習: 特徵工程,https://www.eslite.com/product/1001133102842757,Alice Zheng/ Amanda Casari,美商歐萊禮股份有限公司台灣分公司,9789865024833,https://s.eslite.dev/upload/product/l/2681877002007/20200429031759469020.jpg
Spark技術手冊: 輕鬆寫意處理大數據,https://www.eslite.com/product/1001133102802220,Matei Zaharia/ Bill Chambers,美商歐萊禮股份有限公司台灣分公司,9789865022990,https://s.eslite.dev/Upload/Product/201910/l/637068983809731250.jpg
I Have Nothing to Hide: And 20 Other Myths About Surveillance and Privacy,https://www.eslite.com/product/1001140822682019731007,Heidi Boghosian,BEACON PRESS,9780807061268,https://s.eslite.dev/upload/product/l/2682019731007/20210519013651972030.jpg
大數據: 資料探勘X智慧營運,https://www.eslite.com/product/1001304262871453,梁棟/ 張兆靜/ 彭木根,崧燁文化事業有限公司,9789577359926,https://s.eslite.dev/upload/product/l/2681916595002/20200829041139361261.jpg
Business Analytics: Communicating with Numbers,https://www.eslite.com/product/1002114562873198,Sanjiv Jaggia/ Alison Kelly/ Kevin Lertwachara/ Leida Chen,美商麥格羅希爾國際股份有限公司台灣分公司,9781260576016,https://s.eslite.dev/upload/product/l/2681919185002/20200905035415427754.jpg
"百工裡的人類學家 2: 厚數據的創新課, 5個洞察心法X 6種視覺化工具, 掌握人類學家式的系統思考, 精準切入使用者情境",https://www.eslite.com/product/1001271242843037,宋世祥,果力文化,9789869759045,https://s.eslite.dev/upload/product/l/2681877451003/20200430033355495066.jpg
Mindf*ck,https://www.eslite.com/product/1002150082792982,Christopher Wylie,Penguin Random House LLC,9780593229149,https://s.eslite.dev/upload/product/l/2681805397007/20191218142701991080.jpg
Applied Linear Statistical Models: Applied Linear Regression Models (5 Ed./+CD),https://www.eslite.com/product/1002114562804084,Michael H. Kutner/ Christopher J. Nachtsheim/ John Neter/ William Li,美商麥格羅希爾國際股份有限公司台灣分公司,9789863414179,https://s.eslite.dev/Upload/Product/201910/l/637078735933056250.jpg
資料分析與市場預測: 掌握趨勢的關鍵技法 使用Excel (附光碟),https://www.eslite.com/product/1001113882017620,上田太一郎,旗標科技股份有限公司,9789574428281,https://s.eslite.dev/Upload/Product/201103/l/634360348481903809.jpg
