書名,書籍網址,作者,出版社,ISBN,圖片網址
A History of Data Visualization and Graphic Communication,https://www.eslite.com/product/1001294883931623,Michael Friendly ; Howard Wainer,Ingram International Inc,9780674975231,0
Data Visualization and Analysis in Second Language Research,https://www.eslite.com/product/1001294883069808,Guilherme D. Garcia,Ingram International Inc,9780367469610,0
Hands-On Data Visualization: Interactive Storytelling from Spreadsheets to Code,https://www.eslite.com/product/1001294883841378,Jack Dougherty ; Ilya Ilyankou,Ingram International Inc,9781492086000,0
Practical Python Data Visualization: A Fast Track Approach to Learning Data Visualization with Python,https://www.eslite.com/product/1001294883196885,Ashwin Pajankar,Ingram International Inc,9781484264546,0
Insightful Data Visualization with SAS Viya,https://www.eslite.com/product/1001294883465637,,Ingram International Inc,9781951684389,0
Data Visualization for Business Decisions: A Laboratory Manual,https://www.eslite.com/product/1001294883364368,,Ingram International Inc,9781683925958,0
Data Visualization in Society,https://www.eslite.com/product/1001294883754002,,Ingram International Inc,9789463722902,0
Interactive Data Visualization with Python - Second Edition: Present your data as an effective and compelling story,https://www.eslite.com/product/1001294884055443,Abha Belorkar ; Sharath Chandra Guntuku ; Shubhangi Hora,Ingram International Inc,9781800200944,0
"Linked Data Visualization: Techniques, Tools, and Big Data",https://www.eslite.com/product/1001294883398299,,Ingram International Inc,9781681737256,0
"The Data Visualization Workshop, Second Edition",https://www.eslite.com/product/1001294884081844,Mario Döbler ; Tim Großmann,Ingram International Inc,9781838981488,0
"Data Visualization with Python for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn",https://www.eslite.com/product/1001294884009734,Ai Publishing,Ingram International Inc,9781733042680,0
Interactive Data Visualization with Python,https://www.eslite.com/product/1001294884076181,Abha Belorkar ; Sharath Chandra Guntuku ; Shubhangi Hora,Ingram International Inc,9781838648350,0
Introduction to Data Visualization & Storytelling: A Guide For The Data Scientist,https://www.eslite.com/product/1001294884119003,Ali Fenwick ; Marybeth Sandell ; Jose Berengueres,Ingram International Inc,9781085827836,0
Data Visualization with Python,https://www.eslite.com/product/1001294884035505,Mario Döbler ; Tim Größmann,Ingram International Inc,9781789956467,0
Data Visualization: A Practical Introduction,https://www.eslite.com/product/1001294883100987,Kieran Healy,Ingram International Inc,9780691181615,0
Data Visualization: A Practical Introduction,https://www.eslite.com/product/1001294883101155,Kieran Healy,Ingram International Inc,9780691181622,0
"Data Visualization: Introduction to Data Visualization with Python, R and Tableau",https://www.eslite.com/product/1001294883350628,,Ingram International Inc,9781723234750,0
Hands-on Data Visualization with Bokeh,https://www.eslite.com/product/1001294884051064,Kevin Jolly,Ingram International Inc,9781789135404,0
Interactive Data Visualization for the Web: An Introduction to Designing with D3,https://www.eslite.com/product/1001294883205932,Scott Murray,Ingram International Inc,9781491921289,0
Big Data Visualization,https://www.eslite.com/product/1001294884036752,James D. Miller,Ingram International Inc,9781785281945,0
"Data Visualization, Volume I: Recent Trends and Applications Using Conventional and Big Data",https://www.eslite.com/product/1001294883648776,Amar Sahay,Ingram International Inc,9781631573354,0
"Data Visualization with Python and JavaScript: Scrape, Clean, Explore & Transform Your Data",https://www.eslite.com/product/1001294883205924,Kyran Dale,Ingram International Inc,9781491920510,0
Mastering Data Visualization with Microsoft Visio Professional 2016,https://www.eslite.com/product/1001294883367310,,Ingram International Inc,9781785882661,0
Python Data Visualization Cookbook Second Edition,https://www.eslite.com/product/1001294883751592,Igor Milovanovic ; Dimitry Fourés ; Giuseppe Vettigli,Ingram International Inc,9781784396695,0
Data Visualization with JavaScript,https://www.eslite.com/product/1001294883721773,Stephen A. Thomas,Ingram International Inc,9781593276058,0
Data Visualization: A Successful Design Process,https://www.eslite.com/product/1001294884073112,Andy Kirk,Ingram International Inc,9781849693462,0
"Python Data Analysis - Third Edition: Perform data collection, data processing, wrangling, visualization, and model building using Python",https://www.eslite.com/product/1001294883835619,Avinash Navlani ; Armando Fandango ; Ivan Idris,Ingram International Inc,9781789955248,0
"Topological Methods in Data Analysis and Visualization V: Theory, Algorithms, and Applications",https://www.eslite.com/product/1001294883689705,,Ingram International Inc,9783030430351,0
"Data Science: The Ultimate Guide to Data Analytics, Data Mining, Data Warehousing, Data Visualization, Regression Analysis, Database",https://www.eslite.com/product/1001294883362462,,Ingram International Inc,9781647483043,0
"Data Science for Business: Predictive Modeling, Data Mining, Data Analytics, Data Warehousing, Data Visualization, Regression Analysis, Database",https://www.eslite.com/product/1001294883374707,,Ingram International Inc,9781647483265,0
"Python For Data Analysis: A Step-by-Step Guide to Pandas, NumPy, and SciPy for Data Wrangling, Analysis, and Visualization",https://www.eslite.com/product/1001294883385933,,Ingram International Inc,9781705753538,0
"Python Crash Course for Data Analysis: A Complete Beginner Guide for Python Coding, NumPy, Pandas and Data Visualization",https://www.eslite.com/product/1001294883372261,,Ingram International Inc,9781733042642,0
Fullstack D3 and Data Visualization: Build beautiful data visualizations with D3,https://www.eslite.com/product/1001294884098576,Amelia Wattenberger,Ingram International Inc,9780991344659,0
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python",https://www.eslite.com/product/1001294884032678,Stefanie Molin,Ingram International Inc,9781789615326,0
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & Mach",https://www.eslite.com/product/1001294883182449,Oliver Theobald,Ingram International Inc,9781081762469,0
Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,https://www.eslite.com/product/1001294883211342,Claus O. Wilke,Ingram International Inc,9781492031086,0
"Data Science for Business: Predictive Modeling, Data Mining, Data Analytics, Data Warehousing, Data Visualization, Regression Analysis, Database",https://www.eslite.com/product/1001294883351462,,Ingram International Inc,9781727618570,0
Making Data Visual: A Practical Guide to Using Visualization for Insight,https://www.eslite.com/product/1001294883535265,Danyel Fisher ; Miriah Meyer,Ingram International Inc,9781491928462,0
Data Points: Visualization That Means Something,https://www.eslite.com/product/1001294883181136,Nathan Yau,Ingram International Inc,9781118462195,0
Beautiful Visualization: Looking at Data Through the Eyes of Experts,https://www.eslite.com/product/1001294883248409,Julie Steele ; Noah Iliinsky,Ingram International Inc,9781449379865,0
Data Visualization for Success: Interviews with 40 Experienced Designers,https://www.eslite.com/product/1002151732587786,Steven Braun/ Ed.,Images Publishing,9781864707205,https://s.eslite.dev/upload/product/l/2681448147007/ec1281008.jpg
Storytelling with Data: A Data Visualization Guide for Business Professionals,https://www.eslite.com/product/1002136462490419,Cole Nussbaumer Knaflic,John Wiley & Sons Singapore Pte.,9781119002253,0
Integrating D3.Js with React: Learn to Bring Data Visualization to Life,https://www.eslite.com/product/1001294884013310,Elad Elrom,Ingram International Inc,9781484270516,0
Linking Knowledge: Linked Open Data for Knowledge Organization and Visualization,https://www.eslite.com/product/1001294883659743,,Ingram International Inc,9783956506604,0
Lte Cellular Narrowband Internet of Things (Nb-Iot): Practical Projects for the Cloud and Data Visualization,https://www.eslite.com/product/1001294883928678,Hossam Fattah,Ingram International Inc,9780367636296,0
"Python Crash Course: A Complete Step by Step Beginner Guide for Python Coding, Numpy, and Data Visualization Pandas,",https://www.eslite.com/product/1001294883640623,Dany Log,Ingram International Inc,9781513677156,0
"Microsoft Power BI Quick Start Guide - Second Edition: Bring your data to life through data modeling, visualization, digital storytelling, and more",https://www.eslite.com/product/1001294884061422,Devin Knight ; Bradley Schacht ; Mitchell Pearson,Ingram International Inc,9781800561571,0
Power BI: Give Life to Your Data With the Complete and Fastest Crash Course on Data Visualization,https://www.eslite.com/product/1001294883030255,Jonathan Grey,Ingram International Inc,9798680816806,0
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,https://www.eslite.com/product/1001294884085731,Estelle Scifo,Ingram International Inc,9781839212611,0
Pro Power Bi Desktop: Self-Service Analytics and Data Visualization for the Power User,https://www.eslite.com/product/1001294883577245,Adam Aspin,Ingram International Inc,9781484257623,0
