書名,書籍網址,作者,出版社,ISBN,圖片網址
Domain Driven Design: A Comprehensive Beginner's Guide to Learn How to Easily Implement Domain Driven Design,https://www.eslite.com/product/1001294884248784,Jim Lewis,Ingram International Inc,9781673274097,https://s.eslite.dev/upload/ean/9781673274097.jpg
"Practical Domain-Driven Design in Enterprise Java: Using Jakarta Ee, Eclipse Microprofile, Spring Boot, and the Axon Framework",https://www.eslite.com/product/1001294883173561,Vijay Nair,Ingram International Inc,9781484245422,https://s.eslite.dev/upload/ean/9781484245422.jpg
Hands-On Domain-Driven Design with .NET Core: Tackling complexity in the heart of software by putting DDD principles into practice,https://www.eslite.com/product/1001294884066766,Alexey Zimarev,Ingram International Inc,9781788834094,https://s.eslite.dev/upload/ean/9781788834094.jpg
Domain-Driven Design in PHP: A Highly Practical Guide,https://www.eslite.com/product/1001294883398478,,Ingram International Inc,9781787284944,https://s.eslite.dev/upload/ean/9781787284944.jpg
Domain-Driven Design Distilled,https://www.eslite.com/product/1001294884051194,Vaughn Vernon,Ingram International Inc,9780134434421,https://s.eslite.dev/upload/ean/9780134434421.jpg
Domain-Driven Design: Tackling Complexity in the Heart of Software,https://www.eslite.com/product/1001294884057758,Eric Evans,Ingram International Inc,9780321125217,https://s.eslite.dev/upload/ean/9780321125217.jpg
Domain-Driven Laravel: Learn to Implement Domain-Driven Design Using Laravel,https://www.eslite.com/product/1001294883588434,Jesse Griffin,Ingram International Inc,9781484260227,0
Implementing Domain-Driven Design,https://www.eslite.com/product/1001294884025811,Vaughn Vernon,Ingram International Inc,9780321834577,https://s.eslite.dev/upload/ean/9780321834577.jpg
Domain Modeling Made Functional: Tackle Software Complexity with Domain-Driven Design and F#,https://www.eslite.com/product/1001294884236061,Scott Wlaschin,Ingram International Inc,9781680502541,https://s.eslite.dev/upload/ean/9781680502541.jpg
"Architecture Patterns with Python: Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices",https://www.eslite.com/product/1001294883313285,Harry Percival ; Bob Gregory,Ingram International Inc,9781492052203,https://s.eslite.dev/upload/ean/9781492052203.jpg
"Patterns, Principles, and Practices of Domain-Driven Design",https://www.eslite.com/product/1001294883183742,Scott Millett ; Nick Tune,Ingram International Inc,9781118714706,https://s.eslite.dev/upload/ean/9781118714706.jpg
領域驅動設計: 軟體核心複雜度的解決方法,https://www.eslite.com/product/1001120322760889,Eric Evans,博碩文化股份有限公司,9789864343874,https://s.eslite.dev/Upload/Product/201905/l/636928149530461724.jpg
"領域驅動設計與.NET Core: 應用DDD原則, 探索軟體核心複雜度",https://www.eslite.com/product/1001120322682065870002,Alexey Zimarev,博碩文化股份有限公司,9789864348602,https://s.eslite.dev/upload/product/l/2682065870002/20210902095744621592.jpg
高品質軟體文件: 持續分享技術與知識,https://www.eslite.com/product/1001113692855971,Cyrille Martraire,碁峰資訊股份有限公司,9789865024871,https://s.eslite.dev/upload/product/l/2681895354003/20200703031819429387.jpg
