書名,書籍網址,作者,出版社,ISBN,圖片網址
Excel VBA經典程式碼: 一行抵萬行偷懶程式碼應用大全 下,https://www.eslite.com/product/1001120322810575,Excel Home,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2681833513004/20191126035129593791.jpg
Excel VBA經典程式碼: 一行抵萬行偷懶程式碼應用大全 上,https://www.eslite.com/product/1001120322810544,Excel Home,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201912/l/637110451876375000.jpg
工作效率UP! Excel VBA關鍵技法與活用範例大辭典,https://www.eslite.com/product/1001120322568883,Excel Home,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201702/l/636217371773173750.jpg
Excel VBA職場即用255招: 不會寫程式也能看懂的VBA無痛指導 (第2版),https://www.eslite.com/product/1001122232682062768005,Excel Home,電腦人文化事業股份有限公司,9.78957E+12,https://s.eslite.dev/upload/product/l/2682062768005/20210825032421116888.jpg
Excel VBA職場即用255招: 不會寫程式也能看懂的VBA無痛指導,https://www.eslite.com/product/1001122232558851,Excel Home,電腦人文化事業股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201612/l/636167827975000000.jpg
Excel 樞紐分析活用技巧大辭典,https://www.eslite.com/product/1001120322300331,Excel Home社群,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680843799002/304142.jpg
EXCEL VBA活用範例大辭典 (2013修訂版),https://www.eslite.com/product/1001120322254402,Excel Home,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680798671002/256517.jpg
最新Excel VBA活用範例大辭典 (附光碟),https://www.eslite.com/product/1001120321851756,Excel Home,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680410176007/9818.jpg
職場必備超省時 Excel圖表便利技 效率Up,https://www.eslite.com/product/1001113882619334,Ayura,旗標科技股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201708/l/636389874522205000.jpg
翻倍效率工作術: 不會就太可惜的Excel必學圖表 (第2版),https://www.eslite.com/product/1001113692835860,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/Upload/Product/202004/l/637213354948023750.jpg
Excel統計分析實務: 市場調查與資料分析,https://www.eslite.com/product/1001113692805418,楊世瑩,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/Upload/Product/201911/l/637084531419216250.jpg
"Excel Power Pivot: 免VBA, 也能讓Excel自動統計、分析資料",https://www.eslite.com/product/1001113692861837,鷹尾祥,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/Upload/Product/202008/l/637320404184478750.jpg
IBM部長強力推薦的Excel商用技巧: 用大數據分析商品、達成預算、美化報告的70個絕招! (熱銷再版),https://www.eslite.com/product/1001251972848450,加藤昌生,大樂文化有限公司,9.78958E+12,https://s.eslite.dev/Upload/Product/202006/l/637276355600643750.jpg
學校老師沒教的Excel最強教科書: 解決你業務量過多、對數字不拿手、報告抓不到重點!,https://www.eslite.com/product/1001251972734804,林學,大樂文化有限公司,9.78958E+12,https://s.eslite.dev/Upload/Product/201812/l/636810643260118750.jpg
寫給上班族的Excel商用統計分析入門,https://www.eslite.com/product/1001113692653218,日花弘子,碁峰資訊股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201801/l/636525531331317500.jpg
外商投資銀行必修超高速Excel: 提升效率、理解力、精準分析&企畫力,https://www.eslite.com/product/1001125122627432,熊野整,台灣角川股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201711/l/636459862500049846.jpg
一天練成秒殺技! 菁英都是巨集控的Excel自動化秘密: 超過18萬讀者認證Excel業師再度告白,https://www.eslite.com/product/1001120322596531,吉田拳,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201706/l/636320899553365000.jpg
Excel樞鈕分析和商業邏輯: Power Pivot & Power BI,https://www.eslite.com/product/1001120322594480,Rob Collie/ Avichal Singh,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2681457363009/687029.jpg
Excel函數的進擊函數×函數組合大事典,https://www.eslite.com/product/1001120322533686,日花弘子,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2681362148005/603535.jpg
一天達成即戰力! 菜鳥也能變菁英的Excel秘密,https://www.eslite.com/product/1001120322524524,,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201607/l/636046945196190000.jpg
3分鐘學會! 提高10倍工作效率的Excel技巧 (附光碟),https://www.eslite.com/product/1001113882472577,リブロワークス,旗標科技股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201512/l/635845555071650000.jpg
辦公室提昇效率必備Excel VBA技法256招 (附光碟),https://www.eslite.com/product/1001113881959207,山本櫻子,旗標科技股份有限公司,9.78957E+12,https://s.eslite.dev/Upload/Product/201007/l/634149525810607500.jpg
經理人提升資源分配最佳化的Excel目標搜尋&規劃求解技巧 (附CD),https://www.eslite.com/product/1001120321940572,城井田勝仁,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680496376001/42820.jpg
Excel 2019 VBA與巨集程式設計: 新手入門就靠這一本 下 (最新修訂版),https://www.eslite.com/product/1001120322682002566005,Bill Jelen/ Tracy Syrstad,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2682002566005/20210413035841218855.jpg
Excel 2019 VBA與巨集程式設計: 新手入門就靠這一本 上 (最新修訂版),https://www.eslite.com/product/1001120322682002565008,Bill Jelen/ Tracy Syrstad,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2682002565008/20210413035835594843.jpg
"用Excel取巧學統計: 大數據的基本功, 有力的圖表, 就得這樣呈現。他人的數據誤用, 立刻洞察",https://www.eslite.com/product/1001191562677685,米谷學,大是文化有限公司,9.78958E+12,https://s.eslite.dev/Upload/Product/201805/l/636616245343445000.jpg
詳解Excel+Access的資料庫整合應用實務 (附CD),https://www.eslite.com/product/1001120321869521,E-Trainer.jp,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680427510009/15105.jpg
管理者提升商業智慧的Excel樞紐分析技巧 (附CD),https://www.eslite.com/product/1001120321851260,城井田勝仁,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680409640007/9656.jpg
實用超滿載! 銷售圖表．估價單: 快速搞定的150個Excel自動表單 (附CD),https://www.eslite.com/product/1001120321842872,"きたみあきこ(Kitami, Akiko)",博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680401477007/7476.jpg
財務模型: 在Excel之應用,https://www.eslite.com/product/1001139911849849,強登．辛古普,財團法人台灣金融研訓院,9.78987E+12,https://s.eslite.dev/upload/product/l/2680408293006/9213.jpg
"職場決勝關鍵Excel商業資料分析: 正確分析+用對圖表, 你的報告更有說服力!",https://www.eslite.com/product/1001113692845504,平井明夫,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2681880308004/20200513041745690969.jpg
EXCEL最強商業實戰書: 濃縮於一冊! 任何人都能立即活用於職場的知識,https://www.eslite.com/product/1001183842746620,藤井直弥/ 大山啓介,悅知文化,9.78958E+12,https://s.eslite.dev/Upload/Product/201902/l/636865074829116250.jpg
Excel VBA最強權威: Power Programming全方位實作範例聖經 (國際中文版),https://www.eslite.com/product/1001122232710954,Michael Alexander/ Dick Kusleika,電腦人文化事業股份有限公司,9.78957E+12,https://s.eslite.dev/upload/product/l/2681646377008/ec1543078.jpg
職場必備超省時Excel樞紐分析表便利技: 效率UP!,https://www.eslite.com/product/1001113882637150,井上香緒里,旗標科技股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201711/l/636458996675375000.jpg
職場必備超省時Excel問題解決便利技效率UP,https://www.eslite.com/product/1001113882632657,技術評論社編集部/ AYURA,旗標科技股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201710/l/636444307146603750.jpg
即學即用! 超簡單的Excel巨集&VBA: 別再做苦工!讓重複性高的工作自動化處理,https://www.eslite.com/product/1001113882593284,門脇香奈子,旗標科技股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201705/l/636302610349263934.jpg
