書名,書籍網址,作者,出版社,ISBN,圖片網址
FinTech革命: 金融科技完全解析,https://www.eslite.com/product/1001258972531089,Nikkei Computer,遠見雜誌,9789869211246,https://s.eslite.dev/Upload/Product/201608/l/636064147852406250.jpg
Fintech Business Models,https://www.eslite.com/product/1001294883812572,Matthias Fischer,Ingram International Inc,9783110704501,0
"Fintech: Hacking, Blockchain, Big Data, Cryptocurrency",https://www.eslite.com/product/1001294883666355,Eliot P. Reznor,Ingram International Inc,9788293791119,0
"Fintech and Islamic Finance: Digitalization, Development and Disruption",https://www.eslite.com/product/1001294883591654,Nafis Alam ; Lokesh Gupta ; Abdolhossein Zameni,Ingram International Inc,9783030246686,0
Fintech for Dummies,https://www.eslite.com/product/1001294883759777,Steven O'Hanlon ; Susanne Chishti ; James Jockle,Ingram International Inc,9781119427261,0
Fintech Future: The Digital DNA of Finance,https://www.eslite.com/product/1001294883499724,Sanjay Phadke,Ingram International Inc,9789353882488,0
Catching the FinTech Wave: How to adopt FinTech and Transform Your Financial Planning Business,https://www.eslite.com/product/1001294883711184,Ben Goss,Ingram International Inc,9781788039079,0
Fintech Founders,https://www.eslite.com/product/1001294883264547,Agustín Rubini,Ingram International Inc,9781547417292,0
The Financial Services Guide to Fintech: Driving Banking Innovation Through Effective Partnerships,https://www.eslite.com/product/1001294883556354,Devie Mohan,Ingram International Inc,9780749486372,0
"Fintech, Bigtech and Banks: Digitalisation and Its Impact on Banking Business Models",https://www.eslite.com/product/1001294883482258,,Ingram International Inc,9783030224257,0
"Fintech: Beginner Guide to Fintech Innovation, Regulation and Startup",https://www.eslite.com/product/1001294884114456,Scorpio Digital Press,Ingram International Inc,9781089615088,0
"Fintech, Small Business & the American Dream: How Technology Is Transforming Lending and Shaping a New Era of Small Business Opportunity",https://www.eslite.com/product/1001294883571937,Karen G. Mills,Ingram International Inc,9783030036195,0
Fintech in a Flash: Financial Technology Made Easy,https://www.eslite.com/product/1001294883263854,Agustin Rubini,Ingram International Inc,9781547417162,0
Fintech: The New DNA of Financial Services,https://www.eslite.com/product/1001294883263847,Pranay Gupta ; T. Mandy Tham,Ingram International Inc,9781547417087,0
Fintech: The Banks Strike Back,https://www.eslite.com/product/1001294883491161,,Ingram International Inc,9782322161249,0
"China's Fintech Explosion: Disruption, Innovation, and Survival",https://www.eslite.com/product/1001138922681932244007,Sara Hsu/ Jianjun Li,COLUMBIA UNIVERSITY PRESS,9780231196567,https://s.eslite.dev/upload/product/l/2681932244007/20201021012104729011.jpg
圖解Fintech的知識與技術,https://www.eslite.com/product/1001113692827476,大和總研/ Frontier Technology,碁峰資訊股份有限公司,9789865024314,https://s.eslite.dev/Upload/Product/202002/l/637181298538995000.jpg
均富革命: 財富管理達人李紹鋒教你用FinTech小錢致富,https://www.eslite.com/product/1001144562710077,李紹鋒,布克文化出版事業部,9789579699389,https://s.eslite.dev/Upload/Product/201809/l/636724245067167500.jpg
"FinTech 2.0: 金融結合科技, 即將顛覆金融業的遊戲規則!",https://www.eslite.com/product/1001120102519188,李儀坤,凱信企業管理顧問有限公司,9789865916824,https://s.eslite.dev/Upload/Product/201606/l/636020947449131250.jpg
"FinTech金融科技革命: 網路金融新體系, 改變你我消費、理財、保險與借貸的未來",https://www.eslite.com/product/1001118562504871,曹磊/ 錢海利,商周出版,9789864770144,https://s.eslite.dev/Upload/Product/201604/l/635976020176844732.jpg
The Development Dimension Strengthening Macroprudential Policies in Emerging Asia Adapting to Green Goals and Fintech,https://www.eslite.com/product/1001294883039045,Oecd,Ingram International Inc,9789264835399,0
Asia Small and Medium-Sized Enterprise Monitor 2020 - Volume III: Thematic Chapter - Fintech Loans to Tricycle Drivers in the Philippines,https://www.eslite.com/product/1001294883650639,Asian Development Bank,Ingram International Inc,9789292624866,0
Blockchain and Smart Contracts: Design Thinking and Programming for FinTech,https://www.eslite.com/product/1001294883769061,Swee Won Lo ; Yu Wang ; David Kuo Chuen Lee,Ingram International Inc,9789811224867,0
Blockchain and Smart Contracts: Design Thinking and Programming for Fintech,https://www.eslite.com/product/1001294883816393,Swee Won Lo ; Yu Wang ; David Kuo Chuen Lee,Ingram International Inc,9789811223686,0
Financial Technology: Case Studies in Fintech Innovation,https://www.eslite.com/product/1001294883668933,Niels Pedersen,Ingram International Inc,9781789665437,0
金融人才X機器學習聯手出擊: 專為FinTech領域打造的機器學習指南,https://www.eslite.com/product/1001120322681942451006,Jannes Klaas,博碩文化股份有限公司,9789864345380,https://s.eslite.dev/upload/product/l/2681942451006/20201120044053685746.jpg
Reinventing Banking and Finance: Frameworks to Navigate Global Fintech Innovation,https://www.eslite.com/product/1001294883359347,,Ingram International Inc,9781789664096,0
Reinventing Banking and Finance: Frameworks to Navigate Global Fintech Innovation,https://www.eslite.com/product/1001294883557784,Helene Panzarino ; Alessandro Hatami,Ingram International Inc,9781789664126,0
The Impact of Digital Transformation and Fintech on the Finance Professional,https://www.eslite.com/product/1001294883584361,,Ingram International Inc,9783030237219,0
Global Payments: And the Fintech Innovations Changing the Industry,https://www.eslite.com/product/1001294883619326,Carol Coye Benson,Ingram International Inc,9780982789766,0
"Fostering Innovation and Competitiveness With FinTech, RegTech, and SupTech",https://www.eslite.com/product/1001294883879265,,Ingram International Inc,9781799856900,0
"The Legaltech Book: The Legal Technology Handbook for Investors, Entrepreneurs and Fintech Visionaries",https://www.eslite.com/product/1001294883576019,,Ingram International Inc,9781119574279,0
"The AI Book: The Artificial Intelligence Handbook for Investors, Entrepreneurs and Fintech Visionaries",https://www.eslite.com/product/1001294883578969,,Ingram International Inc,9781119551904,0
Basic Knowledge on FinTech,https://www.eslite.com/product/1002139912837331,TABF Editorial Board,財團法人台灣金融研訓院,9789863991793,https://s.eslite.dev/Upload/Product/202004/l/637218452170167500.jpg
"The PayTech Book: The Payment Technology Handbook for Investors, Entrepreneurs, and FinTech Visionaries",https://www.eslite.com/product/1001294884082549,,Ingram International Inc,9781119551911,0
Central Bank Digital Currency and Fintech in Asia,https://www.eslite.com/product/1001294883867205,,Ingram International Inc,9784899742135,0
"Victory or Death?: Blockchain, Cryptocurrency & the FinTech World",https://www.eslite.com/product/1001294883511744,Patrick L. Young,Ingram International Inc,9788362627059,0
"The Future of Finance: The Impact of Fintech, Ai, and Crypto on Financial Services",https://www.eslite.com/product/1001294883596868,Henri Arslanian ; Fabrice Fischer,Ingram International Inc,9783030145323,0
Disrupting Finance: Fintech and Strategy in the 21st Century,https://www.eslite.com/product/1001294883564266,,Ingram International Inc,9783030023294,0
當代最新哲學應用: AI、基因科技、FinTech、貧富差距、宗教對立、環境破壞…這本書都能找到答案,https://www.eslite.com/product/1001110932693836,岡本裕一郎,時報文化出版企業股份有限公司,9789571374635,https://s.eslite.dev/upload/product/l/2681606682005/ec1503465.jpg
"The InsurTech Book: The Insurance Technology Handbook for Investors, Entrepreneurs and FinTech Visionaries",https://www.eslite.com/product/1001294883563518,Sabine L. B. Vanderlinden ; Millie ; Nicole Anderson,Ingram International Inc,9781119362210,0
創富區塊鏈: 從比特幣到FinTech即將改變世界商業規則的科技新趨勢,https://www.eslite.com/product/1001144562672889,許庭榮/ 彭冠今,布克文化出版事業部,9789579699136,https://s.eslite.dev/Upload/Product/201805/l/636610621108826250.jpg
Cryptocurrency: 4 Books in 1,https://www.eslite.com/product/1001294883741362,Fintech Publishing,Ingram International Inc,9781981518302,0
The Smart Financial Advisor: How Financial Advisors Can Thrive by Embracing Fintech and Goals-Based Investing,https://www.eslite.com/product/1001294883641029,Bill Martin,Ingram International Inc,9780857195838,0
"Blockchain: A Beginner's Guide To Understanding And Mastering Of Blockchain (FinTech, Bitcoin, Cryptocurrencies, Future Of Money,",https://www.eslite.com/product/1001294883740724,Eliot Reznor,Ingram International Inc,9781548978693,0
"Blockchain: Blockchain, Smart Contracts, Investing in Ethereum, FinTech",https://www.eslite.com/product/1001294883253011,Jeff Reed,Ingram International Inc,9781539692775,0
秒懂金融科技,https://www.eslite.com/product/1001113692766870,Agustin Rubini,碁峰資訊股份有限公司,9789865021481,https://s.eslite.dev/Upload/Product/201905/l/636942838153795000.jpg
Python網頁程式交易APP實作: Web+MySQL+Django (第2版),https://www.eslite.com/product/1001120322697661,林萍珍,博碩文化股份有限公司,9789864343171,https://s.eslite.dev/Upload/Product/201808/l/636687957631330000.jpg
寫給未來社會的新帳本-區塊鏈: 人類的新型貨幣、終極信任機器與分散治理革命,https://www.eslite.com/product/1001245592594943,龔鳴,大寫出版,9789865695750,https://s.eslite.dev/Upload/Product/201705/l/636311250755060000.jpg
價值網,https://www.eslite.com/product/1001139912597852,Chris Skinner,財團法人台灣金融研訓院,9789863991014,https://s.eslite.dev/upload/product/l/2681462637003/680908.jpg
瞬時競爭力: 5G時代打通管理和領導任督二脈的組織新能力,https://www.eslite.com/product/1001110932862638,顏長川,時報文化出版企業股份有限公司,9789571383002,https://s.eslite.dev/Upload/Product/202008/l/637333363219147500.jpg
金融科技知識題庫 (2021/郵政招考),https://www.eslite.com/product/1001165052868412,陳金知,鼎文書局股份有限公司,9789869937559,https://s.eslite.dev/upload/product/l/2681912949007/20200821042707025826.jpg
貨幣銀行學: 在地觀點．國際視野 (第3版/2020年),https://www.eslite.com/product/1001130482863692,徐千婷,雙葉書廊有限公司,9789579096812,https://s.eslite.dev/Upload/Product/202008/l/637321272284322500.jpg
最新計算機概論 (第9版),https://www.eslite.com/product/1001113692845920,陳惠貞,碁峰資訊股份有限公司,9789865024710,https://s.eslite.dev/upload/product/l/2681881106005/20200514032623641588.jpg
財金時間序列分析: 使用R語言 (附CD-ROM),https://www.eslite.com/product/1001116712836253,林進益,五南圖書出版股份有限公司,9789577637604,https://s.eslite.dev/upload/product/l/2681866807002/20200328032249677057.jpg
金融科技、人工智慧與法律,https://www.eslite.com/product/1001116712830613,汪志堅/ 王志誠/ 熊全迪/ 杜怡靜/ 温演福/ 陳玉芬/ 王震宇/ 陳皓芸/ 汪志勇/ 陳純德,五南圖書出版股份有限公司,9789577638434,https://s.eslite.dev/upload/product/l/2681860334009/20200305120900810806.jpg
金融科技: 基礎與應用,https://www.eslite.com/product/1001130482826969,翁禮祺,雙葉書廊有限公司,9789579096652,https://s.eslite.dev/Upload/Product/202002/l/637172666963757500.jpg
鄉民的金融科技能量包,https://www.eslite.com/product/1001139912829127,黃崇哲/ 藍弋丰,財團法人台灣金融研訓院,9789863991717,https://s.eslite.dev/Upload/Product/202002/l/637182168002507177.jpg
當代金融市場,https://www.eslite.com/product/1001127912824895,謝劍平,元照出版有限公司,9789575112622,https://s.eslite.dev/Upload/Product/202002/l/637164021009453652.jpg
圖解IT基本力: 256個資訊科技關鍵字全圖解,https://www.eslite.com/product/1001118562812072,增井敏克,商周出版,9789864777679,https://s.eslite.dev/Upload/Product/201912/l/637119090617053750.jpg
2020新趨勢計算機概論,https://www.eslite.com/product/1001113692758227,陳惠貞,碁峰資訊股份有限公司,9789865020866,https://s.eslite.dev/Upload/Product/201911/l/637100195646860000.jpg
"三個月交不出成果, 就等於失敗! 告別無效努力的Google三個月循環工作術",https://www.eslite.com/product/1001118562736500,佐佐木大輔,商周出版,9789864775927,https://s.eslite.dev/Upload/Product/201901/l/636821010890485000.jpg
從破壞開始的成功商業模式: 後發也能制人的大前流戰略思考,https://www.eslite.com/product/1001125122716648,大前研一,台灣角川股份有限公司,9789575645977,https://s.eslite.dev/Upload/Product/201811/l/636789045065079066.jpg
現代投資學: 分析與管理,https://www.eslite.com/product/1001114382757722,謝劍平,智勝文化事業有限公司,9789574358267,https://s.eslite.dev/Upload/Product/201911/l/637100189190610000.jpg
投資學: 基本原理與實務,https://www.eslite.com/product/1001114382686703,謝劍平,智勝文化事業有限公司,9789574355594,https://s.eslite.dev/Upload/Product/201806/l/636644756198830000.jpg
最新計算機概論: 適合資電、理工 (第8版),https://www.eslite.com/product/1001113692677041,陳惠貞,碁峰資訊股份有限公司,9789864767960,https://s.eslite.dev/upload/product/l/2681579237004/ec1471981.jpg
機器人崛起: AI人工智慧理財新標竿,https://www.eslite.com/product/1001148512642050,劉宗聖/ 黃昭棠/ 張明珠/ 張勝原/ 賴盈良/ 呂彥慧/ 黃漢昌,經濟日報股份有限公司,9789869456159,https://s.eslite.dev/upload/product/l/2681529267006/ec1400291.jpg
電腦網路概論與實務 (第7版),https://www.eslite.com/product/1001113692637250,蕭文龍/ 徐瑋廷,碁峰資訊股份有限公司,9789864766345,https://s.eslite.dev/upload/product/l/2681522624004/ec1390425.jpg
"企業需要的創新地圖 II: 新生意, 從數位經濟做起",https://www.eslite.com/product/1001288752629054,周樹林/ 王義智/ 姜漢儀/ 郭建良/ 郭戎晉/ 楊政霖/ 簡祐延,財團法人資訊工業策進會產業情報研究所(MIC),9789575817350,https://s.eslite.dev/Upload/Product/201710/l/636427026398986250.jpg
圖解金融科技與數位銀行,https://www.eslite.com/product/1001116712627125,伍忠賢; 沈中華/ 校閱,五南圖書出版股份有限公司,9789571193861,https://s.eslite.dev/Upload/Product/201709/l/636417522280090364.jpg
