ISBN,書籍簡介
9789864768684,用Python開發Web應用程式“本書第二版保留了Miguel部落格文章的傳統及第一版的內容，兩者的結合讓我充分學會Flask，包括資料庫整合與開發。”—Jason Myers《Essential SQLAlchemy 第二版》(O'Reilly)作者使用Python微框架Flask並充分運用創造力來建構Web應用程式！藉由作者Miguel Grinberg開發的完整app，你會從基礎開始學習Flask。全面修改後的第二版加入了過去三年來重要的技術沿革。你可以從中學到這個框架的核心功能，並且運用進階的網路技術(例如資料庫遷移和應用程式開發介面)來擴充app。本書會在每一章的第一個部分做主題與背景的介紹，在第二個部分帶著你實際操作。你只要用過Python，就可以充分運用Flask提供的自由創造力。本書包含三個部分：●詳細介紹Flask：說明以Flask開發web app的基本知識，以及適合中、大型app的app架構●組建Flasky：逐步說明如何重複使用模板、為清單分頁、以及如何使用豐富文字來建立開放原始碼的部落格app●完成最後一里路：深入探討Flask app的單元測試策略、效能分析技術，以及部署選項
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：7.4X7.4X22.6CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：9.1X9.1X23.9CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：7.4X7.4X16CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,口徑:58mm重量:50g適用水瓶:21oz含以下材質：PP聚丙烯（不含雙酚A）
,"美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。"
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,口徑:58mm重量:50g適用水瓶:21oz含以下材質：PP聚丙烯（不含雙酚A）
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：7.4X7.4X16CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：7.4X7.4X22.6CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用 18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,"美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用 【曾獲2016紅點設計大獎】-獲獎為標準口系列的18oz/32oz/64oz-不滑手的觸感，味道不轉移保冷最高可達24小時保溫最高可達12小時(如果希望保溫效果延長,可以先溫杯)【TempShield雙壁真空絕緣技術】可保存瓶內飲料的溫度同時，完全隔絕內部溫度傳遞至瓶身外絕不燙手或感到冷凝【食品級18/8級不鏽鋼】均用18/8級的不?鋼製成其強度和純度常為高級器皿所使用味道不轉移，讓今天的拿鐵不會像昨日的檸檬水一樣酸澀【無毒粉霧】瓶身使用無毒粉霧塗層，不滑手的觸感比起亮面更耐刮耐髒，到哪都攜帶輕鬆無負擔"
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：7.4X7.4X16CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。保溫杯／瓶／罐材質:瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用 18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,"美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。"
,"【曾獲2016紅點設計大獎】-獲獎為標準口系列的18oz/32oz/64oz-不滑手的觸感，味道不轉移保冷最高可達24小時保溫最高可達12小時(如果希望保溫效果延長,可以先溫杯)【TempShield雙壁真空絕緣技術】可保存瓶內飲料的溫度同時，完全隔絕內部溫度傳遞至瓶身外絕不燙手或感到冷凝【食品級18/8級不鏽鋼】均用18/8級的不?鋼製成其強度和純度常為高級器皿所使用味道不轉移，讓今天的拿鐵不會像昨日的檸檬水一樣酸澀【無毒粉霧】瓶身使用無毒粉霧塗層，不滑手的觸感比起亮面更耐刮耐髒，到哪都攜帶輕鬆無負擔"
,
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：9.1X9.1X23.9CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,
,彈性防滑瓶套/ M尺寸：10.8X16.2X5CM材質：PP聚丙烯（不含雙酚A）
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用 18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,"美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。"
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。產品規格保溫杯／瓶／罐尺寸：7.4X7.4X22.6CM材質：瓶身: 18/8不鏽鋼; 瓶蓋: PP聚丙烯
,
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,口徑:58mm重量:50g適用水瓶:21oz含以下材質：PP聚丙烯（不含雙酚A）
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,TempShield雙層真空保溫/冷技術，是以18/8高品質食用等級不鏽鋼製成18/8代表了鉻和鎳在不鏽鋼中的比例鉻聚丙烯（pp#5）製作的瓶蓋安全且不含雙酚A（BPA FREE）產品規格尺寸：7.4X7.4X17.5CM材質：18/8食用等級不鏽鋼
,TempShield雙層真空保溫/冷技術，是以18/8高品質食用等級不鏽鋼製成18/8代表了鉻和鎳在不鏽鋼中的比例鉻聚丙烯（pp#5）製作的瓶蓋安全且不含雙酚A（BPA FREE）產品規格尺寸：7.4X7.4X17.5CM材質：18/8食用等級不鏽鋼
,誠品網路會員結帳享9折（特價商品不再折扣）雙層真空保溫/冷技術，以18/8高品質食用等級不鏽鋼製成瓶蓋安全且不含雙酚A尺寸：9.1X9.1X23CM材質：18/8食用等級不鏽鋼
,TempShield雙層真空保溫/冷技術，是以18/8高品質食用等級不鏽鋼製成18/8代表了鉻和鎳在不鏽鋼中的比例鉻聚丙烯（pp#5）製作的瓶蓋安全且不含雙酚A（BPA FREE）尺寸：7.4X7.4X17.5CM材質：18/8食用等級不鏽鋼
,誠品網路會員結帳享9折（特價商品不再折扣）Hydro Flask Hydration雙層不鏽鋼水瓶/ 海洋藍/ 12oz/ 寬口尺寸：74X74X175CM材質：18/8食用等級不鏽鋼
,"提供水瓶額外的防護、防滑★★★★注意★★★★S號瓶套適用 12-21oz 保溫杯超於21oz 之保溫杯不適用M號瓶套適用於 32oz 保溫杯小於32oz 之保溫杯不適用【曾獲2016紅點設計大獎】-獲獎為寬口系列的18oz/32oz/64oz-不滑手的觸感，味道不轉移保冷最高可達24小時保溫最高可達12小時(如果希望保溫效果延長,可以先溫杯)【TempShield雙壁真空絕緣技術】可保存瓶內飲料的溫度同時，完全隔絕內部溫度傳遞至瓶身外絕不燙手或感到冷凝【食品級18/8級不鏽鋼】均用18/8級的不銹鋼製成其強度和純度常為高級器皿所使用味道不轉移，讓今天的拿鐵不會像昨日的檸檬水一樣酸澀【無毒粉霧】瓶身使用無毒粉霧塗層，不滑手的觸感比起亮面更耐刮耐髒到哪都攜帶輕鬆無負擔杯子／相關品口徑:90mm重量:50g適用水瓶:32oz材質:矽氧樹脂"
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用 18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
,美國第一水瓶品牌，TempShield™雙層真空保溫冷技術，可以保存瓶內任何飲料的溫度；所有產品均用18/8食用等級不鏽鋼製成；瓶身使用無毒粉霧塗層，不滑手觸感。
