書名,書籍網址,作者,出版社,ISBN,圖片網址
"Introduction to Game Design, Prototyping, and Development",https://www.eslite.com/product/1001294883038622,Jeremy Gibson Bond,Ingram International Inc,9780136619949,0
Introduction to Game Systems Design,https://www.eslite.com/product/1001294884295729,Dax Gazaway,Ingram International Inc,9780137440849,0
Elements of Game Design,https://www.eslite.com/product/1001294884034816,Robert Zubek,Ingram International Inc,9780262043915,https://s.eslite.dev/upload/ean/9780262043915.jpg
Esports: Game Design,https://www.eslite.com/product/1001294884146706,Josh Gregory,Ingram International Inc,9781534170582,0
Esports: Game Design,https://www.eslite.com/product/1001294884153787,Josh Gregory,Ingram International Inc,9781534168909,0
"The Art of Game Design: A Book of Lenses, Third Edition",https://www.eslite.com/product/1001294884120456,Jesse Schell,Ingram International Inc,9781138632059,https://s.eslite.dev/upload/ean/9781138632059.jpg
The Basics of Game Design,https://www.eslite.com/product/1001294883272208,Heather E. Schwartz,Ingram International Inc,9781543571516,https://s.eslite.dev/upload/ean/9781543571516.jpg
Board Game Design Advice: From the Best in the World,https://www.eslite.com/product/1001294883167326,Gabe Barrett,Ingram International Inc,9781094914244,https://s.eslite.dev/upload/ean/9781094914244.jpg
Game Design: Next Level,https://www.eslite.com/product/1001294883323854,,Ingram International Inc,9781584237303,0
Educational Game Design Fundamentals: A Journey to Creating Intrinsically Motivating Learning Experiences,https://www.eslite.com/product/1001294884318406,George Kalmpourtzis,Ingram International Inc,9781138631540,0
Video Game Design: The Student Handbook,https://www.eslite.com/product/1001294883611698,Ryan W. McClellan,Ingram International Inc,9781718751064,https://s.eslite.dev/upload/ean/9781718751064.jpg
"Introduction to Game Design, Prototyping, and Development: From Concept to Playable Game with Unity and C#",https://www.eslite.com/product/1001294883108143,Jeremy Gibson Bond,Ingram International Inc,9780134659862,0
E-Sports Game Design,https://www.eslite.com/product/1001294884224216,Cecilia Pinto McCarthy,Ingram International Inc,9781599538921,0
"3D Game Design with Unreal Engine 4 and Blender: Design and create immersive, beautiful game environments with the versatility of Unreal Engine 4 and",https://www.eslite.com/product/1001294884056556,Justin Plowman,Ingram International Inc,9781785881466,https://s.eslite.dev/upload/ean/9781785881466.jpg
