ISBN,書籍簡介
9780136619949,"A hands-on book that explains concepts by doing, Introduction to Game Design, Prototyping, and Development, Third Edition,  takes readers through the process of making both paper and digital game prototypes. Rather than focusing on a single tutorial, as most Unity books have done, this book explores several small prototypes, reinforcing critical concepts through repetition from project to project. Author Jeremy Gibson Bond's approach creates a stable of base projects that serve as starters for readers looking to create their own games), while skipping the aspects of project creation (e.g. modeling, animation, etc.) that are less central to this book. Intermediate readers may browse this book for a tutorial that clarifies the specific prototyping or programming concept that they wish to learn.  This book begins with an introduction to general game design concepts and basic programing concepts. C# is the chosen language used in this book, and it is easy to learn and enforces good coding practices. Game prototyping and programming tutorials use Object-Oriented Programming (OOP), the standard for coding over the past 30+ years, in addition to the new Data-Oriented Technology Stack (DOTS) and Entity Component System (ECS), providing a well-rounded approach. Game development concepts covered help readers find further resources to expand their game design knowledge. "
9780137440849,"Dax Gazaway was raised in a gamer family. His parents met in a Dungeons & Dragons group, and he was surrounded with games being played and made. From a very early age, Dax was fascinated by the numbers in games. He would pour over monster manuals and board game books, dissecting the rules to figure out how the systems worked.  Dax started in the video game industry in the late 1990s. During his tenure in the industry, Dax pioneered game system design at multiple independent and AAA studios, helping to refine and define the subdiscipline. In recent years, he has become a course director at Full Sail University, specializing in teaching new students the concepts and tools of the system designer. Dax has created new curriculum and multiple classes for system design students, and he teaches introduction to system design courses.  The following is a selection of Dax's game design credits:  Star Wars: Obi-Wan, System and level designer Star Wars: Jedi Starfighter, System and level designer and QA liaison Star Wars: Bounty Hunter: System and level designer Gladius: System designer Syphon Filter franchise: Lead designer and system designer Spider Man 3: Lead system designer Marvel Ultimate Alliance 2: Lead system designer Guitar Hero franchise: System designer  In addition, Dax has been the studio lead system designer for Row Sham Bow Games and a system design consultant for multiple projects. "
9780262043915,"An introduction to the basic concepts of game design, focusing on techniques used in commercial game production.This textbook by a well-known game designer introduces the basics of game design, covering tools and techniques used by practitioners in commercial game production. It presents a model for analyzing game design in terms of three interconnected levels--mechanics and systems, gameplay, and player experience--and explains how novice game designers can use these three levels as a framework to guide their design process. The text is notable for emphasizing models and vocabulary used in industry practice and focusing on the design of games as dynamic systems of gameplay.The book first introduces the core model and framework for analyzing and designing games. It then discusses the three levels in detail, explaining player experience and identifying design goals; introducing low-level structural analysis of gameplay in terms of basic mechanics; describing how mechanics build up into systems; and presenting concepts for understanding gameplay, defined as the dynamic behavior of players when they interact with mechanics and systems. Finally, the book offers students advice on creating game prototypes using an iterative, user-centered process. Each chapter offers a set of exercises for individuals and design challenges for groups."
9781534170582,"Esports competitions have become a world-wide phenomenon with millions of viewers and fans. Learn about the different components of creating a game, from coding and art development, to marketing and advertisements. Aligned with curriculum standards, these books also highlight key 21st Century content including information, media, and technology skills. Engaging content and hands-on activities encourage creative and design thinking. Book includes table of contents, glossary, index, author biography, and sidebars."
9781534168909,"Esports competitions have become a world-wide phenomenon with millions of viewers and fans. Learn about the different components of creating a game, from coding and art development, to marketing and advertisements. Aligned with curriculum standards, these books also highlight key 21st Century content including information, media, and technology skills. Engaging content and hands-on activities encourage creative and design thinking. Book includes table of contents, glossary, index, author biography, and sidebars."
9781138632059,"The Art of Game Design guides you through the design process step-by-step, helping you to develop new and innovative games that will be played again and again. It explains the fundamental principles of game design and demonstrates how tactics used in classic board, card and athletic games also work in top-quality video games. Good game design happens when you view your game from as many perspectives as possible, and award-winning author Jesse Schell presents over 100 sets of questions to ask yourself as you build, play and change your game until you finalise your design. This latest third edition includes examples from new VR and AR platforms as well as from modern games such as Uncharted 4 and The Last of Us, Free to Play games, hybrid games, transformational games, and more.Whatever your role in video game development an understanding of the principles of game design will make you better at what you do. For over 10 years this book has provided inspiration and guidance to budding and experienced game designers - helping to make better games faster. "
9781543571516,Skyrim with its in-depth world building and talented design didn't just happen overnight. It took years of planning and hard work. But every game designer started where you are now. Find out how you can get started to make successful game design.
9781094914244,"Take your games to the next level with advice from more than 100 of the best board game designers in the world. Game design is hard. We all need sound advice to guide our work and help us become better at the craft. In this book, you'll find incredible wisdom and insight from the top designers in the industry today. You will learn: The advice Rob Daviau would give his younger self.How Matt Leacock gets into the zone and flow of design.Lessons Jamey Stegmaier learned from his biggest failure.Donald X. Vaccarino's advice on pitching a game to a publisher.The behavior that has helped Ryan Laukat's designs dramatically improve. What Bruno Cathala would tell you after a discouraging playtest.And much more!"
9781584237303,0
9781138631540,"Can we learn through play? Can we really play while learning?Of course! But how?!We all learn and educate others in our own unique ways. Successful educational games adapt to the particular learning needs of their players and facilitate the learning objectives of their designers. Educational Game Design Fundamentals embarks on a journey to explore the necessary aspects to create games that are both fun and help players learn. This book examines the art of educational game design through various perspectives and presents real examples that will help readers make more informed decisions when creating their own games. In this way, readers can have a better idea of how to prepare for and organize the design of their educational games, as well as evaluate their ideas through several prisms, such as feasibility or learning and intrinsic values.Everybody can become education game designers, no matter what their technical, artistic or pedagogic backgrounds. This book refers to educators and designers of all sorts: from kindergarten to lifelong learning, from corporate training to museum curators and from tabletop or video game designers to theme park creators!"
9781718751064,"Are you a video game design student? Did you know there was more to it than merely design? There is an entire business surrounding the video game industry, and chances are you do not even know how it works.This is because most video game design schools do not teach business; they go straight to the fun stuff, which may be good...until you find out that you can't locate a job without knowledge of how the video game industry works.This book explains everything you need to know, from design and development, to business, and more. Let this book envelop your life's work  And don't forget: you have absolute power"
9780134659862,"Master the Unity Game Engine to Design and Develop Games for Web, Mobile, Windows, macOS, and More   If you want to design and develop games, there's no substitute for strong hands-on experience with modern techniques and tools--and that is exactly what this book provides. The first edition was frequently the top-selling game design book on Amazon, with more than 70% of the reviews being 5 stars. In a testament to the iterative process of design, this new edition includes hundreds of improvements throughout the text, all designed to make the book easier to understand and even more useful. This book was written with Unity 2017; the book.prototools.net website will cover changes for later versions of the software. Award-winning game designer and professor Jeremy Gibson Bond has spent more than a decade teaching game design and building great games. In that time, his most successful students have been those who combine knowledge of three critical disciplines: game design theory, rapid iterative prototyping, and practical programming. In this book, Bond distills the most important aspects of all three disciplines into one place. Part I: Game Design and Paper Prototyping - The Layered Tetrad framework: a synthesis of 50 years of game design theory - Proven practices for brainstorming and refining game designs through the iterative process of design - Methods and tools to manage game projects and small teams - Processes to make playtesting and feedback easier Part II: Digital Prototyping with Unity and C# - Chapters that guide you through learning C# the right way - Instruction that takes you from no prior programming knowledge through object-oriented programming - Deep exploration of Unity, today's most popular game engine on both macOS and Windows - Methods for understanding and debugging code issues you encounter Part III: Game Prototype Examples and Tutorials - In-depth tutorials for seven different game prototypes, including a simple action game, a space shooter, a solitaire card game, a word game, and a top-down adventure - Instructions to compile these games for PC, web, or any of the dozens of other release platforms supported by Unity - Improved structure and layout that makes the steps of each tutorial easier to follow - A completely new Dungeon Delver prototype not present in the first edition "
9781599538921,0
