書名,書籍網址,作者,出版社,ISBN,圖片網址
Nginx HTTP Server - Fourth Edition,https://www.eslite.com/product/1001294884036839,Martin Fjordvald ; Clement Nedelcu,Ingram International Inc,9781788623551,0
Apache HTTP Server Documentation Version 2.5,https://www.eslite.com/product/1001294883779429,Apache Software Foundation,Ingram International Inc,9781680921489,0
HTTP: The Definitive Guide,https://www.eslite.com/product/1001294883538212,David Gourley ; Brian Totty ; Marjorie Sayer,Ingram International Inc,9781565925090,0
晉升成HTTP一代宗師: 用java實作 (好評絕賣版),https://www.eslite.com/product/1001239292877007,肖佳,佳魁資訊股份有限公司,9789863798033,https://s.eslite.dev/upload/product/l/2681925294002/20200925041815021935.jpg
晉升成HTTP一代宗師: 用Java實作,https://www.eslite.com/product/1001301192742245,肖佳,佳魁數位,9789863797388,https://s.eslite.dev/Upload/Product/201901/l/636840883273763750.jpg
網路封包大剖析: HTTP介面自動化測試原理,https://www.eslite.com/product/1001313432682041336003,肖佳,深智數位股份有限公司,9789860776096,https://s.eslite.dev/upload/product/l/2682041336003/20210706093928631879.jpg
"Automating and Testing a REST API: A Case Study in API testing using: Java, REST Assured, Postman, Tracks, cURL and HTTP Proxies",https://www.eslite.com/product/1001294883148194,Alan J. Richardson,Ingram International Inc,9780956733290,0
The Key Race: A Powerhouse Tool for Handicapping Thoroughbreds: HTTP: //Sports-Bet-Advantage.com,https://www.eslite.com/product/1001294883851349,Bob Pitlak,Ingram International Inc,9781432757571,0
http://www.bitbit.com.hk,https://www.eslite.com/product/1001136381966499,小克,三聯書店（香港）有限公司,9789620430183,https://s.eslite.dev/upload/product/l/2680520575004/57634.jpg
FINEBOYS靴 (No.11),https://www.eslite.com/product/10099135242713438,日之出出版,マガジンハウス,,https://s.eslite.dev/Upload/Product/201810/l/636741590000338750.jpg
臉頰貼緊月球 (180克德版黑膠唱片),https://www.eslite.com/product/1004123602282747,雷光夏,台灣索尼音樂娛樂股份有限公司,0888837918213,https://s.eslite.dev/upload/product/l/2680826434005/ec766215.jpg
臉頰貼緊月球,https://www.eslite.com/product/1004123601162953,雷光夏,台灣索尼音樂娛樂股份有限公司,4716331992827,https://s.eslite.dev/upload/product/l/2631018229008/ec21610.jpg
Thriller: 25th Anniersary Edition (2LP/180g Vinyl),https://www.eslite.com/product/1004123601776689,"Jackson, Michael",台灣索尼音樂娛樂股份有限公司,0886972334417,https://s.eslite.dev/upload/product/l/2680339463004/20210628160148323105.jpg
花女小王子,https://www.eslite.com/product/1001168672875770,陳書敏,白象文化事業有限公司,9789865526856,https://s.eslite.dev/upload/product/l/2681923413009/20200919034348602357.jpg
3次元男子戀愛攻略 5,https://www.eslite.com/product/1001125622875636,灰野都,尖端出版,9789571091020,https://s.eslite.dev/upload/product/l/2681923280007/20200918034854133323.jpg
神奇的互聯網: 互聯網基礎概念和知識,https://www.eslite.com/product/1001224182877054,Jackei Wong,花千樹出版有限公司,9789888484690,https://s.eslite.dev/upload/product/l/2681925344004/20200925041045783630.jpg
KODU遊戲設計程式開發輕鬆玩,https://www.eslite.com/product/1001299212877009,陳美琪,上奇資訊,9789865004910,https://s.eslite.dev/upload/product/l/2681925296006/20200925041818619937.jpg
再強一點: 用Go語言完成6個大型專案,https://www.eslite.com/product/1001313432873993,陳劍煜/ 徐新華,深智數位股份有限公司,9789865501501,https://s.eslite.dev/upload/product/l/2681921065002/20200911041840627572.jpg
社會工作含概要搶分題庫 (第9版),https://www.eslite.com/product/1001121462868522,陳思緯,考用出版股份有限公司,9789865525088,https://s.eslite.dev/Upload/Product/202008/l/637344595425070000.jpg
R統計軟體與多變量分析,https://www.eslite.com/product/1001116712866621,陳正昌/ 林曉芳,五南圖書出版股份有限公司,9789865221430,https://s.eslite.dev/upload/product/l/2681909898004/20200814033758811127.jpg
中國詩經到鳳還吟孤獨九卷,https://www.eslite.com/product/1001168672868408,荒島,白象文化事業有限公司,9789865526627,https://s.eslite.dev/upload/product/l/2681912945009/20200821042649950816.jpg
TQC+電腦輔助平面製圖認證指南: AutoCAD 2020 (附光碟),https://www.eslite.com/product/1001113692864178,財團法人中華民國電腦技能基金會,碁峰資訊股份有限公司,9789865025380,https://s.eslite.dev/upload/product/l/2681906508005/20200805040654011864.jpg
放肆狂琴: Bass入門、進階與活用 (線上影音版),https://www.eslite.com/product/1001138382862886,詹益成,典絃音樂文化國際事業有限公司,9789866581847,https://s.eslite.dev/Upload/Product/202008/l/637326451639353750.jpg
SPSS與量化研究 (第3版),https://www.eslite.com/product/1001116712872320,凃金堂,五南圖書出版股份有限公司,9789577631053,https://s.eslite.dev/upload/product/l/2681917805001/20200903032848202208.jpg
