ISBN,書籍簡介
9781788623551,0
9781680921489,0
9781565925090,"Behind every web transaction lies the Hypertext Transfer Protocol (HTTP) --- the language of web browsers and servers, of portals and search engines, of e-commerce and web services. Understanding HTTP is essential for practically all web-based programming, design, analysis, and administration.While the basics of HTTP are elegantly simple, the protocol's advanced features are notoriously confusing, because they knit together complex technologies and terminology from many disciplines. This book clearly explains HTTP and these interrelated core technologies, in twenty-one logically organized chapters, backed up by hundreds of detailed illustrations and examples, and convenient reference appendices. HTTP: The Definitive Guide explains everything people need to use HTTP efficiently -- including the black arts and tricks of the trade -- in a concise and readable manner.In addition to explaining the basic HTTP features, syntax and guidelines, this book clarifies related, but often misunderstood topics, such as: TCP connection management, web proxy and cache architectures, web robots and robots.txt files, Basic and Digest authentication, secure HTTP transactions, entity body processing, internationalized content, and traffic redirection.Many technical professionals will benefit from this book. Internet architects and developers who need to design and develop software, IT professionals who need to understand Internet architectural components and interactions, multimedia designers who need to publish and host multimedia, performance engineers who need to optimize web performance, technical marketing professionals who need a clear picture of core web architectures and protocols, as well as untold numbers of students and hobbyists will all benefit from the knowledge packed in this volume.There are many books that explain how to use the Web, but this is the one that explains how the Web works. Written by experts with years of design and implementation experience, this book is the definitive technical bible that describes the why and the how of HTTP and web core technologies. HTTP: The Definitive Guide is an essential reference that no technically-inclined member of the Internet community should be without."
9789863798033,HTTP封包截取利用Fiddler封包截取工具來捕獲HTTP資料包，然後進行重發、編輯等操作。HTTP封包截取的用途非常廣泛，主要用於Web開發偵錯、軟體自動化測試、介面自動化測試、性能測試和網路爬蟲等方面。也用來檢查網路安全。封包截取也經常被用來進行資料截取等。
9789863797388,HTTP封包截取利用Fiddler封包截取工具來捕獲HTTP資料包，然後進行重發、編輯等操作。 HTTP封包截取的用途非常廣泛，主要用於Web開發偵錯、軟體自動化測試、介面自動化測試、性能測試和網路爬蟲等方面。也用來檢查網路安全。封包截取也經常被用來進行資料截取等。 全書共有22章，著重介紹HTTP協議、如何使用Fiddler對HTTP進行封包截取，如何對HTTP進行分析，使用JMeter等工具來發送HTTP封包以實現軟體的自動化測試。 本書適用讀者：適合前端開發工程師、測試工程師、線上故障支援人員、介面開發和Web 開發人員，或對自動化測試感興趣者。
9789860776096,"用Fiddler、Wireshark、JMeter、Selenium玩轉網路封包 自動化、測試、秒殺、搶票最佳實戰 本書不僅全面介紹如何使用Fiddler 進行HTTP 封包截取，還提供豐富的應用場景實戰範例。除了介紹HTTP 封包截取及其應用，還介紹許多Web應用方面的相關知識。全書內容深入淺出、圖文並茂，閱讀起來非常輕鬆。對HTTP 封包截取技術的知識系統重新進行了梳理，加入了作者在工作中新的實踐、新的歸納。 全書分為30章，每章的內容都搭配實例和大量的圖片，方便讀者參考並動手實踐。讀者可以很快學完一章，每學一章都會有成就感。 第1～11章中補充了一些HTTP的知識，包括如何使用Fiddler來抓HTTP封包、如何分析HTTP封包。 第12～22章則介紹如何透過JMeter、Postman和Python+requests來發送HTTP封包，以實現軟體自動化測試和介面的自動化測試。 第23～26章中，透過列舉很多有意思的案例，介紹如何使用封包截取工具來實現安全測試和性能測試。 最後的第27～30章，則運用本書所說明的內容，實現幾個日常生活中應用比較廣泛的綜合實例。 適合讀者群 前端開發工程師、測試工程師、線上故障排除技術人員、介面開發人員和Web開發人員。"
9780956733290,"Have you ever wished that you had a worked example of how to test a REST API? Not just automate the API, but how to interact with it, using command line and GUI tools, to support your manual interactive testing. Then take your testing forward into automating the API? That's what this book provides. A step by step case study covering: - How to read the REST API documentation.- How to tell if the application is using the API.- How to interact with the API from the command line with cURL.- Automating with BASH and Windows Command Line.- Sending API requests through an HTTP Proxy so you can see in detail the requests and responses.- How to use HTTP Proxies to create data in the application through Fuzzing.- Postman REST API GUI tool.- Automate 'under the GUI' parts of the application that don't have an API.- Automate the API with Java using REST Assured.- Build abstraction code to make your automated efforts readable and maintainable.- JSON and XML parsing with Serialization and Deserialization.The book is fully supported by executable code which you can find on GitHub, and the support page for the book has sample videos showing some of the early steps in the case study in detail. By working through this case study you will be able to interact with an API from the command line, GUI tools, HTTP messages in Proxies and with Java code. Over the last few years, the Author has used the Open Source Tracks application as an example testing target to teach: Technical Web Testing, Automating GUIs and REST API Testing. This book collates the preparatory work and teaching from the REST API workshops. The code from the workshops is included: for creating users, generating random data, testing basic API calls with PUT, GET, POST and DELETE. Also the early steps of exploring and investigating the API interactively to support manual technical testing are explained in depth"
9781432757571,0
9789620430183,十年前一個胎死腹中的概念網址；八年前一個攔腰被斬的漫畫專欄；一直叫作者念念不忘的一眾動物角色；小克續未了綠，親身跑進互聯網細意觀察，運用其擅長的擬人法，畫出虛擬世界的熱鬧與荒誕。這不是一個網址，這是一部關於網絡世界的反智寓言書。
,用鞋子來穿出個性隨著年齡增長，似乎缺少了年輕時的冒險精神，但是時尚其實就是冒險，如果不能夠大膽挑戰就無法穿出屬於自己的個性。近年來，最受到矚目的球鞋，但許多人因為年齡的關係而不敢嘗試，其實只要選對球鞋也同樣可以穿出成熟感。本期首先要以「球鞋與衣服之間的最佳關係」為主題，來為大家介紹適合成熟大人的球鞋穿搭。另外，隨著球鞋熱潮不斷延燒，各大品牌也紛紛推出全新球鞋。從今年秋冬最受矚目的NIKE SPORTSWEAR開始，本期將要為大家介紹今年秋冬最受矚目的球鞋，並且還要依照「登」、「走」、「雨」、「樂」…等用途來介紹適合的鞋子。用鞋子來穿出個性，打造時尚所不可缺少的鞋子，本期將要為大家介紹最新作、定番、跨界合作、限定…等話題鞋子。P.13P.25P.36P.48P.60P.100P.110P.124
