書名,書籍網址,作者,出版社,ISBN,圖片網址
INFORMATION SYSTEMS PROJECT MANAGEMENT (2 ED.),https://www.eslite.com/product/1002140981010522,"HALLOWS, JOLYON",AMERICAN MANAGEMENT ASSOCIATION,9780814472736,https://s.eslite.dev/upload/product/l/2611394703002/ec6036.jpg
"Service Management: Operations, Strategy, Information Technology (9 Ed.)",https://www.eslite.com/product/1002114562686081,Sanjeev Bordoloi/ James A. Fitzsimmons/ Mona J. Fitzsimmons,美商麥格羅希爾國際股份有限公司台灣分公司,9781260092424,https://s.eslite.dev/Upload/Product/201908/l/637027535910138750.jpg
"Records Management at the Heart of Business Processes: Validate, Protect, Operate and Maintain the Information in the Digital Environment",https://www.eslite.com/product/1001294883275013,Florence Ott,Ingram International Inc,9781785480430,0
Nonprofit Management: Full Of Fantastic Information For The Way We Build Our Organization: Transform The Nonprofits,https://www.eslite.com/product/1001294883966272,Horace Schrenk,Ingram International Inc,9798507452033,0
Interactive Multimodal Information Management,https://www.eslite.com/product/1001294884298938,Hervé Bourlard,Ingram International Inc,9782940222711,0
Proceedings of the Second International Conference on Information Management and Machine Intelligence: ICIMMI 2020,https://www.eslite.com/product/1001294883631327,,Ingram International Inc,9789811596889,0
"Today's Health Information Management: An Integrated Approach, Loose-Leaf Version",https://www.eslite.com/product/1001294883823353,Dana C. McWay,Ingram International Inc,9780357510094,0
"Client Profile Log Book: Brown Customer Appointment Management System Log Book, Information Keeper, Record & Organise For Salons, Nail ... Beau",https://www.eslite.com/product/1001294883844823,Temperate Targon,Ingram International Inc,9781716066696,0
Management of Libraries and Information Centers,https://www.eslite.com/product/1001294883776522,P. Balasubramanian,Ingram International Inc,9789387698307,0
Information and Communication Technology and the Management of Schools in Nigeria,https://www.eslite.com/product/1001294883817036,"Ogochukwu, Sr. Honorata Nwosu",Ingram International Inc,9781664210028,0
Information and Communication Technology and the Management of Schools in Nigeria,https://www.eslite.com/product/1001294883816643,"Ogochukwu, Sr. Honorata Nwosu",Ingram International Inc,9781664210004,0
Six Sigma for Everyone: Six Sigma Information Technology Management (Step-by-step Guide to Improve Quality and Eliminate Defects),https://www.eslite.com/product/1001294883831635,Jordan Rossi,Ingram International Inc,9781989744888,0
Client Tracking Book: Client Information Book - Customer Appointment Management System - Customer Profile Book - Appointment Book - Client P,https://www.eslite.com/product/1001294883804167,Jessie Grate,Ingram International Inc,9781716311093,0
"Day Trading For Beginners: Simple And Useful Information To Invest On The Stock Market: Swing And Day Trading, Options, Money Management, Prices",https://www.eslite.com/product/1001294883412123,,Ingram International Inc,9781801119412,0
SAP Information Lifecycle Management: The Comprehensive Guide,https://www.eslite.com/product/1001294884099531,Iwona Luther ; Nicole Fernandes,Ingram International Inc,9781493219599,0
"Medical Appointment Book: Health Care Planner, Notebook To Track Doctor Appointments, Medical Issues, Health Management Log Book, Information, T",https://www.eslite.com/product/1001294883460317,,Ingram International Inc,9781953557087,0
Management Information Systems: Concepts and Implications,https://www.eslite.com/product/1001294883432081,,Ingram International Inc,9781925823837,0
"Headache Journal: Migraine Information Log, Pain Triggers, Record Symptoms, Headcaches Book, Chronic Headache Management Diary, Daily Tr",https://www.eslite.com/product/1001294883410647,,Ingram International Inc,9781649441874,0
"Pain Journal: Daily Track Triggers, Log Chronic Symptoms, Record Doctor & Personal Treatment, Management Information, Patterns Track",https://www.eslite.com/product/1001294884224162,Amy Newton,Ingram International Inc,9781649441560,0
Computer Concepts and Management Information Systems,https://www.eslite.com/product/1001294883363208,,Ingram International Inc,9781683925866,0
(ISC)2 CISSP-ISSMP actual Exam Questions and Answers: CISSP-ISSMP Information Systems Security Management Professional +100 practice exam questions,https://www.eslite.com/product/1001294883669448,Exam Boost,Ingram International Inc,9798648459946,0
Strategic Information Management: Theory and Practice,https://www.eslite.com/product/1001294883086322,,Ingram International Inc,9780367252502,0
Computer-Aided Information Retrieval and Management System from Scientific Documents,https://www.eslite.com/product/1001294882997767,Thanh Cam Nguyen,Ingram International Inc,9783832550813,0
Data Innovations for Transboundary Freshwater Resources Management: Are Obligations Related to Information Exchange Still Needed?,https://www.eslite.com/product/1001294883030458,Christina Leb,Ingram International Inc,9789004428997,0
Iso/Iec 27701: 2019: An introduction to privacy information management,https://www.eslite.com/product/1001294883392444,Alan Shipman ; Steve Watkins,Ingram International Inc,9781787781993,0
Information Security Management Principles: Third edition,https://www.eslite.com/product/1001294883589108,David Alexander ; Amanda Finch,Ingram International Inc,9781780175188,0
Management Basics for Information Professionals,https://www.eslite.com/product/1001294883167825,G. Edward Evans ; Stacey Greenwell,Ingram International Inc,9780838918739,0
Management Basics for Information Professionals,https://www.eslite.com/product/1001294883635271,G. Edward Evans ; Stacey Greenwell,Ingram International Inc,9781783304523,0
Implementing an Information Security Management System: Security Management Based on ISO 27001 Guidelines,https://www.eslite.com/product/1001294883196207,Abhishek Chopra ; Mukund Chaudhary,Ingram International Inc,9781484254127,0
"Information security: risk assessment, management systems, the ISO/IEC 27001 standard",https://www.eslite.com/product/1001294883073024,Cesare Gallotti,Ingram International Inc,9780244149550,0
Novel Theories and Applications of Global Information Resource Management,https://www.eslite.com/product/1001294883362153,,Ingram International Inc,9781799817864,0
"Adaptive Health Management Information Systems: Concepts, Cases, and Practical Applications: Concepts, Cases, and Practical Applications",https://www.eslite.com/product/1001294884112791,Joseph Tan,Ingram International Inc,9781284153897,0
Laboratory Information Management System LIMS A Complete Guide - 2020 Edition,https://www.eslite.com/product/1001294883972089,Gerardus Blokdyk,Ingram International Inc,9780655933793,0
Information Security Risk Management for ISO 27001 / ISO 27002,https://www.eslite.com/product/1001294884050661,Alan Calder ; Steve G. Watkins,Ingram International Inc,9781787781368,0
Information Security Program Management A Complete Guide - 2019 Edition,https://www.eslite.com/product/1001294883967729,Gerardus Blokdyk,Ingram International Inc,9780655813125,0
The Wise Owl Guide To... Dantes Subject Standardized Test (DSST) Management Information Systems,https://www.eslite.com/product/1001294883403280,,Ingram International Inc,9781797880945,0
Mylab MIS with Pearson Etext -- Access Card -- For Management Information Systems: Managing the Digital Firm,https://www.eslite.com/product/1001294883596550,Kenneth Laudon ; Jane Laudon,Ingram International Inc,9780135205563,0
"Facilities Management for Business Incubators: Practical Advice and Information for Design, Construction and Management of 21st Century Business Incub",https://www.eslite.com/product/1001294884122247,Mark S. Long,Ingram International Inc,9781090149848,0
Management Information Systems: Managing the Digital Firm,https://www.eslite.com/product/1001294884034911,Kenneth Laudon ; Jane Laudon,Ingram International Inc,9780135191798,0
"Problem, RIsk, and Opportunity Enterprise Management: How to use language, data, information, and analytics that easily align with the ways we think",https://www.eslite.com/product/1001294884178757,Brian Hagen,Ingram International Inc,9781941075036,0
Information Technology Project Management,https://www.eslite.com/product/1001294883197059,Kathy Schwalbe,Ingram International Inc,9781337101356,0
"Records and Information Management, Second Edition",https://www.eslite.com/product/1001294883390555,,Ingram International Inc,9781783304301,0
Essentials of Health Information Management: Principles and Practices,https://www.eslite.com/product/1001294883196581,Mary Jo Bowie,Ingram International Inc,9781337553674,0
"Lab Manual for Bowie's Essentials of Health Information Management: Principles and Practices, 4th",https://www.eslite.com/product/1001294884115359,Mary Jo Bowie,Ingram International Inc,9781337553698,0
Salon Client Book: Hair Stylist Client Organizer & Client Management System. Including Address Details And Appointment. Information Keepe,https://www.eslite.com/product/1001294883382167,,Ingram International Inc,9781720911944,0
"Ethical Data and Information Management: Concepts, Tools and Methods",https://www.eslite.com/product/1001294883701549,Daragh O. Brien,Ingram International Inc,9780749482046,0
Management of Information Security,https://www.eslite.com/product/1001294883196000,Michael E. Whitman ; Herbert J. Mattord,Ingram International Inc,9781337405713,0
Information Technology for Management,https://www.eslite.com/product/1001294883861883,Efraim Turban,Ingram International Inc,9781118890790,0
Library and Information Center Management,https://www.eslite.com/product/1001294884111517,Barbara B. Moran ; Claudia J. Morner,Ingram International Inc,9781440854477,0
Jersey Cattle: Their Feeding and Management: From Information From The Members Of The Jersey Cattle Society,https://www.eslite.com/product/1001294883260779,English Jersey Cattle Society,Ingram International Inc,9781548690519,0
Case Studies in Health Information Management,https://www.eslite.com/product/1001294883209311,Patricia Schnering ; Nanette B. Sayles ; Charlotte McCuen,Ingram International Inc,9781305955332,0
Security Information and Event Management (SIEM) Implementation,https://www.eslite.com/product/1001294883468963,,Ingram International Inc,9781976034442,0
The Canadian Health Information Management Lifecycle,https://www.eslite.com/product/1001294884108170,Chima,Ingram International Inc,9781483465999,0
Health Care Information Systems: A Practical Approach for Health Care Management,https://www.eslite.com/product/1001294883562995,Karen A. Wager ; Frances W. Lee ; John P. Glaser,Ingram International Inc,9781119337188,0
Records and Information Management Core Competencies,https://www.eslite.com/product/1001294884025720,Arma International,Ingram International Inc,9781936654789,0
Financial Management of Libraries and Information Centers,https://www.eslite.com/product/1001294883196052,Robert Burger,Ingram International Inc,9781440850134,0
"Health Information Management: Concepts, Principles, and Practice",https://www.eslite.com/product/1001294883333758,,Ingram International Inc,9781584265146,0
Text Data Management and Analysis: A Practical Introduction to Information Retrieval and Text Mining,https://www.eslite.com/product/1001294884214391,Chengxiang Zhai,Ingram International Inc,9781970001198,0
The Strategic Management of Information Systems: Building a Digital Strategy,https://www.eslite.com/product/1001294883052232,Joe Peppard ; John Ward,Ingram International Inc,9780470034675,0
Learn Management Skills for Libraries and Information Agencies (International Edition): (Library Education Series),https://www.eslite.com/product/1001294884157041,Bob Pymm,Ingram International Inc,9781590954379,0
Information Technology Project Management (5 Ed.),https://www.eslite.com/product/1002122982552595,Jack T. Marchewka,全華圖書股份有限公司,9781118911013,https://s.eslite.dev/upload/product/l/2681392496008/20190408194726535582.jpg
Records and Information Management: Fundamentals of Professional Practice,https://www.eslite.com/product/1001294883440027,,Ingram International Inc,9781936654710,0
"Healthcare Information Management Systems: Cases, Strategies, and Solutions",https://www.eslite.com/product/1001294883708772,,Ingram International Inc,9783319207643,0
"Healthcare Information Management Systems: Cases, Strategies, and Solutions",https://www.eslite.com/product/1001294883749282,,Ingram International Inc,9783319307589,0
"Key Account Management: Strategies to Leverage Information, Technology, and Relationships to Deliver Value to Large Customers",https://www.eslite.com/product/1001294883331614,Joel Le Bon ; Carl Herman,Ingram International Inc,9781631571749,0
Information Assurance Handbook: Effective Computer Security and Risk Management Strategies,https://www.eslite.com/product/1001294884060325,Corey Schou ; Steven Hernandez,Ingram International Inc,9780071821650,0
Research Data Management: Practical Strategies for Information Professionals,https://www.eslite.com/product/1001294884354528,,Ingram International Inc,9781557536648,0
Risk Management Framework: A Lab-Based Approach to Securing Information Systems,https://www.eslite.com/product/1001294883721137,James Broad,Ingram International Inc,9781597499958,0
Management Basics for Information Professionals,https://www.eslite.com/product/1001294883725611,G. Edward Evans ; Camila Alire,Ingram International Inc,9781555709099,0
