ISBN,書籍簡介
9780814472736,0
9781260092424,"1. The book is written in an engaging literary style, makes extensive use of examples, and is based on the research and consulting experience of the authors.2. The theme of managing services for competitive advantage is emphasized in each chapter and provides a focus for each management topic.3. The integration of technology, operations, and human behavior is recognized as central to effective service management.4. Emphasis is placed on the need for continuous improvement in quality and productivity in order to compete effectively in a global environment.5. To motivate the reader, a vignette of a well-known company starts each chapter, illustrating the strategic nature of the topic to be covered.6. Each chapter has a preview, closing summary, key terms and definitions, service benchmark, topics for discussion, an interactive exercise, solved problems and exercises when appropriate, and one or more cases."
9781785480430,"In the current digital environment, records and information management allows to face outstanding volumes of information, widespread dematerialization of business processes and the proliferation of legal and regulatory obligations. This book offers principles, standards, procedures and best practices for the creation of authoritative records and for long-term conservation purposes."
9798507452033,Nonprofit Management: Full Of Fantastic Information For The Way We Build Our Organization
9782940222711,0
9789811596889,"Dr. Dinesh Goyal is working as Principal at revered Institute, namely Poornima Institute of Engineering & Technology. Acquiring an experience of 20 years in teaching, and perceive keen interest in research area relating Cloud Security, Image Processing and Information Security. With a mission to append more and better skill set, has organized short term training programs as Convener and Co-Convener within during this short career span. He has been instrument in obtaining accreditations for his institutions, from various agencies like NAAC & NBA, He has received Grants for Research, Development, Conference & workshops worth Rs. 24 Lakh, from agencies like AICTE, TEQIP etc. He has been awarded by ""Elets Excellence Award 2017"" at Higher Education & Human Resource Conclave by Higher Education Department of Government of Rajasthan. Under his leadership, Institutions has also excelled in Industry Academia Interface, has established centers with major tech giants like Microsoft, Google & Amazon etc. He has 6 Full patents published & 1 Copyright under his name. He has successfully published 6 edited books with big publishing giants like Springer, Wiley, IGI Global, Apple Academic Press, Taylor & Francis and Eureka. He has published 1 SCI & 16 Scopus indexed papers & is editors of 2 SCI & 5 Scopus Indexed Journals, special issues. He has successfully guided 8 PhD Scholars & 31 PG Scholars. He has also attended more than 25 International Conferences & has been invited speaker for more than 15 Conferences & Seminars. He is life member of ISC & ISTE and fellow member of CSI & ISTE.Dr. Amit Kumar Gupta is currently working as an Associate Professor of Computer Science and Engineering at Poornima Institute of Engineering & Technology. He has more than 14 years of experience in Research and Academic Activities. He has received his Ph.D. in Computer Science Engineering from Suresh Gyan Vihar University, India. His expertise includes machine learning, information security, cloud computing, and CPU scheduling and has written more than 20 international & national papers, 10 out of them are with Scopus. He has also been Guest Editor for various Scopus Indexed journals, namely IGI Global, Bentham Science, Springer, and Inderscience. Vincenzo Piuri has received his Ph.D. in Computer Engineering at Politecnico di Milano, Italy (1989). He is Full Professor in Computer Engineering at the Università degli Studi di Milano, Italy (since 2000). He has been Associate Professor at Politecnico di Milano, Italy, and Visiting Professor at the University of Texas at Austin and at George Mason University, USA. His main research interests are: artificial intelligence, computational intelligence, intelligent systems, machine learning, pattern analysis and recognition, signal and image processing, biometrics, intelligent measurement systems, industrial applications, digital processing architectures, fault tolerance, dependability, and cloud computing infrastructures. Original results have been published in more than 400 papers in international journals, proceedings of international conferences, books, and book chapters. He is Fellow of the IEEE, Distinguished Scientist of ACM, and Senior Member of INNS. He is President of the IEEE Systems Council (2010-2021), and has been IEEE Vice President for Technical Activities (2015), IEEE Director, President of the IEEE Computational Intelligence Society, Vice President for Education of the IEEE Biometrics Council, Vice President for Publications of the IEEE Instrumentation and Measurement Society and the IEEE Systems Council, and Vice President for Membership of the IEEE Computational Intelligence Society. He has been Editor-in-Chief of the IEEE Systems Journal (2013-2019). He is an Associate Editor of the IEEE Transactions on Cloud Computing and has been Associate Editor of the IEEE Transactions on Computers, the IEEE Transactions on Neural Networks, the IEEE Transactions on Instrumentation and Measurement, and IEEE Access. He received the IEEE Instrumentation and Measurement Society Technical Award (2002). He is Honorary Professor at Obuda University, Hungary; Guangdong University of Petrochemical Technology, China; Northeastern University, China; Muroran Institute of Technology, Japan; and the Amity University, India. Maria Ganzha is an Associate Professor at the Warsaw University of Technology (Warsaw, Poland). She has an M.S. and a Ph.D. degree in Mathematics from the Moscow State University, Russia, and a Doctor of Science degree in Computer Science from the Polish Academy of Sciences. Maria has published close to 200 research papers, is on editorial boards of 5 journals and a book series, and was invited to program committees of more than 250 conferences. She is also the Principal Investigator, of the SRIPAS team, in the INTER-IoT project. Here, her team is responsible for use of semantic technologies in the context of interoperability of IoT platforms. Marcin Paprzycki is an Associate Professor at the Systems Research Institute, Polish Academy of Sciences. He has an M.S. from Adam Mickiewicz University in Poznań, Poland, a Ph.D. from Southern Methodist University in Dallas, Texas, and a Doctor of Science from the Bulgarian Academy of Sciences. He is a senior member of IEEE, a senior member of ACM, a Senior Fulbright Lecturer, and an IEEE CS Distinguished Visitor. He has contributed to more than 450 publications and was invited to the program committees of over 500 international conferences. He is on the editorial boards of 12 journals and a book series."
9780357510094,0
9781716066696,"Client Profile Book alphabeticalDesign features: To give you freedom to add more clients under any letter, pages doesn't have any pre assigned letters.Index is divided into 4 sections 6 letters each, to make finding names much easier.Space customizable to suit your needs, Log client formulas, Services done, Allergies, General remarks and more.Size: 8.5"" x 11"" (21.59 x 27.94 cm), To provide enough space to log the information needed and still be easy to carry around.Over 136 page client entries. This log is your helping tool to: -Keep track and organizing clients information.-Advertise your new services and offers effectively to your customers database.-Be organized and increase profits.-stay conncted with your clients.-Find customer contact information and manage appointments.Client Organizer Planner and Appointment Log Book to Keep Track of Your Customer Information The client data organizer log book is an easy way to organize your client's data or appointment. This client contact info log book is 8.5x11 inches and it helps you organize your client list, client name, address, phone, email, occupation, birthday, service type, price and more. This client notebook organizer is perfect for the business owners or managers to keep record customer information.vb"
9789387698307,"P Balasubramanian (Ph.D.) is the University Librarian & Head of Manonmaniam Sundaranar University, Department of Library and Information Science, Tirunelveli, Tamil Nadu, India. He holds MA, MLISc, MPhil, MCA, MBA, PGDPR, and PhD. He is a life member of various professional bodies. His books on library & information science are very popular among the research scholars and library professionals. He has published 52 books on library & information science and other topics. He has published 119 papers in seminars, conventions, conference, and refereed journals. He has organised many international and national seminars, workshops on various emerging topics in library & information science. He is also guiding MPhil and PhD research scholars in library & information science. He has produced 9 MPhil and 27 PhD scholars. He has also completed one major research project funded by ICSSR, Govt of India. He has been teaching Library & Information Science for 20 years."
9781664210028,"The book ICT and School Management in Nigeria is a practical approach to the needed information for both students and practitioners in Educational Management Information System in our contemporary society. The various chapters had comprehensive coverage of the theme of the book. Chapter one, focused on various concepts of Information, Communication and Technology. Chapter two, discussed ICT integration and deployment in planning, staffing, motivation, directing, monitoring, coordinating staff, students, and other education resources, further discussed ICT tools such as e- learning, blended learning, video conferencing, and interactive radio counseling. Chapter three focused on ICT and Management of Primary schools, Chapter four on ICT and Management of Secondary Schools, and Chapter five on ICT and Management of Tertiary Institutions . The book is a compendium of knowledge in ICT and Schools' Management"
