書名,書籍網址,作者,出版社,ISBN,圖片網址
精通嵌入式Linux程式設計 (暢銷回饋版),https://www.eslite.com/product/1001120322810623,Chris Simmonds,博碩文化股份有限公司,9789864344444,https://s.eslite.dev/Upload/Product/201912/l/637116498328147500.jpg
邁向Linux工程師之路: Superuser一定要懂的技術與運用 (第2版),https://www.eslite.com/product/1001120322806424,Brian Ward,博碩文化股份有限公司,9789864344383,https://s.eslite.dev/Upload/Product/201911/l/637096626694587500.jpg
Linux Firewalls: 善用Nftables等超強工具捍衛Linux防火牆的安全性 (中文版/第4版),https://www.eslite.com/product/1001120322793265,Steve Suehring,博碩文化股份有限公司,9789864344239,https://s.eslite.dev/Upload/Product/201909/l/637042194671361250.jpg
駭客的Linux基礎入門必修課,https://www.eslite.com/product/1001113692778868,OccupyTheWeb,碁峰資訊股份有限公司,9789865021993,https://s.eslite.dev/Upload/Product/201907/l/636990356378980000.jpg
圖解Linux核心工作原理: 透過實作與圖解學習OS與硬體的基礎知識,https://www.eslite.com/product/1001113692734796,武內覺,碁峰資訊股份有限公司,9789864769964,https://s.eslite.dev/Upload/Product/201812/l/636810643188868750.jpg
精通嵌入式Linux程式設計,https://www.eslite.com/product/1001120322700334,Chris Simmonds,博碩文化股份有限公司,9789864342990,https://s.eslite.dev/Upload/Product/201808/l/636699186528650000.jpg
The Linux Programming Interface國際中文版 下,https://www.eslite.com/product/1001113692546108,Michael Kerrisk,碁峰資訊股份有限公司,9789864761685,https://s.eslite.dev/Upload/Product/201610/l/636123118388003750.jpg
The Linux Programming Interface國際中文版 上,https://www.eslite.com/product/1001113692546107,Michael Kerrisk,碁峰資訊股份有限公司,9789864761678,https://s.eslite.dev/Upload/Product/201610/l/636123116869878750.jpg
Linux Kernel Hacks: 改善效能、提昇開發效率及節能的技巧與工具,https://www.eslite.com/product/1001133102301726,池田宗廣/ 大岩尚宏/ 島本裕志/ 竹部晶雄/ 平松雅巳,美商歐萊禮股份有限公司台灣分公司,9789863470144,https://s.eslite.dev/Upload/Product/201401/l/635266675805548750.jpg
Linux系統程式設計 (第2版),https://www.eslite.com/product/1001133102294565,Robert Love,美商歐萊禮股份有限公司台灣分公司,9789862769812,https://s.eslite.dev/Upload/Product/201401/l/635248531367631250.jpg
Linux Networking錦囊妙計,https://www.eslite.com/product/1001133102070805,Carla Schroder,美商歐萊禮股份有限公司台灣分公司,9789862762875,https://s.eslite.dev/upload/product/l/2680619782009/121664.jpg
Linux NetworCM Programming網路程式設計 (附CD),https://www.eslite.com/product/1001120321991400,ACMimichi(あきみち),博碩文化股份有限公司,9789862014004,https://s.eslite.dev/upload/product/l/2680540861002/68534.jpg
使用AWS在雲端建置Linux伺服器的20堂課,https://www.eslite.com/product/1001113692682006715003,山下光洋,碁峰資訊股份有限公司,9789865027827,https://s.eslite.dev/upload/product/l/2682006715003/20210421033036241172.jpg
Linux Device Driver Programming驅動程式設計,https://www.eslite.com/product/1001120321828634,平田豊,博碩文化股份有限公司,9789862011867,https://s.eslite.dev/upload/product/l/2680396784005/5635.jpg
Linux系統程式設計,https://www.eslite.com/product/1001133101767259,"Love, Robert",美商歐萊禮股份有限公司台灣分公司,9789866840180,https://s.eslite.dev/Upload/Product/200809/l/633576737677778750.jpg
Linux系統管理,https://www.eslite.com/product/1001133101751662,"Adelstein, Ton/ Lubanovic, Bill",美商歐萊禮股份有限公司台灣分公司,9789866840135,0
Linux核心詳解 (第3版),https://www.eslite.com/product/1001133101663396,"Bovet, Daniel P./ Cesati, Marco",美商歐萊禮股份有限公司台灣分公司,9789867794833,0
Unix/Linux作業系統原理與管理實務,https://www.eslite.com/product/1001124691619375,粘添壽,學貫行銷股份有限公司,9789867198525,0
Oracle Database 10g Linux系統管理專家,https://www.eslite.com/product/1001124691619373,"Whalen, Edward",學貫行銷股份有限公司,9789861572772,0
Linux驅動程式 (第3版),https://www.eslite.com/product/1001133101595213,"Corbet, Jonathan/ Rubini, Alessandro/ Kroah-Hartman, Greg",美商歐萊禮股份有限公司台灣分公司,9789867794734,0
伺服器效能調校專家: 以Linux為例,https://www.eslite.com/product/1001124691558424,劉怡芳/ 劉育銘,學貫行銷股份有限公司,9789867198334,0
LINUX iptables速查手冊,https://www.eslite.com/product/1001133101824050,"Purdy, Gregor N.",美商歐萊禮股份有限公司台灣分公司,9789867794390,0
Tripwire for Linux系統稽核,https://www.eslite.com/product/1001133101824089,伊原秀明,美商歐萊禮股份有限公司台灣分公司,9789578247796,0
我架站比你行: 誰說快速架站一定要用Linux (附光碟),https://www.eslite.com/product/1001233681852517,曹志彬,知城數位科技股份有限公司,9789866551215,https://s.eslite.dev/Upload/Product/200903/l/633740226974151250.jpg
Linux伺服器架站實務教本,https://www.eslite.com/product/1001124691789510,,學貫行銷股份有限公司,9789866800559,https://s.eslite.dev/Upload/Product/200809/l/633576972521685000.jpg
大師養成起手式: 從核心真正了解Linux運作原理,https://www.eslite.com/product/1001313432682053645001,笨叔/ 陳悅,深智數位股份有限公司,9789860776164,https://s.eslite.dev/upload/product/l/2682053645001/20210803033929978430.jpg
CentOS Linux 8實務管理應用,https://www.eslite.com/product/1001120322836751,酆士昌,博碩文化股份有限公司,9789864344758,https://s.eslite.dev/Upload/Product/202004/l/637226227121596250.jpg
嵌入式Linux系統實作: 初心者開發設計專業方略,https://www.eslite.com/product/1001299212829807,方元,上奇資訊,9789865004538,https://s.eslite.dev/Upload/Product/202002/l/637184758038616250.jpg
