ISBN,書籍簡介
9781774590171,0
9781774590188,"The Mastercam 2021 Black Book is the first edition of our series on Mastercam. The book is authored to help professionals as well as learners in creating some of the most complex NC toolpaths. The book follows a step by step methodology. In this book, we have tried to give real-world examples with real challenges in designing. We have tried to reduce the gap between university use of Mastercam and industrial use of Mastercam. The book covers almost all the information required by a learner to master Mastercam. The book starts with basics of machining and ends at advanced topics like 3D High Speed Machining Toolpaths. Some of the salient features of this book are: In-Depth explanation of conceptsEvery new topic of this book starts with the explanation of the basic concepts. In this way, the user becomes capable of relating the things with real world.Topics CoveredEvery chapter starts with a list of topics being covered in that chapter. In this way, the user can easy find the topic of his/her interest easily.Instruction through illustrationThe instructions to perform any action are provided by maximum number of illustrations so that the user can perform the actions discussed in the book easily and effectively. There are about 750 small and large illustrations that make the learning process effective.Tutorial point of viewAt the end of concept's explanation, tutorials make the understanding of users firm and long lasting. Almost each chapter of the book related to machining has tutorials that are real world projects. Moreover most of the tools in this book are discussed in the form of tutorials.For FacultyIf you are a faculty member, then you can ask for video tutorials on any of the topic, exercise, tutorial, or concept."
9781071193273,"MASTERCAM EXERCISESDo you want to learn how to design 2D and 3D models in your favorite Computer Aided Design (CAD) software such as Mastercam, FUSION 360 or SolidWorks? Look no further. We have designed 200 3D CAD exercises that will help you to test your CAD skills.What's included in the MASTERCAM EXERCISES book?Whether you are a beginner, intermediate, or an expert, these 3D CAD exercises will challenge you. The book contains 200 3D models and practice drawings or exercises.-Each exercise contains images of the final design and exact measurements needed to create the design.-Each exercise can be designed on any CAD software which you desire. It can be done with AutoCAD, SolidWorks, Inventor, DraftSight, Creo, Solid Edge, Catia, NX and other feature-based CAD modeling software.-It is intended to provide Drafters, Designers and Engineers with enough 3D CAD exercises for practice on Mastercam.-It includes almost all types of exercises that are necessary to provide, clear, concise and systematic information required on industrial machine part drawings.-Third Angle Projection is intentionally used to familiarize Drafters, Designers and Engineers in Third Angle Projection to meet the expectation of worldwide Engineering drawing print.-This book is for Beginner, Intermediate and Advance CAD users.-Clear and well drafted drawing help easy understanding of the design.-These exercises are from Basics to Advance level.-Each exercises can be assigned and designed separately.-No Exercise is a prerequisite for another. All dimensions are in mm.PrerequisiteTo design & develop models, you should have knowledge of Mastercam. Student should have knowledge of Orthographic views and projections. Student should have basic knowledge of engineering drawings."
9789578755895,"Mastercam是美國CNC Software, INC.最新研發的CAD／CAM系統，是最經濟有效率的全方位軟體系統，其廣泛應用在機械、汽車、航空航太、造船、模具、電子和家電等領域，作為設計與加工製造的標準Mastercam全球銷售量第一名，是業界及學校廣泛採用的CAD／CAM系統。全書共分十一章，主要內容包括Mastercam的基本概念與操作，繪製與編輯2D圖形，3D曲面與實體的設計，進行數控加工等技巧。重點介紹Mastercam的CAD與CAM兩大基本模組的各項功能，從Mastercam在機械設計方面的基本命令應用到數控加工方面的實務應用都採用範例引導教學，讓讀者在實戰演練中迅速掌握Mastercam的操作技巧。本書淺顯易懂，適合初學者或具有基礎者，能幫助讀者快速上手、輕鬆學習。內容採用Mastercam 2019版作為教學平臺，但對於Mastercam任何版次的使用者亦可學習使用。●特別整理Mastercam精選範例，透過步驟式引導教學，讓讀者學習軟體零障礙。●循序漸進的課程安排，由基礎建模到曲面加工的操作教學，讓您學習充滿成就感！●內容詳實完整，針對業界實務應用方向彙整編排，提供完整的訓練課程。●本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。"
9789578755635,"Mastercam 是美國CNC Software, INC.最新研發的CAD/CAM系統，是最經濟有效率的全方位軟體系統，其廣泛應用在機械、汽車、航空航太、造船、模具、電子和家電等領域，作為設計與加工製造的標準Mastercam全球銷售量第一名，是業界及學校廣泛採用的CAD／CAM系統。全書共分十一章，主要內容包括Mastercam的基本概念與操作，繪製與編輯2D圖形，3D曲面與實體的設計，進行數控加工等技巧。重點介紹Mastercam的CAD與CAM兩大基本模組的各項功能，從Mastercam在機械設計方面的基本命令應用到數控加工方面的實務應用都採用範例引導教學，讓讀者在實戰演練中迅速掌握Mastercam的操作技巧。本書淺顯易懂，適合初學者或具有基礎者，能幫助讀者快速上手、輕鬆學習。內容採用Mastercam X8版作為教學平臺，但對於Mastercam任何版次的使用者亦可學習使用。●特別整理Mastercam精選範例，透過步驟式引導教學，讓讀者學習軟體零障礙。●循序漸進的課程安排，由基礎建模到曲面加工的操作教學，讓您學習充滿成就感！●內容詳實完整，針對業界實務應用方向彙整編排，提供完整的訓練課程。本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。"
9789578755468,"◎特別整理Mastercam精選範例，透過步驟式引導教學，讓讀者學習軟體零障礙。◎循序漸進的課程安排，由基礎建模到曲面加工的操作教學，讓您學習充滿成就感！◎內容詳實完整，針對業界實務應用方向彙整編排，提供完整的訓練課程。◎本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。Mastercam 2017是美國CNC Software, INC.最新研發的CAD/CAM系統，是最經濟有效率的全方位軟體系統，其廣泛應用在機械、汽車、航空航太、造船、模具、電子和家電等領域，作為設計與加工製造的標準Mastercam全球銷售量第一名，是業界及學校廣泛採用的CAD/CAM系統。全書共分十一章，主要內容包括Mastercam的基本概念與操作，繪製與編輯2D圖形，3D曲面與實體的設計，進行數控加工等技巧。重點介紹Mastercam的CAD與CAM兩大基本模組的各項功能，從Mastercam在機械設計方面的基本命令應用到數控加工方面的實務應用都採用範例引導教學，讓讀者在實戰演練中迅速掌握Mastercam的操作技巧。本書淺顯易懂，適合初學者或具有基礎者，能幫助讀者快速上手、輕鬆學習。內容採用Mastercam X8版作為教學平臺，但對於Mastercam任何版次的使用者亦可學習使用。"
9789866227097,"全書共分十一章，主要內容包括Mastercam的基本概念與操作，繪製與編輯2D圖形，3D曲面與實體的設計，進行數控加工等技巧。重點介紹Mastercam的CAD與CAM兩大基本模組的各項功能，從Mastercam在機械設計方面的基本命令應用到數控加工方面的實務應用都採用範例引導教學，讓讀者在實戰演練中迅速掌握Mastercam的操作技巧。
本書淺顯易懂，適合初學者或具有基礎者，能幫助讀者快速上手、輕鬆學習。內容採用Mastercam X4版作為教學平臺，但對於Mastercam任何版次的使用者亦可學習使用。
書籍的特色：1.特別整理Mastercam精選範例，透過步驟式引導教學，讓讀者學習軟體零障礙。2.循序漸進的課程安排，由基礎建模到曲面加工的操作教學，讓您學習充滿成就感！3.內容詳實完整，針對業界實務應用方向彙整編排，提供完整的訓練課程。4.本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。5. 易習圖書讀者回娘家，好禮送給您，購買書籍寄回【讀者回函】，立即免費送給您價值399元起，影音教學DVD第一品牌【多媒體學園－互動式多媒體影音教學DVD】可任意挑選要學習的品項，詳細活動內容請參閱【讀者回函】內頁。
附書光碟內容:各章節範例檔"
9789866551987,"Mastercam X是美國CNC Software, INC.最新研製開發的CAD/CAM系統，是最經濟有效率的全方位軟體系統，因此被廣泛地應用於機械製造工業領域，深受用戶的喜愛。 本書內容主要分為Mastercam的基礎知識、CAD和CAM三個部分，分別介紹了Mastercam的基本概念與操作，繪製與編輯2D圖形，3D曲面實體設計的基本概念、創建與編輯，以及數控加工等主題。涵蓋Mastercam X在機械設計方面的基本命令應用到數控加工方面的實務操作，讓讀者在實戰演練中迅速掌握Mastercam X的操作技巧。 
易習圖書讀者回娘家，好禮送給您，購買書籍寄回【讀者回函】，立即免費送給您價值399元起，影音教學DVD第一品牌【多媒體學園-互動式多媒體影音教學DVD】可任意挑選要學習的品項，詳細活動內容請參閱【讀者回函】內頁。 本書特色 1.本書內容淺顯易懂，適合初學者或具有機械軟體基礎者，能幫助讀者快速上手、輕鬆學習。 2.Step by Step的範例式引導教學以及隨處可見的TIPS重點解釋，讓讀者學習無障礙。 3.本書採用Mastercam X版本作為教學平臺，但對於Mastercam任何版次的使用者，亦可學習使用。 4.課程內容適用於科大、技術學院機械模具等相關科系使用，對Mastercam有興趣的相關業界人士也可參考使用。 5.附書光碟內容:精彩範例檔 "
9789869391931,"Mastercam 2017是美國CNC Software, INC.最新研發的CAD/CAM系統，是最經濟有效率的全方位軟體系統，其廣泛應用在機械、汽車、航空航太、造船、模具、電子和家電等領域，作為設計與加工製造的標準Mastercam全球銷售量第一名，是業界及學校廣泛採用的CAD/CAM系統。1.特別整理Mastercam精選範例，透過步驟式引導教學，讓讀者學習軟體零障礙。2.循序漸進的課程安排，由基礎建模到曲面加工的操作教學，讓您學習充滿成就感！3.內容詳實完整，針對業界實務應用方向彙整編排，提供完整的訓練課程。4.本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。全書共分十一章，主要內容包括Mastercam的基本概念與操作，繪製與編輯2D圖形，3D曲面與實體的設計，進行數控加工等技巧。重點介紹Mastercam的CAD與CAM兩大基本模組的各項功能，從Mastercam在機械設計方面的基本命令應用到數控加工方面的實務應用都採用範例引導教學，讓讀者在實戰演練中迅速掌握Mastercam的操作技巧。本書淺顯易懂，適合初學者或具有基礎者，能幫助讀者快速上手、輕鬆學習。內容採用Mastercam X8版作為教學平臺，但對於Mastercam任何版次的使用者亦可學習使用。"
9789864631681,本書以Mastercam X4為主要操作介面編寫而成，強調由範例中學習指令操作，並在過程中說明各種指令，書中分為操作介面、座標輸入、繪圖(一~三)、圖素的修整、轉換、圖形檢查、刀具參數、外形銑削、挖槽、鑽孔、全圓路徑、路徑轉換等14個章節，依使用過程循序漸進的導入新功能與技巧。適用於大學、科大、技術學院機械工程系一、二年級「電腦輔助製圖」課程。
9789869339216,"1. 特別整理Mastercam精選範例，透過步驟式引導教學，讓讀者學習軟體零障礙。2. 循序漸進的課程安排，由基礎建模到曲面加工的操作教學，讓您學習充滿成就感！3. 內容詳實完整，針對業界實務應用方向彙整編排，提供完整的訓練課程。本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。Mastercam 是美國CNC Software, INC.最新研發的CAD/CAM系統，是最經濟有效率的全方位軟體系統，其廣泛應用在機械、汽車、航空航太、造船、模具、電子和家電等領域，作為設計與加工製造的標準Mastercam全球銷售量第一名，是業界及學校廣泛採用的CAD/CAM系統。全書共分十一章，主要內容包括Mastercam的基本概念與操作，繪製與編輯2D圖形，3D曲面與實體的設計，進行數控加工等技巧。重點介紹Mastercam的CAD與CAM兩大基本模組的各項功能，從Mastercam在機械設計方面的基本命令應用到數控加工方面的實務應用都採用範例引導教學，讓讀者在實戰演練中迅速掌握Mastercam的操作技巧。本書淺顯易懂，適合初學者或具有基礎者，能幫助讀者快速上手、輕鬆學習。內容採用Mastercam X8版作為教學平臺，但對於Mastercam任何版次的使用者亦可學習使用。"
9789864550272,"1.本書採單元【範例主題】式的學習，共9大範例，來學習相關知識與技能。2.本書2D（AutoCAD）或3D（Inventor）之完成圖檔，已轉入Mastercam製作程式，學生不用再重學CAM的繪圖。3.範例皆經過設計，以材料小型化約40×40×20mm，縮短實際切削時間，約10～30分鐘內可完成。4.範例採實用有趣，以可愛圖案、3D丙檢、3D曲面浮凸圖案、公模轉母模、文字雕刻等，較能引起學生的學習動機。5.在控制器方面本書介紹：FANUC 0-M、0i-M、三菱新型M70及小型雕銑機Mach2等控制器之實機操作與步驟。6.本書介紹CAM相關軟體之使用，如：CIMCO手寫程式之模擬、三菱NC Exployer區域網路傳輸軟體、Mach2控制器軟體、仁安CNC擬真軟體。7.本書附：Mastercam教學影片【範例1】~【範例4】，讓讀者輕鬆學習。"
