書名,書籍網址,作者,出版社,ISBN,圖片網址
Handbook of Mobile Communication Studies,https://www.eslite.com/product/1001294883091445,,Ingram International Inc,9780262113120,https://s.eslite.dev/upload/ean/9780262113120.jpg
Communication Practices with Mobile Phones: A Collection of Essays in Mobile Media Studies in India,https://www.eslite.com/product/1001294883616329,Krishna Sankar Kusuma,Ingram International Inc,9798667272021,0
Diagnostic Communication with Road-Vehicles and Non-Road Mobile Machinery,https://www.eslite.com/product/1001294883116673,Peter Subke,Ingram International Inc,9780768093674,https://s.eslite.dev/upload/ean/9780768093674.jpg
Discrete Fractional Fourier Transform Based Ofdm System for Future Wireless Mobile Communication,https://www.eslite.com/product/1001294883017593,Vinay K. Trivedi ; Preetam Kumar ; Ramjee Prasad,Ingram International Inc,9788770221801,https://s.eslite.dev/upload/ean/9788770221801.jpg
Vehicular-2-X Communication: State-of-the-Art and Research in Mobile Vehicular Ad hoc Networks (2010 Ed.),https://www.eslite.com/product/1002155962460261,Radu Popescu-Zeletin,SPRINGER VERLAG,9783642426056,0
Mobile Communication Systems,https://www.eslite.com/product/1002136461524023,"Wesolowski, Krzysztof",John Wiley & Sons Singapore Pte.,9780471498377,0
Mobile Communication Systems,https://www.eslite.com/product/1002136461524025,"Wesolowski, Krzysztof",John Wiley & Sons Singapore Pte.,9780470022801,0
Mobile and Personal Communication Services and Systems,https://www.eslite.com/product/1002136461524022,"Pandya, Raj",John Wiley & Sons Singapore Pte.,9780780347083,0
W-CDMA Mobile,https://www.eslite.com/product/1002136461524134,"Tachikawa, Keiji",John Wiley & Sons Singapore Pte.,9780470847619,0
行動通訊原理,https://www.eslite.com/product/1001116711507932,,五南圖書出版股份有限公司,9789571140902,0
行動與無線通訊 (經典第5版),https://www.eslite.com/product/1001113692481912,顏春煌,碁峰資訊股份有限公司,9789863478980,https://s.eslite.dev/upload/product/l/2681267529008/20190419225030057640.jpg
