ISBN,書籍簡介
9780262113120,"Experts analyze how mobile communication is changing daily life and local culture around the world, in both industrialized and developing countries.Mobile communication has become mainstream and even omnipresent. It is arguably the most successful and certainly the most rapidly adopted new technology in the world: more than one of every three people worldwide possesses a mobile phone. This volume offers a comprehensive view of the cultural, family, and interpersonal consequences of mobile communication across the globe. Leading scholars analyze the effect of mobile communication on all parts of life, from the relationship between literacy and the textual features of mobile phones to the use of ringtones as a form of social exchange, from the ""aspirational consumption"" of middle class families in India to the belief in parts of Africa and Asia that mobile phones can communicate with the dead. The contributors explore the ways mobile communication profoundly affects the tempo, structure, and process of daily life around the world. They discuss the impact of mobile communication on social networks, other communication strategies, traditional forms of social organization, and political activities. They consider how quickly miraculous technologies come to seem ordinary and even necessary--and how ordinary technology comes to seem mysterious and even miraculous. The chapters cut across social issues and geographical regions; they highlight use by the elite and the masses, utilitarian and expressive functions, and political and operational consequences. Taken together, the chapters demonstrate how mobile communication has affected the quality of life in both exotic and humdrum settings, and how it increasingly occupies center stage in people's lives around the world."
9798667272021,0
9780768093674,"Diagnostic Communication with Road-Vehicles and Non-Road Mobile Machinery examines the communication between a diagnostic tester and E/E systems of road-vehicles and non-road mobile machinery such as agricultural machines and construction equipment. The title also contains the description of E/E systems (control units and in-vehicle networks), the communication protocols (e.g. OBD, J1939 and UDS on CAN / IP), and a glimpse into the near future covering remote, cloud-based diagnostics and cybersecurity threats."
9788770221801,"Orthogonal frequency division multiplexing (OFDM) is an attractive physical layer waveform candidate for wireless broadband communication. Apart from being spectrally efficient with overlapping subcarriers, the OFDM system enables simplified equalization at the receiver and effectively combats the inter-block interference with cyclic prefix. For achieving low peak-to-average power ratio (PAPR) in the uplink, single carrier frequency domain multiple access (SC-FDMA) is used for fourth-generation (4G), long term evolution (LTE). SC-FDMA achieves low PAPR compared to OFDMA using discrete Fourier transform (DFT) precoding. This book introduces both OFDM and SC-FDMA, similarities, and differences between their transmitter and receiver operations, time-frequency representations, and low complexity joint equalization and CFO compensation (JECC), etc. Advanced waveform candidates such as Filtered OFDM, FBMC, GFDM, etc. are also introduced. To improve the throughput of existing mobile communication, non-orthogonal multiple access (NOMA) system configurations based on OFDM are also covered. Essentially, the performance of both the OFDMA and SC-FDMA is very sensitive to the presence of carrier frequency offset (CFO) arising from synchronization errors, Doppler, and manufacturing defects. This is because the multicarrier structure and the channel decomposition at the receiver based on DFT lose its optimal performance in the presence of CFO. This book discusses an elegant time-frequency signal processing tool for this purpose called fractional Fourier transform (FRFT). A discrete version of FRFT (or DFRFT) employing a chirp basis in place of the complex exponential basis of DFT can easily replace the existing multicarrier modulation/demodulation and channel decomposition. A detailed performance evaluation of the DFRFT based OFDM system that can significantly outperform the conventional DFT based OFDM system is also given. The study presented involves a detailed interference analysis of the DFRFT based OFDM system in the presence of CFO. This inter carrier interference (ICI) analysis is then used to devise Low complexity JECC for DFRFT based OFDM. Through the study and result presented in this book, the use of the DFRFT based OFDM system is motivated for wireless mobile communication especially in the presence of CFO."
9783642426056,0
9780471498377,0
9780470022801,0
9780780347083,0
9780470847619,0
9789571140902,0
