ISBN,書籍簡介
9789864769711,「本書介紹好幾種重要的web開發語言，是一本很棒的入門書籍，節奏明快、容易閱讀、資訊豐富，讓你很快就能建立動態的網站，包括一個基本的社群網路網站。」－－CSE HTML ValidatorZ開發者／Albert Wiersch就算你只瞭解基本的HTML，也可以透過開放原始碼技術與web標準的強大組合，建構出互動、資料驅動的網站。在這本最新版的熱門實作指南中，你將使用現今最新的核心技術設計動態web程式：PHP、MySQL、JavaScript、CSS、HTML5與主要的jQuery程式庫。Web設計者將學會如何同時運用這些技術，並在過程中瞭解寶貴的web程式設計實務，包括為行動裝置優化網站。於本書最後你將會結合所有知識，建立一個功能齊全、可在桌上型和行動瀏覽器中使用的社群網站。●探討MySQL，包括資料庫結構與複雜的查詢指令●使用MySQLi擴充套件：改善過的PHP MySQL介面●建立為使用者量身定制的PHP動態網頁●管理cookie與session，並維持高度安全●用jQuery套jQuery mobile程式庫加強JavaScript語言●使用Ajax呼叫進行瀏覽器/伺服器的幕後通訊●掌握CSS2與CSS3技術，修飾你的網頁●實作HTML5功能，包括地理定位、音訊、視訊與畫布元素●將你的網路重新格式化，使它變成行動web app
9789864763832,"如果您是一位剛接觸資料庫的程式設計師，或者是剛開始用MySQL/MariaDB的新手，本書是您最好的指引。這本實戰指南以簡單易懂的方式說明如何安裝、使用和維護這個資料庫系統。作者Russell Dyer是MariaDB的課程經理，之前是MySQL知識庫的編輯，將透過真實的範例，帶領您學習資料庫設計與資料庫系統管理及操作的知識，並提供練習讓您驗證所學。●建立與修改資料庫表格、欄位、資料●了解如何插入、選取、更新與查詢資料●透過內建的字串函數來查詢、提取、格式化與轉換資料表中的文字●學習使用內建的數學、統計、日期與時間處理函數●管理使用者帳戶、備份資料庫與匯入大量資料●使用PHP或其他程式透過API連接與存取MySQL或MariaDBRussell J.T. Dyer是一位自由撰稿人，目前任職於MariaDB Ab，之前是MySQL知識庫的編輯。著有《MySQL in a Nutshell》，在《Linux Journal》、ONLamp.com、《The Perl Journal》《Red Hat》雜誌、TechRepublic、Unix Review以及XML.com發表多篇文章。MySQL與MariaDB是市占率極高的資料庫系統，本書可以帶您快速入門，透過範例的練習，成為專家。—Colin Charles, MariaDB首席傳教士MySQL是目前最受歡迎的開放原始碼資料庫系統。對於需要快速、穩定資料庫的公開網站來說，它是不二首選。就算你對它不熟悉，可能也在不知不覺中用過很多次了。當你連上Google、亞馬遜、臉書、維基百科或是其他知名網站時，其實就已經在操作MySQL了。不論是擁有上千頁資料的巨型網站、還是只有寥寥數頁的迷你網站，MySQL都可以在背後擔綱資料運行的角色。即使是與網站無關的應用裡也有它的身影。MySQL於1995年時由Michael ‘Monty’ Widenius和David Axmark推出，採用GNU通用公開授權(General Public License)。當時他們先成立了MySQL Ab，數年後演變為MySQL（合併為美國公司）。2008年，該公司為昇陽所收購，當時軟體的未來似乎已有某種程度的保證。不料2009年4月甲骨文（MySQL的主要競爭對手，自身便擁有封閉原始碼的資料庫系統產品）併購了昇陽。此舉令許多人憂心忡忡，擔心併購一事會令MySQL的自由開放原始碼特性消失無蹤，連帶影響到眾多曾叱吒全球的網站。幸運的是，併購五年以來並沒有發生這樣的悲劇。MySQL仍在增加新功能，而甲骨文以外的MySQL開發人員數量也還在持續增長當中。但是，由於對甲骨文獨自主導MySQL發展一事感到不悅，Monty便另行創設了一間新公司：Monty Program Ab，並開發了MySQL的分支，亦即MariaDB。在此同時，MySQL, Inc.的前任資深副總Ulf Sandberg和其他MySQL的前員工離開了昇陽與甲骨文，另創SkySQL Ab公司，專門提供MySQL和MariaDB軟體的支援、顧問、教育訓練和其他相關服務。2013年10月，Monty Program併入SkySQL，並於2014年10月重新改名為MariaDB Ab。但是其軟體授權則歸於MariaDB基金會掌握，因此不會再為甲骨文或任何其他公司所收購。至於與軟體相關的社群，部分已經移轉到MariaDB，因為他們也不喜歡軟體被某一間大型專有權軟體公司把持的感覺。許多作業系統發行廠商、硬體製造商、以及軟體封裝發行業者，現在出貨時都採用同時搭配MySQL或獨自發行MariaDB的方式。很多原本採用MySQL的網站也都換成了MariaDB。這一點並不困難，而且對於大多數使用MySQL的網站應用程式來說，根本不用修改，真的是一行都不用改就可以改換到MariaDB。如果你想利用MariaDB的先進新功能，只需在原本操作MySQL的應用程式中改寫或直接插入新的程式碼就行了，其餘部份都不需改動。儘管所有權、公司名稱、甚至軟體的名字都已變更，但是始於近卅年前的夢想和精神，至今在社群中仍更形強大、活躍，而MariaDB則完全承繼了這一切。如果你想學會MySQL和MariaDB，儘管放手去做。它一點都不難學、也很好用。本書完全是為MySQL和MariaDB的新手所撰寫的入門書，目的是要讓你可以盡快上手並進入狀況。對於已經略具MySQL經驗、但是仍然對於某些常用關鍵領域感到陌生的入門者來說，本書同樣有用。對新手來說，MySQL和MariaDB沒甚麼不同。因此你，學會一種，就等於學會另一種。也因此本書中MySQL和MariaDB二詞有時會交互使用。"
9789864763429,涵蓋PHP 7這本詳盡指南將教你使用PHP與MySQL建構資料庫驅動的web應用程式PHP與MySQL是熱門的開放原始碼技術，非常適合用來快速開發資料庫驅動的web應用程式。PHP是強大的腳本語言，它的設計是為了讓開發者快速開發高功能的web應用程式，而MySQL是一種快速、可靠的資料庫，可以與PHP良好整合，適合動態的Internet應用程式。本書將會告訴你如何同時使用這些工具來產生令人印象深刻、互動式的web應用程式。它清楚地說明PHP語言的基礎，解釋如何設定與使用MySQL資料庫，接著展示如何使用PHP與資料庫及伺服器互動。這本實用方便的書籍，聚焦於實務面，帶領讀者設計規畫與建構專案，包括：●使用者身分驗證與個人化●Web式email●社群媒體整合第五版內容已經全面更新、修訂與擴增，涵蓋PHP第5.6版與第7版的發展，以及MySQL最新的穩定版本加入的功能。
9789862766576,循序漸進 動態網站建立指南就算沒有編寫過任何程式，也能設計出互動性的資料驅動網頁！如果你曾經使用HTML設計網頁，這本廣受歡迎的指南，將能讓你更加掌握設計動態網頁的要訣，並精通時下最重要的開源技術：PHP、MySQL、JavaScrip以及CSS。本書將引領你逐一探討各項技術，教導整合的方法與寶貴的網頁設計概念：包括物件、XHTML、cookies 與期程管理。各章亦提供測驗題目，協助你學以致用。學習 PHP的精華與物件導向程式設計基礎MySQL，包含資料庫結構以及複合式資料查詢以PHP和MySQL建立網頁，同時結合表單及其他HTML功能JavaScript的主要觀念，包括函數、事件處理及存取文件物件模型CSS的基礎知識，以CSS編排、裝飾網頁透過Ajax 呼叫將網頁轉為高度動態系統上傳檔案和圖像並加以管理，驗證用戶輸入的資料，保護應用程式整合所有要素，探討實際範例資訊科技作家Robin Nixon從1980年初就投入電腦實務並撰寫電腦書籍。他曾發表過上百篇電腦文章以及數本電腦書籍，亦曾使用PHP、MySQL、JavaScript 及CSS開發眾多網站。
9789862764978,書架上不能沒有的一本書答案就在這裡！如果你已經會用CSS與JavaScript建置網站，那麼這本書將會帶領你到更高的境界—那就是：使用PHP與MySQL建立動態且資料庫導向的網站。學習如何建立資料庫、管理網站內容、以及透過網頁表單和查詢功能來與使用者互動。透過步驟性的教學，真實的案例與淺顯易懂的說明，你很快就會發現伺服器端程式開發的強大功能。你不可不知的重要訣竅．馬上開始吧-立刻開始撰寫PHP並且建立網頁表單．學習程式語言-立即加速PHP與SQL語法的練習．建立資料庫-使用MySQL儲存使用者資訊與其他資料．讓網頁動起來-建立每次檢視都會變化的網頁．預見錯誤-規劃錯誤訊息以指示使用者．管理你的內容-透過檔案系統存取使用者資料，包括圖片與其他二元檔案．控制操作作業-建立管理介面以管理你的網站Brett McLaughlin 是一位資深技術專家兼規劃師，於撰寫網頁程式與資料導向的「客戶處理系統 (Customer-facing system)」這類領域中相當活躍。作者可以從設計、管理到實作有「關鍵任務 (mission-critical)」需求的大型應用程式；他也是之前O’Reilly Media的編輯，寫過許多技術方面的書籍，包括Java、XML以及深入淺出物件導向的分析與設計一書。 
9789867794680,有很多原因需要網站能支援動態內容，包括：提供線上購物網站、建立個人化頁面、管理來自資料庫的大量資訊等等。只要擁有適度的 HTML 與網站管理知識，任何人都能學習 PHP 與 MySQL 而建立動態網站。這本書的目的是傳授動態網站所需的背景知識，並使用這些工具架構安全而穩固的網站。
9789866800658," 一本自修、上課、專題、集訓皆適合的PHP資料庫網頁訓練教材。 .專題訓練：本書收錄範例係歸納自96、97年度各種學校軟體設計競賽得獎作品必需具備之程式基礎能力。 .快速上手：本書以「最易取得、上手」工具優先使用，包括最常見的Dreamweaver編輯工具，以及最常用的指令語法，即開始動工完成實例。 .成品導向：基礎語法練功章節均有「本章基礎應用」分析內容，說明學會本章技術可以應用在哪些網頁服務(範例)中，藉此提升學習者未來創意發揮與學習動力。"
9789576154362,PHP與MySQL自己學習時常抓不到重點，上培訓班花費太高，為何不買一本書在網上學習？省時、省錢、效果顯著，比得上培訓班。MySQL是一種資料庫伺服器，經常與PHP搭配使用的結構化查詢語言的語法，是一個小型關係型數據庫管理系統可在許多平臺上編譯，可以免費下載使用。是一個小型關係型數據庫管理系統，一個開放源碼的關聯資料庫管理系統，由於性能高、成本低、可靠性好，已經成為最流行的開源資料庫，被廣泛地應用在Internet上的中小型網站中。隨著MySQL的不斷成熟，它也逐漸用於更多大規模網站和應用，非常流行的開源軟體組合LAMP中的M就是指MySQL。根據統計資料，PHP與MySQL已經被安裝在超過2000萬個網站和100萬台伺服器上，企業需求越來越多。本書通過大量實例，為PHP與MySQL初學者量身定做的書籍。由淺入深地介紹了PHP與MySQL語言，提供最完整的範例程式。通過實作程式對PHP系統專案開發的詳細講解，深度瞭解學習專案開發中PHP與資料庫設計等各個細節，使從來沒有開發經歷的朋友能夠融會貫通。本書有如下特點：1) 範例最多最豐富，作者多年教學整理出來的範例程式，由淺入深約200個。2) 實例講解，內容充實，理論與實作配合。3) 網站案例，重視實用。4) 本書配有範例檔，附所有範例程式。5) PHP案例線上影音課程。詳情參閱附錄B。
9789576154386,※ 教導讀者使用MySQL無介面無開發工具直接建立應用系統資料庫(MySQL Database)用書。※ 教導讀者：MySQL視覺化資料庫管理工具：MySQL WorkBench的管理設定與操作。※ 教導讀者MySQL資料庫結合JSON結構設計統計與分析式SQL技術用書。※ 附贈全書所有章節的MySQL SQL程式範例檔案，可直接上線使用。MySQL內建了視覺化資料庫管理與設計軟體平台：MySQL WorkBench！使用此資料庫發展平台，可使用視覺化設計與操作方式來管理MySQL Server、以及視覺化設計方式來管理與維護所有MySQL資料庫物件！而且MySQL更新增了JSON設計功能，讓資料庫能處理與儲存JSON格式資料以及提供了豐富用來處理JSON資料文件的函數集，讓MySQ更適合用來做為雲端應用軟體的資料庫系統！本書全程使用MySQL WorkBench視覺化資料庫管理平台做為資料庫程式發展平台！Step By Step循序漸進的教導讀者與資料庫管理師各種MySQL的資料庫開發及應用與SQL程式設計技術，包含完整的JSON資料文件設計與維護的程式技術，讀完全書，必定能讓所有讀者與資料庫管理師都成為MySQL的設計熟手！
9789865024185,*PHP7語法教學 *在網頁之間傳遞資訊 *表單的後端處理 *在網頁上使用Ajax技術 *MySQL資料庫存取 *SQL查詢 *豐富範例滿足您製作各式專題、專案及參與技能競賽的需求 (例如檔案上傳、留言板、討論群組、線上寄信服務、會員管理系統、線上投票系統、購物車、網路相簿等)。 *無論您是否學習過PHP，本書都是您的絕佳選擇！內容深入淺出、範例豐富實用，讓您克服初學者的迷思，朝向專業的程式設計之路邁進。
