書名,書籍網址,作者,出版社,ISBN,圖片網址
Node.js物聯網裝置開發,https://www.eslite.com/product/1001133102614807,Patrick Mulder/ Kelsey Breseman,美商歐萊禮股份有限公司台灣分公司,9789864764594,https://s.eslite.dev/Upload/Product/201708/l/636380575047102500.jpg
實戰聊天機器人Bot開發: 使用Node.js,https://www.eslite.com/product/1001113692607938,Eduardo Freitas/Madan Bhintade,碁峰資訊股份有限公司,9789864764716,https://s.eslite.dev/Upload/Product/201707/l/636356182215922500.jpg
Node.js設計模式,https://www.eslite.com/product/1001120322562899,Mario Casciaro,博碩文化股份有限公司,9789864341467,https://s.eslite.dev/upload/product/l/2681410942005/ec1235662.jpg
Node.js: The Ultimate Beginner's Guide to Learn node.js Step by Step - 2021 (3nd edition),https://www.eslite.com/product/1001294883831027,Mem Lnc ; John Bach,Ingram International Inc,9798591279738,0
Distributed Systems with Node.Js: Building Enterprise-Ready Backend Services,https://www.eslite.com/product/1001294883215521,Thomas Hunter,Ingram International Inc,9781492077299,0
"Beginning Node.js, Express & MongoDB Development",https://www.eslite.com/product/1001294883496080,Greg Lim,Ingram International Inc,9789811480287,https://s.eslite.dev/upload/ean/9789811480287.jpg
Node.js Web Development - Fifth Edition: Server-side web development made easy with Node 14 using practical examples,https://www.eslite.com/product/1001294884083945,David Herron,Ingram International Inc,9781838987572,0
Node.js Design Patterns - Third edition: Design and implement production-grade Node.js applications using proven patterns and techniques,https://www.eslite.com/product/1001294884085746,Mario Casciaro ; Luciano Mammino,Ingram International Inc,9781839214110,https://s.eslite.dev/upload/ean/9781839214110.jpg
Node.js: The Ultimate Beginner's Guide to Learn node.js Step by Step - 2020,https://www.eslite.com/product/1001294883682593,Mem Lnc ; John Bach,Ingram International Inc,9798669424008,0
"Beginning Node.js, Express & MongoDB Development",https://www.eslite.com/product/1001294883638834,Greg Lim,Ingram International Inc,9781078379557,0
Get Programming with Node.Js,https://www.eslite.com/product/1001294883596854,Jonathan Wexler,Ingram International Inc,9781617294747,https://s.eslite.dev/upload/ean/9781617294747.jpg
Node.js Complete Reference Guide,https://www.eslite.com/product/1001294884068925,Valentin Bojinov ; David Herron ; Diogo Resende,Ingram International Inc,9781789952117,https://s.eslite.dev/upload/ean/9781789952117.jpg
"Node.js, MongoDB, React, React Native Full-Stack Fundamentals and Beyond",https://www.eslite.com/product/1001294883173721,Eric Bush,Ingram International Inc,9780997196689,0
