書名,書籍網址,作者,出版社,ISBN,圖片網址
Python Object-Oriented Programming - Fourth Edition: Build robust and maintainable object-oriented Python applications and libraries,https://www.eslite.com/product/1001294884366753,Steven F. Lott ; Dusty Phillips,Ingram International Inc,9781801077262,0
Object Oriented Programming with Angular: Build and Deploy Your Web Application Using Angular with Ease (English Edition),https://www.eslite.com/product/1001294883683783,Balram Morsing Chavan,Ingram International Inc,9789389328363,0
Learn Object Oriented Python: Python Technologies,https://www.eslite.com/product/1001294883542026,Hasan Ansari,Ingram International Inc,9798663552943,https://s.eslite.dev/upload/ean/9798663552943.jpg
Interactive Object-Oriented Programming in Java: Learn and Test Your Programming Skills,https://www.eslite.com/product/1001294883599760,Vaskaran Sarcar,Ingram International Inc,9781484254035,https://s.eslite.dev/upload/ean/9781484254035.jpg
Object Oriented Analysis & Design Cookbook: Introduction to Practical System Modeling,https://www.eslite.com/product/1001294884221850,Edwin Mach,Ingram International Inc,9781670943163,https://s.eslite.dev/upload/ean/9781670943163.jpg
Practical Object-Oriented Design in Ruby: An Agile Primer,https://www.eslite.com/product/1001294883038989,Sandi Metz,Ingram International Inc,9780321721334,https://s.eslite.dev/upload/ean/9780321721334.jpg
Mastering Object-Oriented Python - Second Edition,https://www.eslite.com/product/1001294884029538,Steven F. Lott,Ingram International Inc,9781789531367,https://s.eslite.dev/upload/ean/9781789531367.jpg
The Object-Oriented Thought Process,https://www.eslite.com/product/1001294883593849,Matt Weisfeld,Ingram International Inc,9780135181966,https://s.eslite.dev/upload/ean/9780135181966.jpg
Hands-On Object-Oriented Programming with C#,https://www.eslite.com/product/1001294884042612,Raihan Taher,Ingram International Inc,9781788296229,https://s.eslite.dev/upload/ean/9781788296229.jpg
Python 3 Object-oriented Programming - Third Edition: Build robust and maintainable software with object-oriented design patterns in Python 3.8,https://www.eslite.com/product/1001294884036190,Dusty Phillips,Ingram International Inc,9781789615852,https://s.eslite.dev/upload/ean/9781789615852.jpg
Practical Object-Oriented Design: An Agile Primer Using Ruby,https://www.eslite.com/product/1001294883042200,Sandi Metz,Ingram International Inc,9780134456478,https://s.eslite.dev/upload/ean/9780134456478.jpg
Object -Oriented Analysis and Design Using UML,https://www.eslite.com/product/1001294883504552,K. Venugopal Reddy ; Sampath Korra,Ingram International Inc,9789387593589,0
A Pelican Book: Object-Oriented Ontology,https://www.eslite.com/product/1001294883577861,Graham Harman,Ingram International Inc,9780241269152,0
Object-Oriented Programming with ABAP Objects,https://www.eslite.com/product/1001294883298589,,Ingram International Inc,9781592299935,https://s.eslite.dev/upload/ean/9781592299935.jpg
"Object-Oriented Analysis, Design and Implementation: An Integrated Approach",https://www.eslite.com/product/1001294883372155,Brahma Dathan ; Sarnath Ramnath,Ingram International Inc,9783319242781,https://s.eslite.dev/upload/ean/9783319242781.jpg
Python 3 Object-Oriented Programming - Second Edition: Building robust and maintainable software with object oriented design patterns in Python,https://www.eslite.com/product/1001294883751597,Dusty Phillips,Ingram International Inc,9781784398781,0
The Principles of Object-Oriented JavaScript,https://www.eslite.com/product/1001294883310456,Nicholas C. Zakas,Ingram International Inc,9781593275402,https://s.eslite.dev/upload/ean/9781593275402.jpg
Beginning C# Object-Oriented Programming,https://www.eslite.com/product/1001294883510284,Dan Clark,Ingram International Inc,9781430249351,0
Python 3 Object Oriented Programming,https://www.eslite.com/product/1001294884061537,Dusty Phillips,Ingram International Inc,9781849511261,https://s.eslite.dev/upload/ean/9781849511261.jpg
"Growing Object-Oriented Software, Guided by Tests",https://www.eslite.com/product/1001294884025365,Steve Freeman ; Nat Pryce,Ingram International Inc,9780321503626,https://s.eslite.dev/upload/ean/9780321503626.jpg
Head First Object-Oriented Analysis and Design: A Brain Friendly Guide to OOA&D,https://www.eslite.com/product/1001294884035865,Brett McLaughlin ; Gary Pollice ; David West,Ingram International Inc,9780596008673,0
Object Oriented Perl: A Comprehensive Guide to Concepts and Programming Techniques,https://www.eslite.com/product/1001294884019885,Damian Conway,Ingram International Inc,9781884777790,https://s.eslite.dev/upload/ean/9781884777790.jpg
"Object Design Style Guide: Powerful Techniques for Creating Flexible, Readable, and Maintainable Object-Oriented Code in Any Oo Language, from Py",https://www.eslite.com/product/1001294884261656,Matthias Noback,Ingram International Inc,9781617296857,https://s.eslite.dev/upload/ean/9781617296857.jpg
Sams Teach Yourself Object Oriented Programming in 21 Days,https://www.eslite.com/product/1001294883988709,Anthony Sintes,Ingram International Inc,9780672321092,https://s.eslite.dev/upload/ean/9780672321092.jpg
Scala Cookbook: Recipes for Object-Oriented and Functional Programming,https://www.eslite.com/product/1001294884363362,Alvin Alexander,Ingram International Inc,9781492051541,0
Java Programming: Learn How to Code With an Object-Oriented Program to Improve Your Software Engineering Skills. Get Familiar with Virtu,https://www.eslite.com/product/1001294883817063,Alan Grid,Ingram International Inc,9781914045288,0
Design Patterns in .Net Core 3: Reusable Approaches in C# and F# for Object-Oriented Software Design,https://www.eslite.com/product/1001294883720039,Dmitri Nesteruk,Ingram International Inc,9781484261798,0
Head First Design Patterns: Building Extensible and Maintainable Object-Oriented Software,https://www.eslite.com/product/1001294883486985,Eric Freeman ; Elisabeth Robson,Ingram International Inc,9781492078005,0
"Python Programming: The Ultimate Expert Guide: Advanced Features, Object Oriented Programming, Data Analysis, Artificial Intelligence and",https://www.eslite.com/product/1001294883751888,Clive Campbell,Ingram International Inc,9781801547666,0
"Java Programming: Code with an Object-Oriented Program and Improve Your Software Engineering Skills. Get Familiar with Virtual Machine,",https://www.eslite.com/product/1001294883634599,Alan Grid,Ingram International Inc,9781914045103,0
Requirements Modeling and Coding: An Object-Oriented Approach,https://www.eslite.com/product/1001294883383928,,Ingram International Inc,9781786348821,0
Requirements Modeling and Coding: An Object-Oriented Approach,https://www.eslite.com/product/1001294884055337,Liping Liu,Ingram International Inc,9781786348876,0
Java Programmming: Learn How to Code with an Object-Oriented Program to Improve Your Software Engineering Skills. Get Familiar with Virtu,https://www.eslite.com/product/1001294884050773,Alan Grid,Ingram International Inc,9781914045011,https://s.eslite.dev/upload/ean/9781914045011.jpg
Introduction to Compiler Design: An Object-Oriented Approach Using Java(R),https://www.eslite.com/product/1001294883983784,John I. Moore,Ingram International Inc,9781734139112,0
Introduction to Compiler Design: An Object-Oriented Approach Using Kotlin(TM),https://www.eslite.com/product/1001294883982774,John I. Moore,Ingram International Inc,9781734139150,0
Object Oriented: An Anthology of Supreme Accessories from 1994-2018,https://www.eslite.com/product/1002144292785583,Byron Hawes,POWERHOUSE BOOKS,9781576879399,https://s.eslite.dev/upload/product/l/2681795405003/20190808122116387003.jpg
Introduction to Compiler Design: An Object-Oriented Approach Using Java(R),https://www.eslite.com/product/1001294883983771,John I. Moore,Ingram International Inc,9781734139105,0
"Mastering C# Intermediate: Classes, Interfaces and OOP: The ultimate, Step by Step Guide to Classes, Interfaces and Object Oriented Programming (",https://www.eslite.com/product/1001294883891955,Dennis Sharp,Ingram International Inc,9781088841419,0
Modern Programming: Object Oriented Programming and Best Practices,https://www.eslite.com/product/1001294884083821,Graham Lee,Ingram International Inc,9781838986186,https://s.eslite.dev/upload/ean/9781838986186.jpg
Real-Time C++: Efficient Object-Oriented and Template Microcontroller Programming,https://www.eslite.com/product/1001294883754775,Christopher Kormanyos,Ingram International Inc,9783662585931,0
Real-Time C++: Efficient Object-Oriented and Template Microcontroller Programming,https://www.eslite.com/product/1001294883542406,Christopher Kormanyos,Ingram International Inc,9783662567173,https://s.eslite.dev/upload/ean/9783662567173.jpg
Design Patterns in Modern C++: Reusable Approaches for Object-Oriented Software Design,https://www.eslite.com/product/1001294883732726,Dmitri Nesteruk,Ingram International Inc,9781484236024,0
Beginning Java Programming: The Object-Oriented Approach,https://www.eslite.com/product/1001294883559358,Bart Baesens ; Aimee Backiel ; Seppe Vanden Broucke,Ingram International Inc,9781118739495,0
"Fundamentals of Computer Programming with C#: Programming Principles, Object-Oriented Programming, Data Structures",https://www.eslite.com/product/1001294883004901,Vesselin Kolev ; Nakov's Team ; Svetlin Nakov,Ingram International Inc,9789544007737,https://s.eslite.dev/upload/ean/9789544007737.jpg
Learning Python: Powerful Object-Oriented Programming,https://www.eslite.com/product/1001294883531296,Mark Lutz,Ingram International Inc,9781449355739,https://s.eslite.dev/upload/ean/9781449355739.jpg
Monty Karel: A Gentle Introduction to the Art of Object-Oriented Programming in Python,https://www.eslite.com/product/1001294884083625,Mark Stehlik ; Jim Roberts ; Rich Pattis,Ingram International Inc,9780970579522,0
Karel J Robot: A Gentle Introduction to the Art of Object-Oriented Programming in Java,https://www.eslite.com/product/1001294884083500,Mark Stehlik ; Jim Roberts ; Richard Pattis,Ingram International Inc,9780970579515,0
Programming Python: Powerful Object-Oriented Programming,https://www.eslite.com/product/1001294883117740,Mark Lutz,Ingram International Inc,9780596158101,0
Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development,https://www.eslite.com/product/1001294883033874,Craig Larman,Ingram International Inc,9780131489066,0
物件導向技術與實例OBJECT-ORIENTED,https://www.eslite.com/product/1001118791358110,凌群電腦,儒林圖書有限公司,9789574993048,0
Design Patterns: Elements of Reusable Object-Oriented Software,https://www.eslite.com/product/1001294883586029,Erich Gamma ; Richard Helm ; Ralph Johnson,Ingram International Inc,9780201633610,https://s.eslite.dev/upload/ean/9780201633610.jpg
物件導向系統分析與設計: 觀念、工具與實作,https://www.eslite.com/product/1001110741726861,顧宜錚/ 戴逸民/ 陳世欽,巨流圖書有限公司,9789861573618,0
Software Radio Architecture,https://www.eslite.com/product/1002136461524107,"Mitola, Joseph",John Wiley & Sons Singapore Pte.,9780471384922,0
設計模式的解析與活用,https://www.eslite.com/product/1001120322278888,Alan Shalloway/ James R. Trott,博碩文化股份有限公司,9789862018200,https://s.eslite.dev/Upload/Product/201310/l/635182867064570000.jpg
Ruby物件導向設計實踐: 敏捷入門,https://www.eslite.com/product/1001120322414027,Sandi Metz,博碩文化股份有限公司,9789864340101,https://s.eslite.dev/upload/product/l/2681045140005/20190422140447693882.jpg
深入淺出設計模式: 建構可擴展、易維護的物件導向軟體 (第2版),https://www.eslite.com/product/1001133102682062331001,Eric Freeman/ Elisabeth Robson,美商歐萊禮股份有限公司台灣分公司,9789865029364,https://s.eslite.dev/upload/product/l/2682062331001/20210824055827696000.jpg
系統分析與設計: 物件導向與UML (第4版),https://www.eslite.com/product/1001140722424161,Simon Bennett/ Steve McRobb/ Ray Farmer,McGraw-Hill Education (Singapore),9789863411789,https://s.eslite.dev/upload/product/l/2681070127002/482060.jpg
深入淺出物件導向分析與設計,https://www.eslite.com/product/1001133101689530,,美商歐萊禮股份有限公司台灣分公司,9789867794994,https://s.eslite.dev/Upload/Product/201903/l/636884990260281250.jpg
重構: 改善既有程式的設計 (第2版),https://www.eslite.com/product/1001113692774021,Martin Fowler,碁峰資訊股份有限公司,9789865021832,https://s.eslite.dev/Upload/Product/201907/l/636976589928494722.jpg
深入淺出學會編寫程式,https://www.eslite.com/product/1001133102770472,Eric Freeman,美商歐萊禮股份有限公司台灣分公司,9789865021375,https://s.eslite.dev/Upload/Product/201906/l/636954934981130000.jpg
領域驅動設計: 軟體核心複雜度的解決方法,https://www.eslite.com/product/1001120322760889,Eric Evans,博碩文化股份有限公司,9789864343874,https://s.eslite.dev/Upload/Product/201905/l/636928149530461724.jpg
JavaScript大全 (第6版),https://www.eslite.com/product/1001113692134361,,碁峰資訊股份有限公司,9789862764411,https://s.eslite.dev/Upload/Product/201204/l/634710259948120000.jpg
"Java How to Program, Late Objects (Global/11 Ed.)",https://www.eslite.com/product/1002178862838549,Paul Deitel/ Harvey Deitel,台灣培生教育出版股份有限公司,9781292273730,https://s.eslite.dev/Upload/Product/202004/l/637221909567823750.jpg
Art and Objects,https://www.eslite.com/product/1001159012682006641005,Graham Harman,POLITY PRESS,9781509512683,https://s.eslite.dev/upload/product/2682006641005/l/2682006641005-01.jpg
Data Abstraction & Problem Solving With C++: Walls and Mirrors (International Ed./ 6 Ed.),https://www.eslite.com/product/1002122982808796,Frank M. Carrano/ Timothy Henry,全華圖書股份有限公司,9780273768418,https://s.eslite.dev/upload/product/l/2681829394006/20191115033732557680.jpg
"Java How to Program, Early Objects (11 Ed.)",https://www.eslite.com/product/1002122982668014,Paul Deitel/ Harvey Deitel,全華圖書股份有限公司,9781292223858,https://s.eslite.dev/upload/product/l/2681565670006/773313.jpg
Visual F# 2017技術開發經典,https://www.eslite.com/product/1001138362630970,孫惠民,經瑋國際股份有限公司,9789869527590,https://s.eslite.dev/Upload/Product/201710/l/636435667196627565.jpg
系統分析與設計,https://www.eslite.com/product/1001138362619989,孫惠民,經瑋國際股份有限公司,9789869496384,https://s.eslite.dev/Upload/Product/201708/l/636391602522986250.jpg
C++ Plus Data Structures (6 Ed.),https://www.eslite.com/product/1002122982615362,Nell Dale/ Chip Weems/ Tim Richards,全華圖書股份有限公司,9781284089189,https://s.eslite.dev/upload/product/l/2681488095009/20190409041701900618.jpg
揭開設計模式的秘辛: 設計模式第1 3/4版,https://www.eslite.com/product/1001120322579482,John Vlissides,博碩文化股份有限公司,9789864341894,https://s.eslite.dev/Upload/Product/201703/l/636262264739506250.jpg
我的程式碼會說話 (暢銷回饋版),https://www.eslite.com/product/1001120322490245,王洪亮,博碩文化股份有限公司,9789864340873,https://s.eslite.dev/Upload/Product/201602/l/635913811094068750.jpg
Starting out with Java: From Control Structures through Objects (6 Ed.),https://www.eslite.com/product/1001122982516060,Tony Gaddis,全華圖書股份有限公司,9781292110653,https://s.eslite.dev/upload/product/l/2681330917008/574927.jpg
UML 3函數物件導向視覺化系統分析與設計寶典,https://www.eslite.com/product/1001138362345191,孫惠民,經瑋國際股份有限公司,9789865835767,https://s.eslite.dev/Upload/Product/201407/l/635417011255992500.jpg
學會Objective-C的24堂課 (第3版),https://www.eslite.com/product/1001113692331363,蔡明志,碁峰資訊股份有限公司,9789863470984,https://s.eslite.dev/upload/product/l/2680877531005/342668.jpg
