ISBN,書籍簡介
9781773950648,0
9781789951752,0
9781789803822,0
9781789956030,0
9781788995399,"An In-depth guide updated with the latest version of Qt 5.11 including new features such as Quick Controls and Qt Gamepad Key Features  Unleash the power of Qt 5.11 with C++ Build applications using Qt Widgets (C++) or Qt Quick (QML) Create cross-platform applications for mobile and desktop platforms with Qt 5  Book Description Qt 5.11 is an app development framework that provides a great user experience and develops full capability applications with Qt Widgets, QML, and even Qt 3D. Whether you're building GUI prototypes or fully-fledged cross-platform GUI applications with a native look and feel, Mastering Qt 5 is your fastest, easiest, and most powerful solution. This book addresses various challenges and teaches you to successfully develop cross-platform applications using the Qt framework, with the help of well-organized projects. Working through this book, you will gain a better understanding of the Qt framework, as well as the tools required to resolve serious issues, such as linking, debugging, and multithreading. You'll start off your journey by discovering the new Qt 5.11 features, soon followed by exploring different platforms and learning to tame them. In addition to this, you'll interact with a gamepad using Qt Gamepad. Each chapter is a logical step for you to complete in order to master Qt. By the end of this book, you'll have created an application that has been tested and is ready to be shipped. What you will learn  Create stunning UIs with Qt Widgets and Qt Quick 2 Develop powerful, cross-platform applications with the Qt framework Design GUIs with the Qt Designer and build a library in it for UI previews Handle user interaction with the Qt signal or slot mechanism in C++ Prepare a cross-platform project to host a third-party library Use the Qt Animation framework to display stunning effects Deploy mobile apps with Qt and embedded platforms Interact with a gamepad using Qt Gamepad "
9781788831000,0
9788891141774,"Questo libro non cerca di essere il manuale di Qt, ma attraverso esempi verosimili, ben congegnati tra loro, vi guider  alla realizzazione di vere applicazioni Desktop, sia per Linux che per Windows. Si parte con l'installazione dei ""*tool""* necessari, si arriva alla distribuzione dell'applicazione, passando per la creazione di librerie con il ""*D-Pointer Pattern*"". La narrazione romanzata """"Quanto Basta"""", arricchita di aneddoti rendono la lettura piacevole. Nella seconda edizione il testo   stato rivisto, gli esempi migliorati e resi disponibili sul sito dell'autore."
9789865501150,人工智慧，大數據操作的後端，需要一個讓使用者能操作的前端介面。應用程式前端介面的選擇，除了Web、App、命令列之外，還有已存在30年的視窗程式。在大型專案開發中，雖然網頁已成為主流，但許多場合，還是有視窗程式的需求。 開發視窗程式首選當然是Visual Studio，但必須熟悉C++/C#。如果讀者已經熟悉了Python，又想開發視窗程式，Qt將會是最好的選擇。讀者只要會Python就可以了。 Qt C++ 類別庫是一套廣泛使用的跨平台GUI 設計類別庫，PyQt5 是Qt5 C++類別庫的Python 綁定，使用PyQt5 在Python 裡程式設計，可以將Python 豐富的科學計算、圖形顯示等功能與PyQt5 的GUI 設計功能結合起來，開發出比較專業的Python GUI 應用程式，便於對研究成果進行有效的整合與展示。 本書介紹在Python 中使用PyQt5、PyQtChart、Matplotlib 等進行GUI 應用程式設計和資料視覺化程式設計的方法，用最真實範例的方式，讓讀者熟悉Qt的開發方式，並且掌控所有視窗的元件，全書內容分為三部分。包括： ►完整Python、Qt開發環境的安裝 ► PyQt5程式設計架構 ►常用視窗元件使用，MV架構、GUI的增強設計 ►滑鼠鍵盤等事件的處理、對話方塊及多視窗的應用 ►資料庫的使用，使用了SQLITE ►PyQt5上的檔案操作、繪圖元件 ►PyQt5多媒體的操作，包括音樂及視訊 ►PyQtChart的圖表製作、PyQtDataVisualization的使用 ►最強大的人工智慧統計繪圖套件Matplotlib的使用 本書特色 ◎ 使用PyQt5 進行GUI 應用程式設計 ◎ 使用PyQtChart、PyQtDataVisualization 和Matplotlib 在GUI 程式的視窗介面上嵌入資料視覺化功能。 適合讀者群：具Python程式設計基礎、想透過Python設計GUI應用程式， 或在GUI應用程式中實現資料視覺化的讀者。
9789862015292,快速掌握影像處理的基礎與實作，你也可以聰明做到筆者以多年的電腦視覺相關應用研究經驗，整理出了在學習影像處理時必需要學的13堂課，包含了影像輸出輸入、影像像素操作、色彩影像、如何使用Qt進行繪圖，以及特偵結取與影像搜尋法等13個章節。深入淺出的內容鋪陳，不但能學到數位影像處理的理論知識，更能與實際的實作做到完美的連結。透過本書可累積一定程度的實戰經驗，並以此做為開發基礎，必定能讓您成為觸類旁通的開發工程師。本書光碟內容，收錄書籍內容的範例檔案。附件內容書中範例程式碼與相關圖檔
9781733576079,0
9781800204584,"Enhance your cross-platform programming abilities with the powerful features and capabilities of Qt 6Key Features: Leverage Qt and C++ capabilities to create modern, cross-platform applications that can run on a wide variety of software applicationsExplore what's new in Qt 6 and understand core concepts in depthBuild professional customized GUI applications with the help of Qt CreatorBook Description: Qt is a cross-platform application development framework widely used for developing applications that can run on a wide range of hardware platforms with little to no change in the underlying codebase. If you have basic knowledge of C++ and want to build desktop or mobile applications with a modern graphical user interface (GUI), Qt is the right choice for you. Cross-Platform Development with Qt 6 and Modern C++ helps you understand why Qt is one of the favorite GUI frameworks adopted by industries worldwide, covering the essentials of programming GUI apps across a multitude of platforms using the standard C++17 and Qt 6 features.Starting with the fundamentals of the Qt framework, including the features offered by Qt Creator, this practical guide will show you how to create classic user interfaces using Qt Widgets and touch-friendly user interfaces using Qt Quick. As you advance, you'll explore the Qt Creator IDE for developing applications for multiple desktops as well as for embedded and mobile platforms. You will also learn advanced concepts about signals and slots. Finally, the book takes you through debugging and testing your app with Qt Creator IDE.By the end of this book, you'll be able to build cross-platform applications with a modern GUI along with the speed and power of native apps.What You Will Learn: Write cross-platform code using the Qt framework to create interactive applicationsBuild a desktop application using Qt WidgetsCreate a touch-friendly user interface with Qt QuickDevelop a mobile application using Qt and deploy it on different platformsGet to grips with Model/View programming with Qt Widgets and Qt QuickDiscover Qt's graphics framework and add animations to your user interfaceWrite test cases using the Qt Test framework and debug codeBuild a translation-aware applicationFollow best practices in Qt to write high-performance codeWho this book is for: This book is for application developers who want to use C++ and Qt to create modern, responsive applications that can be deployed to multiple operating systems such as Microsoft Windows, Apple macOS, and Linux desktop platforms. Although no prior knowledge of Qt is expected, beginner-level knowledge of the C++ programming language and object-oriented programming system (OOPs) concepts will be helpful."
9781791866976,0
,這部紀錄片專注於導演昆汀塔倫提諾，職業生涯的前21年，包括採訪和導演合作過的大明星們，以及前八部電影的精采片段，從1992年的第一部電影《霸道橫行》、《黑色追緝令》、《黑色終結令》、《追殺比爾１＆２》一直到全球票房叫好又叫座的《決殺令》，本片可以說是觀眾在看第九部新作後的最佳觀影大補帖。更是全球昆汀迷不可錯過的精彩集錦
