書名,書籍網址,作者,出版社,ISBN,圖片網址
Brutal Refactoring: More Working Effectively with Legacy Code,https://www.eslite.com/product/1001294883052169,Michael Feathers,Ingram International Inc,9780321793201,0
Refactoring at Scale: Regaining Control of Your Codebase,https://www.eslite.com/product/1001294884139004,Maude Lemaire,Ingram International Inc,9781492075530,https://s.eslite.dev/upload/ean/9781492075530.jpg
Refactoring: Improving the Design of Existing Code,https://www.eslite.com/product/1001294883041822,Martin Fowler,Ingram International Inc,9780134757599,https://s.eslite.dev/upload/ean/9780134757599.jpg
Refactoring Workbook,https://www.eslite.com/product/1001294884055644,Ross Venables ; William Wake,Ingram International Inc,9780321109293,0
Java to Kotlin: A Refactoring Guidebook,https://www.eslite.com/product/1001294884300015,Duncan McGregor ; Nat Pryce,Ingram International Inc,9781492082279,0
重構JavaScript,https://www.eslite.com/product/1001133102685856,Evan Burchard,美商歐萊禮股份有限公司台灣分公司,9789864766826,https://s.eslite.dev/Upload/Product/201806/l/636645007581261250.jpg
大規模重構: 奪回源碼庫的控制權,https://www.eslite.com/product/1001133102682019012007,Maude Lemaire,美商歐萊禮股份有限公司台灣分公司,9789865027780,https://s.eslite.dev/upload/product/l/2682019012007/20210518040217586537.jpg
重構: 改善既有程式的設計 (第2版),https://www.eslite.com/product/1001113692774021,Martin Fowler,碁峰資訊股份有限公司,9789865021832,https://s.eslite.dev/Upload/Product/201907/l/636976589928494722.jpg
CSS重構,https://www.eslite.com/product/1001133102587139,Steve Lindstrom,美商歐萊禮股份有限公司台灣分公司,9789864763658,https://s.eslite.dev/Upload/Product/201704/l/636287060172447500.jpg
軟體工程理論與實務應用 (第5版),https://www.eslite.com/product/1001113692758233,,碁峰資訊股份有限公司,9789865021085,https://s.eslite.dev/upload/product/l/2681749399006/ec1745339.jpg
軟體工程理論與實務應用 (第4版),https://www.eslite.com/product/1001113692588519,顏春煌,碁峰資訊股份有限公司,9789864763689,https://s.eslite.dev/upload/product/l/2681449333003/ec1285832.jpg
我的程式碼會說話 (暢銷回饋版),https://www.eslite.com/product/1001120322490245,王洪亮,博碩文化股份有限公司,9789864340873,https://s.eslite.dev/Upload/Product/201602/l/635913811094068750.jpg
大話重構,https://www.eslite.com/product/1001120322445244,范鋼,博碩文化股份有限公司,9789864340460,https://s.eslite.dev/Upload/Product/201508/l/635758290834554480.jpg
我的程式碼會說話,https://www.eslite.com/product/1001120322329460,王洪亮,博碩文化股份有限公司,9789862019306,https://s.eslite.dev/upload/product/l/2680875647005/334606.jpg
無瑕的程式碼: 敏捷軟體開發技巧守則,https://www.eslite.com/product/1001120322219598,Robert C. Martin,博碩文化股份有限公司,9789862017050,https://s.eslite.dev/Upload/Product/201303/l/634988467230847500.jpg
