書名,書籍網址,作者,出版社,ISBN,圖片網址
"Deep Reinforcement Learning with Python: With Pytorch, Tensorflow and Openai Gym",https://www.eslite.com/product/1001294883881830,Nimish Sanghi,Ingram International Inc,9781484268087,0
Reinforcement Learning強化學習深度解析 (中文版),https://www.eslite.com/product/1001113692682007701005,Richard S. Sutton/ Andrew G. Barto,碁峰資訊股份有限公司,9789865027193,https://s.eslite.dev/upload/product/l/2682007701005/20210423042513559163.jpg
Reinforcement Learning Algorithms: Analysis and Applications,https://www.eslite.com/product/1001294884252454,,Ingram International Inc,9783030411879,0
Deep Reinforcement Learning in Unity: With Unity ML Toolkit,https://www.eslite.com/product/1001294883608844,Abhilash Majumder,Ingram International Inc,9781484265024,0
"TensorFlow 2 Reinforcement Learning Cookbook: Over 50 recipes to help you build, train, and deploy learning agents for real-world applications",https://www.eslite.com/product/1001294883777318,Praveen Palanisamy,Ingram International Inc,9781838982546,0
"Mastering Reinforcement Learning with Python: Build next-generation, self-learning models using reinforcement learning techniques and best practices",https://www.eslite.com/product/1001294883712805,Enes Bilgin,Ingram International Inc,9781838644147,0
Rubber Reinforcement with Particulate Fillers,https://www.eslite.com/product/1001294883889714,Meng-Jiao Wang ; Michael Morris,Ingram International Inc,9781569907191,0
Reinforcement Learning: Industrial Applications of Intelligent Agents,https://www.eslite.com/product/1001294883179910,D. Phil Winder Ph.,Ingram International Inc,9781098114831,0
Deep Reinforcement Learning with Guaranteed Performance: A Lyapunov-Based Approach,https://www.eslite.com/product/1001294884252483,Yinyan Zhang ; Shuai Li ; Xuefeng Zhou,Ingram International Inc,9783030333867,0
Deep Reinforcement Learning with Python - Second Edition,https://www.eslite.com/product/1001294884081967,Sudharsan Ravichandiran,Ingram International Inc,9781839210686,0
Reinforcement Learning for Cyber-Physical Systems: With Cybersecurity Case Studies,https://www.eslite.com/product/1001294884047372,Chong Li ; Meikang Qiu,Ingram International Inc,9780367656638,0
Reinforcement Learning: Aktuelle Ansätze Verstehen - Mit Beispielen in Java Und Greenfoot,https://www.eslite.com/product/1001294883492525,Uwe Lorenz,Ingram International Inc,9783662616505,0
The Reinforcement Learning Workshop: Learn how to apply cutting-edge reinforcement learning algorithms to a wide range of control problems,https://www.eslite.com/product/1001294884056178,Alessandro Palmas ; Emanuele Ghelfi ; Alexandra Galina Petre,Ingram International Inc,9781800200456,0
"Deep Reinforcement Learning: Fundamentals, Research and Applications",https://www.eslite.com/product/1001294883674398,,Ingram International Inc,9789811540943,0
"Deep Reinforcement Learning Hands-On - Second Edition: Apply modern RL methods to practical problems of chatbots, robotics, discrete optimization, web",https://www.eslite.com/product/1001294884082259,Maxim Lapan,Ingram International Inc,9781838826994,0
Hands-On Reinforcement Learning for Games,https://www.eslite.com/product/1001294884086125,Micheal Lanham,Ingram International Inc,9781839214936,0
Hands-On Reinforcement Learning with R,https://www.eslite.com/product/1001294884035848,Giuseppe Ciaburro,Ingram International Inc,9781789616712,0
PyTorch 1.0 Reinforcement Learning Cookbook,https://www.eslite.com/product/1001294884087483,Yuxi (Hayden) Liu,Ingram International Inc,9781838551964,0
Reinforcement Learning Algorithms with Python,https://www.eslite.com/product/1001294884045063,Andrea Lonza,Ingram International Inc,9781789131116,https://s.eslite.dev/upload/ean/9781789131116.jpg
Deep Reinforcement Learning: Frontiers of Artificial Intelligence,https://www.eslite.com/product/1001294883548440,Mohit Sewak,Ingram International Inc,9789811382840,0
"Applied Reinforcement Learning with Python: With Openai Gym, Tensorflow, and Keras",https://www.eslite.com/product/1001294883198053,Taweh Beysolow II,Ingram International Inc,9781484251263,0
Python Reinforcement Learning,https://www.eslite.com/product/1001294884076194,Sudharsan Ravichandiran ; Sean Saito ; Rajalingappaa Shanmugamani,Ingram International Inc,9781838649777,0
TensorFlow Reinforcement Learning Quick Start Guide,https://www.eslite.com/product/1001294884037317,Kaushik Balakrishnan,Ingram International Inc,9781789533583,0
Deep Reinforcement Learning for Wireless Networks,https://www.eslite.com/product/1001294883489157,,Ingram International Inc,9783030105457,0
Reinforcement Learning for Optimal Feedback Control: A Lyapunov-Based Approach,https://www.eslite.com/product/1001294883686340,Rushikesh Kamalapurkar ; Patrick Walters ; Joel Rosenfeld,Ingram International Inc,9783030086893,0
"Reinforcement Learning, Second Edition: An Introduction",https://www.eslite.com/product/1001294883090507,Richard S. Sutton ; Andrew G. Barto,Ingram International Inc,9780262039246,0
"Deep Reinforcement Learning Hands-On: Apply modern RL methods, with deep Q-networks, value iteration, policy gradients, TRPO, AlphaGo Zero and more",https://www.eslite.com/product/1001294884066915,Maxim Lapan,Ingram International Inc,9781788834247,0
"Reinforcement Learning: With Open Ai, Tensorflow and Keras Using Python",https://www.eslite.com/product/1001294883709381,Abhishek Nandy ; Manisha Biswas,Ingram International Inc,9781484232842,0
Reinforcement Learning With Python: Master Reinforcement Learning in Python Without Being an Expert,https://www.eslite.com/product/1001294883265639,Bob Story,Ingram International Inc,9781548960025,0
Reinforcement and Punishment: Vignettes for Practice in Applied Behavior Analysis,https://www.eslite.com/product/1001294883637930,Joseph Mallory Strayhorn,Ingram International Inc,9781931773201,0
Motivation and Reinforcement: Turning the Tables on Autism,https://www.eslite.com/product/1001294883238483,Robert Schramm,Ingram International Inc,9781447748366,0
Algorithms for Reinforcement Learning,https://www.eslite.com/product/1001294883383697,Csaba Szepesvari,Ingram International Inc,9781681732138,0
Algorithms for Reinforcement Learning,https://www.eslite.com/product/1001294884180481,Czaba Szepesvari ; Csaba Szepesvari,Ingram International Inc,9781608454921,0
Teaching with Reinforcement: For Every Day and in Every Way,https://www.eslite.com/product/1001294884133470,Kay Laurence,Ingram International Inc,9781890948405,0
Sound Reinforcement Handbook,https://www.eslite.com/product/1001294883177906,,Ingram International Inc,9780881889000,0
The Perfect Dog in 7 Days: A Complete Guide on How to Raise the Dog You've Always Dreamed Using the Power of Positive Reinforcement,https://www.eslite.com/product/1001294884387414,Puppy Training Academy,Ingram International Inc,9781801761291,0
The Perfect Dog in 7 Days: A Complete Guide on How to Raise the Dog You've Always Dreamed Using the Power of Positive Reinforcement,https://www.eslite.com/product/1001294884396157,Puppy Training Academy,Ingram International Inc,9781801761284,0
Golden Retriever And Dog Food Recipes: 2 Books In 1: Training Your Golden Retriever Using The Power Of Positive Reinforcement To Live Healthy And Happ,https://www.eslite.com/product/1001294883909965,Rex Jackson,Ingram International Inc,9781802662078,0
Golden Retriever And Dog Food Recipes: 2 Books In 1: Training Your Golden Retriever Using The Power Of Positive Reinforcement To Live Healthy And Happ,https://www.eslite.com/product/1001294883909244,Rex Jackson,Ingram International Inc,9781802662061,0
From Shortest Paths to Reinforcement Learning: A Matlab-Based Tutorial on Dynamic Programming,https://www.eslite.com/product/1001294883637404,Paolo Brandimarte,Ingram International Inc,9783030618667,0
Learning to Play: Reinforcement Learning and Games,https://www.eslite.com/product/1001294883481589,Aske Plaat,Ingram International Inc,9783030592370,0
