書名,書籍網址,作者,出版社,ISBN,圖片網址
The Ruby Suns,https://www.eslite.com/product/1004261121686304,The Ruby Suns,TR2,5050954150820,0
Our Day Will Come: The Very Best of Ruby & The Romantics (2CD),https://www.eslite.com/product/1004146002145750,Ruby & The Romantics,Cherry Red Records,5013929524729,https://s.eslite.dev/Upload/Product/201207/l/634777922424717500.jpg
深入淺出Ruby,https://www.eslite.com/product/1001133102577136,Jay McGavren,美商歐萊禮股份有限公司台灣分公司,9789864762866,https://s.eslite.dev/Upload/Product/201703/l/636254228785200564.jpg
Effective Ruby中文版: 寫出良好Ruby程式的48個具體做法,https://www.eslite.com/product/1001113692447834,Peter J. Jones,碁峰資訊股份有限公司,9789863477297,https://s.eslite.dev/Upload/Product/201509/l/635769523547386250.jpg
Ruby物件導向設計實踐: 敏捷入門,https://www.eslite.com/product/1001120322414027,Sandi Metz,博碩文化股份有限公司,9789864340101,https://s.eslite.dev/upload/product/l/2681045140005/20190422140447693882.jpg
Ruby學習手冊,https://www.eslite.com/product/1001133101751236,"Fitzgerald, Michael",美商歐萊禮股份有限公司台灣分公司,9789866840128,0
Ruby錦囊妙技,https://www.eslite.com/product/1001133101824054,,美商歐萊禮股份有限公司台灣分公司,9789866840104,0
Ruby on Rails: 建置與執行,https://www.eslite.com/product/1001133101663646,"Tate, Bruce A./ Hibbs, Curt",美商歐萊禮股份有限公司台灣分公司,9789867794925,0
THE RUBY (韓國進口版),https://www.eslite.com/product/1004197232720734,APRIL,鴻星唱片有限公司,8804775097140,https://s.eslite.dev/upload/product/l/2681670757005/ec1575156.jpg
10天學會Ruby on Rails: Web 2.0網站架設速成 (暢銷回饋版),https://www.eslite.com/product/1001120322527502,劉至浩/ 孫以陶,博碩文化股份有限公司,9789864341351,https://s.eslite.dev/Upload/Product/201608/l/636057317735031250.jpg
當SketchUp遇見Ruby: 邁向程式化建模之路,https://www.eslite.com/product/1001113692437120,李正冬,碁峰資訊股份有限公司,9789863476320,https://s.eslite.dev/upload/product/l/2681116597004/ec1000089.jpg
Ruby on Rails自習手冊: 邁向鐵道工人之路,https://www.eslite.com/product/1001120322394430,簡煒航,博碩文化股份有限公司,9789862019948,https://s.eslite.dev/Upload/Product/201502/l/635591538682986250.jpg
Ruby Electric,https://www.eslite.com/product/1004267272398882,Philip Sayce,Independent Music Labels,8712725735120,https://s.eslite.dev/upload/product/l/2680984474004/ec943262.jpg
RUBY'S WISH,https://www.eslite.com/product/1003138851215265,,CHRONICLE BOOKS,9780811834902,https://s.eslite.dev/upload/product/l/2613040400006/20190408222603437856.jpg
Ruby's Worry,https://www.eslite.com/product/1003159022802814,,BLOOMSBURY PUBLISHING,9781408892152,https://s.eslite.dev/upload/product/l/2681818906005/20200114112601346001.jpg
Ruby and Graham,https://www.eslite.com/product/1001333162682054040003,Lucy Barnard,New Frontier Publishing,9781913639303,https://s.eslite.dev/upload/product/l/2682054040003/20210804035211078869.jpg
Courage (2LP/Ruby Red Viny),https://www.eslite.com/product/1004123602833022,Celine Dion (席琳．狄翁),台灣索尼音樂娛樂股份有限公司,0190759524817,https://s.eslite.dev/upload/product/2681862912007/l/637201191329257500.jpg
Ruby,https://www.eslite.com/product/1003262142681984518002,Macy Gray (梅茜．葛蕾),Artistry Records Inc.,,https://s.eslite.dev/upload/product/l/2681984518002/20210224124723969024.jpg
Ruby (Red Vinyl/Limited Edition),https://www.eslite.com/product/1003262142681958988008,Macy Gray (梅西．葛蕾),Artistry Records Inc.,,https://s.eslite.dev/upload/product/l/2681958988008/20201221154959478089.jpg
Disney MICKEY MOUSE produced by RUBY and you seasonal book 2018,https://www.eslite.com/product/10099146942657513,,"TAKARAJIMASHA,Inc.株式会社宝島社",,https://s.eslite.dev/Upload/Product/201804/l/636592272397716250.jpg
RUBY and You Tote Bag Book,https://www.eslite.com/product/10099146942568048,,"TAKARAJIMASHA,Inc.株式会社宝島社",,https://s.eslite.dev/Upload/Product/201701/l/636207786337195000.jpg
Live at Club Ruby 1968: A Memorial Tribute To Fats Navarro Clifford Brown and Booker Little,https://www.eslite.com/product/1004248052664985,Trumpet Summit,Fresh Sound Records,8427328603829,https://s.eslite.dev/Upload/Product/201803/l/636577480334712500.jpg
Patch and Ruby,https://www.eslite.com/product/1003307402704482,Anouska Jones,EXISLE PUBLISHING,9781925335224,https://s.eslite.dev/Upload/Product/201808/l/636710782309393750.jpg
QED RUBY ANNIVERSARY EVO 喇叭線 3.0M,https://www.eslite.com/product/1005289342430109,,金門電器音響有限公司,,0
Ruby Holler,https://www.eslite.com/product/1003159022376190,,BLOOMSBURY PUBLISHING,9781408848029,https://s.eslite.dev/Upload/Product/201411/l/635525916420085000.jpg
Ruby Learns to Swim,https://www.eslite.com/product/1003138022344150,Phillip Gwynne,ALLEN & UNWIN,9781742377506,https://s.eslite.dev/upload/product/l/2680890430002/ec857636.jpg
Max & Ruby's Treasure Hunt,https://www.eslite.com/product/1003143782199587,Rosemary Wells,VIKING,9780670063178,https://s.eslite.dev/upload/product/2680743494007/l/2680743494007^01.jpg
The Ruby Notebook,https://www.eslite.com/product/1003265432133784,Laura Resau,Ember,9780375845253,https://s.eslite.dev/Upload/Product/201207/l/634792634472258750.jpg
Razzle-Dazzle Ruby,https://www.eslite.com/product/1003150472078879,D'Yans,SCHOLASTIC INC.,9780545225007,https://s.eslite.dev/upload/product/l/2680628288004/20190408184231879977.jpg
Ruby: Otherworldliness,https://www.eslite.com/product/1002156192010606,"Douer, Irana/ Ed.",DIE GESTALTEN VERLAG GMBH & Co. KG,9783899553437,https://s.eslite.dev/Upload/Product/201105/l/634420960152780000.jpg
Max and Ruby's Bedtime Book,https://www.eslite.com/product/1003143782077910,"Wells, Rosemary",VIKING,9780670011414,https://s.eslite.dev/upload/product/l/2680627319006/20190408165311792006.jpg
The Ruby Notebook,https://www.eslite.com/product/1003162002077555,"Resau, Laura",Delacorte,9780385736534,0
Ruby Nettleship & the Ice Lolly,https://www.eslite.com/product/1003163092083654,Thomas Docherty,Templar Company PLC.,9781848774032,0
Ruby Ruby (Digipak),https://www.eslite.com/product/1004123081915007,"BARBIERI, GATO",環球國際唱片股份有限公司,0602517426696,0
Baby Max and Ruby: Clean Up Time,https://www.eslite.com/product/1003143781884174,"Wells, Rosemary",VIKING,9780670011711,https://s.eslite.dev/Upload/Product/200911/l/633945804006861664.JPG
Penguin Young Readers Level 2: Ruby Scores a Goal,https://www.eslite.com/product/1003138802131833,Rosemary Wells,PENGUIN GROUP (USA) INC.,9780448452357,https://s.eslite.dev/Upload/Product/201207/l/634787275653319242.jpg
A Sally Lockhart Mystery: The Ruby in the Smoke,https://www.eslite.com/product/1003138911864564,Philip Pullman,ALFRED A. KNOPF,9780375845161,https://s.eslite.dev/Upload/Product/201004/l/634075414108085367.jpg
Ruby's Imagine,https://www.eslite.com/product/1003139042083193,"Antieau, Kim",Houghton Mifflin Harcourt,9780618997671,0
"Brand New School, Brave New Ruby",https://www.eslite.com/product/1003150471868980,,SCHOLASTIC INC.,9780545017602,https://s.eslite.dev/upload/product/l/2680427018000/20190410201556468219.jpg
Ruby for Rails: Rails開發者必備的Ruby學習手冊,https://www.eslite.com/product/1001113881777897,林祖年/ 沈時宇,旗標科技股份有限公司,9789574425983,https://s.eslite.dev/Upload/Product/200804/l/633519137251513496.jpg
When Ruby Tried To Grow Candy,https://www.eslite.com/product/1003174332078228,"FISHER, VALORIE",Schwartz & Wade Books,9780375840159,https://s.eslite.dev/upload/product/2680627637001/l/2680627637001^01.jpg
Ruby程式設計密技268,https://www.eslite.com/product/1001120321739349,青木峰郎/ 後藤裕藏/ 高橋征義,博碩文化股份有限公司,9789862010686,https://s.eslite.dev/upload/product/l/2680302644003/ec215776.jpg
"Ruby Lu, Empress of Everything",https://www.eslite.com/product/1003165182139052,Lenore Look,Atheneum Books,9781416950035,https://s.eslite.dev/upload/product/l/2680683121001/20190408235623725610.jpg
Ruby Rogers Is a Walking Legend,https://www.eslite.com/product/1003159021805919,"Limb, Sue",BLOOMSBURY PUBLISHING,9780747583233,0
Ruby Rogers: Get a Life!,https://www.eslite.com/product/1003159021805920,"Limb, Sue",BLOOMSBURY PUBLISHING,9780747583240,0
Ruby on Rails網路應用程式開發與建置 (附CD),https://www.eslite.com/product/1001120321669095,Arton,博碩文化股份有限公司,9789575279790,https://s.eslite.dev/upload/product/l/2680230831001/ec205368.jpg
Ruby Programming: 向Ruby之父學程式設計 (附CD),https://www.eslite.com/product/1001120321664496,高橋征義/ 後藤裕藏/ 松本行弘,博碩文化股份有限公司,9789575279776,https://s.eslite.dev/upload/product/l/2680225988000/ec148075.jpg
Ruby the Copycat,https://www.eslite.com/product/1003150471990891,"Rathmann, Margaret",SCHOLASTIC INC.,9780439472289,https://s.eslite.dev/upload/product/l/2680540352005/20190410222404180559.jpg
Max and Ruby's Show-and-Tell,https://www.eslite.com/product/1003162301611054,"Wells, Rosemary",GROSSET & DUNLAP,9780448439525,https://s.eslite.dev/upload/product/l/2680171461008/ec130055.jpg
"Love, Ruby Lavender",https://www.eslite.com/product/1003140441633994,"Wiles, Deborah","HARCOURT, INC.",9780152054786,https://s.eslite.dev/upload/product/l/2680194426008/20190409070420068131.jpg
Geronimo Stilton 14: The Temple of the Ruby of Fire,https://www.eslite.com/product/1003150471201063,,SCHOLASTIC INC.,9780439661638,https://s.eslite.dev/upload/product/l/2613047736009/20190410191401515062.jpg
Mourning Ruby,https://www.eslite.com/product/1002149591527819,"Dunmore, Helen",PENGUIN BOOKS LTD.,9780141015019,0
Ruby Holler,https://www.eslite.com/product/1003140651199549,,HARPERCOLLINS PUBLISHERS,9780060560157,https://s.eslite.dev/upload/product/l/2613046521002/20190409044505327032.jpg
Max and Ruby Play School,https://www.eslite.com/product/1003162301944107,"Wells, Rosemary",GROSSET & DUNLAP,9780448431826,https://s.eslite.dev/upload/product/l/2680499815002/ec370149.jpg
Ruby's Beauty Shop,https://www.eslite.com/product/1003143782078383,"Wells, Rosemary",VIKING,9780670035533,0
RUBY,https://www.eslite.com/product/1004153191139997,"ROGERS, KENNY",Sanctuary Records Group Ltd.,5038456105722,0
Ruby's School Walk,https://www.eslite.com/product/1003149842083322,Kathryn White,BAREFOOT BOOKS,9781846862755,0
CARAN D'ACHE Supracolor專家級水溶性色鉛/ 280/ Ruby Red,https://www.eslite.com/product/1005186052538504,,Caran d'Ache S.A.,,0
PAPERSELF刺青貼紙/ 紅寶石豹Ruby the Leopard/ 2入,https://www.eslite.com/product/1005300722621001,,Paperself,,https://s.eslite.dev/upload/product/l/2681443876001/ec1364865.jpg
RUBY SEA,https://www.eslite.com/product/1004118381090363,THIN WHITE ROPE,水晶唱片有限公司,0018663104225,0
THE ONE YACHT & DESIGN: 2015 RUBY ISSUE (No.1),https://www.eslite.com/product/10099120252410353,,瑪蒂雅股份有限公司,,https://s.eslite.dev/Upload/Product/201504/l/635646283558341250.jpg
CARAN D'ACHE Pablo專家級油性色鉛/ 280/ Ruby Red,https://www.eslite.com/product/1005186052538377,,Caran d'Ache S.A.,,0
PAPERSELF刺青貼紙/ 踢踏紅鞋Ruby Slippers/ 2入,https://www.eslite.com/product/1005300722600543,,Paperself,,https://s.eslite.dev/upload/product/l/2681443945004/ec1333196.jpg
Fred & FRIENDS Pumped Up Phone Stand/ Ruby,https://www.eslite.com/product/1005223652626603,,FRED & FRIENDS,,https://s.eslite.dev/upload/product/l/2681507012000/ec1395643.jpg
BUNGUBOX道化師の涙BUNGUBOX Ruby 30ml高跟鞋瓶鋼筆墨水,https://www.eslite.com/product/1005323822860587,,賈絲筆咧工作室,,https://s.eslite.dev/Upload/Product/202007/l/637310045914235000.jpg
All of This Is for You: A Little Book of Kindness,https://www.eslite.com/product/1001151192682007032000,Ruby Jones,Harper Design,9780063042490,https://s.eslite.dev/upload/product/l/2682007032000/20210421160512070004.jpg
潘子爵融合爵士創作專輯,https://www.eslite.com/product/1004292712735069,潘子爵,好有感覺音樂事業有限公司,4713302070027,https://s.eslite.dev/Upload/Product/201812/l/636811507569181250.jpg
A Mindfulness Guide for the Frazzled,https://www.eslite.com/product/1002149592488110,Ruby Wax,PENGUIN BOOKS LTD.,9780241186497,https://s.eslite.dev/upload/product/l/2681277318005/ec1082167.jpg
幸福感! 讓你戀上廚房の單人套餐 2: 同事相聚、情人約會、犒賞自己的90道美味料理DIY提案,https://www.eslite.com/product/1001271002434518,Ruby陳懿,心版圖文創事業股份有限公司,9789868933460,https://s.eslite.dev/Upload/Product/201507/l/635720275553375000.jpg
史特勞斯: 藝術歌曲全集 第七集,https://www.eslite.com/product/1004147112415616,路比．修斯/ 班．強生/ 羅傑．威格諾爾,HYPERION RECORDS,0034571280745,https://s.eslite.dev/upload/product/l/2681049960005/ec967868.jpg
濃情義大利,https://www.eslite.com/product/1001333852681981683000,黃茹珮 (Ruby Huang),玹瓏實業股份有限公司,9789869933209,https://s.eslite.dev/upload/product/l/2681981683000/20210210033758645248.jpg
耳環小飾集: 人氣手作家の好感選品25,https://www.eslite.com/product/1001131802681979527002,郭桄甄/ 張加瑜/ 王伯毓/ Amy Yen/ Nutsxnuts/ Ruby小姐,雅書堂文化事業有限公司,9789863025740,https://s.eslite.dev/upload/product/l/2681979527002/20210204043100470395.jpg
圖解大清時代 (更新版),https://www.eslite.com/product/1001117242681937488000,詹施雅 (Ruby Jim),易博士出版社,9789864801244,https://s.eslite.dev/upload/product/l/2681937488000/20201117060255174676.jpg
"一切都會好好的: 即使是最漫長的一天, 你也值得滿滿的愛",https://www.eslite.com/product/1001123032681936502004,露比．瓊斯,英屬維京群島商高寶國際有限公司台灣分公司,9789863619352,https://s.eslite.dev/upload/product/l/2681936502004/20201120070617859145.jpg
吹落企! 薩友同樂會: 流行薩克斯風三重奏套譜 第一冊,https://www.eslite.com/product/1001110752681936999002,王云希 (Sax Ruby),大鴻圖書有限公司,9789869968201,https://s.eslite.dev/upload/product/l/2681936999002/20201105041250124492.jpg
云中月圓 薩克斯風演奏樂譜集 (附CD),https://www.eslite.com/product/1001110752757124,王云希 (Sax Ruby),大鴻圖書有限公司,9789574365685,https://s.eslite.dev/Upload/Product/201911/l/637100181742797500.jpg
"人生好難, 到底哪裡出問題: 喜劇演員X藏傳僧侶X腦神經科學家如是說",https://www.eslite.com/product/1001136022750257,茹比．韋克斯,究竟出版社股份有限公司,9789861372723,https://s.eslite.dev/Upload/Product/201903/l/636887827827901250.jpg
"Sober Curious: The Blissful Sleep, Greater Focus, Limitless Presence, and Deep Connection",https://www.eslite.com/product/1002257682781400,Ruby Warrington,HarperOne,9780062869036,https://s.eslite.dev/Upload/Product/201907/l/636995546965371250.jpg
蒼白,https://www.eslite.com/product/1004262342696679,鹿比∞吠陀,禾廣娛樂股份有限公司,4713249231031,https://s.eslite.dev/Upload/Product/201807/l/636680375846237500.jpg
"咖啡鑑賞師的黑潮學: 認識產地、豆種、研磨&烘豆, 開始你的第一杯手沖咖啡",https://www.eslite.com/product/1001143472637425,席夢．艾格/ 露比．艾許比．歐爾,山岳文化,9789862486825,https://s.eslite.dev/Upload/Product/201711/l/636459861090930190.jpg
Welcome to the Museum,https://www.eslite.com/product/1003163202834242,Ruby Taylor,PUFFIN (UK),9780141387390,https://s.eslite.dev/upload/product/l/2681864398007/20200320191910060097.jpg
抱抱媽咪,https://www.eslite.com/product/1003116172618959,露比．布朗,遠流出版事業股份有限公司,9789573280194,https://s.eslite.dev/Upload/Product/201708/l/636387282562127113.jpg
Planetary Space Child,https://www.eslite.com/product/1004267272693995,Ruby the Hatchet,Independent Music Labels,0707239019628,https://s.eslite.dev/upload/product/l/2681607356004/ec1504845.jpg
"爸爸, 真好玩!",https://www.eslite.com/product/1003299082599215,露比．布朗,茉莉文化出版有限公司,9789869393294,https://s.eslite.dev/upload/product/l/2681464666001/683770.jpg
"全新6週正念練習: 全球最熱潮流, 人人都在追求的內在整理, 讓你進入最佳工作狀態, 活出愉悅人生!",https://www.eslite.com/product/1001110932548919,茹比．韋克斯,時報文化出版企業股份有限公司,9789571367842,https://s.eslite.dev/Upload/Product/201610/l/636126354955655000.jpg
Bone Gap,https://www.eslite.com/product/1003265502587564,Laura Ruby,Balzer + Bray,9780062317629,https://s.eslite.dev/Upload/Product/201707/l/636359860758942500.jpg
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,https://www.eslite.com/product/1003151362578931,Ruby Roth,ANDREWS & MCMEEL,9781449471873,https://s.eslite.dev/Upload/Product/201707/l/636359732525348750.jpg
