ISBN,書籍簡介
5050954150820,0
5013929524729,0
9789864762866,採用適合大腦的學習方法學會製作自己的類別和物件使用區塊來切割資料使用mixin替你的類別加料對外提供你的web app◎你將從本書學到什麼？Ruby語言怎麼那麼紅？它適合你嗎？嗯，問問你自己：你是否厭倦了其他語言中額外的宣告、關鍵字以及編譯步驟？你想成為一個更有生產力的程式員？那麼你會愛上Ruby。有了這個獨特的動手學習經驗，你將瞭解Ruby是如何替你處理所有這些細節，使得你輕易就能享受「以較少的程式碼做更多事情」的樂趣。◎本書為何如此與眾不同我們認為你的時間寶貴，不應該浪費在與新概念周旋不下的窘境中。《深入淺出Ruby》採取了專為大腦運作而設計的豐富視覺化風格，運用認知科學與學習理論的最新研究成果，精心建構出引發多重感知的學習體驗，讓你輕鬆瞭解Ruby，而且不容易忘記。
9789863477297,如果你是經驗豐富的Ruby程式設計師，《Effective Ruby 中文版》將會協助你利用Ruby所有威力編寫出更穩固、更有效率、更容易維護、執行更順暢的程式碼。藉由近十年的Ruby經驗，Peter J. Jones匯集了48項Ruby的最佳作法、專家建議以及捷徑，並提供實際可行的程式範例作為後盾。Jones針對Ruby開發的每一項主題，從模組到記憶體到後設程式設計(metaprogramming)都提供了實用的建議；他揭開了鮮為人知的慣用語法、怪癖、陷阱以及強力影響程式碼行為與效能的複雜關係。每一樣具體做法除了包含具體、有所作為、清楚明確的組織準則，也都有周延的建議和詳細的技術論證以及極富啟發的程式範例。如果同時存在多種選擇，Jones會告訴你該如何針對你的情況從中選擇運作最好的一個。《Effective Ruby 中文版》將協助你有條不紊的改善你自己的程式碼，不是盲從規則，而是透過徹底瞭解的Ruby程式設計技巧。這本簡明指南包含的重點如下：‧如何避免Ruby時而讓人驚訝的特質所造成的陷阱‧若想成功使用Rails(及其他大型框架)，應知道哪些繼承階層‧如何以遭到誤解的方法讓集合變得超實用‧以例外改善程式碼穩定性的最佳方式‧極具威力的後設程式設計方式(以及應該避免的技巧)‧實用、效率的解決方案，包括MiniTest Unit及Spec Testing‧如何確實管理RubyGem的相依性‧如何充分利用Ruby的記憶體管理及剖析工具‧如何透過瞭解Ruby直譯器的內部而改善程式碼效率
9789864340101,"Practical Object-Oriented Design in Ruby: An Agile PrimerAmazon 與 Google Play 暢銷書，眾多人士的高分推薦。Ruby 程式語言的友善常為人所稱道，不過它也有不利的一面：許多 Ruby 及 Rails 應用程式在設計之初並未考量到後續的演變以及長期的可維護性。網路上總充斥著許多幾乎難以修改或擴展的 Ruby 程式碼。本書將指引你如何藉由強大的物件導向設計技巧來解決這些難題，並且包含了許多簡單且實用的 Ruby 範例。 Sandi Metz 汲取自身生涯中許多的會議及簡報，將物件導向設計運用在基於 Ruby 的實踐上，創造出能夠管理、延展並且令人滿意的程式碼。她不僅將指引你建立出成功的應用程式，還能夠改善過去難以維護的程式碼。除此之外，書中的每一項程 式碼範例都可以直接從 poodr.info 網站下載。 本書是第一本專注於物件導向應用程式設計的 Ruby 書籍。無論你先前的 Ruby 開發經驗如何，你都能夠從中獲益匪淺：• 初級的 Ruby 程式設計師能夠學到賴以生存的特定法則。• 中級的 Ruby 程式設計師能夠學到多項可以靈活運用的高價值原則。• 高級的 Ruby 程式設計師能夠學到可以用來領導開發團隊並且指引同事的共同邏輯。本書將指引你：• 瞭解物件導向程式設計如何協助你鍛造出容易維護及改版的 Ruby 程式碼。• 決定單一 Ruby 類別所應包含的內容。• 防止應該彼此分隔的物件糾纏在一起。• 在物件之間定義具有靈活性的介面。• 藉由鴨子類型降低程式設計的間接成本• 成功運用繼承關係。• 利用組合來建構物件。• 設計出降低成本的測試。• 解決不良設計所導致的常見問題。"
9789866840128,0
9789866840104,想要將 Ruby 的威力發揮到淋漓盡致嗎？就現今最熱門的程式語言 Ruby 而言，《Ruby 錦囊妙技》堪稱最完整、最全面的問題解決指南，為真實世界的疑難雜症提供了上百種解決方案，並且附帶了清楚的解釋，以及數千行可用在你自己的專案裡的程式碼。
9789867794925,"你已經聽過很多關於 Ruby on Rails 的事，並且想要動手試試。這就是你需要的一本書：快速、沒有廢話的介紹，告訴你如何以 Ruby on Rails 建立真實的應用程式。〈Ruby on Rails：建置與執行〉以七個章節，帶領你從零開始，全速進入 Ruby on Rails 的世界。範圍涵蓋初步程式碼的自動完成（scaffolding 功能），到最後自動化測試的每件事，讓你寫出真正具有回應力，使用者歡喜、具 Ajax 特性的應用程式。

Rails 為以資料庫驅動的 Web 應用程式，實作出真正輕量級的開發模型。幾乎沒有組態（configuration）的需要；Rails 根據一套容易遵循的約定，自動建立資料庫表格的對映。開發期間，對應用程式所做的改變會立即呈現，無需其他語言或框架令人生畏的編譯∕部署循環。

使用 Rails 開發是件非常單純的事，讓你把焦點放在應用程式真正具有創造性的地方，而不是那些零碎繁瑣的苦工。當然，基礎工作還是要，但只有極少量的程式碼需要撰寫，這促成較少的維護工作，以及更快速的開發流程。 

本書範圍涵蓋：
使用 ActiveRecord 操作資料庫 
使用 Migrations 修改資料庫，而無需SQL
為資料庫裡資料表之間的關係進行塑模 
建立 controller 表達應用程式的基礎操作 
以 template 開發 HTML 表現層 
將 Ajax 功能注入應用程式 
撰寫單元測試，功能測試，以及整合測試 
Ruby on Rails 可能是近十年來最重要的開放原始碼專案，為 Web 應用程式的開發帶來全新的變革，讓數十萬開發人員的生活變得輕鬆愉快。如果你沒在使用它，現在就開始吧；〈Ruby on Rails ：建置與執行〉將告訴你怎麼做。
■作者簡介
Bruce A. Tate
著名作家，演講者，部落客，及獨立顧問，專精輕量化開發技術，特別是 Ruby 以及 Ruby on Rails 。他的歐萊禮好書包括 Jolt Award 得獎書籍《輕快的好 Java》以及《超越 Java》。
Curt Hibbs
波音公司的資深軟體開發人員，具有 30 年的豐富經驗。他是 Ruby 最早的發掘者之一，在 Ruby 開發社群裡一直非常活躍。Curt 是 Instant Rails 的創造者，Instant Rails 是「一點即通」（one-click）的 Windows 版 Rails 安裝程式。"
8804775097140,"수록곡 준비중...에이프릴 (APRIL) 6th Mini Album [the Ruby]‘여자의 변신은 무죄!’‘에이프릴 (APRIL)’의 변화 담은 새 미니 앨범 ‘the Ruby’ 발매‘청정돌’의 대명사 에이프릴이 당당한 여성으로 변신했다.데뷔 이후 다채로운 콘셉트로 음악적 변신을 선보인 에이프릴, 이번에는 세련되고 당당하며, 자신감 가득한 여성의 마음을 담은 여섯 번째 미니 앨범 ‘the Ruby’로 돌아왔다.사랑을 주제로 다양한 여성의 마음을 노래한 ‘the Ruby’는 올해 초 발표한 ‘The Blue’의 연작 선상에 있는 앨범이다.전작에서는 누군가의 행복이 되고 싶은 소망을 노래했다면, ‘the Ruby’에서는 그 의미인 ‘다홍색’과 같이 강렬하고 당당한 여성의 자신감을 표현하고 있다.◎앨범 사양－COVER: 192mm X 192mm－CD-R: 118mm X 118mm－BOOKLET: 192mm x 192mm ／ 60p－MINI POSTER: 180mm x 130mm ／ 7종 중 랜덤 1종 삽입－PHOTO CARD: 55mm x 85mm） ／ 24종 중 랜덤 1종 삽입－LIPS CARD: 70mm x 90mm ／ 6종 중 랜덤 1종 삽입－초도한정 POSTER: 725mm x 480mm） ／ 1종 증정"
9789864341351,"◎作者為台灣RoR先驅、數位時代Ruby on Rails程式開發工作營講師。 ◎Ruby on Rails是近年來最熱門的語言，因為它是最強大、簡單、人性化的語言。◎許多世界級平台Twitter、Groupon、Airbnb、Github、Hulu等等都是使用Ruby on Rails。◎就算不會寫程式也可以！作者用最簡單的方式教你如何開發出一個專業級網站。◎實際開發證實是學寫程式最快的方法(Show, not tell)。◎你只會學到需要用到的知識，而不是讀死書。◎開發時遇到問題，可以加入作者的臉書獲得解答。寫程式就是這麼簡單！你是否已經花了很多時間，讀了很多Ruby on Rails或是寫程式的書，卻仍不懂應該怎麼做？你是否已經感到絕望，在找尋一本可以幫你突破的書？本書就是你唯一需要的初級Ruby on Rails書籍，保證一定可以解開你對寫程式的困惑，幫助你成為一個軟體工程師。 "
9789863476320,附標：SketchUp Ruby API－一次搞定 2D到4D的向量物件程式設計華文第一本!涵蓋SketchUp及Ruby完美結合的經典工具書從基礎到進階應用，全方位學習者皆適用!全方位打造，一次滿足各需求者的專業工具書初學者適用:詳細的程式註解、練習及實作範例；兼具觀念與實作，從手動操作到進階自動化，引導讀者進入SketchUp和Ruby的世界。是工業設計、土木建築、設計相關人員及相關科系的學生，進入業界實戰的必讀書籍。轉換工具者適用:如果您已經是SketchUp 使用者，而想進一步控制幾何物件及增進繪點效率、自動化作業；或是想學習Ruby，卻沒有適當應用題材及切入點。絕對不能錯過:華文第一本，涵蓋SketchUp及Ruby的經典書。管理者適用:替Autodesk、Microstation使用者，提供成本低、彈性大的解決方案。學會幾何物件化、程式化及4D元件延伸，讓您的管理能力更進一步!
