書名,書籍網址,作者,出版社,ISBN,圖片網址
"精通機器學習: 使用Scikit-Learn, Keras與TensorFlow (第2版)",https://www.eslite.com/product/1001133102837729,Aurélien Géron,美商歐萊禮股份有限公司台灣分公司,9789865024345,https://s.eslite.dev/upload/product/l/2681869084004/20200408033529942581.jpg
"TensorFlow自然語言處理: 善用Python深度學習函式庫, 教機器學會自然語言",https://www.eslite.com/product/1001113692791597,Thushan Ganegedara,碁峰資訊股份有限公司,9789865022471,https://s.eslite.dev/upload/product/l/2681803328003/20190903042459691535.jpg
實戰TensorFlow x Keras工作現場開發,https://www.eslite.com/product/1001113692750238,太田滿久/ 須藤広大/ 黑澤匠雅/ 小田大輔,碁峰資訊股份有限公司,9789865020620,https://s.eslite.dev/Upload/Product/201903/l/636882355789291250.jpg
初探深度學習: 使用TensorFlow,https://www.eslite.com/product/1001133102706872,Reza Zadeh/ Bharath Ramsundar,美商歐萊禮股份有限公司台灣分公司,9789864769056,https://s.eslite.dev/upload/product/l/2681635824001/ec1536652.jpg
深度學習實務應用雲端、行動與邊緣裝置: 使用Python、Keras與Tensorflow於人工智慧與電腦視覺專案,https://www.eslite.com/product/1001133102682053655000,Anirudh Koul/ Siddha Ganju/ Meher Kasam,美商歐萊禮股份有限公司台灣分公司,9789865026066,https://s.eslite.dev/upload/product/l/2682053655000/20210803033944716495.jpg
Tensorflow 2 Pocket Reference: Building and Deploying Machine Learning Models,https://www.eslite.com/product/1001294884277333,Kc Tung,Ingram International Inc,9781492089186,0
"Machine Learning with Tensorflow, Second Edition",https://www.eslite.com/product/1001294883677773,Mattmann A. Chris,Ingram International Inc,9781617297717,0
"TensorFlow 2 Reinforcement Learning Cookbook: Over 50 recipes to help you build, train, and deploy learning agents for real-world applications",https://www.eslite.com/product/1001294883777318,Praveen Palanisamy,Ingram International Inc,9781838982546,0
Tensorflow 2.X in the Colaboratory Cloud: An Introduction to Deep Learning on Google's Cloud Service,https://www.eslite.com/product/1001294883787657,David Paper,Ingram International Inc,9781484266489,0
AI手機APP、智慧硬體專案實作: 使用TensorFlow Lite,https://www.eslite.com/product/1001113692681965215005,Jeff Tang,碁峰資訊股份有限公司,9789865026356,https://s.eslite.dev/upload/product/l/2681965215005/20210106055430432904.jpg
TensorFlow: Deep Learning and Artificial Intelligence,https://www.eslite.com/product/1001294883044461,Hasanraza Ansari,Ingram International Inc,9798656526975,0
Learn Tensorflow 2.0: Implement Machine Learning and Deep Learning Models with Python,https://www.eslite.com/product/1001294883570019,Pramod Singh ; Avinash Manure,Ingram International Inc,9781484255605,0
"Deep Learning with TensorFlow 2 and Keras - Second Edition: Regression, ConvNets, GANs, RNNs, NLP, and more with TensorFlow 2 and the Keras API",https://www.eslite.com/product/1001294884080585,Antonio Gulli ; Sujit Pal ; Amita Kapoor,Ingram International Inc,9781838823412,0
What's New in TensorFlow 2.0,https://www.eslite.com/product/1001294884080638,Ajay Baranwal ; Alizishaan Khatri ; Tanish Baranwal,Ingram International Inc,9781838823856,0
Python for Tensorflow Pocket Primer,https://www.eslite.com/product/1001294883830064,Oswald Campesato,Ingram International Inc,9781683923619,0
