ISBN,書籍簡介
9781013269202,0
9781091118539,"You don't need to buy expensive statistical software like SPSS. This book teaches you R (R can be downloaded for free), People Analytics, Social Media Analytics, Text Mining and Sentiment Analysis. It is written for people with absolutely NO knowledge of R programming, with step-by-step print-screen instructions. The sample R codes are kept simple, short & straightforward so that you are not overwhelmed with too much unnecessary information, and focuses on the R codes relevant to people analytics, so that you'll be up-and-running in no time. If you are new to R programming, this is the book for you. As R is developed specially for statistical analysis, you can run complicated statistical number crunching (Correlation, Multiple & Logistic Regression, etc.) by simply entering a few commands. This book covers a wide People Analytics scope (Benefits, Compensation, Culture, Diversity & Inclusion, Engagement, Leadership, Learning & Development, Personality Traits, Performance Management, Recruitment, Sales Incentives) with numerous real-world examples, and shows how People Analytics with R can help you 1) Run Social Media Analytics, Text mining & Sentiment Analysis with R. 2) Predict employees' flight-risk using R's Correlation & Logistic Regression function. 3) Identify the personality traits of top performing Customer Service staff and Sales staff using R's correlation function.4) Predict impact of Employee Engagement on Customer Satisfaction, Revenue and Shareholder Returns, etc. using R's Correlation & Multiple Regression function. 5) Predict impact of Learning & Development on Sales, using R's Multiple Regression function.6) Predict Diversity & Inclusion's impact on Revenue and EBIT using R's Multiple Regression function. You'll be taught how to convert your company's ethnicity diversity mix (70% Chinese: 20% Malay: 10% Indian) to an index number (e.g. diversity index of 2.7), then use R's Multiple Regression to predict your company sales, if your company's ""diversity Index"" is 2.7 and if you spend $90 on advertising."
9781119282013," TED KWARTLER is a data science instructor at DataCamp.com. He has worked in analytical and executive roles at DataRobot, Liberty Mutual Insurance and Amazon.com."
9781491981658,"Much of the data available today is unstructured and text-heavy, making it challenging for analysts to apply their usual data wrangling and visualization tools. With this practical book, you'll explore text-mining techniques with tidytext, a package that authors Julia Silge and David Robinson developed using the tidy principles behind R packages like ggraph and dplyr. You'll learn how tidytext and other tidy tools in R can make text analysis easier and more effective.The authors demonstrate how treating text as data frames enables you to manipulate, summarize, and visualize characteristics of text. You'll also learn how to integrate natural language processing (NLP) into effective workflows. Practical code examples and data explorations will help you generate real insights from literature, news, and social media.Learn how to apply the tidy text format to NLPUse sentiment analysis to mine the emotional content of textIdentify a document's most important terms with frequency measurementsExplore relationships and connections between words with the ggraph and widyr packagesConvert back and forth between R's tidy and non-tidy text formatsUse topic modeling to classify document collections into natural groupsExamine case studies that compare Twitter archives, dig into NASA metadata, and analyze thousands of Usenet messages"
9781483316291,0
9781612905518,0
9781077226906,"Predictive HR Analytics, Text Mining & Organizational Network Analysis (ONA) are hot topics and powerful techniques to improve organization effectiveness. Best Buy is able to predict that a 0.1% increase in employee engagement results in an increase of $100,000 in the store's annual income  VoloMetrix found that a salesperson's network size within their company is a more important leading indicator of sales, than the time salespeople spend with customers  You don't need to spend months learning R programming & you don't need to buy expensive SPSS statistical software. This is the only book that teaches you how to use Microsoft Excel for Predictive HR Analytics, Text Mining & Organizational Network Analysis (ONA) with step-by-step print-screen instructions: 1) Predictive HR Analytics:  Use Excel's Statistical Analysis tools (Decision trees, Correlation, Multiple & Logistic Regression) to run Predictive HR Analytics. You will learn how to predict Ethnic & Gender Diversity's impact on EBIT, predict training's impact on sales revenue, predict employee resignation, predict impact of staff engagement on sales, predict workplace accident, etc.2) Organizational Network Analysis (ONA):  Run ONA using Excel's network analysis tool. Learn how to convert an employee's organizational network into a score & then predict if they will be a high-potential (HiPo). You will also learn how to predict employee performance and resignation with ONA graph metrics. E.g. an employee is predicted to be a HiPo with performance rating of ""9"", if his ""Social Network Score"" is ""16"", ""Social Network Diversity Index"" is ""3"" & ""Competency Score"" is ""8"". 3) Text Mining, Sentiment Analysis & Word Clouds:  Mine text from social network posts, employee engagement surveys & Glassdoor comments, then run Sentiment Analysis using Excel & visualize the insights with ""Word Clouds"". Learn how to predict a company's average employee attrition rate based on its sentiment. E.g. a company's average employee attrition rate is predicted to be 8%, if unemployment rate is 3%, GDP growth is 2%, Glassdoor public sentiment rating is ""5"", and engagement score is ""7""."
9781977543974,"Often termed as the 'new gold, ' the vast amount of social media data can be employed to identify which customer behavior and actions create more value. Nevertheless, many brands find it extremely hard to define what the value of social media is and how to capture and create value with social media data.In Creating Value with Social Media Analytics, we draw on developments in social media analytics theories and tools to develop a comprehensive social media value creation framework that allows readers to define, align, capture, and sustain value through social media data. The book offers concepts, strategies, tools, tutorials, and case studies that brands need to align, extract, and analyze a variety of social media data, including text, actions, networks, multimedia, apps, hyperlinks, search engines, and location data. By the end of this book, the readers will have mastered the theories, concepts, strategies, techniques, and tools necessary to extract business value from big social media that help increase brand loyalty, generate leads, drive traffic, and ultimately make sound business decisions. Here is how the book is organized. Chapter 1: Creating Value with Social Media AnalyticsChapter 2: Understanding Social MediaChapter 3: Understanding Social Media AnalyticsChapter 4: Analytics-Business AlignmentChapter 5: Capturing Value with Network AnalyticsChapter 6: Capturing Value with Text AnalyticsChapter 7: Capturing Value with Actions AnalyticsChapter 8: Capturing Value with Search Engine Analytics Chapter 9: Capturing Value with Location AnalyticsChapter 10: Capturing Value with Hyperlinks AnalyticsChapter 11: Capturing Value with Mobile AnalyticsChapter 12: Capturing Value with Multimedia AnalyticsChapter 13: Social Media Analytics CapabilitiesChapter 14: Social Media Security, Privacy, & Ethics The book has a companion site (https: //analytics-book.com/), which offers useful instructor resources. Praises for the book   ""Gohar F. Khan has a flair for simplifying the complexity of social media analytics. Creating Value with Social Media Analytics is a beautifully delineated roadmap to creating and capturing business value through social media. It provides the theories, tools, and creates a roadmap to leveraging social media data for business intelligence purposes. Real world analytics cases and tutorials combined with a comprehensive companion site make this an excellent textbook for both graduate and undergraduate students.""-Robin Saunders, Director of the Communications and Information Management Graduate Programs, Bay Path University. ""Creating Value with Social Media Analytics offers a comprehensive framework to define, align, capture, and sustain business value through social media data. The book is theoretically grounded and practical, making it an excellent resource for social media analytics courses.""-Haya Ajjan, Director & Associate Prof., Elon Center for Organizational Analytics, Elon University. ""Gohar Khan is a pioneer in the emerging domain of social media analytics. This latest text is a must-read for business leaders, managers, and academicians, as it provides a clear and concise understanding of business value creation with social media data from a social lens.""-Laeeq Khan, Director, Social Media Analytics Research Team, Ohio University. ""Whether you are coming from a business, research, science or art background, Creating Value with Social Media Analytics is a brilliant induction resource for those entering the social media analytics industry. The insightful case studies and carefully crafted tutorials are the perfect supplements to help digest the key concepts introduced in each chapter.""-Jared Wong, Social Media Data Analyst, Digivizer "
9781507823200," Alert: A more comprehensive edition of this book is now available  https: //www.amazon.com/Creating-Value-Social-Media-Analytics/dp/1977543979  The book offers concepts, tools, tutorials, and case studies that business managers need to extract and analyze the seven layers of social media data, including text, actions, networks, apps, hyperlinks, search engines, and location layers. Social media analytics is about converting unstructured social media data into meaningful business insights. By the end of this book, you will have mastered the concepts, techniques, and tools used to extract business insights from social media that help increase brand loyalty, generate leads, drive traffic, and ultimately make good business decisions. The book is non-technical in nature best suited for business managers, owners, consultants, students, and professors, etc.  Here is how the book is structured:  Chapter 1: The Seven Layers of Social Media Analytics Chapter 2: Understanding Social Media Chapter 3: Social Media Text Analytics Chapter 4: Social Media Network Analytics Chapter 5: Social Media Actions Analytics Chapter 6: Social Media Apps Analytics Chapter 7: Social Media Hyperlinks Analytics Chapter 8: Social Media Location Analytics Chapter 9: Social Media Search Engine Analytics Chapter 10: Aligning Social Media Analytics with Business Goals The book also comes with a companion site (http: //7layersanalytics.com/) which offers Updated Tutorials, Power-Point Slide, Case Studies, Sample Data, and Syllabus."
9781118834817,"Simon Munzert is the author of Automated Data Collection with R: A Practical Guide to Web Scraping and Text Mining, published by Wiley. Christian Rubba is the author of Automated Data Collection with R: A Practical Guide to Web Scraping and Text Mining, published by Wiley. Peter Meißner is the author of Automated Data Collection with R: A Practical Guide to Web Scraping and Text Mining, published by Wiley. Dominic Nyhuis is the author of Automated Data Collection with R: A Practical Guide to Web Scraping and Text Mining, published by Wiley."
