書名,書籍網址,作者,出版社,ISBN,圖片網址
Effective TypeScript: 提昇TypeScript技術的62個具體作法,https://www.eslite.com/product/1001133102847292,Dan Vanderkam,美商歐萊禮股份有限公司台灣分公司,9789865024857,https://s.eslite.dev/upload/product/l/2681882925001/20200520061510487879.jpg
TypeScript程式設計,https://www.eslite.com/product/1001133102821414,Boris Cherny,美商歐萊禮股份有限公司台灣分公司,9789865024031,https://s.eslite.dev/Upload/Product/202001/l/637151062101482500.jpg
Essential Typescript 4: From Beginner to Pro,https://www.eslite.com/product/1001294883888593,Adam Freeman,Ingram International Inc,9781484270103,0
"Mastering TypeScript - Fourth Edition: Build enterprise-ready, modular web applications using TypeScript 4 and modern frameworks",https://www.eslite.com/product/1001294883386848,,Ingram International Inc,9781800564732,0
TypeScript: TypeScript para iniciantes,https://www.eslite.com/product/1001294883917484,Claudia Alves ; John Bach,Ingram International Inc,9798713179991,0
Beginning Angular with Typescript,https://www.eslite.com/product/1001294883855686,Greg Lim,Ingram International Inc,9789811480270,0
Beginning Angular with Typescript (updated to Angular 9),https://www.eslite.com/product/1001294883471241,,Ingram International Inc,9781973593799,0
Learn TypeScript 3 by Building Web Applications,https://www.eslite.com/product/1001294884036385,Sebastien DuBois ; Alexis Georges,Ingram International Inc,9781789615869,0
Effective Typescript: 62 Specific Ways to Improve Your Typescript,https://www.eslite.com/product/1001294884129608,Dan VanderKam,Ingram International Inc,9781492053743,https://s.eslite.dev/upload/ean/9781492053743.jpg
Essential Typescript: From Beginner to Pro,https://www.eslite.com/product/1001294883198038,Adam Freeman,Ingram International Inc,9781484249789,0
Programming Typescript: Making Your JavaScript Applications Scale,https://www.eslite.com/product/1001294883218661,Boris Cherny,Ingram International Inc,9781492037651,0
Learn React with TypeScript 3: Beginner's guide to modern React web development with TypeScript 3,https://www.eslite.com/product/1001294884407592,Carl Rippon,Ingram International Inc,9781789610253,0
Typescript of the Second Origin,https://www.eslite.com/product/1001294883588957,Manuel De Pedrolo,Ingram International Inc,9780819577429,0
讓TypeScript成為你全端開發的ACE!,https://www.eslite.com/product/1001120322848442,黃俊鑫,博碩文化股份有限公司,9789864344895,https://s.eslite.dev/Upload/Product/202006/l/637268827644403750.jpg
"ASP.NET Core 5 and React - Second Edition: Full-stack web development using .NET 5, React 17, and TypeScript 4",https://www.eslite.com/product/1001294884303924,Carl Rippon,Ingram International Inc,9781800206168,0
Meetings with Remarkable Men: Typescript,https://www.eslite.com/product/1001294883176981,G. Gurdjieff,Ingram International Inc,9780995475694,0
在React生態圈打滾的一年feat. TypeScript,https://www.eslite.com/product/1001120322681938598005,黃冠霖 (神Q超人),博碩文化股份有限公司,9789864345335,https://s.eslite.dev/upload/product/l/2681938598005/20201111032613905707.jpg
Vue.js 3 Cookbook: Discover actionable solutions for building modern web apps with the latest Vue features and TypeScript,https://www.eslite.com/product/1001294884081767,Heitor Ramon Ribeiro,Ingram International Inc,9781838826222,0
Learning Angular - Third Edition: A no-nonsense beginner's guide to building web applications with Angular 10 and TypeScript,https://www.eslite.com/product/1001294884081965,Aristeidis Bampakos ; Pablo Deeleman,Ingram International Inc,9781839210662,0
"Modern Full-Stack Development: Using Typescript, React, Node.Js, Webpack, and Docker",https://www.eslite.com/product/1001294884105808,Frank Zammetti,Ingram International Inc,9781484257371,0
Angular Development with Typescript,https://www.eslite.com/product/1001294884236509,Yakov Fain ; Anton Moiseev,Ingram International Inc,9781617295348,https://s.eslite.dev/upload/ean/9781617295348.jpg
