書名,書籍網址,作者,出版社,ISBN,圖片網址
"AR and VR Using the Webxr API: Learn to Create Immersive Content with Webgl, Three.Js, and A-Frame",https://www.eslite.com/product/1001294883666797,Rakesh Baruah,Ingram International Inc,9781484263174,0
VR / AR Enterprise Insider: Guidebook for Virtual Reality and XR,https://www.eslite.com/product/1001294883503977,Sky Nite,Ingram International Inc,9798637629435,0
輕課程 製作專屬你的AR擴增實境與VR虛擬實境 (第2版),https://www.eslite.com/product/1001122412732622,劉為開,台科大圖書股份有限公司,9789864557707,https://s.eslite.dev/Upload/Product/201812/l/636803730735572500.jpg
智能革命新商機: 掌握AR、VR、AI、IW正在顛覆每個行業的科技狂潮 (全彩實戰篇),https://www.eslite.com/product/1001183772670528,趙亞洲,好優文化,9789869625814,https://s.eslite.dev/upload/product/l/2681570450006/776144.jpg
輕課程 製作專屬你的AR擴增實境與VR虛擬實境,https://www.eslite.com/product/1001122412642164,劉為開,台科大圖書股份有限公司,9789864555123,https://s.eslite.dev/Upload/Product/201712/l/636477142732127500.jpg
"虛擬實境狂潮: 從購物、教育到醫療, VR/AR商機即將顛覆未來的十大產業!",https://www.eslite.com/product/1001118562542277,曹雨,商周出版,9789864771059,https://s.eslite.dev/Upload/Product/201609/l/636105620046410000.jpg
快樂星貓歷險記 下: AR.VR卡通互動著色書,https://www.eslite.com/product/1003304952664729,胖胖熊國際事業有限公司編輯部,胖胖熊國際事業有限公司,9789869525824,https://s.eslite.dev/upload/product/l/2681557234001/768120.jpg
快樂星貓歷險記 上: AR.VR卡通互動著色書,https://www.eslite.com/product/1003304952664728,胖胖熊國際事業有限公司編輯部,胖胖熊國際事業有限公司,9789869525817,https://s.eslite.dev/upload/product/l/2681557233004/768121.jpg
The Immersive Classroom: Create Customized Learning Experiences with Ar/VR,https://www.eslite.com/product/1001294883309676,Jaime Donally,Ingram International Inc,9781564848536,0
"The Immersive Reality Revolution: How virtual reality (VR), augmented reality (AR), and mixed reality (MR) will revolutionise the world",https://www.eslite.com/product/1001294883537776,T. P. Ffiske,Ingram International Inc,9798613910304,https://s.eslite.dev/upload/ean/9798613910304.jpg
