ISBN,書籍簡介
9781484263174,"Rakesh Baruah is a writer and creator with 15 years of experience in new media, film, and television in New York City. After completing an MFA in screenwriting and directing for film from Columbia University, Rakesh joined the writers' room of a hit, primetime, network drama as an assistant. The experience opened his eyes to the limits of television and the opportunities promised by 3D, immersive content. In 2016 he began a self-guided journey toward mixed reality design that has taken him through startups, bootcamps, the Microsoft offices, and many, many hours in front of a computer. He is the author of one previous book on virtual reality and the Unity Game Engine and has received an Nvidia-certified nanodegree in Computer Vision. He shares what he's learned with you in a style and format designed specifically for the person who, in high school, preferred English class to Trigonometry."
9798637629435," The simple truth is this: VR and AR technology will save companies billions of dollars over the coming decade. Whether in training, workplace tools, remote collaboration, or more, immersive tech will fundamentally change how we work. This guidebook will equip you with the knowledge you'll need to succeed with VR and AR in your own business, serving as both an introduction and deep dive.   Along with fundamentals, find out how Lockheed Martin reduced rocket construction labor time, Unilever reduced unscheduled downtime on their factories, and a college football team trained their quarterbacks to become national champions. These examples and more can be found inside  "
9789864557707,"●單元式微課加上實作題，學一次AR擴增實境與VR虛擬實境就上手。					
●步驟式的編排方式讓您循序漸進學習。					
●清晰圖示的呈現讓您輕鬆學習無負擔。"
9789869625814,2018全球重大趨勢：智能科技無所不在，產業掀起數位化浪潮數位轉型加劇，引爆虛擬經濟商機智能科技時代來臨，您做好準備了嗎？面對AR擴增實境、VR虛擬實境、AI人工智慧、IW智慧穿戴等智慧科技領域，您瞭解它們現在的發展以及即將掀起的新商機？《精靈寶可夢GO》，引爆全球ＡＲ遊戲市場，AR應用在工業上可以輔助設計、指導維修，在醫療上輔助診斷、教學，在商業與教育上協助展示、銷售、教學，整體將於2020年達到1200億美元的全球市場規模。全球科技大廠(Samsung、HTC、Google、蘋果)相繼投入ＶＲ頭戴顯示器市場，在娛樂、視聽、房地產銷售與旅遊導覽上，正逐步擴充應用，預計2020年全球市場規模將達500億美元。視覺辨識、語音辨識、深度學習等ＡＩ智慧逐漸成熟，語音助手甚至可以聽懂各地方言，智慧機器人除了軍事與工業用途，還可以陪伴兒童、照護老人，智慧決策系統甚至可以幫助企業判斷經營方針，預計2020年全球市場規模將突破5000億美元。因應健康時尚與老齡化社會來臨，ＩＷ裝置除能計算步數、監測心跳、提供運動健身建議，還可以應用在兒童、婦女安全警報，行動支付等方面，全面實現科幻電影場景，預估2020年將創造617億美元的全球營收。本書作者從智慧科技域的市場現狀入手，對其中的四個熱門領域（AR、VR、AI、IW）市場進行了全面的總結和分析，深入淺出地為讀者解讀了每個領域的市場發展重點，並對其未來趨勢提供不同的前景預測，讓讀者明瞭商用智慧科技域，未來將掀起何等巨大的商業新浪潮。智慧科技無所不在，產業掀起數位化浪潮數位轉型加劇，引爆虛擬經濟商機未來的人類將走向何方？商用智慧科技新商業浪潮正全面來襲。全面分析AR擴增實境、VR虛擬實境、AI人工智慧、IW智慧穿戴等智慧科技領域，掌握現今發展趨勢，以及即將掀起的新商機！《精靈寶可夢GO》引爆全球ＡＲ遊戲市場，除了娛樂之外，ＡＲ正在改變工業設計、商品銷售、醫療培訓、教育現場、影視產業、旅遊導航……等，並將於2020年達到1200億美元的全球市場規模。全球科技大廠(Samsung、HTC、Google、蘋果)相繼投入ＶＲ頭戴顯示器市場，改變遊戲體驗、影視直播、商業廣告、教育學習、購物旅遊、醫學治療、軍事演練等領域。2020年全球市場規模將達500億美元。視覺辨識、語音辨識、深度學習等ＡＩ智慧逐漸成熟，各種語音助理、智慧助理、智慧機器人、無人機、無人駕駛汽車、智慧家居控制應用等，即將全面改變日常生活。2020年全球市場規模將突破5000億美元。因應健康時尚與老齡化社會來臨，智慧手環、智慧眼鏡、智慧首飾、智慧服飾等ＩＷ裝置，將在醫療健康與老齡照護、婦女及兒童安全等領域大放異彩。預估2020年將創造617億美元的全球營收。本書逐一解說AR（擴增實境）、VR（虛擬實境）、AI（人工智慧）、IW（智慧穿戴）等諸多新商業科技熱點，對智慧科技四個主要領域（AR、VR、AI、IW）的產品和市場進行全面介紹和分析，並對每個領域的市場重點及未來發展趨勢，提供相應的前景預測，透過作者的專業解說和指引，讓讀者擁抱商用智慧科技時代，全面翻轉人類日常生活的重大新商業浪潮！
9789864555123,"◎單元式微課加上實作題，學一次AR擴增實境與VR虛擬實境就上手。					
◎步驟式的編排方式讓您循序漸進學習。					
◎清晰圖示的呈現讓您輕鬆學習無負擔。"
9789864771059,"VR/AR商機將在2020年達到1620億美元
更是有望取代智慧手機的下一個候選人！
從360度電影預告片到精靈寶可夢的風靡世界，
VR/AR的應用與商機，正在超越你我的所有想像！

從獲譽VR元年的2016年開始，
虛擬與擴增實境的軟硬體相關應用紛紛大放異彩，
根據IDC調查，全球VR/AR市場規模將成長至2020年的1620億美元，
臉書創辦人祖克柏更大膽指出，
繼PC、手機之後，VR將是最有架式的下一個候選人！

除了Google、Facebook、微軟、三星、宏達電、索尼等科技大廠，
阿里巴巴等電商巨頭，旅遊業者、電玩業者與房仲業者，
更紛紛思考用VR/AR顛覆世界的可能──

◎在家逛街與虛擬試穿，淘寶Buy+讓你更敗家
虛擬實境即將翻轉線上購物體驗！淘寶Buy+企圖透過VR/AR裝置讓消費者足不出戶，就宛如置身商圈，還能恣意試穿、試用喜愛的商品，血拼體驗更立體，手滑下單更不手軟！

◎比直播更前衛的虛擬實境直播
讓「網紅經濟」大興其道的網路直播，即將站上更高的浪潮！借助360度不同視角的鏡頭，提供更加身歷其境的觀看體驗，NextVR即將與NBA、MLB、福斯體育台等合作，創造前所未有的賽事轉播！

◎重塑旅遊體驗的虛擬導遊、虛擬景點套裝行程
不只憑弔古蹟，更能穿越千年的虛擬旅遊時代，即將讓虛擬導遊帶領遊客，親眼看見已毀壞的圓明園，在冬季看見冬雪連綿，在現代步上宋朝的街道，更在最安全的平地上感受高空彈跳！

◎虛擬看房與虛擬裝潢，讓你預見尚未打造完成的美麗家園
房仲產業蘇富比、家具品牌IKEA，看見虛擬實境在房屋買賣上的巨大商機，透過模擬格局的方式，實地體驗住進新家的感受，更能在進行家具購買、佈置與施工決策之前，先看見完工後的家園樣貌！

◎精密手術的術前模擬，協助癱瘓病人復健、自閉患者復元
虛擬實境技術搭配微型機器人，可以對人體內臟、血管、肌肉等部位進行人工達不到的精細手術，更能用於治療各式各樣的恐懼，甚至精神分裂症、創傷後壓力症候群、自閉症等，未來的虛擬醫院更有望分擔緊縮的醫護人力！

本書以淺白易懂、啟發人心且輔以豐富圖片的方式介紹虛擬實境，
揭示虛擬實境的當前發展、未來商機與潛在問題，
帶領讀者提前做好布局與展望！"
9789869525824,《快樂星貓歷險記》收錄星貓與6位星座戰士的人物介紹及精采節頻漫畫，著色畫同時具AR功能，搭配APP《快樂星貓歷險記》，即可體驗全新著色玩法！
9789869525817,《快樂星貓歷險記》收錄星貓與6位星座戰士的人物介紹及精采節頻漫畫，著色畫同時具AR功能，搭配APP《快樂星貓歷險記》，即可體驗全新著色玩法！
9781564848536,"Discover the possibilities of immersive technology to deepen student engagement; activate learning through hunts, breakouts and labs; and explore global collaboration. Our classrooms are full of individuals who learn in diverse ways, and educators need creative teaching approaches to enrich learning for struggling students. When applied effectively, immersive technology in teaching can target students' interests, provide flexibility for a range of skill levels and empower students' choice in their learning. The Immersive Classroom highlights the possibilities of immersive technology to make a greater impact and reach all student populations. The book: Provides step-by step instructions for how to mix individual tools to create an ecosystem of immersive technology.Offers examples from leading educators who have implemented the tools and techniques discussed, giving readers easy-to-implement takeaways they can incorporate in their classrooms right away.Includes interactive content, with more than 30 images that can be scanned in order to experience AR/VR tools for yourself Contains a robust index of more than 100 AR/VR tools along with device specifics and requirements.With this book, readers gain insights into customizing tools through app hacking and app smashing, and discover how pushing the use of augmented reality (AR) and virtual reality (VR) tools beyond their intended purpose can maximize their benefits, helping meet the needs of all students."
9798613910304,"Immersive reality (VR, AR, and MR) is shaping multiple industries today. Everything, from marketing to retail and training to education, is being fundamentally changed by technology. This concise book will explore all the ways the technology is shaping our industries, disrupting our old way of life and introducing new ways to improve processes. But like all technologies, we must bear in mind how we sustainably move into our future. The book summarises by exploring the ethics behind VR and AR, as well as the regulations we must bear in mind. Are you ready for the immersive reality revolution?Contents: - Introduction: The Immersive Reality Revolution- Education: Teaching Future Generations With Immersive Tech- Empathy: The Power of Immersion to Change Lives- Social Spaces: Shaping the Way We Communicate With One Another- AR Glasses: The Next Big Tech Battle- Training: Training the Next Generation of Employees Safely- Movies: A New Way to Watch Entertainment- Interview: Deep Dive Into Immersive Film- AR Creators: A New Channel for Marketing- Drones: Zooming in First Person- Arcades: The Gateway to Vr- Meditation: Quiet in a Loud World- Ethics in Virtual and Augmented Reality- Control: Regulation and Risks in the Future- Epilogue: Where Immersive Technology Will Go Next"
