書名,書籍網址,作者,出版社,ISBN,圖片網址
Mastering KVM Virtualization - Second Edition,https://www.eslite.com/product/1001294884082217,Vedran Dakic ; Humble Devassy Chirammal ; Prasad Mukhedkar,Ingram International Inc,9781838828714,0
Virtualization Essentials,https://www.eslite.com/product/1001294884077519,Matthew Portnoy,Ingram International Inc,9781119267720,0
"Computer Networking: A Complete Guide on Networking Protocols, Cabling, and Virtualization. Include All You Need to Know About IP Addressin",https://www.eslite.com/product/1001294884342355,Ethan Moon,Ingram International Inc,9781802946031,0
Radio Access Network Slicing and Virtualization for 5G Vertical Industries,https://www.eslite.com/product/1001294884076592,Lei Zhang,Ingram International Inc,9781119652380,0
"Cloud Computing: A Complete Guide on the Concepts and Design Of Cloud Computing (SaaS, PaaS, IaaS, Virtualization, Business Models, Mob",https://www.eslite.com/product/1001294884050179,Jason Hoffman,Ingram International Inc,9781914138065,0
Linux Containers and Virtualization: A Kernel Perspective,https://www.eslite.com/product/1001294883610478,Shashank Mohan Jain,Ingram International Inc,9781484262825,https://s.eslite.dev/upload/ean/9781484262825.jpg
Vmware Certified Professional Data Center Virtualization on Vsphere 6.7 Study Guide: Exam 2v0-21.19,https://www.eslite.com/product/1001294883186930,Jon Hall ; Joshua Andrews,Ingram International Inc,9781119214694,0
"SQL Server Big Data Clusters: Data Virtualization, Data Lake, and AI Platform",https://www.eslite.com/product/1001294884114896,Benjamin Weissman ; Enrico Van De Laar,Ingram International Inc,9781484259849,0
"Mastering VMware vSphere 6.5: Leverage the power of vSphere for effective virtualization, administration, management and monitoring of data centers",https://www.eslite.com/product/1001294884049919,Andrea Mauro ; Paolo Valsecchi ; Karel Novak,Ingram International Inc,9781787286016,0
VMware Workstation Player: A Beginner's Guide: Your first steps into virtualization,https://www.eslite.com/product/1001294883475753,Tuna Peyo,Ingram International Inc,9781977814500,0
Teach Yourself Linux Virtualization and High Availability,https://www.eslite.com/product/1001294883212119,David Clinton,Ingram International Inc,9781365847202,0
Hardware and Software Support for Virtualization,https://www.eslite.com/product/1001294883609547,Edouard Bugnion ; Jason Nieh ; Dan Tsafrir,Ingram International Inc,9781627056939,0
"Cloud Computing: Saas, Paas, Iaas, Virtualization, Business Models, Mobile, Security and More",https://www.eslite.com/product/1001294883248791,Kris Jamsa,Ingram International Inc,9781449647391,0
瘦身級之OpenStack: oVirt/ KVM虛擬技術輕鬆學,https://www.eslite.com/product/1001301192688324,何坤源/ 原著; 胡嘉璽/ 改編,佳魁數位,9789863796749,https://s.eslite.dev/Upload/Product/201807/l/636664628876442500.jpg
"24小時不打烊的雲端服務: 專家教你用Windows Server 2012 R2 Hyper-V3高級篇, 叢集雲端架構實戰",https://www.eslite.com/product/1001120322408067,王偉任 (Weithenn),博碩文化股份有限公司,9789864340002,https://s.eslite.dev/upload/product/l/2681016272001/467240.jpg
24小時不打烊的雲端服務: 專家教你用Windows Server 2012 R2 Hyper-V3虛擬化環境實戰: 初級篇,https://www.eslite.com/product/1001120322336706,王偉任 (Weithenn),博碩文化股份有限公司,9789862019351,https://s.eslite.dev/upload/product/l/2680883037003/352053.jpg
24小時不打烊的雲端服務: 專家教你用Windows Server 2012 Hyper-V3.0實戰虛擬化技術,https://www.eslite.com/product/1001120322231280,王偉任,博碩文化股份有限公司,9789862017326,https://s.eslite.dev/upload/product/l/2680774996006/ec687547.jpg
