書名,書籍網址,作者,出版社,ISBN,圖片網址
Wireless Access Networks,https://www.eslite.com/product/1002136461524151,"Clark, Martin P.",John Wiley & Sons Singapore Pte.,9780471492986,0
Wireless Networks Technology and Cybersecurity,https://www.eslite.com/product/1001294883367827,Sarhan M. Musa,Ingram International Inc,9781683922315,0
6g Mobile Wireless Networks,https://www.eslite.com/product/1001294884305512,,Ingram International Inc,9783030727765,0
Encyclopedia of Wireless Networks,https://www.eslite.com/product/1001294884269507,,Ingram International Inc,9783319782614,0
Wireless Sensor Networks: Architecture - Applications - Advancements,https://www.eslite.com/product/1001294883830017,S. R. Vijayalakshmi ; S. Muruganand,Ingram International Inc,9781683922254,0
Wireless Networks,https://www.eslite.com/product/1001294883826644,,Ingram International Inc,9781601324627,0
Mobile and Wireless Networks,https://www.eslite.com/product/1001294883055428,Khaldoun Al Agha ; Guy Pujolle ; Tara Ali Yahiya,Ingram International Inc,9781848217140,0
Hacking Wireless Networks - The ultimate hands-on guide,https://www.eslite.com/product/1001294883281302,Andreas Kolokithas,Ingram International Inc,9781508476344,0
"Wireless Networks: Design and Integration for LTE, EVDO, HSPA, and WiMAX",https://www.eslite.com/product/1001294883030891,Clint Smith ; Daniel Collins,Ingram International Inc,9780071819831,0
802.11 Wireless Networks: The Definitive Guide: The Definitive Guide,https://www.eslite.com/product/1001294884075046,Matthew S. Gast,Ingram International Inc,9780596100520,0
Wireless Medical Sensor Networks for Iot-Based Ehealth,https://www.eslite.com/product/1001294883367289,,Ingram International Inc,9781839530562,0
Optimal Coverage in Wireless Sensor Networks,https://www.eslite.com/product/1001294884408503,Weili Wu ; Zhao Zhang ; Wonjun Lee,Ingram International Inc,9783030528225,0
Advanced Principles of Wireless Sensor Networks,https://www.eslite.com/product/1001294884236454,,Ingram International Inc,9781632409270,0
Wireless Communications: Networks and Systems,https://www.eslite.com/product/1001294883576208,,Ingram International Inc,9781682858042,0
"Beginning Lora Radio Networks with Arduino: Build Long Range, Low Power Wireless Iot Networks",https://www.eslite.com/product/1001294883569463,Pradeeka Seneviratne,Ingram International Inc,9781484243565,0
Next-Generation Wireless Networks Meet Advanced Machine Learning Applications,https://www.eslite.com/product/1001294883657981,,Ingram International Inc,9781522574583,0
