書名,書籍網址,作者,出版社,ISBN,圖片網址
WORD SPY,https://www.eslite.com/product/1002161671251316,"MCFEDRIES, PAUL",BROADWAY BOOKS,9.78077E+12,0
Word時短術: 用5分鐘搞定一天的文書工作,https://www.eslite.com/product/1001113692682001246007,鈴木眞里子,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2682001246007/20210409041153497558.jpg
Word 2019文書處理,https://www.eslite.com/product/1003131392867837,蔡慧儀/ 小石頭編輯群,小石頭文化出版公司,9.78987E+12,https://s.eslite.dev/Upload/Product/202008/l/637335097776491250.jpg
Sight Word Kids初階英文常見字 (附2AVCD,https://www.eslite.com/product/1003254142066862,華韻雯/ 李怡靜,小東西圖書有限公司,4.71077E+12,https://s.eslite.dev/upload/product/l/2680612796003/114841.jpg
速效! Word超實用工作術,https://www.eslite.com/product/1001113882552483,速効! ポケットマニュアル編集部,旗標科技股份有限公司,9.78986E+12,0
Word by Word新英語會話圖典 (附MP3),https://www.eslite.com/product/1001178861879314,"Molinsky, Steven J./ Bliss, Bill",台灣培生教育出版股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/200908/l/633851686660318976.jpg
實用超滿載! 廣告POP‧海報DM: 快速搞定的345個Word文宣素材,https://www.eslite.com/product/1001120321864421,"Sumiko Yamasaki, Takahiko Naito, Hiroko Azuma",博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/200905/l/633779964187051386.jpg
實用超滿載! 企劃案‧報告書: 快速搞定的150個Word商用文書 (附光碟),https://www.eslite.com/product/1001120321846406,Hiroko Azuma(東弘子)/ Takahiro Naito (内藤タカヒコ),博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2680405057007/8334.jpg
Word論文與報告寫作實務 (第3版/修訂版),https://www.eslite.com/product/1001113692876162,王仲麒,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2681923996007/20200922031736269189.jpg
Word 2016/ 2019高效實用範例必修16課,https://www.eslite.com/product/1001113692859507,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2681900380003/20200718031915679378.jpg
Word 2019實力養成暨評量解題秘笈,https://www.eslite.com/product/1001122982830463,陳美玲; 財團法人中華民國電腦技能基金會/ 總策劃,全華圖書股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2681860102004/20200305120045757594.jpg
Word 2019實力養成暨評量解題祕笈,https://www.eslite.com/product/1001113692823055,陳美玲; 財團法人中華民國電腦技能基金會/ 總策劃,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/Upload/Product/202002/l/637163155121820000.jpg
Word全方位排版實務: 紙本書與電子書製作一次搞定 (暢銷回饋版),https://www.eslite.com/product/1001120322802222,,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201910/l/637072435447231250.jpg
超實用! 業務．總管．人資的辦公室Word必備50招省時技 (2016/2019/附CD),https://www.eslite.com/product/1001120322800419,張雯燕; ZCT/ 策劃,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201910/l/637062070442592500.jpg
Word 2019實力養成暨評量 (附練習CD-ROM),https://www.eslite.com/product/1001122982792583,,全華圖書股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2681804810002/20190905044713899051.jpg
Word 2019實力養成暨評量 (附光碟),https://www.eslite.com/product/1001113692780851,,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/Upload/Product/201907/l/636996405676465000.jpg
文書處理Word 2016一切搞定,https://www.eslite.com/product/1001113692746870,,碁峰資訊股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2681724156006/ec1689478.jpg
Microsoft MOS Word 2016 Core原廠國際認證應考指南: Exam 77-725,https://www.eslite.com/product/1001113692712813,,碁峰資訊股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201809/l/636725971777792500.jpg
Microsoft MOS Word 2016 Expert原廠國際認證應考指南: Exam 77-726,https://www.eslite.com/product/1001113692653714,王作桓,碁峰資訊股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201801/l/636525531459598750.jpg
SOEZ2u多媒體學園電子書/ Word文書處理,https://www.eslite.com/product/1001138362653841,林老師,經瑋國際股份有限公司,9.78958E+12,https://s.eslite.dev/Upload/Product/201801/l/636522930894442500.jpg
Word 2016入門與實作王者歸來,https://www.eslite.com/product/1001248272635745,洪錦魁,深石數位科技股份有限公司,9.78987E+12,https://s.eslite.dev/upload/product/l/2681520507002/740422.jpg
Word全方位排版實務: 紙本書與電子書製作一次搞定,https://www.eslite.com/product/1001120322632839,,博碩文化股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201710/l/636450377390560000.jpg
Word完全教本: 適用2013/ 2016 (附影音教學/範例檔),https://www.eslite.com/product/1001113692609837,許嘉聲,碁峰資訊股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201707/l/636363094293139496.jpg
Word 2016實力養成暨評量解題秘笈,https://www.eslite.com/product/1001113692564414,陳美玲; 中華民國電腦技能基金會/ 總策劃,碁峰資訊股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201701/l/636197338307093750.jpg
Word 2016實力養成暨評量,https://www.eslite.com/product/1001113692533682,中華民國電腦技能基金會,碁峰資訊股份有限公司,9.78986E+12,https://s.eslite.dev/upload/product/l/2681362144007/ec1169695.jpg
馬上就會Word 2013商務實作與應用 (第2版/附光碟),https://www.eslite.com/product/1001299212520623,數位新知/ 陳于蓉,上奇資訊,9.78986E+12,https://s.eslite.dev/Upload/Product/201606/l/636024404465668526.jpg
Microsoft Word 2016使用手冊,https://www.eslite.com/product/1001113882516768,,旗標科技股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201606/l/636014898773036250.jpg
Microsoft Word 2016超Easy,https://www.eslite.com/product/1001113882512937,,旗標科技股份有限公司,9.78986E+12,https://s.eslite.dev/Upload/Product/201605/l/635999347171208750.jpg
