書名,書籍網址,作者,出版社,ISBN,圖片網址
萬無一失的程式碼: 終結C&C++軟體漏洞,https://www.eslite.com/product/1001120322382261,Robert C. Seacord,博碩文化股份有限公司,9789862019757,https://s.eslite.dev/upload/product/l/2680928229004/443200.jpg
全民學程式設計: 從插畫學C++,https://www.eslite.com/product/1001113882774490,,旗標科技股份有限公司,9789863125716,https://s.eslite.dev/upload/product/l/2681778923005/20190628043455867388.jpg
全民學程式設計: 從插畫學C語言,https://www.eslite.com/product/1001113882653574,,旗標科技股份有限公司,9789863125006,https://s.eslite.dev/Upload/Product/201801/o/636528388809645000.gif
精通C程式設計 (第4版),https://www.eslite.com/product/1001113692637642,Stephen G. Kochan,碁峰資訊股份有限公司,9789864766437,https://s.eslite.dev/Upload/Product/201711/l/636468752450686250.jpg
打造可維護軟體: 編寫可維護程式碼的10項法則 (C#版),https://www.eslite.com/product/1001133102603242,Joost Visser,美商歐萊禮股份有限公司台灣分公司,9789864764280,https://s.eslite.dev/Upload/Product/201707/l/636344948507003382.jpg
優化C++: 提高程式效能的有效技術,https://www.eslite.com/product/1001133102580961,Kurt Guntheroth,美商歐萊禮股份有限公司台灣分公司,9789864762651,https://s.eslite.dev/Upload/Product/201703/l/636265713286381250.jpg
C語法暨程式庫標準辭典 (第2版),https://www.eslite.com/product/1001133102570870,Peter Prinz/ Tony Crawford,美商歐萊禮股份有限公司台灣分公司,9789864762422,https://s.eslite.dev/Upload/Product/201702/l/636221713233408750.jpg
C++程式設計藝術 (第九版/附光碟),https://www.eslite.com/product/1001122982507569,Paul Deitel/ Harvey M. Deitel,全華圖書股份有限公司,9789862803196,https://s.eslite.dev/Upload/Product/201605/l/635981203258386250.jpg
Windows Store Apps程式設計: 使用C#,https://www.eslite.com/product/1001133102367377,Matthew Baxter-Reynolds/ Iris Classon,美商歐萊禮股份有限公司台灣分公司,9789863473169,https://s.eslite.dev/upload/product/l/2680913528006/20190422132914261381.jpg
C++程式設計導論 (第3版),https://www.eslite.com/product/1001113692344777,Y. Daniel Liang,碁峰資訊股份有限公司,9789863471721,https://s.eslite.dev/Upload/Product/201408/l/635428244209009802.jpg
最新C++物件導向程式設計實例入門 (第4版/附CD),https://www.eslite.com/product/1001120322222555,高橋麻奈,博碩文化股份有限公司,9789862016992,https://s.eslite.dev/upload/product/l/2680766325005/226894.jpg
Objective-C 2.0 iPhone/ iPad/ Mac OS X程式設計講座 (附CD),https://www.eslite.com/product/1001120322107062,荻原剛志,博碩文化股份有限公司,9789862015544,https://s.eslite.dev/upload/product/l/2680652378009/130772.jpg
Visual C＃ 2019程式設計經典: 邁向Azure雲端與AI影像辨識服務,https://www.eslite.com/product/1001113692681930136007,蔡文龍/ 何嘉益/ 張志成/ 張力元; 吳明哲/ 策劃,碁峰資訊股份有限公司,9789865026271,https://s.eslite.dev/upload/product/l/2681930136007/20201016042108768041.jpg
More Effective C#: 寫出良好C#程式的50個具體做法 (第2版),https://www.eslite.com/product/1001113692677689,Bill Wagner,碁峰資訊股份有限公司,9789864767892,https://s.eslite.dev/Upload/Product/201805/l/636626614218240000.jpg
最新C語言程式設計實例入門 (第4版/附CD),https://www.eslite.com/product/1001120322213025,高橋麻奈,博碩文化股份有限公司,9789862016916,https://s.eslite.dev/Upload/Product/201302/l/634958227244148750.jpg
Baby Babbles C/K,https://www.eslite.com/product/1001294883704988,C. Hope Flinchbaugh,Ingram International Inc,9781641702621,0
"The Teachings of Denver C. Snuffer, Jr. Volume 6: 2019: Reader's Edition Hardback, 6 x 9 in.",https://www.eslite.com/product/1001294883972052,Denver C. Snuffer,Ingram International Inc,9781951168711,0
"The Teachings of Denver C. Snuffer, Jr. Volume 5: 2018: Reader's Edition Hardback, 6 x 9 in.",https://www.eslite.com/product/1001294883774566,Denver C. Snuffer,Ingram International Inc,9781951168681,0
Yes I Can By Austin C. Carpenter,https://www.eslite.com/product/1001294884127346,Candus Z. Wilson ; Austin C. Carpenter,Ingram International Inc,9781087918273,0
"The Teachings of Denver C. Snuffer, Jr. Volume 4: 2017: Reader's Edition Hardback, 6 x 9 in.",https://www.eslite.com/product/1001294883590472,"Denver C., Jr. Snuffer",Ingram International Inc,9781951168483,https://s.eslite.dev/upload/ean/9781951168483.jpg
The Lost Lectures of C. Vann Woodward,https://www.eslite.com/product/1001294883031011,C. Vann Woodward,Ingram International Inc,9780190863951,https://s.eslite.dev/upload/ean/9780190863951.jpg
進階程式設計: 使用Python、C++,https://www.eslite.com/product/1001113692875612,任鏡翔,碁峰資訊股份有限公司,9789865026080,https://s.eslite.dev/upload/product/l/2681923256002/20200918034810177264.jpg
Visual C＃網路程式設計: 線上遊戲實作,https://www.eslite.com/product/1001120322861200,張逸中/ 李美億,博碩文化股份有限公司,9789864345045,https://s.eslite.dev/Upload/Product/202008/l/637322133380728750.jpg
Visual C＃2019全面攻略: 從程式新人到開發設計的快速學習,https://www.eslite.com/product/1001120322859506,資訊種子研究室,博碩文化股份有限公司,9789864345052,https://s.eslite.dev/Upload/Product/202007/l/637314354764511250.jpg
運算思維修習學堂: 使用C語言的10堂入門程式課,https://www.eslite.com/product/1001120322853090,吳燦銘,博碩文化股份有限公司,9789864344932,https://s.eslite.dev/upload/product/l/2681891575006/20200620055438840726.jpg
運算思維修習學堂: 使用C++的8堂入門程式課,https://www.eslite.com/product/1001120322853615,吳燦銘,博碩文化股份有限公司,9789864344949,https://s.eslite.dev/Upload/Product/202007/l/637292757683287500.jpg
APCS大學程式設計先修檢測: C++超效解題致勝祕笈,https://www.eslite.com/product/1001120322846927,吳燦銘,博碩文化股份有限公司,9789864344857,https://s.eslite.dev/Upload/Product/202006/l/637267783618466250.jpg
"The Teachings of Denver C. Snuffer, Jr. Volume 3: 2014-2016: Reader's Edition Hardback, 6 x 9 in.",https://www.eslite.com/product/1001294884150136,"Denver C., Jr. Snuffer",Ingram International Inc,9781951168513,https://s.eslite.dev/upload/ean/9781951168513.jpg
從零開始學Visual C＃ 2019程式設計,https://www.eslite.com/product/1001120322843349,李馨,博碩文化股份有限公司,9789864344864,https://s.eslite.dev/Upload/Product/202005/l/637249561333163750.jpg
Visual C＃ 2019程式設計16堂課,https://www.eslite.com/product/1001248272842271,,深石數位科技股份有限公司,9789865004736,https://s.eslite.dev/upload/product/l/2681876332006/20200428040422851963.jpg
零基礎C程式設計入門,https://www.eslite.com/product/1001248272843573,,深石數位科技股份有限公司,9789865004682,https://s.eslite.dev/upload/product/l/2681878115003/20200505033920102624.jpg
零基礎C++程式設計入門,https://www.eslite.com/product/1001248272828928,數位新知,深石數位科技股份有限公司,9789865004569,https://s.eslite.dev/upload/product/l/2681858583006/20200225035427619347.jpg
C＃程式設計入門與實務: 百分百自學手冊 (最新Visual Studio 2019版),https://www.eslite.com/product/1001120322824885,彭建文,博碩文化股份有限公司,9789864344703,https://s.eslite.dev/upload/product/l/2681854597007/20200201053801001700.jpg
C++程式設計與運算思維實務: 輕鬆掌握物件導向設計技巧的16堂課 (第2版),https://www.eslite.com/product/1001120322810541,吳燦銘/ ZCT/ 策劃,博碩文化股份有限公司,9789864344475,https://s.eslite.dev/Upload/Product/201912/l/637110451867312500.jpg
新觀念Microsoft Visual C＃程式設計範例教本 (第5版),https://www.eslite.com/product/1001113882794588,陳會安,旗標科技股份有限公司,9789863126065,https://s.eslite.dev/Upload/Product/201909/l/637045653210310000.jpg
由片語學習C程式設計 (第2版),https://www.eslite.com/product/1001117482791479,劉邦鋒,國立臺灣大學出版中心,9789863503576,https://s.eslite.dev/Upload/Product/201909/l/637037951153548750.jpg
徹底研究最新C++物件導向程式設計實例,https://www.eslite.com/product/1001248272790027,,深石數位科技股份有限公司,9789865004095,https://s.eslite.dev/Upload/Product/201909/l/637031828322196250.jpg
