書名,書籍網址,作者,出版社,ISBN,圖片網址
Cracking the AP Computer Science A Exam( 2020 Ed.),https://www.eslite.com/product/1002164112831469,,Princeton Review,9780525568193,https://s.eslite.dev/upload/product/l/2681861196002/20200309164850792124.jpg
5 Steps to a 5: AP Computer Science A 2022,https://www.eslite.com/product/1001140722682044688000,Dean R. Johnson/ Carol A. Paymer/ Deborah B. Klipp,McGraw-Hill Education (Singapore),9781264267460,https://s.eslite.dev/upload/product/l/2682044688000/20210715012453211007.jpg
5 Steps to a 5: AP Computer Science A 2021,https://www.eslite.com/product/1001294882682062522003,Dean R. Johnson/ Carol A. Paymer/ Deborah B. Klipp,McGraw-Hill Education (Singapore),9781260467147,https://s.eslite.dev/upload/product/l/2682062522003/20201126172439019401.jpg
Turing's Vision: The Birth of Computer Science,https://www.eslite.com/product/1002138302618328,Chris Bernhardt,MIT PRESS,9780262533515,https://s.eslite.dev/upload/product/l/2681493906000/ec1338385.jpg
Algorithms to Live by: The Computer Science of Human Decisions,https://www.eslite.com/product/1002150482591682,Brian Christian/ Tom Griffiths,HENRY HOLT AND COMPANY,9781250118363,https://s.eslite.dev/Upload/Product/201705/l/636300076831075000.jpg
Vision-Based Pedestrian Protection Systems for Intelligent Vehicles: SpringerBriefs in Computer Science,https://www.eslite.com/product/1002155962468402,David Geronimo/ Antonio M. Lopez,SPRINGER VERLAG,9781461479864,0
Data Science from Scratch: 用Python學資料科學 (中文版/第2版),https://www.eslite.com/product/1001133102810543,Joel Grus,美商歐萊禮股份有限公司台灣分公司,9789865023195,https://s.eslite.dev/upload/product/l/2681833381009/20191126035125138789.jpg
A Little History of Science,https://www.eslite.com/product/1002138202336194,William F. Bynum,YALE UNIVERSITY PRESS,9780300197136,https://s.eslite.dev/upload/product/l/2680882518008/20190408211217659273.jpg
Digital Signal Processing,https://www.eslite.com/product/1002136461524268,"Stein, Jonathan",John Wiley & Sons Singapore Pte.,9780471295464,0
Queueing Networks and Markov Chains,https://www.eslite.com/product/1002136461524081,"Bolch, Gunter/ Greiner, Stefan/ Meer, Hermann de/ Trivedi, Kishor Shridharbhai/ Greiner, Stefan/ Mee",John Wiley & Sons Singapore Pte.,9780471193661,0
Logic and Discrete Mathematics,https://www.eslite.com/product/1002150171523982,"Grassman, Winfried K./ Tremblay, Jean-Paul",PRENTICE HALL,9780132090087,0
經典電腦科學問題解析: 使用Python,https://www.eslite.com/product/1001113692849792,David Kopec,碁峰資訊股份有限公司,9789865024574,https://s.eslite.dev/Upload/Product/202006/l/637273750445242500.jpg
電腦之書,https://www.eslite.com/product/1001110932681987524000,西姆森．加芬克爾/ 瑞秋．格隆斯潘,時報文化出版企業股份有限公司,9789571386324,https://s.eslite.dev/upload/product/l/2681987524000/20210317061324231445.jpg
決斷的演算: 預測、分析與好決定的11堂邏輯課 (暢銷紀念精裝版),https://www.eslite.com/product/1001289172749886,布萊恩．克里斯汀/ 湯姆．葛瑞菲斯,行路出版,9789869634892,https://s.eslite.dev/Upload/Product/201903/l/636881492916947500.jpg
計算機概論,https://www.eslite.com/product/1001181861494812,徐金全,滄海書局,9789867777454,0
C 語言程式設計,https://www.eslite.com/product/1001181861495001,陳開煇,滄海書局,9789574934195,0
用Scratch學程式! 融合遊戲、藝術、科學、數學的視覺化導引,https://www.eslite.com/product/1003116712627275,馬吉德．馬吉,五南圖書出版股份有限公司,9789571193731,https://s.eslite.dev/Upload/Product/201709/l/636417524388143372.jpg
零信任網路: 在不受信任的網路中建構安全系統,https://www.eslite.com/product/1001133102681942452003,Evan Gilman/ Doug Barth,美商歐萊禮股份有限公司台灣分公司,9789865026332,https://s.eslite.dev/upload/product/l/2681942452003/20201120044057710750.jpg
基礎架構即程式碼: 管理雲端伺服器,https://www.eslite.com/product/1001133102681938599002,Kief Morris,美商歐萊禮股份有限公司台灣分公司,9789864763382,https://s.eslite.dev/upload/product/l/2681938599002/20201111032618081711.jpg
"未來科技的15道難題: 面對世界最關鍵的轉折, 微軟總裁最前瞻的預測與洞察",https://www.eslite.com/product/1001118562816229,布萊德．史密斯/ 卡洛．安．布朗,商周出版,9789864770557,https://s.eslite.dev/Upload/Product/202001/l/637141569893211250.jpg
Python程式學習進階,https://www.eslite.com/product/1003237202810645,亞德里安．B．泰克,和平國際文化有限公司,9789863711933,https://s.eslite.dev/Upload/Product/201912/l/637109598862468288.jpg
