書名,書籍網址,作者,出版社,ISBN,圖片網址
Illustrator Design Method,https://www.eslite.com/product/1002163031943454,井上のきあ,MDNコ－ポレ－ション,9784844361138,https://s.eslite.dev/Upload/Product/201006/l/634133471718617500.jpg
Illustrator設計好入門: CC適用,https://www.eslite.com/product/1001113692819816,mille-design,碁峰資訊股份有限公司,9789865023836,https://s.eslite.dev/Upload/Product/202001/l/637146744182576250.jpg
靈感百分百! Photoshop & Illustrator超犀利特效與創意風格技法 (附DVD),https://www.eslite.com/product/1001113882801184,楠田諭史/ トントンタン,旗標科技股份有限公司,9789863125976,https://s.eslite.dev/Upload/Product/201910/l/637069844560043750.jpg
Photoshop & Illustrator設計超入門: CC/ CS6適用,https://www.eslite.com/product/1001113692797659,Pixel House,碁峰資訊股份有限公司,9789865022266,https://s.eslite.dev/upload/product/l/2681812748007/20190927041454140647.jpg
Illustrator超完美入門: 適用CC/ CS6/ CS5,https://www.eslite.com/product/1001113692599019,,碁峰資訊股份有限公司,9789864764297,https://s.eslite.dev/Upload/Product/201706/l/636330258175513750.jpg
首席設計師的創意妙點子: Photoshop+Illustrator,https://www.eslite.com/product/1001113692331364,宮川修/ 鈴木貴子,碁峰資訊股份有限公司,9789863471615,https://s.eslite.dev/upload/product/l/2680877532002/ec839491.jpg
不思議の浪漫手繪插畫: Photoshop+Illustrator,https://www.eslite.com/product/1001113692131044,Blue Roses,碁峰資訊股份有限公司,9789862764398,https://s.eslite.dev/upload/product/l/2680675256001/20190218162651720619.jpg
Illustrator設計幫幫忙: 解決現場問題的速查即效事典CC/ CS6/ CS5/ CS4/ CS3 (增訂版),https://www.eslite.com/product/1001113692693327,生田信一/ ヤマダジュンヤ/ 柘植ヒロポン/ 順井守,碁峰資訊股份有限公司,9789864767847,https://s.eslite.dev/Upload/Product/201807/l/636670904136557500.jpg
自學必備! Illustrator超級參考手冊: 零基礎也能看得懂、學得會,https://www.eslite.com/product/1001113882677457,井村克也,旗標科技股份有限公司,9789863125136,https://s.eslite.dev/Upload/Product/201805/l/636616246059851250.jpg
設計職人必修Photoshop + Illustrator圖案與背景設計快速攻略,https://www.eslite.com/product/1001113882632658,下田和政,旗標科技股份有限公司,9789863124559,https://s.eslite.dev/Upload/Product/201710/l/636444307200978750.jpg
設計職人必修: Illustrator文字與材質特效 (附DVD),https://www.eslite.com/product/1001113882424400,下田和政,旗標科技股份有限公司,9789863122630,https://s.eslite.dev/Upload/Product/201506/l/635690899797045000.jpg
Illustrator跨世代不敗經典: 237個具體呈現影像創意的方法,https://www.eslite.com/product/1001120322420424,高野雅弘,博碩文化股份有限公司,9789864340132,https://s.eslite.dev/Upload/Product/201505/l/635678803347580000.jpg
Illustrator視訊課程合集 16 (3CD-R),https://www.eslite.com/product/1004141652268213,哲也研究室,再生出版社,4712839502773,https://s.eslite.dev/upload/product/l/2680812059007/ec749788.jpg
拼創意! Photoshop & Illustrator混搭好設計,https://www.eslite.com/product/1001122232246075,Scrap-graphic,電腦人文化事業股份有限公司,9789861994024,https://s.eslite.dev/Upload/Product/201307/l/635088826047145000.jpg
Illustrator視訊課程合集 15 (3CD-R),https://www.eslite.com/product/1004141652244969,哲也研究室,再生出版社,4712839502735,https://s.eslite.dev/upload/product/l/2680788865008/ec705368.jpg
Illustrator視訊課程合集 13 (2CD-R),https://www.eslite.com/product/1004141652204240,哲也研究室,再生出版社,4712839502476,https://s.eslite.dev/upload/product/l/2680748085002/212292.jpg
設計職人必修Photoshop X Illustrator風格至上ProfessionalZ (附光碟),https://www.eslite.com/product/1001113882200779,下田和政,旗標科技股份有限公司,9789574427277,https://s.eslite.dev/upload/product/l/2680744650006/204530.jpg
Illustrator視訊課程合集 12 (3 CD-R),https://www.eslite.com/product/1004141652197837,哲也研究室,再生出版社,4712839502438,https://s.eslite.dev/upload/product/l/2680741639004/205811.jpg
設計職人必修Illustrator識別設計Professionalz: Logo．Icon．Mark,https://www.eslite.com/product/1001113882095359,下田和政,旗標科技股份有限公司,9789574429943,https://s.eslite.dev/upload/product/l/2680640740009/123117.jpg
一定做得到! Illustrator定番好點子 (附光碟),https://www.eslite.com/product/1001113881994748,高橋 としゆき/ ヤマダジュンヤ/ 佐々木 拓人/ 小濱真吾,旗標科技股份有限公司,9789574428632,https://s.eslite.dev/Upload/Product/201101/l/634303435530656250.jpg
Illustrator 哪裏有問題? (附光碟),https://www.eslite.com/product/1001113881933371,高野雅弘,旗標科技股份有限公司,9789574428151,https://s.eslite.dev/upload/product/l/2680489774005/39428.jpg
給設計師的創意彩繪與CG設計典: 30套 x158種 Photoshop +Illustrator設計與技術點子 (附DVD),https://www.eslite.com/product/1001120321915596,宮本幸男/ Miyamoto Nobuko,博碩文化股份有限公司,9789862012918,https://s.eslite.dev/upload/product/l/2680472732005/30571.jpg
Reed Crandall: Illustrator of the Comics (Softcover Edition),https://www.eslite.com/product/1001294883787068,Roger Hill,Ingram International Inc,9781605491028,0
New Idea! 設計師不藏私的版面設計新點子Photoshop & Illustrator,https://www.eslite.com/product/1001113882681981972005,上田マルコ/ 尾沢早飛/ 加瀬透/ 近藤聡/ サノワタル,旗標科技股份有限公司,9789863126560,https://s.eslite.dev/upload/product/l/2681981972005/20210220071149616579.jpg
Adobe Illustrator for Beginners 2021: Learn Graphic Design with Illustrator,https://www.eslite.com/product/1001294884361736,Hector Grant,Ingram International Inc,9798596295214,0
Adobe Illustrator: A Complete Course and Compendium of Features,https://www.eslite.com/product/1001294883566222,Jason Hoppe,Ingram International Inc,9781681985312,https://s.eslite.dev/upload/ean/9781681985312.jpg
Adobe Illustrator CC for Dummies,https://www.eslite.com/product/1001294883188273,David Karlins,Ingram International Inc,9781119641537,https://s.eslite.dev/upload/ean/9781119641537.jpg
Adobe Illustrator Classroom in a Book (2020 Release),https://www.eslite.com/product/1001294883039827,Brian Wood,Ingram International Inc,9780136412670,https://s.eslite.dev/upload/ean/9780136412670.jpg
0,https://www.eslite.com/product/1001294884272787,0,0, ,0
0,https://www.eslite.com/product/1001294883039812,0,0, ,0
My Adventures as an Illustrator: The Definitive Edition,https://www.eslite.com/product/1001294883127745,Norman Rockwell ; Tom Rockwell,Ingram International Inc,9780789213112,https://s.eslite.dev/upload/ean/9780789213112.jpg
Adobe Illustrator CC Classroom in a Book,https://www.eslite.com/product/1001294883169786,Brian Wood,Ingram International Inc,9780135262160,https://s.eslite.dev/upload/ean/9780135262160.jpg
Illustrator Design Method魅麗絕技 (附光碟),https://www.eslite.com/product/1001113882385890,井上のきあ,旗標科技股份有限公司,9789863122470,https://s.eslite.dev/Upload/Product/201412/l/635556115049086250.jpg
Illustrator不敗經典: 229個影像具現化的技法與程序 (附光碟),https://www.eslite.com/product/1001120322263751,高野雅弘,博碩文化股份有限公司,9789862017449,https://s.eslite.dev/upload/product/l/2680807643006/265515.jpg
Adobe Illustrator CS5 One-On-One,https://www.eslite.com/product/1001294884427500,Deke McClelland,Ingram International Inc,9780596808013,0
Illustrator精準詮釋各種商業設計,https://www.eslite.com/product/1001113881909590,高野徹,旗標科技股份有限公司,9789574427857,https://s.eslite.dev/Upload/Product/200911/l/633949944252328371.jpg
給設計師的創意POP&開店廣告設計典: 45套×99種×63個Photoshop+Illustrator設計與技術點子 (附CD),https://www.eslite.com/product/1001120321900235,Yumi Goshima/ Emiko Motohashi/ INKPOT/ Masayuki Takahashi/ Miyuki Nakashima,博碩文化股份有限公司,9789862012741,https://s.eslite.dev/upload/product/l/2680457826002/24121.jpg
