書名,書籍網址,作者,出版社,ISBN,圖片網址
Adobe Photoshop CS2 for Photographers,https://www.eslite.com/product/1002143671563129,"Evening, Martin",FOCAL PRESS,9780240519845,0
Photoshop CC完美呈現: 頂尖數位攝影師秘技大公開! 適用CC/ CC 2014,https://www.eslite.com/product/1001113692414563,Scott Kelby,碁峰資訊股份有限公司,9789863476283,https://s.eslite.dev/upload/product/l/2681048578003/476777.jpg
Photoshopレタッチ．加工．アイデア図鑑 (第2版),https://www.eslite.com/product/1002296862867945,楠田諭史,SB Creative Corp.SBクリエイティブ株式会社,9784815607326,https://s.eslite.dev/Upload/Product/202009/l/637361010304622722.jpg
Photoshop設計好入門: CC適用,https://www.eslite.com/product/1001113692835185,Socym Editorial Division,碁峰資訊股份有限公司,9789865024550,https://s.eslite.dev/Upload/Product/202003/l/637208085860883750.jpg
靈感百分百! Photoshop & Illustrator超犀利特效與創意風格技法 (附DVD),https://www.eslite.com/product/1001113882801184,楠田諭史/ トントンタン,旗標科技股份有限公司,9789863125976,https://s.eslite.dev/Upload/Product/201910/l/637069844560043750.jpg
Photoshop & Illustrator設計超入門: CC/ CS6適用,https://www.eslite.com/product/1001113692797659,Pixel House,碁峰資訊股份有限公司,9789865022266,https://s.eslite.dev/upload/product/l/2681812748007/20190927041454140647.jpg
跟Adobe徹底研究Photoshop CC (附光碟),https://www.eslite.com/product/1001248272773590,Andrew Faulkner/ Conrad Chavez,深石數位科技股份有限公司,9789865003883,https://s.eslite.dev/Upload/Product/201907/l/636978466067155000.jpg
Photoshop完美編修設計事典,https://www.eslite.com/product/1001113692756979,永樂雅也/ 高橋Toshiyuki/ 黑田明臣/ 楠田諭史,碁峰資訊股份有限公司,9789865021023,https://s.eslite.dev/Upload/Product/201911/l/637100178399203750.jpg
自學必備! Photoshop超級參考手冊: 零基礎也能看得懂、學得會,https://www.eslite.com/product/1001113882746275,井村克也,旗標科技股份有限公司,9789863125679,https://s.eslite.dev/upload/product/l/2681723235009/ec1683366.jpg
跟Adobe徹底研究Photoshop Lightroom CC (附光碟),https://www.eslite.com/product/1001248272703342,John Evans/ Katrin Straub,深石數位科技股份有限公司,9789865002336,https://s.eslite.dev/Upload/Product/201809/l/636713878470751833.jpg
