書名,書籍網址,作者,出版社,ISBN,圖片網址
會聲會影: 數位影音微創作素人指南 (X8以上版本適用),https://www.eslite.com/product/1001299212735405,,上奇資訊,9789865003463,https://s.eslite.dev/Upload/Product/201812/l/636814098740431250.jpg
會聲會影: 高效能影音剪輯實戰 X6以上版本適用 (附光碟),https://www.eslite.com/product/1001299212620940,秦邦浩,上奇資訊,9789865000110,https://s.eslite.dev/Upload/Product/201708/l/636395924042313750.jpg
會聲會影這樣用就對了 (X8以上版本適用/附光碟),https://www.eslite.com/product/1001299212579449,榮欽科技,上奇資訊,9789863759836,https://s.eslite.dev/upload/product/l/2681436377003/651229.jpg
會聲會影X9創新影音剪輯實戰錄,https://www.eslite.com/product/1001113692562895,蔡俊傑,碁峰資訊股份有限公司,9789864762828,https://s.eslite.dev/Upload/Product/201612/l/636186837155837500.jpg
會聲會影X8影片剪輯: 剪接．字幕．濾鏡．配樂．分享一次搞定 (附光碟),https://www.eslite.com/product/1001113882430840,,旗標科技股份有限公司,9789863122685,https://s.eslite.dev/upload/product/l/2681089341000/ec986037.jpg
會聲會影X6影片剪輯: Youtube．Facebook．iPad．iPhone．Android都能看,https://www.eslite.com/product/1001113882251373,施威銘研究室著,旗標科技股份有限公司,9789863121374,https://s.eslite.dev/upload/product/l/2680795324000/253718.jpg
活學活用會聲會影X5: 全方位快速搞定視訊剪輯X轉場濾鏡XHTML5動態影音應用,https://www.eslite.com/product/1001120322229121,勁樺科技,博碩文化股份有限公司,9789862017197,https://s.eslite.dev/upload/product/l/2680772867001/ec685648.jpg
會聲會影X5影片剪輯入門與應用一看就會! 互動式多媒體影音教學DVD,https://www.eslite.com/product/1001120322195008,新造數位,博碩文化股份有限公司,4716112820325,https://s.eslite.dev/upload/product/l/2680738946009/198506.jpg
會聲會影X5影片剪輯: YouTube．Facebook．iPad．iPhone．Android都能看 (附光碟),https://www.eslite.com/product/1001113882149917,,旗標科技股份有限公司,9789863120346,https://s.eslite.dev/Upload/Product/201206/l/634747410787333750.jpg
會聲會影X5影片剪輯事件簿 (附光碟),https://www.eslite.com/product/1001113692137820,陳文暉,碁峰資訊股份有限公司,9789862764596,https://s.eslite.dev/Upload/Product/201205/l/634716308484253750.jpg
會聲會影: X3影片剪輯．生活分享大師 (附光碟),https://www.eslite.com/product/1001113881922087,,旗標科技股份有限公司,9789574428106,https://s.eslite.dev/Upload/Product/201002/l/634008771257353750.jpg
會聲會影: 爆氣Rush影音達人 (X10以上版本適用),https://www.eslite.com/product/1001299212697968,梁采汝,上奇資訊,9789865002398,https://s.eslite.dev/Upload/Product/201807/l/636686226543986250.jpg
會聲會影X2: 影片剪輯．生活分享大師 (附光碟),https://www.eslite.com/product/1001113881822999,,旗標科技股份有限公司,9789574426768,https://s.eslite.dev/Upload/Product/200901/l/633675273420928614.JPG
快快樂樂學: 會聲會影 11 (附CD),https://www.eslite.com/product/1001113691751056,文淵閣工作室,碁峰資訊股份有限公司,9789861813325,https://s.eslite.dev/upload/product/l/2680314442000/ec218851.jpg
會聲會影11: 影片剪輯．生活分享大師 (附光碟),https://www.eslite.com/product/1001113881724155,,旗標科技股份有限公司,9789574425211,0
會聲會影 11: 魔力剪輯手,https://www.eslite.com/product/1001122231709459,黃振樑,電腦人文化事業股份有限公司,9789861990255,https://s.eslite.dev/Upload/Product/200707/l/633519116110107246.jpg
會聲會影10生活剪輯隨手翻 (附CD),https://www.eslite.com/product/1001233681691874,,知城數位科技股份有限公司,9789866850158,0
會聲會影10行家密技: 影片剪輯.特效.轉檔 (附光碟),https://www.eslite.com/product/1001122231632580,友立人,電腦人文化事業股份有限公司,9789867075475,0
影音多媒體樂透了: 會聲會影 9 (中文版/附光碟),https://www.eslite.com/product/1001122411557268,資訊應用研究室,台科大圖書股份有限公司,9789861292496,0
會聲會影 9 : 拍攝.剪輯.燒錄 創意玩家,https://www.eslite.com/product/1001124691449500,鄭月秀,學貫行銷股份有限公司,9789867198204,0
會聲會影9：影片剪輯、燒錄DIY,https://www.eslite.com/product/1001113881007631,,旗標科技股份有限公司,9789574422692,https://s.eslite.dev/upload/product/l/2611391811007/ec4018.jpg
舞動會聲會影 8,https://www.eslite.com/product/1001233681233223,陳穎涵,知城數位科技股份有限公司,9789867489630,https://s.eslite.dev/upload/product/l/2611371959002/ec38184.jpg
會聲會影8影音製作自己來,https://www.eslite.com/product/1001124691249183,詹景森,學貫行銷股份有限公司,9789867693631,0
會聲會影實例應用手冊（附CD）,https://www.eslite.com/product/1001132521270114,,指南針出版集團有限公司,9789628685288,https://s.eslite.dev/upload/product/l/2611339962006/ec53998.jpg
影音多媒體樂透了: 會聲會影７,https://www.eslite.com/product/1001122411271182,資訊應用研究室,台科大圖書股份有限公司,9789861290010,https://s.eslite.dev/upload/product/l/2611339571000/ec54609.jpg
會聲會影７:影片剪輯DIY,https://www.eslite.com/product/1001113881284452,施威銘研究室,旗標科技股份有限公司,9789574420049,https://s.eslite.dev/upload/product/l/2611324354007/ec58291.jpg
會聲會影6影片擷取．剪接．燒錄一次OK,https://www.eslite.com/product/1001113881303721,曹青雲,旗標科技股份有限公司,9789577178831,https://s.eslite.dev/upload/product/l/2611299735009/ec62978.jpg
一手掌握會聲會影 6,https://www.eslite.com/product/1001233681307049,吳目誠,知城數位科技股份有限公司,9789572005859,0
