書名,書籍網址,作者,出版社,ISBN,圖片網址
"自學機器學習: 上Kaggle接軌世界, 成為資料科學家",https://www.eslite.com/product/1001113882682048520009,チーム．カルポ,旗標科技股份有限公司,9789863126720,https://s.eslite.dev/upload/product/l/2682048520009/20210723093402367726.jpg
超圖解資料科學✕機器學習實戰探索: 使用 Python,https://www.eslite.com/product/1001113882682024206002,陳宗和/ 楊清鴻/ 陳瑞泓/ 王雅惠,旗標科技股份有限公司,9789863126652,https://s.eslite.dev/upload/product/l/2682024206002/20210528174429665137.jpg
Python機器學習 下 (第3版),https://www.eslite.com/product/1001120322877376,Sebastian Raschka/ Vahid Mirjalili,博碩文化股份有限公司,9789864345199,https://s.eslite.dev/upload/product/l/2681925686005/20200925042352342181.jpg
Python+TensorFlow 2.x人工智慧、機器學習、大數據: 超炫專案與完全實戰,https://www.eslite.com/product/1001113692877375,柯博文,碁峰資訊股份有限公司,9789865025984,https://s.eslite.dev/upload/product/l/2681925685008/20200925042349791180.jpg
Python機器學習 上 (第3版),https://www.eslite.com/product/1001120322872894,Sebastian Raschka/ Vahid Mirjalili,博碩文化股份有限公司,9789864345182,https://s.eslite.dev/upload/product/l/2681918866001/20200904035716921803.jpg
機器學習的數學: 用數學引領你走進AI的神秘世界,https://www.eslite.com/product/1001120322873393,孫博,博碩文化股份有限公司,9789864345113,https://s.eslite.dev/upload/product/l/2681919749006/20200908033405591035.jpg
新手村逃脫! 初心者的Python機器學習攻略,https://www.eslite.com/product/1001120322866549,郭耀仁,博碩文化股份有限公司,9789864345076,https://s.eslite.dev/Upload/Product/202008/l/637340276410232500.jpg
TinyML: TensorFlow Lite機器學習,https://www.eslite.com/product/1001133102861839,Pete Warden/ Daniel Situnayake,美商歐萊禮股份有限公司台灣分公司,9789865025359,https://s.eslite.dev/Upload/Product/202007/l/637316952723886250.jpg
大師帶你立即上手: 機器學習+人工智慧一點也不難,https://www.eslite.com/product/1001313432858533,唐宇迪,深智數位股份有限公司,9789865501419,https://s.eslite.dev/Upload/Product/202007/l/637310899041735000.jpg
學AI真簡單 I: 初探機器學習 (附線上教學影音與測驗),https://www.eslite.com/product/1001122982863459,AI4kids; 吳俊霖/ 蔡宗翰/ 審閱; Kneron/ 技術夥伴,全華圖書股份有限公司,9789865034375,https://s.eslite.dev/upload/product/l/2681905691005/20200804040056612982.jpg
站穩AI大師的第一步: 最直覺機器學習,https://www.eslite.com/product/1001313432847305,王聖元,深智數位股份有限公司,9789865501327,https://s.eslite.dev/Upload/Product/202005/l/637255610026007500.jpg
機器學習: 特徵工程,https://www.eslite.com/product/1001133102842757,Alice Zheng/ Amanda Casari,美商歐萊禮股份有限公司台灣分公司,9789865024833,https://s.eslite.dev/upload/product/l/2681877002007/20200429031759469020.jpg
Scikit-Learn新手的晉級: 實作各種機器學習解決方案,https://www.eslite.com/product/1001120322839066,Gavin Hackeling,博碩文化股份有限公司,9789864344840,https://s.eslite.dev/Upload/Product/202004/l/637232275280500000.jpg
"精通機器學習: 使用Scikit-Learn, Keras與TensorFlow (第2版)",https://www.eslite.com/product/1001133102837729,Aurélien Géron,美商歐萊禮股份有限公司台灣分公司,9789865024345,https://s.eslite.dev/upload/product/l/2681869084004/20200408033529942581.jpg
圖解機器學習、人工智慧與人類未來,https://www.eslite.com/product/1001116712834190,吳作樂/ 吳秉翰,五南圖書出版股份有限公司,9789577639035,https://s.eslite.dev/Upload/Product/202003/l/637209811130727500.jpg
機器學習的數學基礎: AI、深度學習打底必讀,https://www.eslite.com/product/1001113882821006,西內啟,旗標科技股份有限公司,9789863126140,https://s.eslite.dev/upload/product/l/2681849799003/20200111035300652763.jpg
機器學習工程師面試全破解: 嚴選124道AI演算法決勝題完整剖析,https://www.eslite.com/product/1001120322817098,葫蘆娃; 諸葛越/ 主編,博碩文化股份有限公司,9789864344611,https://s.eslite.dev/upload/product/l/2681844703005/20191227040957112417.jpg
機器學習實務: 資料科學工作流程與應用程式開發及最佳化,https://www.eslite.com/product/1001113692807435,Andrew Kelleher/ Adam Kelleher,碁峰資訊股份有限公司,9789865023089,https://s.eslite.dev/Upload/Product/201911/l/637093172119118750.jpg
Android初學特訓班 (第9版/附影音/範例/機器學習教學/Kotlin開發入門電子書),https://www.eslite.com/product/1001113692802570,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865023072,https://s.eslite.dev/Upload/Product/201910/l/637074163528056250.jpg
Python+TensorFlow人工智慧、機器學習、大數據: 超炫專案與完全實戰 (附DVD),https://www.eslite.com/product/1001113692798301,柯博文,碁峰資訊股份有限公司,9789865022570,https://s.eslite.dev/Upload/Product/201910/l/637056886405296250.jpg
Python+TensorFlow人工智慧、機器學習、大數據: 超炫專案與完全實戰 (附DVD),https://www.eslite.com/product/1001113692798301,柯博文,碁峰資訊股份有限公司,9789865022570,https://s.eslite.dev/Upload/Product/201910/l/637056886405296250.jpg
Python機器學習錦囊妙計,https://www.eslite.com/product/1001133102796351,Chris Albon,美商歐萊禮股份有限公司台灣分公司,9789865022709,https://s.eslite.dev/Upload/Product/201909/l/637054292618860000.jpg
用Python快速上手資料分析與機器學習,https://www.eslite.com/product/1001113692778863,寺田學/ 辻真吾/ 鈴木たかのり/ 福島真太朗,碁峰資訊股份有限公司,9789865021894,https://s.eslite.dev/Upload/Product/201907/l/636990356360542500.jpg
Python機器學習與深度學習特訓班: 看得懂也會做的AI人工智慧實戰 (附DVD),https://www.eslite.com/product/1001113692766845,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865021498,https://s.eslite.dev/Upload/Product/201905/l/636942837918170000.jpg
大數據分析與應用實戰: 統計機器學習之資料導向程式設計,https://www.eslite.com/product/1001273422824483,鄒慶士,台灣東華書局股份有限公司,9789574363407,https://s.eslite.dev/Upload/Product/202001/l/637160564758382500.jpg
世界第一簡單機器學習,https://www.eslite.com/product/1001117712750234,荒木雅弘,世茂出版有限公司,9789578799707,https://s.eslite.dev/Upload/Product/201903/l/636882355731478750.jpg
資料探勘: 人工智慧與機器學習發展以SPSS Modeler為範例,https://www.eslite.com/product/1001120322742259,廖述賢/ 溫志皓,博碩文化股份有限公司,9789864343676,https://s.eslite.dev/Upload/Product/201901/l/636840883377513750.jpg
R語言資料分析: 從機器學習、資料探勘、文字探勘到巨量資料分析 (第3版),https://www.eslite.com/product/1001120322740652,李仁鐘/ 李秋緣,博碩文化股份有限公司,9789864343669,https://s.eslite.dev/Upload/Product/201901/l/636833970724280000.jpg
"深度學習入門教室: 6堂基礎課程+Python實作練習, Deep Learning、人工智慧、機器學習的理論和應用全圖解",https://www.eslite.com/product/1001130572740309,谷岡広樹/ 康鑫,臉譜出版社,9789862357156,https://s.eslite.dev/upload/product/l/2681707262007/ec1647597.jpg
實戰機器學習: 以深度學習演算企業資料,https://www.eslite.com/product/1001113692714072,李博,碁峰資訊股份有限公司,9789864769087,https://s.eslite.dev/Upload/Product/201809/l/636730293050890000.jpg
機器學習: 工作現場的評估、導入與實作,https://www.eslite.com/product/1001133102708457,有賀康顯/ 中山心太/ 西林孝,美商歐萊禮股份有限公司台灣分公司,9789864768998,https://s.eslite.dev/upload/product/l/2681637694008/ec1544508.jpg
Python機器學習 (第2版),https://www.eslite.com/product/1001120322706630,Sebastian Raschka/ Vahid Mirjalili,博碩文化股份有限公司,9789864343324,https://s.eslite.dev/Upload/Product/201809/l/636713878709408190.jpg
練好機器學習的基本功: 用Python進行基礎數學理論的實作,https://www.eslite.com/product/1001113692706728,立石賢吾,碁峰資訊股份有限公司,9789864768981,https://s.eslite.dev/Upload/Product/201809/l/636713878720817433.jpg
實戰機器學習: 使用Spark,https://www.eslite.com/product/1001113692683773,Rajdeep Dua/ Manpreet Singh Ghotra/Nick,碁峰資訊股份有限公司,9789864767731,https://s.eslite.dev/Upload/Product/201806/l/636634389528247500.jpg
機器學習入門 從玻爾茲曼機器學習到深度學習,https://www.eslite.com/product/1001113692668531,大関真之,碁峰資訊股份有限公司,9789864767779,https://s.eslite.dev/Upload/Product/201804/l/636592294930528750.jpg
機器學習: 探索人工智慧關鍵,https://www.eslite.com/product/1001139912656986,Ethem Alpaydin,財團法人台灣金融研訓院,9789863991151,https://s.eslite.dev/upload/product/l/2681548370008/758368.jpg
TensorFlow之外的好選擇: Keras Caffe SK-Learn機器學習實作,https://www.eslite.com/product/1001301192647665,阿布/ 胥嘉幸,佳魁數位,9789863796060,https://s.eslite.dev/upload/product/l/2681536255003/750565.jpg
AI及機器學習的經脈: 演算法新解,https://www.eslite.com/product/1001301192647664,劉新宇,佳魁數位,9789863796138,https://s.eslite.dev/Upload/Product/201801/l/636529845472003750.jpg
初探機器學習演算法,https://www.eslite.com/product/1001113692642668,Giuseppe Bonaccorso,碁峰資訊股份有限公司,9789864766741,https://s.eslite.dev/Upload/Product/201712/l/636486076043355000.jpg
