書名,書籍網址,作者,出版社,ISBN,圖片網址
"Kali Linux滲透測試工具: 花小錢做資安, 你也是防駭高手 (第3版)",https://www.eslite.com/product/1001113692815503,陳明照,碁峰資訊股份有限公司,9789865023584,https://s.eslite.dev/Upload/Product/201912/l/637129461985726250.jpg
網站滲透測試實務入門 (第2版),https://www.eslite.com/product/1001113692761341,陳明照,碁峰資訊股份有限公司,9789865021429,https://s.eslite.dev/Upload/Product/201905/l/636930739259265000.jpg
Azure雲端服務滲透測試攻防實務,https://www.eslite.com/product/1001113692747967,Matt Burrough,碁峰資訊股份有限公司,9789865020491,https://s.eslite.dev/Upload/Product/201903/l/636873714544987383.jpg
Kali Linux無線網路滲透測試,https://www.eslite.com/product/1001120322530697,李亞偉,博碩文化股份有限公司,9789864341375,https://s.eslite.dev/Upload/Product/201608/l/636069534006562500.jpg
駭客就在你旁邊: 內網安全攻防滲透你死我活,https://www.eslite.com/product/1001313432682028191007,徐焱/ 賈曉璐,深智數位股份有限公司,9789860776010,https://s.eslite.dev/upload/product/l/2682028191007/20210605040458928022.jpg
Bash資安管理手冊,https://www.eslite.com/product/1001133102813083,Paul Troncone/ Carl Albing,美商歐萊禮股份有限公司台灣分公司,9789865023232,https://s.eslite.dev/upload/product/l/2681838423001/20191210034034172007.jpg
不會C也是資安高手: 用Python和駭客大戰三百回合,https://www.eslite.com/product/1001313432764923,李華峰,深智數位股份有限公司,9789869772624,https://s.eslite.dev/upload/product/l/2681760483005/ec1762798.jpg
資安專家談Wireshark: Wireshark與Metasploit整合應用,https://www.eslite.com/product/1001113692693674,Jessey Bullock/ Jeff T. Parker,碁峰資訊股份有限公司,9789864768660,https://s.eslite.dev/Upload/Product/201807/l/636674425978515000.jpg
資安專家的nmap與NSE網路診斷與掃描技巧大公開,https://www.eslite.com/product/1001113692670143,陳明照,碁峰資訊股份有限公司,9789864767984,https://s.eslite.dev/Upload/Product/201804/l/636602423833621250.jpg
資安防禦指南: 資訊安全架構實務典範,https://www.eslite.com/product/1001133102658421,Lee Brotherston/ Amanda Berlin,美商歐萊禮股份有限公司台灣分公司,9789864766963,https://s.eslite.dev/Upload/Product/201802/l/636549028620002500.JPG
