書名,書籍網址,作者,出版社,ISBN,圖片網址
JavaScript資料結構及演算法實作 (暢銷回饋版),https://www.eslite.com/product/1001120322727526,Loiane Groner,博碩文化股份有限公司,9789864343522,https://s.eslite.dev/Upload/Product/201811/l/636780404595347500.jpg
AI及機器學習的經脈: 演算法新解,https://www.eslite.com/product/1001301192647664,劉新宇,佳魁數位,9789863796138,https://s.eslite.dev/Upload/Product/201801/l/636529845472003750.jpg
"做決定不要靠運氣: 從出門購物到分類郵件, 用演算法找出人生最佳解",https://www.eslite.com/product/1001118562628793,阿里．艾默沙維,商周出版,9789864773336,https://s.eslite.dev/Upload/Product/201710/l/636434804760582500.jpg
演算法之美: 隱藏在資料結構背後的原理 (C++版),https://www.eslite.com/product/1001120322627314,左飛,博碩文化股份有限公司,9789864342488,https://s.eslite.dev/Upload/Product/201709/l/636423853949896334.jpg
大數據的傲慢與偏見: 一個圈內數學家對演算法霸權的警告與揭發,https://www.eslite.com/product/1001245592602014,凱西．歐尼爾,大寫出版,9789865695927,https://s.eslite.dev/Upload/Product/201706/l/636335443288198750.jpg
演算法技術手冊 (第2版),https://www.eslite.com/product/1001133102567435,George T. Heineman/ Gary Pollice/ Stanley Selkow,美商歐萊禮股份有限公司台灣分公司,9789864762637,https://s.eslite.dev/Upload/Product/201701/l/636205845130867122.jpg
"大演算: 機器學習的終極演算法將如何改變我們的未來, 創造新紀元的文明?",https://www.eslite.com/product/1001119732524865,佩德羅．多明戈斯,三采文化股份有限公司,9789863426677,https://s.eslite.dev/Upload/Product/201607/l/636041683178273750.jpg
JavaScript資料結構及演算法實作,https://www.eslite.com/product/1001120322505986,Loiane Groner,博碩文化股份有限公司,9789864341085,https://s.eslite.dev/upload/product/l/2681309272008/566915.jpg
演算法的樂趣: 23個程式設計必學主題與應用實例,https://www.eslite.com/product/1001113692454391,,碁峰資訊股份有限公司,9789863477648,https://s.eslite.dev/Upload/Product/201510/l/635797300146921334.jpg
啊哈! 圖解演算法必學基礎,https://www.eslite.com/product/1001113692375278,啊哈磊,碁峰資訊股份有限公司,9789863474364,https://s.eslite.dev/Upload/Product/201411/l/635528467572734092.jpg
改變世界的九大演算法: 讓今日電腦無所不能的最強概念,https://www.eslite.com/product/1001126122349467,約翰．麥考米克,經濟新潮社,9789866031557,https://s.eslite.dev/upload/product/l/2680895746009/ec863591.jpg
演算法設計,https://www.eslite.com/product/1001122982101101,Michael T. Goodrich/ Roberto Tamassia,全華圖書股份有限公司,9789572153314,https://s.eslite.dev/Upload/Product/201112/l/634587571100760000.jpg
強化式學習: 打造最強AlphaZero通用演算法,https://www.eslite.com/product/1001113882681971475004,布留川英一; 施威銘研究室/ 監修,旗標科技股份有限公司,9789863126515,https://s.eslite.dev/upload/product/l/2681971475004/20210120042622988898.jpg
遺傳演算法及其應用,https://www.eslite.com/product/1001116711925260,林昇甫/ 徐永吉,五南圖書出版股份有限公司,9789571157313,https://s.eslite.dev/Upload/Product/201002/l/634015610429527337.jpg
演算法,https://www.eslite.com/product/1001115291874121,Levitin,高立圖書有限公司,9789864125555,0
