書名,書籍網址,作者,出版社,ISBN,圖片網址
Kali Linux無線網路滲透測試,https://www.eslite.com/product/1001120322530697,李亞偉,博碩文化股份有限公司,9789864341375,https://s.eslite.dev/Upload/Product/201608/l/636069534006562500.jpg
無線網路與行動計算 (第2版),https://www.eslite.com/product/1001122982359005,陳裕賢/ 張志勇/ 陳宗禧/ 石貴平/ 吳世琳/ 廖文華/ 許智舜/ 林勻蔚,全華圖書股份有限公司,9789572196205,https://s.eslite.dev/Upload/Product/201409/l/635467988296171250.jpg
WiFi Hacking!無線網路駭客現形攻防戰,https://www.eslite.com/product/1001113881642987,莊添發,旗標科技股份有限公司,9789574423798,0
無線網路技術與應用 (附光碟),https://www.eslite.com/product/1001124691823013,莊淵登,學貫行銷股份有限公司,9789867693716,0
Windows 7無線網路架設、遊戲機上網、下載、影音分享 (附光碟),https://www.eslite.com/product/1001113881925760,,旗標科技股份有限公司,9789574428144,https://s.eslite.dev/Upload/Product/201002/l/634018413442800000.jpg
無線網路安全攻防實戰,https://www.eslite.com/product/1001235221897915,楊哲,致悅股份有限公司,9789866387074,0
駭客攻防技術新擂台: 入侵與無線網路篇,https://www.eslite.com/product/1001113881821094,程秉輝/ John Hawke,旗標科技股份有限公司,9789574426751,https://s.eslite.dev/Upload/Product/200812/l/633643361360493750.JPG
Vista無線網路: 選購. 架設. 連線. 疑難排解 Vista. XP (附光碟),https://www.eslite.com/product/1001113881689083,,旗標科技股份有限公司,9789574424702,https://s.eslite.dev/Upload/Product/200704/l/633519113428544746.jpg
無線網路架設＋應用全攻略,https://www.eslite.com/product/1001122231440517,,電腦人文化事業股份有限公司,9789867329523,0
PCDIY 2005無線網路選購、架設、疑難排解,https://www.eslite.com/product/1001113881227390,,旗標科技股份有限公司,9789574422258,https://s.eslite.dev/upload/product/l/2611378935009/ec34850.jpg
精用無線網路WIRELESS,https://www.eslite.com/product/1001131041263915,溫植燁,數位人資訊股份有限公司,9789867695444,0
無線網路原理與應用,https://www.eslite.com/product/1001114561295710,,美商麥格羅希爾國際股份有限公司台灣分公司,9789574936977,0
網路有料貨通抓必殺技＋最新下載必殺技＋無線網路DIY(3冊合售),https://www.eslite.com/product/1001122231294684,,電腦人文化事業股份有限公司,4717702030773,0
EZDIYMOOKNO.1無線網路DIY,https://www.eslite.com/product/1001122231289425,PCUSER研究室,電腦人文化事業股份有限公司,9789867922298,https://s.eslite.dev/upload/product/l/2611295982001/ec59538.jpg
PC微電腦傳真特刊: 無線網路新生活,https://www.eslite.com/product/10099129151173670,,資訊傳真股份有限公司,,0
DIY百寶箱,https://www.eslite.com/product/1001233681301665,數位城技術中心,知城數位科技股份有限公司,9789867845306,0
無線通訊新紀元1,https://www.eslite.com/product/1001114561302744,,美商麥格羅希爾國際股份有限公司台灣分公司,9789574936434,https://s.eslite.dev/upload/product/l/2611305191003/ec62755.jpg
行動與無線通訊 (經典第5版),https://www.eslite.com/product/1001113692481912,顏春煌,碁峰資訊股份有限公司,9789863478980,https://s.eslite.dev/upload/product/l/2681267529008/20190419225030057640.jpg
物聯網智慧應用及技術實力養成暨評量,https://www.eslite.com/product/1001113692435555,,碁峰資訊股份有限公司,9789863477068,https://s.eslite.dev/Upload/Product/201507/l/635739608375832500.jpg
802.11n技術手冊,https://www.eslite.com/product/1001133102183943,陳麒元/ 趙涵捷,美商歐萊禮股份有限公司台灣分公司,9789862766354,https://s.eslite.dev/upload/product/l/2680727156006/192751.jpg
NS2網路模擬實驗 (附光碟),https://www.eslite.com/product/1001124692369431,程榮祥/ 柯志亨/ 鄧德雋/ 丁建文,學貫行銷股份有限公司,9789866800887,https://s.eslite.dev/Upload/Product/201411/l/635512247517278750.jpg
行動網路與數位內容實務,https://www.eslite.com/product/1001138362671024,黃崇明,經瑋國際股份有限公司,9789578755093,https://s.eslite.dev/Upload/Product/201804/l/636598099058541250.jpg
物聯網與穿戴式裝置概論與實務應用,https://www.eslite.com/product/1001113692645494,台灣受恩股份有限公司團隊/ 張志勇/ 石貴平/ 廖文華/ 游國忠,碁峰資訊股份有限公司,9789864765744,https://s.eslite.dev/upload/product/l/2681533702005/20190422140711095995.jpg
行動通訊與傳輸網路 (第3版),https://www.eslite.com/product/1001122982576247,陳聖詠,全華圖書股份有限公司,9789864634293,https://s.eslite.dev/Upload/Product/201703/l/636242131214833848.jpg
物聯網智慧應用及技術特訓教材,https://www.eslite.com/product/1001113692523659,張志勇/ 石貴平/ 翁仲銘/ 廖文華,碁峰資訊股份有限公司,9789864760985,https://s.eslite.dev/upload/product/l/2681344971003/ec1148069.jpg
無線區域網路 (第3版),https://www.eslite.com/product/1001122982507600,簡榮宏/ 廖冠雄,全華圖書股份有限公司,9789864631995,https://s.eslite.dev/Upload/Product/201605/l/635981203558698750.jpg
把全世界的電腦變成一大台: 利用未來核心網路技術完成,https://www.eslite.com/product/1001260832489082,趙慧玲/ 張園/ 陳連清/ 毛聰傑/ 聶衡,佳魁文化,9789863792635,https://s.eslite.dev/Upload/Product/201602/l/635912375893256250.jpg
圖解物聯網: 感測器的架構與運用,https://www.eslite.com/product/1001113692467923,河村雅人/ 大塚紘史,碁峰資訊股份有限公司,9789863478089,https://s.eslite.dev/Upload/Product/201511/l/635834322166891250.jpg
第三波資訊潮: 物聯網啟動智慧感測商機,https://www.eslite.com/product/1001174431956381,拓墣產業研究所,拓墣科技股份有限公司,9789866626548,https://s.eslite.dev/Upload/Product/201007/l/634137429164860000.jpg
網通發展大未來 邁向成長新契機,https://www.eslite.com/product/1001174431895621,拓墣產業研究所,拓墣科技股份有限公司,9789866626357,https://s.eslite.dev/Upload/Product/201007/l/634139385666735000.jpg
家庭網路架好通: 區域/ 無線/ 寬頻連接大活用,https://www.eslite.com/product/1001122231827042,,電腦人文化事業股份有限公司,9789861991221,https://s.eslite.dev/Upload/Product/200901/l/633671172657147500.JPG
駭客任務! 個人隱私資料保密/ 偷窺大全,https://www.eslite.com/product/1001122231804581,,電腦人文化事業股份有限公司,9789861991085,https://s.eslite.dev/Upload/Product/200811/l/633626301858091617.JPG
迎接通訊網路大躍昇年代,https://www.eslite.com/product/1001174431674642,拓墣產業研究所,拓墣科技股份有限公司,9789867321602,0
無線區域及個人網路,https://www.eslite.com/product/1001233681682974,曾煜棋/ 潘孟鉉/ 林致宇,知城數位科技股份有限公司,9789868293311,0
韓國無線寬頻服務暨產業體系研究,https://www.eslite.com/product/1001170001781435,吳善同/ 等,財團法人資訊工業策進會推廣中心,9789575813550,0
無線通訊與網路,https://www.eslite.com/product/1001181861666094,余兆棠/ 等,滄海書局,9789867287908,0
女力科學家系列套書 (3冊合售),https://www.eslite.com/product/1001276712681979533003,何顥思/ 蘿莉．沃瑪克,親子天下股份有限公司,,https://s.eslite.dev/upload/product/l/2681979533003/20210204043328714509.jpg
亞底米 1889,https://www.eslite.com/product/1004292712877426,范安婷,好有感覺音樂事業有限公司,4713012744058,https://s.eslite.dev/upload/product/l/2681925739008/20200925055902063243.jpg
CCNA網路認證教戰手冊: EXAM 200-301,https://www.eslite.com/product/1001113882871304,Todd Lammle,旗標科技股份有限公司,9789863126362,https://s.eslite.dev/upload/product/l/2681916416000/20200829041716731571.jpg
產業用智慧型安全帽開發研究,https://www.eslite.com/product/1001183262862375,曹常成/ 范政揆,行政院勞工委員會勞工安全衛生研究所,9789865441777,https://s.eslite.dev/upload/product/l/2681904168003/20200729054408739927.jpg
新通訊元件雜誌: 5G關鍵技術完全剖析,https://www.eslite.com/product/10099132172843049,,電腦家庭文化事業股份有限公司,,https://s.eslite.dev/upload/product/l/2681877483004/20200526061032285737.jpg
最新計算機概論 (第9版),https://www.eslite.com/product/1001113692845920,陳惠貞,碁峰資訊股份有限公司,9789865024710,https://s.eslite.dev/upload/product/l/2681881106005/20200514032623641588.jpg
