書名,書籍網址,作者,出版社,ISBN,圖片網址
TQC+物件導向視窗及資料庫程式設計認證指南Visual C# 2013,https://www.eslite.com/product/1001113692432558,財團法人中華民國電腦技能基金會,碁峰資訊股份有限公司,9789863476887,https://s.eslite.dev/upload/product/l/2681099837005/ec990825.jpg
UML 3函數物件導向視覺化系統分析與設計寶典,https://www.eslite.com/product/1001138362345191,孫惠民,經瑋國際股份有限公司,9789865835767,https://s.eslite.dev/Upload/Product/201407/l/635417011255992500.jpg
物件導向系統分析與設計 (第2版),https://www.eslite.com/product/1001164842257993,魯明德,新文京開發出版股份有限公司,9789862367810,https://s.eslite.dev/Upload/Product/201308/l/635113746678404389.jpg
TQC+物件導向視窗庫及資料程式設計認證指南Visual Basic2010 (附光碟),https://www.eslite.com/product/1001113692165922,,碁峰資訊股份有限公司,9789862765708,0
物件導向系統分析與設計: 結合MDA與UML (4版),https://www.eslite.com/product/1001114382154094,吳仁和,智勝文化事業有限公司,9789577298850,0
Java101物件導向程式設計 (第2版/教學投影片/習題解答),https://www.eslite.com/product/1001184942090181,呂瑞麟/ 陳宜惠,藍海文化事業股份有限公司,9789866432538,https://s.eslite.dev/Upload/Product/201110/l/634551282691176250.jpg
圖解蘋果核心開發技術: Objective-C物件導向程式設計極效攻略,https://www.eslite.com/product/1001239292783209,傅志輝,佳魁資訊股份有限公司,9789863797630,https://s.eslite.dev/upload/product/l/2681791337001/20190730051651895193.jpg
TQC+物件導向程式語言認證指南C4,https://www.eslite.com/product/1001113692187708,中華民國電腦技能基金會,碁峰資訊股份有限公司,9789862766507,https://s.eslite.dev/upload/product/l/2680731192007/194066.jpg
物件導向系統分析與設計: 結合MDA與UML,https://www.eslite.com/product/1001127912834550,吳仁和,元照出版有限公司,9789575112752,https://s.eslite.dev/Upload/Product/202003/l/637203766847382500.jpg
C++程式設計與運算思維實務: 輕鬆掌握物件導向設計技巧的16堂課 (第2版),https://www.eslite.com/product/1001120322810541,吳燦銘/ ZCT/ 策劃,博碩文化股份有限公司,9789864344475,https://s.eslite.dev/Upload/Product/201912/l/637110451867312500.jpg
UML物件導向系統分析與設計 (第4版),https://www.eslite.com/product/1001120322810578,游峰碩,博碩文化股份有限公司,9789864344482,https://s.eslite.dev/upload/product/l/2681833516005/20191126035136802794.jpg
徹底研究最新C++物件導向程式設計實例,https://www.eslite.com/product/1001248272790027,,深石數位科技股份有限公司,9789865004095,https://s.eslite.dev/Upload/Product/201909/l/637031828322196250.jpg
物件導向程式設計: 結合生活與遊戲的JAVA語言 (第2版/附範例光碟),https://www.eslite.com/product/1001122982792601,邏輯林,全華圖書股份有限公司,9789865031817,https://s.eslite.dev/Upload/Product/201909/l/637032699475165000.jpg
物件導向程式設計: 結合生活與遊戲的C＃語言 (附光碟),https://www.eslite.com/product/1001122982778071,邏輯林,全華圖書股份有限公司,9789865030315,https://s.eslite.dev/upload/product/l/2681784300005/20190711042039314259.jpg
物件導向程式設計: 結合生活與遊戲的C++語言 (第5版/附CD-ROM),https://www.eslite.com/product/1001122982747681,邏輯林,全華圖書股份有限公司,9789865030322,https://s.eslite.dev/upload/product/l/2681725254008/ec1694303.jpg
物件導向程式設計: 結合生活與遊戲的C++語言 (第4版/附CD-ROM),https://www.eslite.com/product/1001122982685579,邏輯林,全華圖書股份有限公司,9789864638116,https://s.eslite.dev/upload/product/l/2681592348008/ec1484962.jpg
