書名,書籍網址,作者,出版社,ISBN,圖片網址
Python網路爬蟲與資料視覺化應用實務,https://www.eslite.com/product/1001113882734049,陳允傑,旗標科技股份有限公司,9789863125624,https://s.eslite.dev/Upload/Product/201812/l/636808916346212500.jpg
跟著阿才學Python: 從基礎到網路爬蟲應用,https://www.eslite.com/product/1001113692848767,蔡文龍/ 蔡捷雲/ 歐志信/ 曾芷琳/ 黃承威/ 卓宏逸,碁峰資訊股份有限公司,9789865024987,https://s.eslite.dev/Upload/Product/202005/l/637262518479435000.jpg
文科生也學得會的網路爬蟲: Excel VBA+Web Scraper,https://www.eslite.com/product/1001113882826272,陳會安,旗標科技股份有限公司,9789863126188,https://s.eslite.dev/Upload/Product/202003/l/637189939028236250.jpg
Python網路爬蟲: 大數據擷取、清洗、儲存與分析 王者歸來,https://www.eslite.com/product/1001313432802219,洪錦魁,深智數位股份有限公司,9789865501020,https://s.eslite.dev/Upload/Product/201910/l/637072435438012500.jpg
打造股市小秘書: 聊天機器人X網路爬蟲X NoSQL X Python整合應用實務,https://www.eslite.com/product/1001113692793273,楊超霆/ 林建興/ 鍾皓軒,碁峰資訊股份有限公司,9789865021917,https://s.eslite.dev/Upload/Product/201909/l/637042194682142500.jpg
Excel VBA實戰技巧: 金融數據X網路爬蟲,https://www.eslite.com/product/1001113692752977,廖敏宏 (廖志煌),碁峰資訊股份有限公司,9789865020835,https://s.eslite.dev/upload/product/l/2681740385008/ec1720273.jpg
Python網路爬蟲與資料分析入門實戰,https://www.eslite.com/product/1001120322716612,林俊瑋/ 林修博,博碩文化股份有限公司,9789864343386,https://s.eslite.dev/Upload/Product/201810/l/636740660211541674.jpg
比Selenium還強大的網路爬蟲: Scrapy一本就精通,https://www.eslite.com/product/1001301192681517,,佳魁數位,9789863796619,https://s.eslite.dev/Upload/Product/201806/l/636640437782603750.jpg
不止是測試：Python網路爬蟲王者Selenium,https://www.eslite.com/product/1001239292551496,蟲師,佳魁資訊股份有限公司,9789863794127,https://s.eslite.dev/Upload/Product/201610/l/636133270646751546.jpg
文科生也可以輕鬆學習網路爬蟲: Python+Web Scraper,https://www.eslite.com/product/1001113692682060697000,陳會安,碁峰資訊股份有限公司,9789865029067,https://s.eslite.dev/upload/product/l/2682060697000/20210820033346959745.jpg
Python X Excel VBA X JavaScript: 網路爬蟲X實戰演練,https://www.eslite.com/product/1001113692681994167009,廖敏宏 (廖志煌),碁峰資訊股份有限公司,9789865027698,https://s.eslite.dev/upload/product/l/2681994167009/20210323040304375996.jpg
PHP網路爬蟲開發: 入門到進階的爬蟲技術指南,https://www.eslite.com/product/1001120322681975359003,李昀陞,博碩文化股份有限公司,9789864345694,https://s.eslite.dev/upload/product/l/2681975359003/20210123062236545292.jpg
Python從網路爬蟲到生活應用超實務: 人工智慧世代必備的資料擷取術,https://www.eslite.com/product/1001120322681948949002,陳會安,博碩文化股份有限公司,9789864345397,https://s.eslite.dev/upload/product/l/2681948949002/20201202041943602620.jpg
STP行銷策略之Python商業應用實戰: 網路爬蟲X機器學習X數據分析,https://www.eslite.com/product/1001113692873988,羅凱揚/ 蘇宇暉/ 鍾皓軒/ 楊超霆,碁峰資訊股份有限公司,9789865025878,https://s.eslite.dev/upload/product/l/2681921060007/20200911041822930562.jpg
"Python網路文字探勘入門到上手: 10堂基礎+5場實戰, 搞定網路爬蟲、文本分析的淘金指南",https://www.eslite.com/product/1001116712823844,陳寬裕,五南圖書出版股份有限公司,9789577637000,https://s.eslite.dev/upload/product/l/2681853299001/20200122040925128561.jpg
自動化測試+網路爬蟲: 至尊王者Selenium 3,https://www.eslite.com/product/1001313432801205,蟲師,深智數位股份有限公司,9789865501013,https://s.eslite.dev/Upload/Product/201910/l/637072435330668750.jpg
超圖解Python程式設計入門,https://www.eslite.com/product/1001113882774492,趙英傑,旗標科技股份有限公司,9789863125952,https://s.eslite.dev/Upload/Product/201907/l/636979372228092500.jpg
JavaScript爬蟲新思路! 從零開始帶你用Node.js打造FB&IG爬蟲專案,https://www.eslite.com/product/1001120322682049923007,林鼎淵 (Dean Lin),博碩文化股份有限公司,9789864348008,https://s.eslite.dev/upload/product/l/2682049923007/20210724034506229924.jpg
人人可作卡米狗: 從零打造自己的LINE聊天機器人,https://www.eslite.com/product/1001120322674752,郭佳甯,博碩文化股份有限公司,9789864342938,https://s.eslite.dev/Upload/Product/201805/l/636613758825238750.jpg
使用Python搜刮網路資料的12堂實習課,https://www.eslite.com/product/1001120322876165,何敏煌/ 葉柏漢/ 顏凰竹,博碩文化股份有限公司,9789864345212,https://s.eslite.dev/upload/product/l/2681923999008/20200922031741880192.jpg
晉升成HTTP一代宗師: 用java實作 (好評絕賣版),https://www.eslite.com/product/1001239292877007,肖佳,佳魁資訊股份有限公司,9789863798033,https://s.eslite.dev/upload/product/l/2681925294002/20200925041815021935.jpg
矽谷工程師爬蟲手冊: 用Python成為進階高手,https://www.eslite.com/product/1001313432839583,黃永祥,深智數位股份有限公司,9789865501273,https://s.eslite.dev/Upload/Product/202004/l/637229683280889698.jpg
一本書精通Python: 爬蟲遊戲AI完全制霸,https://www.eslite.com/product/1001313432839067,鄭秋生/ 夏敏捷/ 宋寶衛/ 李娟,深智數位股份有限公司,9789865501266,https://s.eslite.dev/Upload/Product/202004/l/637230561266593750.jpg
Python自學聖經: 從程式素人到開發強者的技術與實戰大全 (附影音/範例程式),https://www.eslite.com/product/1001113692831155,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865024284,https://s.eslite.dev/Upload/Product/202003/l/637195989727352500.jpg
一行指令學Python: 用Pandas掌握商務大數據分析 (附範例光碟),https://www.eslite.com/product/1001122982818435,徐聖訓,全華圖書股份有限公司,9789865033118,https://s.eslite.dev/upload/product/l/2681846533006/20200101040411011213.jpg
