書名,書籍網址,作者,出版社,ISBN,圖片網址
T1-6711DSP入門與實作 (入門篇) :使用CCS與VAB圖形編譯器,https://www.eslite.com/product/1001129181481757,謝澄漢/董勝源,宏友圖書開發股份有限公司,9789572868706,0
ARM原理與實作 :以網路SOC與VAB圖形編譯器,https://www.eslite.com/product/1001129181482236,探矽工作室,宏友圖書開發股份有限公司,9789572868720,0
C++17教學範本 (第5版),https://www.eslite.com/product/1001113692817087,Ivor Horton/ Peter Van Weert,碁峰資訊股份有限公司,9789865023386,https://s.eslite.dev/Upload/Product/202001/l/637135508564118750.jpg
研究所講重點: 離散數學 下,https://www.eslite.com/product/1001127572816499,黃子嘉,大碩教育股份有限公司,9789863455875,https://s.eslite.dev/upload/product/l/2681843840008/20191225034435748215.jpg
數位邏輯設計與晶片實務Verilog (第3版/附範例程式光碟),https://www.eslite.com/product/1001122982792598,劉紹漢,全華圖書股份有限公司,9789865031640,https://s.eslite.dev/upload/product/l/2681804825006/20190905044735067066.jpg
Kotlin實戰手冊,https://www.eslite.com/product/1001113692694784,Dmitry Jemerov/ Svetlana Isakova,碁峰資訊股份有限公司,9789864768592,https://s.eslite.dev/Upload/Product/201807/l/636680181349351250.jpg
C++全方位學習: 適用Dev C++與Visual C++ (第3版),https://www.eslite.com/product/1001113692689207,古頤榛,碁峰資訊股份有限公司,9789864768080,https://s.eslite.dev/Upload/Product/201806/l/636656850499041250.jpg
灰帽 C#: 建立自動化安全工具的駭客手冊,https://www.eslite.com/product/1001113692641411,Brandon Perry,碁峰資訊股份有限公司,9789864766314,https://s.eslite.dev/Upload/Product/201712/l/636479940874422500.jpg
微處理器原理與應用: C語言與PIC18微控制器 (第4版),https://www.eslite.com/product/1001116712582336,曾百由,五南圖書出版股份有限公司,9789571190358,https://s.eslite.dev/Upload/Product/201703/l/636265459684121250.jpg
C++程式設計 (第3版),https://www.eslite.com/product/1001113692520200,,碁峰資訊股份有限公司,9789864760534,https://s.eslite.dev/Upload/Product/201606/l/636028725131631250.jpg
CPLD數位電路設計: 使用MAX+PlusII 入門篇含乙級數位電子術科解析 (第4版/附光碟),https://www.eslite.com/product/1001122982368668,廖裕評/ 陸瑞強,全華圖書股份有限公司,9789572191699,https://s.eslite.dev/upload/product/l/2680914809005/424828.jpg
PIC Easy Go: 簡單使用PIC (第3版/附光碟),https://www.eslite.com/product/1001122982299365,黃嘉輝,全華圖書股份有限公司,9789572192351,https://s.eslite.dev/Upload/Product/201401/l/635247864141850000.jpg
數位邏輯設計: 使用Verilog (附CD-ROM),https://www.eslite.com/product/1001122982201289,劉紹漢,全華圖書股份有限公司,9789572187623,https://s.eslite.dev/Upload/Product/201212/l/634917618861807500.jpg
Visual Fortran程式設計與開發 (附光碟),https://www.eslite.com/product/1001122982163627,張嘉強/ 陳鴻智,全華圖書股份有限公司,9789572186152,https://s.eslite.dev/Upload/Product/201207/l/634793202591660056.jpg
大型C++軟體設計,https://www.eslite.com/product/1001113692108868,John Lakos,碁峰資訊股份有限公司,9789862763391,https://s.eslite.dev/upload/product/l/2680654166000/134856.jpg
