ISBN,書籍簡介
9789863080589,"1.架構完整，內容完全符合IC3應考範圍之要求，有條理提供計算機概論、網路應用與安全及常用應用軟體相關知識。2.教學目標明確，難易適中、介紹筆法循序漸進的教學用書。3.輔以表格及圖說，並安排大量習題，加強學習成效。4.不僅呈現出書籍的專業性，還要有良好的主題安排，並符合易讀、易懂的原則。ch01_電腦科技的認識與應用ch02_電腦的周邊設備ch03_電腦資料表示法與數字系統ch04_電腦軟體ch05_Windows 7 輕鬆入門ch06_多媒體與數位學習ch07_資訊系統開發與認識ch08_電腦網路與通訊ch09_網際網路的精彩世界ch10_Web新世代的資源百寶箱ch11_電子郵件ch12_網頁設計輕鬆入門ch13_電子商務的發展ch14_網路安全與資訊倫理ch15_Word 2010文書處理軟體ch16_Excel 2010試算表軟體ch17_PowerPoint 2010簡報軟體   教師手冊 / 隨書光碟 / 註：以上輔助教材有些僅供教師使用"
9789863120438,"【一手掌握科技脈動，從容面對未來挑戰】

在資訊科技瞬息萬變的時代，我們的生活、工作已離不開電腦、智慧型手機等科技產品，而計算機概論也成了每個人必備的基礎知識，本書透過由淺入深的章節安排，採用最新穎的硬體、週邊相片，以精美的 3D 立體示意圖解說原理，破除傳統計概書枯橾乏味的印象。科技新知包括最熱門的互動科技、物聯網的發展與應用、平板電腦、雲端服務、智慧型手機…等，觀念與實務並重，不僅符合老師的教學安排，更能滿走莘莘學子的知識需求。本書規劃重點如下：

從計算機的基本概念切入，縱觀電腦的過去與現在、硬體的構成及運作、數字系統的轉換, 以及資訊管理概念和熱門的多媒體應用。介紹 Windows 7、Mac OS X Lion、Linux、iOS、Android 等不同作業系統的特色，並實際操作以加深印象。而資訊時代不可或缺的通訊網路概要、無線網路的架設，以及瀏覽網頁的技巧、微網誌、社群網站等熱門話題，也在本書的介紹範疇。

特闢資訊安全與法律篇章，詳加介紹網路安全設定、Internet 上常見的騙局與陷阱、電腦病毒防治與電子商務等內容。透過探討網路上常見的觸法行為，並明確指出所涉及的法律責任及罰責，強化學生的資訊法律知識，保護自己勿蹈法網。

在實務應用方面，規劃了學業、工作皆必備的 Word 文書處理、Excel 試算表、PowerPoint 簡報製作, 與 Dreamweaver 網頁製作等實用的軟體教學，搭配以實際範例引導學習，將能有效提高學習效率。
□ 本書內容取材自當下熱門的網路話題、通訊設備，介紹最新穎的科技與軟、硬體設備，完全掌握第一手新知。

□ 全書採用最新穎的硬體、週邊相片，以精美的 3D 立體示意圖解說原理，破除傳統計概書枯橾乏味的印象。

□ 各章開頭提列學習目標與重點；每章最後提列重點整理，幫助複習並加深印象；實力評量提供大量問題、實作，在討論中增加同學與老師的互動。

□ 特別設計重點整理隨身卡，方便剪下隨身攜帶、時時複習；課後隨堂考則提供各式題目，最能有效驗收學習成果。"
9789866800498,0
9789863458982,本書專為【關務特考】考生出版的解題書，完整收錄關務特考(三、四等)專業科目【計算機概論(含計算機概要)】103~109年共七年試題解析。　　本書特色：　　1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。　　2.多年度試題一次收錄，輕鬆練習歷屆試題。　　3.一題搭配一詳解，演練有錯立即修正，加深印象。　　適用關務特考類科：資訊處理(四等)、機械工程(三等)
9789865033934,99課綱開闊了既有的內容，因應當今資訊科技的一日千里、無遠弗屆，加入了一些生活實用性質的元素，這些新的單元例如：壓縮、瀏覽、聲音、視訊的工具軟體、Blog、電子商務等網路的生活應用、網路安全、網路犯罪等，以期許e世代的學生能有解決當下問題的能力。如此的新課綱豐富了青年學子的資訊素養，不過也使大家升學的擔子變得更重了。夢想家資訊工場看見了這樣的改變，本著十多年前寫作計概總複習的初衷，再度以嶄新的面貌與豐厚廣泛的內涵，推出了這一本「計算機概論總複習～世紀首選」，期待能給莘莘學子注入進步的動能，而更上層樓，臻至化境。
9789863852308,本書根據99年實施之「職業學校商業與管理群計算機概論BⅠ、Ⅱ、Ⅲ、Ⅳ課程綱要」，並融合歷年四技二專統一入學測驗、乙丙級檢定、國家考試、技藝競賽等計算機概論相關試題編寫而成，可作為高一、高二課餘複習，與高三升學應試使用。
9789863852292,本書根據99年實施之高職計算機概論課程標準，並融合歷年統一入學測驗、四技二專、乙丙級檢定等計算機概論相關試題編寫而成，可作為高一、高二課餘複習，與高三升學應試使用。
9789863852315,本書根據99年實施之「職業學校商業與管理群計算機概論BⅠ、Ⅱ、Ⅲ、Ⅳ課程綱要」，並融合歷年四技二專統一入學測驗、乙丙級檢定、國家考試、技藝競賽等計算機概論相關試題編寫而成，可作為高一、高二課餘複習，與高三升學應試使用。
9789863852322,本書根據99年實施之「職業學校商業與管理群計算機概論BⅠ、Ⅱ、Ⅲ、Ⅳ課程綱要」，並融合歷年四技二專統一入學測驗、乙丙級檢定、國家考試、技藝競賽等計算機概論相關試題編寫而成，可作為高一、高二課餘複習，與高三升學應試使用。
9789865033927,99課綱「計算機概論」開闊了既有的內容，因應當今資訊科技的一日千里、無遠弗屆，加入了一些生活實用性質的元素，這些新的單元例如：壓縮、瀏覽、聲音、視訊的工具軟體、Blog、電子商務等網路的生活應用、網路安全、網路犯罪、Office套裝軟體等，以期使e世代的學生能有解決當下問題的能力。如此的新課綱豐富了青年學子的資訊素養，不過也使大家升學的擔子變得更重了。夢想家資訊工場看見了這樣的改變，本著十多年前寫作計概總複習的初衷，再度以嶄新的面貌與豐厚廣泛的內涵，推出了這一套「計算機概論總複習～世紀精選」，期待能給莘莘學子注入進步的動能，而更上層樓，臻至化境。
9789865033958,99課綱「計算機概論」開闊了既有的內容，因應當今資訊科技的一日千里、無遠弗屆，加入了一些生活實用性質的元素，這些新的單元例如：壓縮、瀏覽、聲音、視訊的工具軟體、Blog、電子商務等網路的生活應用、網路安全、網路犯罪等，以期使e世代的學生能有解決當下問題的能力。如此的新課綱豐富了青年學子的資訊素養，不過也使大家升學的擔子變得更重了。夢想家資訊工場看見了這樣的改變，本著十多年前寫作計概總複習的初衷，再度以嶄新的面貌與豐厚廣泛的內涵，推出了這一本「計算機概論總複習～世紀A選」，期待能給莘莘學子注入進步的動能，而更上層樓，臻至化境。
