書名,書籍網址,作者,出版社,ISBN,圖片網址
研究所2020試題大補帖: 計算機組織與結構 (107-108年試題),https://www.eslite.com/product/1001127572831548,大碩研究所師資群,大碩教育股份有限公司,9789863457565,https://s.eslite.dev/Upload/Product/202003/l/637191672929486250.jpg
計算機組織與設計: 硬體 軟體的介面 (亞洲版),https://www.eslite.com/product/1001273422421395,David A. Patterson/ John L. Hennessy,台灣東華書局股份有限公司,9789574838110,https://s.eslite.dev/Upload/Product/201505/l/635682259436057500.jpg
最新計算機組織與結構 (第3版),https://www.eslite.com/product/1001164842133608,解名仁,新文京開發出版股份有限公司,9789862365953,https://s.eslite.dev/upload/product/l/2680677826004/147807.jpg
計算機組織與結構概論,https://www.eslite.com/product/1001113882034356,阮聖彰/ 顏金泰/ 施威銘研究室,旗標科技股份有限公司,9789574426119,https://s.eslite.dev/upload/product/l/2680582060005/20190422181106916972.jpg
研究所2021試題大補帖: 計算機組織與結構 (107-109年試題),https://www.eslite.com/product/1001127572681965719008,,大碩教育股份有限公司,9789863459293,https://s.eslite.dev/upload/product/l/2681965719008/20210106034342196849.jpg
計算機組織與結構 (4 Ed.),https://www.eslite.com/product/1001273422602810,Linda Null/ Julia Lobur,台灣東華書局股份有限公司,9789574838943,https://s.eslite.dev/upload/product/l/2681469449005/692345.jpg
計算機組織與結構96年試題詳解,https://www.eslite.com/product/1001122971785750,汪兆慶,高點文化事業有限公司,9789578148390,0
計算機組織: 計算機結構經典題型解析,https://www.eslite.com/product/1001122971272685,汪兆慶,高點文化事業有限公司,9789578144897,0
計算機組織與結構歷屆試題詳解,https://www.eslite.com/product/1001122971256814,汪兆慶,高點文化事業有限公司,9789578145153,0
計算機組織與結構,https://www.eslite.com/product/1001127571496987,,大碩教育股份有限公司,9789861223995,0
93年計算機組織與結構試題詳解,https://www.eslite.com/product/1001127571497181,蔡定遠/蔡文河,大碩教育股份有限公司,9789861223032,0
