ISBN,書籍簡介
9789865023461,讓演算法不再讓人畏懼。 ‧從基本資料結構，到各類排序演算法、面試的演算法題目，再到職場上的應用，跟著書中的主角帶領大家逐一破解。 ‧領悟演算法概念、理解演算法對記憶體空間和效能的影響，動腦尋求解決問題的最佳方案。 這本書透過漫畫圖解的形式，講述了書中主角小灰學習演算法和資料結構知識的心路歷程。本書的前4章是對演算法與資料結構基礎知識的講解，沒有演算法和資料結構基礎的讀者可以從頭開始進行有系統的學習。第5章則是職場面試題目的講解，讓讀者了解目前職場中程式設計師所關心的演算法是什麼。第6章則是介紹了演算法在職場上的一些實際應用情況。 本書結構 第1章 介紹演算法和資料結構的相關概念，告訴大家演算法是什麼，資料結構又是什麼，它們有哪些用途，如何分析時間複雜度，如何分析空間複雜度。 第2章 介紹基本的資料結構，包括陣列、鏈結串列、堆疊、佇列、雜湊表的概念和讀寫操作。 第3章 介紹樹和二元樹的概念、二元樹的各種遍訪方式、二元樹的特殊形式—二元堆積和優先佇列的應用。 第4章 介紹幾種典型的排序演算法，包括泡泡排序、快速排序、堆積排序、計數排序、桶排序。 第5章 介紹10餘道職場上流行的演算法面試題目及詳細的解題思維。例如怎樣判斷鏈結串列是否有環，怎樣計算大整數相加等。 第6章 介紹演算法在職場上的一些應用，例如使用LRU演算法來淘汰很少用到資料，使用Bitmap演算法來統計使用者特徵等。
9789864343522,Learning JavaScript Data Structures and Algorithms資料結構（data structure）是電腦系統中組織資料的一種高效方式，學習資料結構及演算法（algorithm）可說是解決各項程式設計問題的重要基礎。本書起初先從 JavaScript 程式語言的基礎著手，接著便會進入重要的資料結構議題，包含陣列、佇列、堆疊以及鏈結串列等，並且深入探索集合函數與雜湊表。此外你也將學習到樹狀結構、二元樹、以及二元搜尋樹等概念。在後續章節裡，則包含了圖形、深度優先搜尋（DFS）以及廣度優先搜尋（BFS）。你將學習到如何掌握各種搜尋及排序演算法，包含循序搜尋、二分搜尋、快速排序、以及氣泡排序等。而在本書的最後，也將探索動態規劃（dynamic programming）的概念。你能夠從本書學習到在陣列、堆疊及佇列中宣告、起始、新增及移除項目。建立複雜的資料結構與圖形，並應用 DFS、BFS 等演算法。一手掌握鏈結串列、雙向鏈結串列以及環狀鏈結串列。利用雜湊表、字典與集合來存放獨一無二的元素。探索二元樹及二元搜尋樹的應用。對資料結構進行氣泡排序、選擇排序、插入排序、合併排序以及快速排序。藉由循序搜尋與二分搜尋在資料結構中搜尋元素。瞭解大O表示法、動態規劃以及貪婪演算法。適用讀者JavaScript 開發者或初學者，可透過本書培養對程式進行最佳化的能力。此外也可作為資料結構及演算法概念的學習教材。
9789864765973,"資料結構(Data Structures)是資訊學科中的核心課程之一，也是基礎和必修的科目。本書確實闡述資料結構的每一主題，並以圖文並茂的方式表達之，最能達到教學與學習事半功倍的效果。內容共分十三章，分別為第一章演算法分析、第二章陣列、第三章堆疊與佇列、第四章鏈結串列、第五章遞迴、第六章樹狀結構、第七章二元搜尋樹、第八章堆積、第九章高度平衡二元樹、第十章2-3 Tree, 2-3-4 Tree及B-Tree、第十一章圖形結構、第十二章排序，以及第十三章搜尋。每一章的每一小節幾乎都附有「練習題」，讓使用者能藉由測驗，評量自己對此節的了解程度；而書末亦附有這些練習題的參考解答可供對答使用。章末再附上「動動腦時間」，這些題目取自歷屆的高考或研究所考試題目，抑或是筆者自行設計的題目，每道題目後面皆標示出自節數，若有不詳之處，即可對照作答。對於課文中的重要主題，也附有完整的C++程式，可供讀者加以練習。"
9789864765799,資料結構（Data Structures）是資訊學科中的核心課程之一，也是基礎和必修的科目。本書確實闡述資料結構的重要主題，並以圖文並茂的方式表達，最能達到教學與學習事半功倍的效果。各章的每一小節幾乎都附有「練習題」，讓使用者能藉由測驗，評量自己對此節的了解程度；而書末亦附有這些練習題的參考解答可供對答使用。各章末再附上「動動腦時間」，這些題目取自歷屆的高考或研究所考試題目，或是筆者根據內文加以設計的題目，每道題目後面皆標示出自節數，表示只要您詳讀該節即可輕鬆地作答。對於課文中的重要主題，也附有完整的Java程式，可供讀者驗證舉例並加以練習。
9789864342488,本書圍繞演算法與資料結構的話題，並且循序漸進、深入淺出地介紹現代電腦技術中常用的40餘種經典演算法，包含回溯法、分治法、貪心法和動態規劃等演算法設計觀念。同時，本書也系統性地講解連結串列、堆疊、佇列、樹、圖、集合與字典等常用的資料結構。同時，透過22個經典問題（包括約瑟夫環問題、河內塔問題、八皇后問題和騎士巡邏問題等）的解說，逐步揭開隱藏在資料結構背後的演算法原理，試圖協助讀者充實知識基礎，啟動思維技巧，最終衝破阻礙提升程式設計能力的重重藩籬。
9789864764242,資料結構(Data Structures)是資訊學科中的核心課程之一，也是基礎和必修的科目。本書確實闡述資料結構的重要主題，並以圖文並茂的方式表達，最能達到教學與學習事半功倍的效果。內容共分十三章，分別為第一章演算法分析、第二章陣列、第三章堆疊與佇列、第四章鏈結串列、第五章遞迴、第六章樹狀結構、第七章Heap結構、第八章高度平衡二元搜尋樹、第九章2-3 Tree及2-3-4 Tree、第十章m-way 搜尋樹與B-Tree、第十一章圖形結構、第十二章排序，以及第十三章搜尋。各章的每一小節幾乎都附有「練習題」，讓使用者能藉由測驗，評量自己對此節的了解程度；而書末亦附有這些練習題的參考解答可供對答使用。各章末再附上「動動腦時間」，這些題目取自歷屆的高考或研究所考試題目，或是筆者根據內文加以設計的題目，每道題目後面皆標示出自節數，表示只要您詳讀該節即可輕鬆地作答。對於課文中的重要主題，也附有完整的Python程式，可供讀者驗證舉例並加以練習。
9789864764259,資料結構(Data Structures)是資訊學科中的核心課程之一，也是基礎和必修的科目。本書確實闡述資料結構的重要主題，並以圖文並茂的方式表達，最能達到教學與學習事半功倍的效果。內容共分十三章，分別為第一章演算法分析、第二章陣列、第三章堆疊與佇列、第四章鏈結串列、第五章遞迴、第六章樹狀結構、第七章Heap結構、第八章高度平衡二元搜尋樹、第九章2-3 Tree及2-3-4 Tree、第十章m-way 搜尋樹與B-Tree、第十一章圖形結構、第十二章排序，以及第十三章搜尋。各章的每一小節幾乎都附有「練習題」，讓使用者能藉由測驗，評量自己對此節的了解程度；而書末亦附有這些練習題的參考解答可供對答使用。各章末再附上「動動腦時間」，這些題目取自歷屆的高考或研究所考試題目，或是筆者根據內文加以設計的題目，每道題目後面皆標示出自節數，表示只要您詳讀該節即可輕鬆地作答。對於課文中的重要主題，也附有完整的Java程式，可供讀者驗證舉例並加以練習。
9789869471138,全國第一本最完整的「影音數位教材」 全國第一本最完整的「動畫電子書教材」 全國第一本附有「自我評量測驗系統」的教材 本書中附有五種程式語言：C / C++ / C# / Java / VB本書以嚴謹的架構和豐富的內容帶領讀者進入資料結構的殿堂，搭配多樣的內容和圖片說明，讓您更快掌握程式技巧，迅速提升作業效率。
9789864341085,Learning JavaScript Data Structures and Algorithms資料結構（data structure）是電腦系統中組織資料的一種高效方式，學習資料結構及演算法（algorithm）可說是解決各項程式設計問題的重要基礎。本書起初先從 JavaScript 程式語言的基礎著手，接著便會進入重要的資料結構議題，包含陣列、佇列、堆疊以及鏈結串列等，並且深入探索集合函數與雜湊表。此外你也將學習到樹狀結構、二元樹、以及二元搜尋樹等概念。在後續章節裡，則包含了圖形、深度優先搜尋（DFS）以及廣度優先搜尋（BFS）。你將學習到如何掌握各種搜尋及排序演算法，包含循序搜尋、二分搜尋、快速排序、以及氣泡排序等。而在本書的最後，也將探索動態規劃（dynamic programming）的概念。你能夠從本書學習到• 在陣列、堆疊及佇列中宣告、起始、新增及移除項目。• 建立複雜的資料結構與圖形，並應用 DFS、BFS 等演算法。• 一手掌握鏈結串列、雙向鏈結串列以及環狀鏈結串列。• 利用雜湊表、字典與集合來存放獨一無二的元素。• 探索二元樹及二元搜尋樹的應用。• 對資料結構進行氣泡排序、選擇排序、插入排序、合併排序以及快速排序。• 藉由循序搜尋與二分搜尋在資料結構中搜尋元素。• 瞭解大O表示法、動態規劃以及貪婪演算法。適用讀者JavaScript 開發者或初學者，可透過本書培養對程式進行最佳化的能力。此外也可作為資料結構及演算法概念的學習教材。 
9789863475729,紮實學習本書以範例為導向、漸進式的學習架構，詳盡解說各種資料結構，期能讓讀者掌握資料結構的精髓，進而具備開發大型程式的功力。實戰演練● 隨堂練習：透過隨堂練習，讓學生即刻驗證課堂上的所學所識。● 學習評量：各章末均提供題型多元、題數眾多的學習評量，檢測學生的學習效果，或做為課後作業之用。● 教學資源：提供用書教師豐富的教學資源，包含：教學投影片、學習評量題目與解答，以供教學參考最新第三版：．針對一些主題(如：陣列的定址方式、樹的走訪運算等) 加入更多示意圖與輔助說明文字，幫助讀者融會貫通 ．學習評量新增選擇題及更多基礎的練習題，讓讀者由簡單的題目開始練習，再慢慢推展到進階的題目，授課老師亦可藉此瞭解並檢測學生的學習效果 ．將較為進階的主題(如：AVL樹、2-3樹、2-3-4樹、B樹等)統一放在最後一章，以利斟酌授課進度．大幅度更新範例，插圖重新繪製
