書名,書籍網址,作者,出版社,ISBN,圖片網址
資料視覺化: 製作充滿說服力的資訊圖表,https://www.eslite.com/product/1001133102835862,Claus O. Wilke,美商歐萊禮股份有限公司台灣分公司,9789865024468,https://s.eslite.dev/upload/product/l/2681866365007/20200327041207083548.jpg
哈佛教你做出好圖表: 哈佛商業評論首度傳授高說服力的資料視覺化思考技術,https://www.eslite.com/product/1001119732618577,史考特．貝里納托,三采文化股份有限公司,9789863428800,https://s.eslite.dev/upload/product/l/2681494560003/ec1338210.jpg
資料視覺化: 使用Python與JavaScript,https://www.eslite.com/product/1001133102586792,Kyran Dale,美商歐萊禮股份有限公司台灣分公司,9789864763269,https://s.eslite.dev/Upload/Product/201704/l/636281877469008750.jpg
"資料視覺化設計: 設計人最想學的視覺化魔法, 將枯燥數據變成好看好懂的圖表",https://www.eslite.com/product/1001113882682056675005,永田ゆかり,旗標科技股份有限公司,9789863126690,https://s.eslite.dev/upload/product/l/2682056675005/20210811061254570471.jpg
"20道資料視覺化難題全解析: 提案、簡報、圖表、讓數據說話、35個案例現學現套用, 將訊息植入對方心智, 讓大家都聽你的!",https://www.eslite.com/product/1001296512682010606007,劉奕酉,新樂園,9789869906074,https://s.eslite.dev/upload/product/l/2682010606007/20210513062538426621.jpg
"哈佛教你做出好圖表實作聖經: 哈佛商業評論首度公開資料視覺化製作技術, 精準掌握24圖表模組X6關鍵說服力X3大優化祕訣",https://www.eslite.com/product/1001119732681990627002,史考特．貝里納托,三采文化股份有限公司,9789576585159,https://s.eslite.dev/upload/product/l/2681990627002/20210312044831845718.jpg
"職場急用! Excel視覺圖表速成: 會這招最搶手, 新創、外商與行銷都在用的資料視覺化技巧",https://www.eslite.com/product/1001122232681963259001,張文霖/ 于偉偉/ 陳巍琪,電腦人文化事業股份有限公司,9789572049150,https://s.eslite.dev/upload/product/l/2681963259001/20210123062648674513.jpg
Python網路爬蟲與資料視覺化應用實務,https://www.eslite.com/product/1001113882734049,陳允傑,旗標科技股份有限公司,9789863125624,https://s.eslite.dev/Upload/Product/201812/l/636808916346212500.jpg
超說服力數據資料視覺化鐵則,https://www.eslite.com/product/1001115101229686,山崎紅,先和實業股份有限公司,9789867945327,0
"Good Charts Workbook: Tips, Tools, and Exercises for Making Better Data Visualizations",https://www.eslite.com/product/1002141502771888,Scott Berinato,HARVARD BUSINESS SCHOOL PRESS,9781633696174,https://s.eslite.dev/upload/product/l/2681773441009/20190409025953819270.jpg
