書名,書籍網址,作者,出版社,ISBN,圖片網址
餐飲資訊管理系統: ERP學會餐飲資訊系統認證教材 (第2版),https://www.eslite.com/product/1001113692563170,莊玉成/ 許銘家/ 廖棋弘/ 葉伊庭/ 吳宜庭/ 余承恩,碁峰資訊股份有限公司,9789864762538,https://s.eslite.dev/upload/product/l/2681411419001/ec1235645.jpg
資訊管理概論: 實踐企業e化與提升競爭力 (第3版),https://www.eslite.com/product/1001113692193156,朱海成,碁峰資訊股份有限公司,9789862765289,0
建築工程監造資訊管理系統操作手冊 (99年版/附光碟),https://www.eslite.com/product/1001157181984266,林建宏/ 郭榮欽/ 簡添福/ 陳俊彥/ 吳雪如/ 廖麗珠,內政部建築研究所,9789860237948,https://s.eslite.dev/upload/product/l/2680534000004/64668.jpg
110年農會招考 資訊管理套書 (全國各級農會聘任職員/附題庫網帳號/雲端課程/4冊合售),https://www.eslite.com/product/1001165052682063533008,鼎文公職名師群,鼎文書局股份有限公司,,https://s.eslite.dev/upload/product/l/2682063533008/20210826034400331750.jpg
ERP資訊管理系統餐飲實務應用: ERP學會認證教材,https://www.eslite.com/product/1001113692681991302007,莊玉成/ 莊高閔/ 廖棋弘/ 葉伊庭/ 吳宜庭,碁峰資訊股份有限公司,9789865027056,https://s.eslite.dev/upload/product/l/2681991302007/20210316043220157791.jpg
資訊管理: 知識和智慧數位化 (含個案探討及習題),https://www.eslite.com/product/1001116712681978014008,陳瑞陽,五南圖書出版股份有限公司,9789865224172,https://s.eslite.dev/upload/product/l/2681978014008/20210129064301968978.jpg
資訊管理: 企業創新與價值創造 (第8版),https://www.eslite.com/product/1001127912874435,吳仁和,元照出版有限公司,9789575114039,https://s.eslite.dev/upload/product/l/2681921527005/20200912062352657035.jpg
資訊管理: 企業創新與價值創造 (4版),https://www.eslite.com/product/1001114382154095,吳仁和,智勝文化事業有限公司,9789577298867,0
資訊管理: 理論與實務,https://www.eslite.com/product/1001114381885170,謝清佳/ 吳琮璠,智勝文化事業有限公司,9789577297525,0
"國營搶分系列 資訊管理含系統分析: 重點精華整理, 完整試題收錄 (第9版)",https://www.eslite.com/product/1001165052849646,陳啟豐/ 編; 倉持修/ 校閱,鼎文書局股份有限公司,9789574548736,https://s.eslite.dev/upload/product/l/2681886193000/20200530053755009778.jpg
公職考試2020試題大補帖: 資訊管理與資通安全含資訊管理、資訊管理概要、資訊管理與資通安全概要 (104-108年試題/申論題型),https://www.eslite.com/product/1001127572840255,百官網公職師資群,大碩教育股份有限公司,9789863457886,https://s.eslite.dev/Upload/Product/202004/l/637227958905190000.jpg
資訊管理 (第7版),https://www.eslite.com/product/1001121992793100,David M. Kroenke/ Randall J. Boyle,華泰文化事業股份有限公司,9789869781510,https://s.eslite.dev/upload/product/l/2681805638001/20190907041026721960.jpg
2022年初等地方五等圖書資訊管理套書 (附英文單字書/題庫網帳號/雲端課程/5冊合售),https://www.eslite.com/product/1001165052682054839003,鼎文公職名師群,鼎文書局股份有限公司,,https://s.eslite.dev/upload/product/l/2682054839003/20210805054718675385.jpg
公職考試2021試題大補帖: 資訊管理與資通安全 (104-109年試題/申論題型),https://www.eslite.com/product/1001127572682057021009,百官網公職師資群,大碩教育股份有限公司,9789865479176,https://s.eslite.dev/upload/product/l/2682057021009/20210811061415557584.jpg
資訊管理概論 (修訂第3版),https://www.eslite.com/product/1001122982681990729003,陳瑞順,全華圖書股份有限公司,9789865035488,https://s.eslite.dev/upload/product/l/2681990729003/20210312043528435944.jpg
2021年初等/ 地方五等圖書資訊管理套書: 重點內容整理、歷屆題庫收錄 (附英文單字書/題庫網帳號/雲端課程/5冊合售),https://www.eslite.com/product/1001165052854816,鼎文公職名師群,鼎文書局股份有限公司,4710220408017,https://s.eslite.dev/upload/product/l/2681893780002/20200630034054476400.jpg
中央印製廠分類職位: 資訊管理員套書 (附英文單字書/題庫網帳號/雲端課程/5冊合售),https://www.eslite.com/product/1001165052854997,鼎文公職名師群,鼎文書局股份有限公司,4710264212014,https://s.eslite.dev/Upload/Product/202006/l/637291035927975000.jpg
資訊管理概論 (第3版),https://www.eslite.com/product/1001122982457982,陳瑞順,全華圖書股份有限公司,9789864630097,https://s.eslite.dev/Upload/Product/201510/l/635810211963655000.jpg
資訊管理: e化企業的核心競爭能力,https://www.eslite.com/product/1001114381983240,林東清,智勝文化事業有限公司,9789577298102,https://s.eslite.dev/Upload/Product/201010/l/634221338203042500.jpg
醫療資訊管理,https://www.eslite.com/product/1001114381983241,吳仁和/ 陳翰容/ 沈德村/ 洪誌隆/ 林麗敏,智勝文化事業有限公司,9789577298096,https://s.eslite.dev/Upload/Product/201010/l/634221466116792500.JPG
健康資訊管理: 以Microsoft Excel VBA為建構之工具 (附光碟),https://www.eslite.com/product/1001123041760865,,◎合記書局有限公司,9789861264776,0
健康資訊管理: 利用科技來改變健康照護,https://www.eslite.com/product/1001123041760849,"Conrick, Moya",◎合記書局有限公司,9789866775208,0
資訊管理概論: 企業e化建置實務,https://www.eslite.com/product/1001124691823078,林震岩,學貫行銷股份有限公司,9789867198662,0
漁會考新進/ 升等: 資訊管理人員 (全),https://www.eslite.com/product/1001165101627847,,士明圖書文化事業有限公司,9789577983640,0
漁會考新進/ 升等: 資訊管理人員 (全),https://www.eslite.com/product/1001165101627851,,士明圖書文化事業有限公司,9789577985514,0
公路行車時間資訊管理系統之規劃研究 (3/4),https://www.eslite.com/product/1001182881622864,,交通部運輸研究所,9789860054170,0
資訊管理理論與實務：企業E化的藍圖與建置,https://www.eslite.com/product/1001124691223686,林震岩,學貫行銷股份有限公司,9789867693938,0
資訊管理：企業資訊系統管理與個案分析,https://www.eslite.com/product/1001114381235865,陳瑞順/蔡永順,智勝文化事業有限公司,9789577294425,0
醫療資訊管理 (附整體醫療資訊系統示範光碟),https://www.eslite.com/product/1001115291461333,王俊文,高立圖書有限公司,9789867497345,0
資訊管理,https://www.eslite.com/product/1001137241234074,唐納德　馬爾錢德,普林斯頓國際有限公司,9789867491817,0
台灣資訊管理個案(第六輯),https://www.eslite.com/product/1001121991486640,,華泰文化事業股份有限公司,9789576093234,0
資訊管理聯繫與策略優勢,https://www.eslite.com/product/1001114381335664,季延平,智勝文化事業有限公司,9789577291868,0
台灣資訊管理個案(第四輯),https://www.eslite.com/product/1001121991486641,,華泰文化事業股份有限公司,9789576091438,0
企業精英的資訊管理概論(2版),https://www.eslite.com/product/1001181861494419,鴨嘴獸工作室,滄海書局,9789572054109,0
環境資訊管理與決策分析,https://www.eslite.com/product/1001181861494634,張乃斌,滄海書局,9789867777799,0
資訊管理與系統(2版),https://www.eslite.com/product/1001181861494994,蔡邦仁,滄海書局,,0
公路行車時間資訊管理系統之規劃研究(1/4)高速公路部分及模式先期研究,https://www.eslite.com/product/1001182881501243,,交通部運輸研究所,,0
工業衛生實驗室資訊管理系統研究及技術推廣,https://www.eslite.com/product/1001183261502618,,行政院勞工委員會勞工安全衛生研究所,,0
公路行車時間資訊管理系統之規劃研究(2/4)重要省道部份,https://www.eslite.com/product/1001182881561155,,交通部運輸研究所,9789860016277,0
公路汽車客運路線資訊管理系統之功能擴充及其應用,https://www.eslite.com/product/1001182881561175,,交通部運輸研究所,9789860016321,0
汽車客運管理決策支援系統維護及擴充發展之研究 2 路線資訊管理系統之建置,https://www.eslite.com/product/1001182881501404,黃湧哲,交通部運輸研究所,,0
國營事業招考台電、中油、台水新進職員套書: 資訊 (6冊合售/附公職英文單字口袋書/題庫網帳號/雲端課程),https://www.eslite.com/product/1001165052788481,鼎文公職名師群,鼎文書局股份有限公司,4710000640125,https://s.eslite.dev/Upload/Product/201908/l/637020601186923750.jpg
