書名,書籍網址,作者,出版社,ISBN,圖片網址
第四次零售革命: 流通的變革與重構,https://www.eslite.com/product/1001243122829728,王成榮,樂果文化事業有限公司,9789579036238,https://s.eslite.dev/upload/product/l/2681859385005/20200228033208864060.jpg
重構人間秩序: 明代公案小說所示現之文化意蘊,https://www.eslite.com/product/1001116982796458,張凱特,台灣學生書局有限公司,9789571518084,https://s.eslite.dev/upload/product/l/2681810826004/20190924043345648014.jpg
重構: 改善既有程式的設計 (第2版),https://www.eslite.com/product/1001113692774021,Martin Fowler,碁峰資訊股份有限公司,9789865021832,https://s.eslite.dev/Upload/Product/201907/l/636976589928494722.jpg
重構JavaScript,https://www.eslite.com/product/1001133102685856,Evan Burchard,美商歐萊禮股份有限公司台灣分公司,9789864766826,https://s.eslite.dev/Upload/Product/201806/l/636645007581261250.jpg
CSS重構,https://www.eslite.com/product/1001133102587139,Steve Lindstrom,美商歐萊禮股份有限公司台灣分公司,9789864763658,https://s.eslite.dev/Upload/Product/201704/l/636287060172447500.jpg
東亞海洋文明的歷史演繹: 華人移民．海域經濟．文化重構,https://www.eslite.com/product/1001128612524384,陳衍德,洪葉文化事業有限公司,9789866001772,https://s.eslite.dev/Upload/Product/201607/l/636039955022023750.jpg
大話重構,https://www.eslite.com/product/1001120322445244,范鋼,博碩文化股份有限公司,9789864340460,https://s.eslite.dev/Upload/Product/201508/l/635758290834554480.jpg
淡水地方社會之信仰重構與發展: 以清水祖師信仰為論述中心 (一九四五年以前),https://www.eslite.com/product/1001166162368764,王怡茹,國史館,9789860421675,https://s.eslite.dev/upload/product/l/2680914671008/421286.jpg
焦竑與晚明新儒思想的重構,https://www.eslite.com/product/1001117482331127,錢新祖,國立臺灣大學出版中心,9789863500070,https://s.eslite.dev/upload/product/l/2680877290001/334372.jpg
重構與新詮: 唐宋學術思想研究論集,https://www.eslite.com/product/1001114292331191,明道大學中國文學系,萬卷樓圖書股份有限公司,9789577398260,https://s.eslite.dev/Upload/Product/201405/l/635370357134027500.jpg
