ISBN,書籍簡介
9789579036238,"快速的商業消費模式正在面臨變革第四次零售革命，你，準備好了嗎？ 資訊技術、互聯網在現代社會中持續快速發展，社會經濟和人們生活方式、消費習慣也跟著改變，零售模式以及整個流通生態都與以往的商業經營有很大的不同。以電子商務和移動電子商務為表現形式，正在全球爆發一次能量巨大的零售革命。我們稱這次零售革命為「第四次零售革命」。 作者在2013年的學術論壇上首次提出「第四次零售革命」論題，前三次零售革命分別為百貨商店、連鎖商店和超級市場。作者並在書中探討從訂單到生產，到終端，再到消費，供應鏈和價值鏈的巨大變化，並且深入分析零售革命推動著整個流通業的變革與重構，是一次波及了商業、物流、金融、旅遊、餐飲和廣告傳播等行業的大流通產業的全面調整和升級的革命。 我們每一個人都正在參與「第四次零售革命」，任何一個流通企業，尤其是零售企業都不可能置身度外，嶄新的商業模式將為消費者提供更加便利與多元的體驗。本書的論點和素材為學術界注入豐富的觀點，同時也為企業界應對第四次零售革命的挑戰提供完善的理論參考。"
9789571518084,本書以明代十二本公案小說集為研究範疇，從秩序觀點探勘晚明社會與文化的變遷。不僅討論清官崇拜或律法意識的層面，尚從重構秩序的視角，觀察倫理秩序、禮教秩序、宗教秩序、天道秩序的文化意涵。內容揭開晚明社會對於清官、婦女、罪僧等社會人物，有不同的對待與期望。內容呈現︰清官與城隍神信仰的綰結，反映明代大小傳統的融合；對於未婚男女私情的寬容，符合「法外容情」的特徵，符合晚明庶民性格的時代趨勢；罪僧故事凸顯明代宗教犯罪的惡化，僧人已然視為強盜與土匪的代名。其他割股故事、入冥審判皆與民俗或信仰有關，值得關注。相較於其他公案小說的研究，本書更以文化視角提供理解晚明社會的路徑，給今日尚有熱情研讀公案小說的讀者，提供對公案奇情的想像方法。
9789865021832,“任何一個傻瓜都能寫出電腦可以理解的程式，唯有優秀的程式設計師能寫出讓人讀懂的程式。” —M. Fowler (1999) 完全修訂及更新：包含新的重構方法和範例程式 二十多年來，世界各地經驗豐富的程式員都使用Martin Fowler的《重構》來改善既有程式的設計、提升軟體的易維護性，以及讓既有的程式更容易被人瞭解。 為了反映程式設計領域的重大變化，作者全面翻新書籍內容，推出這本備受期待的新版本。《重構 第二版》提供了新的重構名錄，加入JavaScript範例程式以及新的實用範例來展示各種重構。 這個版本與第一版一樣，將解釋什麼是重構、為何重構、如何認出需要重構的程式，以及如何成功地重構，無論你是使用哪一種語言。 ‧瞭解重構的程序與一般原則 ‧快速運用實用的重構技術，讓程式更容易理解與修改 ‧辨認暗示有待重構的程式碼“異味” ‧探討重構，每一個案例都包括說明、動機、作法與簡單的範例 ‧為重構建立可靠的測試程式 ‧認識重構的取捨與障礙 本書原文網站提供免費的web標準版本，包含更多重構資源，書中內容將說明如何取得。
9789864766826,改善不良程式碼「我喜歡這本書的原因是，它系統性地陳述了重構是什麼以及不是什麼。這樣的聚焦觀點，幫助開發者在不改變程式碼行為的前提下提高品質，是每個JS開發者必備的資訊。這本書必讀。」－－JavaScript 導師／Kyle Simpson（“getify”）「重構JavaScipt為改進你的JavaScript程式碼指出了清晰的方向。這本書討論重構的工具和技巧，以及如何在不改變程式碼行為的前提下修改程式碼。全書中皆穿插附導引的範例，帶領讀者悠遊於重構程式碼所會涉入的複雜性之中。」－－威斯康辛大學史蒂芬斯角分校／Steven Suehring教授如果你的JavaScript程式碼是一團亂，那麼各種框架對你的幫助也實在有限。不管你使用什麼框架、編譯至JavaScript的語言或是函式庫，如果你的JavaScript品質堪憂，那臭蟲跟效能問題依舊無法被緩解。跟隨這本實務性的指南，你將學習到如何透過測試與重構程式碼來減少複雜度及增加可讀性，並且從現有的程式庫（codebase）取得信心。作者Evan Burchard將為你展示如何識別出不良的程式碼，並帶你見識數種重構的方法來對它們進行改良，這些技巧從最簡單的重命名變數一直到引入函數式與物件導向程式設計。如果你渴望寫出更優秀的JavaScript程式碼（不管是前端還是後端），一定會需要這本書。●在不改變程式碼行為的前提下，利用重構來重新組織程式碼●理解重構與程式碼品質之間的關係●探索現今使用的各種JavaScript版本●建立自動化測試來確認程式碼正確，並找到那些被忽略的臭蟲●學習如何重構簡單的JavaScript結構、函式、物件●引入物件導向與函數式程式設計來重構你的代碼庫●研究重構異步JavaScript的方法
9789864763658,架構完善的樣式表 編寫程式時常常會需要重新檢視程式碼，並移除多餘及不一致的碼，這就是重構。在這本實務指引中，作者Steve Lindstrom不但會帶您架構CSS，建造出易於操作的響應式網站，也會教您如何透過重構，創建出更容易檢閱及維護的CSS。好的CSS是現代網站外觀與質感的基礎，與架構網站的HTML及運行程式的JavaScript同樣重要。不論你是才開始要執行第一個CSS專案或是要對現有的專案進行校調，本書延續一貫堅持優良架構的原則，提供您建造CSS碼庫的策略。‧瞭解什麼是重構以及其與CSS的關係‧探索網頁瀏覽器如何透過串接而套用樣式的方法‧編寫可預期、易維護、能擴充且方便複用的樣式碼‧為CSS樣式分類並視其目的作適當運用‧在各式瀏覽器與裝置上進行測試以維護CSS‧汲取組織樣式、重構CSS及評估成效的策略
9789866001772,東亞海洋文明歷史悠久，自從東亞經濟開始「起飛」以來，各國學術界也開始重視東亞海洋文明的研究。本書對東亞海洋文明的歷史演繹，建立在以人為本的理念之上，體現在對華人移民及相關問題的闡釋之中。華人移民是主軸，海域經濟和文化重構為其兩翼。海域經濟包括沿海、島嶼經濟以及通過海洋的經濟往來；文化重構主要指海外華人在異域的文化重建和本土文化在傳播海外過程中的變異。期望本書對東亞海洋文明之歷史闡釋，能對世界海洋文明史之研究作一點小小的貢獻。
9789864340460,"當你接受一個遺留系統被賦予新增功能的任務時，首先，你會去看看原始碼，糟糕，原始碼一團亂，怎麼辦呢？是重構後加入新功能，還是另外寫新功能不要去碰觸舊有的程式碼呢？ 面對運行了許久的大型遺留系統，工程師常常糾結在「改」還是「不改」的抉擇中？而在大多數的情況下，台灣的工程師總是決定對於遺留系統採取容忍的態度，一忍再忍，再忍，忍，還要忍……終於累積到了某一天，實在是忍無可忍時，拍案而起，不能再忍了，終於喊出「我要重構！！！」事情就這樣發生了。然而，此時你會突然發現，重構的工作千頭萬緒，不知從何開始。
還是回頭拿起書架裡的重構教科書來看看吧，就是那本由兩位大師Martin Fowler, Kent Beck和其他三人合寫的《Refactoring: Improving the Design of Existing Code》，想要在其中找找看怎樣來重構比較妥當。這本重構經典書告訴你，要重構就不能把原有功能給破壞了，所以在開始重構之前，首先應建立起「自動化測試」。好的，那我們就去打開測試程式吧！什麼，遺留系統沒有測試程式，那該怎麼辦呢？遺留系統不是用TDD開發的，那…那，我們要怎樣重構才能保證原有功能不會出錯呢？慘了，在第一關就卡住了。硬著頭皮幹吧，反正就是另外再寫新功能，不要去動到舊有的程式碼就對了。是的，這就是現實中大多數台灣工程師的作法。可是這樣做，程式碼的品質就越來越差了，不論是自己後面要再加新功能或者是丟給別人來接手，無疑都是場災難。
回過頭來說，那本重構經典書不就英雄無用武之地了嗎？嗯，雖然那本書寫得很好，但是不夠本土化。先來看看台灣的環境吧，在台灣開發軟體，起初都是工作室型態的，用最快的速度、最少的人力，開發出滿足客戶需求的軟體，快速上線運行就OK了。什麼程式碼品質，什麼可讀、可維護、易變更，全都不用考慮。別說測試程式碼，就是程式碼可測性都沒有人會去考慮。這樣的方式讓軟體開發公司快速拿到了第一桶金，但為日後的維護與軟體發展帶來了隱憂。而在美國情況完全不是這樣子的，寫程式就是該寫品質好的程式碼，就是該有測試，所以該書假設的前提都是對的，故而如何讓遺留系統建立起「自動化測試」，大師在書中隻字未提。換句話說，重構經典書的前提不適用於台灣。我們需要的是一本真正適用於台灣真實情況的重構書籍，而《大話重構》就是您最佳的選擇。也因此，本書被列為博碩文化《中文原創經典》的第一本書。

本書把常見的，如抽取類別、抽取方法、用多型取代條件等等數十種重構手法全部都放到附錄中（這些手法我們稱之為重構工具箱），因為那些在別本重構書籍裡通通查得到。本書當然也會提到那些工具，但並非本書的重點。本書要講的是重構的觀念（例如何時重構）、如何一步一步地重構，如何面對遺留系統，如何說服老闆來重構，本書所提的是一種系統與設計層級的重構，而非單單只是程式碼層級的重構。
本書會以真實的遺留系統案例，來親自示範如何一步一步地重構，直到這個系統可以輕鬆應付未來的變更。同時，本書也強調許多觀念，例如不要做大佈局，因為『大佈局，你傷不起！』，本書強調只做今天的設計，解決今天的問題，完成今天的重構，讓明天見鬼去吧。因為你不是先知，你無法預測未來，做過多的設計是在浪費時間，要做的是『好的設計』而非『過多的設計』。什麼是『好的設計』，那就是明確地分層解耦，讓你的系統很可很輕鬆地面對將來未知的需求變更。
本書作者的程式與設計功力深厚，但撰寫這本書時，常常能夠站在基層工程師的角度出發，例如，對於大多數老闆而言，重構沒有立即效益，所以要如何說服老闆對遺留系統進行重構給予支持，才是重構得以實行的關鍵。只要你有『一點點』設計模式的底子，相信這本書會協助您解決許多正面臨的困難。
本書既稱之為『大話』重構，自然在文字用語上會有一些特色，以下舉幾個經典例句：

●「小步快跑」
● 糟糕設計零容忍！
● 小設計可以讓你獲得成功！
● 自動化測試——想說愛你不容易
● 系統重構最後的一里路——測試的困境。
● 活在當下，設計今天的程式，讓明天的變化見鬼去吧！
● 測試與重構形成了一個「雞生蛋，還是蛋生雞」的奇怪循環。
● 合久必分，分久必合——類別的歸併
● 領域才是軟體系統的「心」！
● 開發糟糕程式碼是可恥的！
● 大佈局你傷不起！
● 「兩頂帽子」

這本書是一本關於重構，實踐經驗分享的書，至於這本書能夠帶給您多少的領悟，還得由您細細體會。"
9789860421675,淡水地處淡水河下游右岸，因其位居臺北盆地河流出海口的區位，成為促使地方社會發展之重要原因。清乾隆年間，地方社會隨著市街聚落發展，移民依據各式需求在市街內興建各種類型廟宇，地方社會呈現以福佑宮為市街各族群最主要之信仰中心，其他信仰「多元並立」的信仰模式。然而，這樣的信仰模式卻在清法戰爭後、日治初期、日治中期出現幾次轉變，其中又以清水祖師的信仰地位轉變最為明顯。為探究清代以迄日治時期淡水地方社會之信仰如何重構與發展，本書以地理學關注的「人地」關係、「人人」關係為核心觀點，討論宗教活動與環境的互動關係，以及地方紳商如何透過其文化權力網絡之運作，影響地方社會信仰發展。
9789863500070,本書雖以焦竑一人的思想為焦點，但絕非一般意義下的思想傳記而將焦竑思想作為明中葉以來新儒思想內部演變的縮影突顯中國近代思想史自晚明至於前清的發展特色與重大轉折全書透過對於焦竑思想的系統性以及其在晚明與清代初期思想脈絡中的「時空性」（placedness）之分析來探討傳統中國近世思想史上的三大問題：一、晚明新儒學者內部「三教合一」運動的獨特性；二、程朱與陸王之爭所扮演的歷史角色；三、清代初期「漢學」的「論述意義」（discursive significance）。這三大問題息息相關，所顯示的是新儒內部思想的「重構」（restructuring）。這種「重構」涉及一系列的相應變化──在形上學與宇宙論方面有日本學者山下龍二所說的理氣一元的「気の哲学」的出現，在本體論上有心性二元的瓦解，在知識與修身論上有人心、道心二心說的崩潰，在語言觀上則因對於名實之間關係的反思而產生一種與釋道兩家以及古典儒家都不相同的「神祕懷疑論」。
9789577398260,唐宋時代思想活躍，文化發達，是歷朝各代最為文明昌盛之期，唐宋學術思想更是多元而精彩，展現出雍容大器的風華，本書唐宋學術思想研究論集聚焦於重構與新詮，企圖在遵古炮製之外，另有慧眼，獨具匠心，看見舊文明與新理想。
