書名,書籍網址,作者,出版社,ISBN,圖片網址
Python程式設計入門教室,https://www.eslite.com/product/1001120322752979,森巧尚,博碩文化股份有限公司,9789864343829,https://s.eslite.dev/Upload/Product/201903/l/636894451076031250.jpg
XS程式交易煉金術,https://www.eslite.com/product/1001253672760615,杜昭銘/ 數據金/ 黃建憲,大億出版有限公司,9789869463454,https://s.eslite.dev/Upload/Product/201905/l/636925558064917500.jpg
全民自造與程式設計: 使用Arduino,https://www.eslite.com/product/1001309032757696,洪國勝/ 張孟庭,泉勝出版有限公司,9789869685917,https://s.eslite.dev/Upload/Product/201911/l/637100185778422500.jpg
Android App程式設計寶典 (附VCD),https://www.eslite.com/product/1001138362756948,孫惠民,經瑋國際股份有限公司,9789576153549,https://s.eslite.dev/Upload/Product/201904/l/636913458371948750.jpg
TQC+創意App程式設計認證指南App Inventor 2 (第2版/附光碟),https://www.eslite.com/product/1001113692755899,,碁峰資訊股份有限公司,9789865020842,https://s.eslite.dev/upload/product/l/2681744943006/ec1735524.jpg
Visual Basic程式設計寶典 (附VCD),https://www.eslite.com/product/1001138362756953,黃瑞祥．松橋3小組工作室,經瑋國際股份有限公司,9789576153587,https://s.eslite.dev/Upload/Product/201904/l/636913458459917500.jpg
Python零基礎入門班: 一次打好程式設計、運算思維與邏輯訓練基本功! (第2版/附影音教學/範例程式),https://www.eslite.com/product/1001113692751427,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865020798,https://s.eslite.dev/Upload/Product/201903/l/636888404821947500.jpg
Python程式設計入門與應用: 運算思維的提昇與修練,https://www.eslite.com/product/1001116712753347,陳新豐,五南圖書出版股份有限公司,9789577632982,https://s.eslite.dev/Upload/Product/201903/l/636895314800406250.jpg
Python程式設計與人工智慧入門: 使用DJI Tello和Microsoft Azure,https://www.eslite.com/product/1001122412751147,連宏城,台科大圖書股份有限公司,9789864557905,https://s.eslite.dev/Upload/Product/201903/l/636887541310228750.jpg
完全圖解Python程式設計,https://www.eslite.com/product/1001113692746865,Carol Vorderman,碁峰資訊股份有限公司,9789864769483,https://s.eslite.dev/Upload/Product/201902/l/636865938574428750.jpg
Python程式設計技巧: 發展運算思維,https://www.eslite.com/product/1001113692745628,溫嘉榮,碁峰資訊股份有限公司,9789865020347,https://s.eslite.dev/Upload/Product/201902/l/636861618431997301.jpg
