ISBN,書籍簡介
9789864343829,從做中學！淺顯的對話教學！易懂的程式開發！ 帶你逐步學習Python！從簡單的程式設計到人工智慧應用程式開發都體驗得到！ 在你學習Python程式開發原理的同時，也將製作出充滿樂趣的人工智慧應用程式！◎基礎知識淺顯易懂：以對話形式進行解說，並配合插圖來說明基礎知識。 ◎基本語法快速上手：對基礎語法進行適當解說，即使你從未接觸過Python，也沒有問題。 ◎逐步帶領體驗開發：準備了充滿趣味的範例，可以放心體驗程式語言的樂趣。 近年來，Python是非常熱門的程式語言，尤其是在人工智慧這個領域上受到大眾的矚目。在網頁開發與資料分析上，Python的使用者數量都在持續上升中。 本書是針對Python新手所設計的書籍，不但可以一邊製作簡單的範例，還可以一邊從羊博士及小芙的對話形式教學中，來學習程式設計的原理。請跟著羊博士及小芙一同探索體驗Python程式語言吧！ 我們將從能用Python寫出的最簡單程式開始，最終會製作出「可以辨識手寫數字」的人工智慧應用程式。透過本書學習Python，你將能體會到Python與人工智慧的樂趣，並成為你日後進一步學習Python程式語言的敲門磚。 
9789869463454,程式交易是投資者將交易策略寫成自動執行買賣交易的程式，以獲取投資報酬。程式交易的優點在於借助電腦的快速運算與分析能力，立即回溯測試交易策略的績效，以做為調整投資策略的判斷依據。透過程式交易，投資者除可免除盯盤時間外，還可克服主觀判斷以及人性弱點，以提高投資的績效。
9789869685917,使用Arduino為工具，配合生活科技產品的溫度、光線感測器、LED、點陣LED、七段顯示器、LCD、紅外線遙控器等，介紹程式設計的基本輸出入、決策、迴圈與陣列。神奇的迴圈與陣列是初學者學習程式設計最容易卡關的章節，作者利用四位數七段LED、點陣LED來加強迴圈與陣列的演練，是學習程式設計的最佳工具，並可理解生活科技的原理。更多的部分內容，請看泉勝網站www.goodbooks.com.tw
9789576153549,◎市面最完整Android 4.X 程式範例用書◎本書全部範例都可在Android手機上執行◎附贈本書全部範例完整程式碼要建構開發一個Android智慧型手持裝置 （智慧型手機、平板電腦…等） 上的好用又好玩的App程式，是非常不簡單的，因此開發時，要考量的因素非常多，如：App介面的親和力是否夠好？App的操作是否夠單純？App層次的安排是否夠合理？App的內容是否夠吸引用戶？解決這些問題都是非常不容易的。尤其現在市面上所有Android App程式開發的用書，都是在強調「如何使用Android SDK與開發工具來開發App」或是「單純的程式範例」！卻鮮少有一本Android App的開發書籍是在教導讀者與App設計者如何來開發各類型有用又實用的應用程式或是商務範例。而讀者與程式設計者最需要的就是要瞭解如何開發實用的App系統，而不只是會寫Android App程式！所以，有了本書的企劃。本書以實用又有用的各種應用範例來教導讀者與程式設計者，從App規劃、分析到程式設計，都有完整的範例詳細解說，讓所有讀者與程式設計者閱讀完本書，能夠開發出實用又有趣的應用App系統。
9789865020842,「TQC+ 創意App程式設計認證App Inventor 2 （第2版）」，係為TQC+ 跨域設計領域之創意App程式設計認證能力鑑定，以實務操作方式進行認證，評核符合企業需求的新時代專業設計人才。亦為考核「創意App程式設計專業人員」必備專業技能之一。麻省理工學院（MIT）App Inventor 2 國際認證參考用書1.範例題目分為測驗題與操作題兩大部分，設計均以實務應用為導向，品質及認證公信力最具權威！2.測驗題包含「系統與基礎畫面元件」、「基礎程式語法」及「硬體與網路通訊服務」等類別；操作題包含「基礎畫面元件」、「觸控操作與多媒體互動」及「進階應用」等類別，以實際作品範例透過設計功能剖析，提供讀者最實用技巧，為App Inventor 2的人才評鑑建立了公正客觀的參考標準。3.透過本書所附光碟之認證範例題目練習系統依類別進行自我測驗，提升使用者學習效率。4.配合中華民國電腦技能基金會（https://www.csf.org.tw/main/index.asp）測驗流程，一舉取得專業證照，讓您求學、求職更具競爭力。●本書範例題目內容為認證題型與命題方向之示範，正式測驗試題不以範例題目為限。●取得TQC+ 創意App程式設計認證App Inventor 2證照，可換發MIT國際證照。報名MIT國際認證辦法及換證方式詳見網址：http://www.appinventor.club/
9789576153587,書中將以一個個由淺入深的實例，詳細說明 Visual Basic 的指令語法及控制項用途，使您在學習完本書內容後，即可自行設計程式解決自已所遭遇問題。敘述詳盡易懂，佐以圖表輔助學習，範例程式精巧實用，難易度適中，延伸觀念解說，結合理論與實務經驗分享，詳細解說讓生硬的程式語言設計變有趣，不同面向的範例，培養讀者獨立思考的能力。●程式設計基礎：建立資料結構、變數型態、運算式、運算子與基本的輸入輸出等基本觀念。●重複結構：介紹FOR…NEXT與DO…LOOP迴圈的觀念與應用方法。●陣列：活用Visual Basic陣列、排序與搜尋方法，撰寫程式更省事。●淺顯易懂解說物件導向設計的基本概念。●以繪圖實作各項輸出報表，解決 express 版本報表輸出問題。●採用FireBird 資料庫實作簡易出貨單系統。●精簡的 WPF 範例，使WPF 不再如此艱深。●以簡易及可行安裝與部署式技巧，使專案能實際應用。
9789865020798,Python正宗入門NO.1一本引領數以千計讀者一探Python世界、讓老師用了再用的暢銷基礎經典！大數據時代、新課綱世代跨入程式語言，鍛鍊邏輯思維就從Python開始學！Python是目前最熱門的程式語言，執行功能強大，但語法卻簡潔優雅、易於學習，更方便應用在許多專案實作上。它也沒有複雜的結構，程式易讀，且易於維護。Python的應用範圍相當廣泛，無論是資訊蒐集、大數據分析、機器學習、網站建置，甚至是遊戲開發等，都能看到它的身影。本書以零基礎學習者的視角進行規劃，從最基本的認識程式語言與環境架設切入，再進到程式設計流程的完整學習，輔以觀念圖解、表格歸納，以及流程圖，深入淺出一窺Python程式語言與設計的奧妙！要懂Python就要這樣真正的入門徹底掌握程式語言與設計的核心！●適合無程式設計經驗或想打好Python基礎者，從中了解運算思維精神，扎根程式設計學習，培養邏輯運算能力。循序漸進的內容涵蓋：認識運算思維、程式語言與設計、環境建置、變數、運算式、判斷式、迴圈、串列與元組、字典、函式與模組、演算法，以及檔案與例外處理…等，讓初學者無痛學習，輕鬆打好基本功。●精心設計100題實作範例，輔以120題綜合演練，從做中學，快速學會每個學習重點，並能應用於實際專題中。範例大小適合讀者平時的學習，或每週固定時數的教學課程。●融入精采的情境實例，貼近生活應用，也讓練習更有趣，如：數學運算、密碼判斷、成績評等、電影分級、百貨公司折扣戰、數字比大小、薪資計算表、成績單與業績報表列印、日期時間格式與溫度轉換、擲骰子遊戲、大樂透抽獎、搜尋中獎者、彩券對獎，以及血型個性、四季天氣、成績輸入、產品銷售、電費、世大運獎牌數與家庭支出查詢…等運用。●更新檔案管理、模組應用與例外處理內容，讓開發更加得心應手，並納入全新150分鐘Python開發環境建置與語法入門的影音教學，搭配書籍內容快速吸收，讓學習更完整。書附超值光碟：150分鐘快速入門影音教學／範例程式檔／綜合演練參考解答「Python特訓班」暢銷經典系列四本書，簡介如下：●「Python零基礎入門班」本書適用無程式設計經驗，想打好程式語言基礎者，內容為程式觀念的建立與重要語法的學習＋實用小範例，可一步一步紮實打好基本功。●「Python初學特訓班」本書適用初學Python，想一次就從基礎跨入專案開發者，內容為基礎語法＋專案實例，以快速具備Python開發力。●「Python大數據特訓班：資料自動化收集、整理、分析、儲存與應用實戰」本書適用想完整學習Python資料處理三大觀念與技術「擷取分析、視覺化呈現與儲存應用」者，內容全面深入不同應用面向，如：網路爬蟲、資料正規化／視覺化/儲存與讀取…等，並以國內熱門實例進行大數據專案實作。●「Python架站特訓班：Django最強實戰」本書適用想直接打造超強互動網站者，內容涵蓋正規化網站開發流程，結合資料庫，並透由主題範例實戰，架構出專業實用的網站。只學一本，就具備Python開發力，完整學習，功力加倍更無敵！
9789577632982,"●以初學者學習面撰寫，內容淺顯易懂，從「運算思維」的主軸，說明程式設計的設計策略。
●實務與理論兼備，結合圖表與實例的運用，生動的方式，帶領讀者身歷其境，增添學習趣味性。
●「Python程式設計」說明搭配實地操作，增進運算思維的能力，並引領讀者運用Python開發專題。
●內容包括視覺化、人機互動、YouTube影片下載器、音樂MP3播放器與試題分析等，具備基礎的程式設計者，可獲得許多啟發豁然開朗。

◎本書範例資料檔，請至作者個人網站中自行下載使用：（http://cat.nptu.edu.tw）。
  或至五南圖書網頁：http://www.wunan.com.tw/下，輸入書號1H2B，即可找到下載處。

     值此資訊科技高度發展的時代，如何尋求創新與突破實屬極重要的課題，面對現代生活的日新月異，「Python程式設計」正式引領我們開創「運算思維」的新紀元，實為「程式設計」的重大變革。
     在程式設計上，經由本書介紹，不僅大大提升相關知識，藉由生活化圖解的運用，再搭配文字解說，透過程式專題實作，在運算思維的架構下，身歷其境更加凸顯Python程式設計的重要性，為初學者與具Python程式設計基礎者，最佳的實用工具書。"
9789864557905,●贏在起跑點：知古通今，了解AI過去，迅速切入潮流，透過實際體驗激發興趣，讓學習更有感。●站在制高點：藉由程式存取微軟Azure雲端人工智慧服務，隨時掌握並拓展最新AI技術串聯各種智慧應用。●航向目標點：熟悉且輕鬆上手Python AIoT核心語法，實際搭配Tello和Tello Edu無人機，抓學習也抓應用，不僅穩紮根基也能巧妙活用，讓成品與學習更出色。
9789864769483,快樂寫程式 輕鬆學Python 市面上唯一一本全彩圖解，以豐富的插圖、輕鬆的文字、精心編排的簡單步驟，帶領讀者體驗輕鬆學會Python的學習樂趣。 這本書設計了許多精彩、有趣的範例程式，帶你開發出讓人玩不停手的瘋狂遊戲、破解棘手的程式碼，以及製作巧妙的益智問答遊戲。本書能協助你熟悉程式技巧，從範例專案起始，引領你建立及改寫程式碼，進而創造屬於自己的專案。 完全沒學過程式設計的讀者真的不用擔心，只要從本書第一章開始，按部就班跟著書中的範例程式學習，遇到不懂的問題時不要在意，寫程式就是需要練習，寫得越多，了解越多。第一次寫完程式後，如果無法執行，請別灰心，即使是累積多年程式經驗的專業人士也常常需要幫程式除錯。 學習程式最好的方法是投入熱情，動手去做，這也是本書設計的學習方針。只要跟著書中精心編排的步驟逐步進行，立刻就能創作出應用程式、遊戲、圖形和謎題。如果你能在學習的過程中感受到寫程式的樂趣，就更容易學會，所以本書盡可能將範例程式設計得更有趣。 練習完書中的每個範例後，可以看看進階變化的提示，自己試著動手改改看，只要一點點的程式能力再加上一點點的想像力，你也能成為創意無限的程式人。 書中內容豐富，適合Python新手和親子學習者，更是程式設計狂熱者不容錯過的好書。
