書名,書籍網址,作者,出版社,ISBN,圖片網址
A Beginner's Guide to 3D Modeling: A Guide to Autodesk Fusion 360,https://www.eslite.com/product/1001294883305902,Cameron Coward,Ingram International Inc,9781593279264,0
AutoCAD 2017 3D Modeling,https://www.eslite.com/product/1001294883683130,Munir Hamad,Ingram International Inc,9781944534622,0
"Mastering 3D Printing: A Guide to Modeling, Printing, and Prototyping",https://www.eslite.com/product/1001294883609516,Joan Horvath ; Rich Cameron,Ingram International Inc,9781484258415,0
"Blender 2.8 parametric modeling: Drivers, Custom Properties, and Shape Keys for 3D modeling",https://www.eslite.com/product/1001294883366716,,Ingram International Inc,9781701801943,https://s.eslite.dev/upload/ean/9781701801943.jpg
Rhinoceros 3D Exercises: 200 3D Practice Exercises For RHINOCEROS 3D and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883172122,Sachidanand Jha,Ingram International Inc,9781071167403,0
"Blender 3D For Beginners: The Complete Guide: The Complete Beginner's Guide to Getting Started with Navigating, Modeling, Animating, Texturing,",https://www.eslite.com/product/1001294883258685,Danan Thilakanathan,Ingram International Inc,9781523238811,0
"Tutorial Guide to AutoCAD 2022: 2D Drawing, 3D Modeling",https://www.eslite.com/product/1001294884364053,Shawna Lockhart,Ingram International Inc,9781630574406,0
Vectors and Matrices for Geometric and 3D Modeling,https://www.eslite.com/product/1001294883257932,Michael Mortenson,Ingram International Inc,9780831136550,0
"Up and Running with AutoCAD 2021: 2D and 3D Drawing, Design and Modeling",https://www.eslite.com/product/1001294883034410,Elliot J. Gindis ; Robert C. Kaebisch,Ingram International Inc,9780128231173,https://s.eslite.dev/upload/ean/9780128231173.jpg
"Practical Autodesk AutoCAD 2021 and AutoCAD LT 2021: A no-nonsense, beginner's guide to drafting and 3D modeling with Autodesk AutoCAD",https://www.eslite.com/product/1001294884057681,Yasser Shoukry ; Jaiprakash Pandey,Ingram International Inc,9781789809152,0
"AutoCAD 2020 A Project-Based Tutorial: Floor Plans, Elevations, Printing, 3D Architectural Modeling, and Rendering",https://www.eslite.com/product/1001294883004549,Books Tutorial,Ingram International Inc,9788193724156,https://s.eslite.dev/upload/ean/9788193724156.jpg
CorelCAD Exercises: 200 3D Practice Drawings For CorelCAD and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883172239,Sachidanand Jha,Ingram International Inc,9781072419020,0
OpenSCAD Exercises: 200 3D Practice Drawings For OpenSCAD and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883643416,Sachidanand Jha,Ingram International Inc,9781072163022,https://s.eslite.dev/upload/ean/9781072163022.jpg
BricsCAD Exercises: 200 3D Practice Drawings For BricsCAD and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883833317,Sachidanand Jha,Ingram International Inc,9781072159315,0
TurboCAD Exercises: 200 3D Practice Drawings For TurboCAD and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883171725,Sachidanand Jha,Ingram International Inc,9781072019909,https://s.eslite.dev/upload/ean/9781072019909.jpg
DesignSpark Mechanical: 200 3D Practice Drawings For DesignSpark Mechanical and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883172176,Sachidanand Jha,Ingram International Inc,9781071492833,https://s.eslite.dev/upload/ean/9781071492833.jpg
Onshape Exercises: 200 3D Practice Drawings For Onshape and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883167757,Sachidanand Jha,Ingram International Inc,9781071459317,0
SketchUp EXERCISES: 200 3D Practice Drawings For SketchUp and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883722807,Sachidanand Jha,Ingram International Inc,9781071183762,0
Mastercam Exercises: 200 3D Practice Drawings For Mastercam and Other Feature-Based 3D Modeling Software,https://www.eslite.com/product/1001294883172375,Sachidanand Jha,Ingram International Inc,9781071193273,https://s.eslite.dev/upload/ean/9781071193273.jpg
